Date,P/E,P/B,Div Yield
2022-01-03,6.79,2.31,3.37
2022-01-04,6.77,2.3,3.38
2022-01-05,6.86,2.34,3.34
2022-01-06,6.83,2.32,3.35
2022-01-07,6.86,2.34,3.34
2022-01-10,6.9,2.35,3.32
2022-01-11,6.77,2.31,3.38
2022-01-12,6.86,2.34,3.34
2022-01-13,7.1,2.42,3.22
2022-01-14,7.09,2.41,3.23
2022-01-17,7.11,2.42,3.22
2022-01-18,6.95,2.36,3.3
2022-01-19,7.0,2.38,3.27
2022-01-20,7.04,2.4,3.25
2022-01-21,6.9,2.35,3.32
2022-01-24,6.54,2.23,3.5
2022-01-25,6.54,2.25,3.46
2022-01-27,6.49,2.24,3.48
2022-01-28,6.52,2.25,3.47
2022-01-31,6.53,2.25,3.47
2022-02-01,6.78,2.35,3.32
2022-02-02,6.85,2.37,3.28
2022-02-03,6.83,2.37,3.29
2022-02-04,6.91,2.4,3.22
2022-02-07,6.91,2.4,3.22
2022-02-08,6.6,2.41,3.2
2022-02-09,6.7,2.46,3.14
2022-02-10,6.81,2.49,3.1
2022-02-11,6.77,2.48,3.12
2022-02-14,6.34,2.35,3.28
2022-02-15,6.48,2.4,3.21
2022-02-16,6.4,2.39,3.23
2022-02-17,6.38,2.38,3.45
2022-02-18,6.36,2.37,3.46
2022-02-21,6.23,2.33,3.77
2022-02-22,6.16,2.3,3.81
2022-02-23,6.18,2.3,3.8
2022-02-24,5.85,2.18,4.01
2022-02-25,6.19,2.31,3.79
2022-02-28,6.5,2.42,3.61
2022-03-02,6.76,2.52,3.47
2022-03-03,6.84,2.55,3.43
2022-03-04,6.62,2.47,3.55
2022-03-07,6.76,2.52,3.47
2022-03-08,6.66,2.48,3.52
2022-03-09,6.64,2.48,3.9
2022-03-10,6.79,2.53,3.81
2022-03-11,6.82,2.54,3.79
2022-03-14,6.79,2.53,3.81
2022-03-15,6.51,2.43,3.74
2022-03-16,6.68,2.49,3.66
2022-03-17,6.81,2.54,3.59
2022-03-21,6.91,2.58,3.53
2022-03-22,6.97,2.6,3.28
2022-03-23,7.05,2.63,3.24
2022-03-24,7.16,2.67,3.2
2022-03-25,7.16,2.67,3.19
2022-03-28,7.23,2.7,3.24
2022-03-29,7.24,2.7,3.23
2022-03-30,7.08,2.64,3.3
2022-03-31,7.03,2.53,2.63
2022-04-01,7.09,2.55,2.61
2022-04-04,7.23,2.6,2.56
2022-04-05,7.27,2.61,2.54
2022-04-06,7.37,2.65,2.51
2022-04-07,7.25,2.61,2.55
2022-04-08,7.4,2.66,2.5
2022-04-11,7.42,2.67,2.49
2022-04-12,7.22,2.59,2.56
2022-04-13,7.26,2.61,2.55
2022-04-18,7.28,2.62,2.54
2022-04-19,7.2,2.59,2.57
2022-04-20,7.18,2.58,2.58
2022-04-21,7.19,2.59,2.57
2022-04-22,7.05,2.54,2.62
2022-04-25,6.85,2.46,2.7
2022-04-26,6.93,2.49,2.66
2022-04-27,6.92,2.49,2.67
2022-04-28,6.96,2.5,2.65
2022-04-29,6.92,2.49,2.67
2022-05-02,6.96,2.5,2.65
2022-05-04,6.75,2.42,2.74
2022-05-05,6.79,2.44,2.72
2022-05-06,6.6,2.37,3.62
2022-05-09,6.46,2.32,3.69
2022-05-10,5.96,2.2,3.9
2022-05-11,5.96,2.2,3.9
2022-05-12,5.74,2.12,4.05
2022-05-13,5.62,2.07,4.13
2022-05-16,5.67,2.09,4.1
2022-05-17,6.05,2.24,3.83
2022-05-18,6.03,2.23,3.85
2022-05-19,5.79,2.14,4.01
2022-05-20,6.03,2.23,3.85
2022-05-23,5.54,2.05,4.19
2022-05-24,5.48,2.02,4.24
2022-05-25,5.37,1.98,4.32
2022-05-26,5.54,2.04,4.21
2022-05-27,5.53,2.04,4.21
2022-05-30,5.62,2.06,4.17
2022-05-31,5.63,2.08,4.12
2022-06-01,5.63,2.08,4.12
2022-06-02,5.69,2.1,4.07
