Date,P/E,P/B,Div Yield
2022-01-03,62.36,3.95,0.19
2022-01-04,62.02,3.93,0.19
2022-01-05,62.77,3.98,0.19
2022-01-06,61.85,3.92,0.19
2022-01-07,61.87,3.92,0.19
2022-01-10,63.06,3.99,0.18
2022-01-11,63.41,4.02,0.18
2022-01-12,64.62,4.09,0.18
2022-01-13,64.16,4.06,0.18
2022-01-14,64.9,4.11,0.18
2022-01-17,65.72,4.16,0.18
2022-01-18,64.01,4.05,0.18
2022-01-19,63.92,4.05,0.18
2022-01-20,64.06,4.06,0.18
2022-01-21,62.55,3.96,0.19
2022-01-24,58.86,3.73,0.2
2022-01-25,59.93,3.8,0.19
2022-01-27,58.85,3.73,0.2
2022-01-28,64.15,3.76,0.2
2022-01-31,66.16,3.87,0.19
2022-02-01,64.81,3.94,0.19
2022-02-02,66.46,4.0,0.18
2022-02-03,65.31,3.93,0.19
2022-02-04,63.51,3.82,0.19
2022-02-07,60.89,3.78,0.2
2022-02-08,60.38,3.74,0.2
2022-02-09,59.77,3.77,0.2
2022-02-10,60.3,3.8,0.19
2022-02-11,58.96,3.73,0.2
2022-02-14,55.96,3.53,0.21
2022-02-15,57.52,3.64,0.2
2022-02-16,58.17,3.68,0.2
2022-02-17,58.03,3.67,0.2
2022-02-18,57.3,3.62,0.2
2022-02-21,56.52,3.57,0.21
2022-02-22,54.88,3.47,0.21
2022-02-23,56.61,3.58,0.21
2022-02-24,52.55,3.32,0.22
2022-02-25,55.35,3.5,0.21
2022-02-28,55.69,3.52,0.21
2022-03-02,55.03,3.48,0.21
2022-03-03,54.75,3.46,0.21
2022-03-04,53.14,3.36,0.22
2022-03-07,50.24,3.18,0.23
2022-03-08,51.87,3.28,0.23
2022-03-09,53.45,3.38,0.22
2022-03-10,54.65,3.45,0.21
2022-03-11,54.9,3.47,0.21
2022-03-14,53.98,3.41,0.22
2022-03-15,53.82,3.4,0.22
2022-03-16,55.78,3.53,0.21
2022-03-17,57.52,3.64,0.2
2022-03-21,57.12,3.61,0.2
2022-03-22,56.55,3.57,0.21
2022-03-23,56.35,3.56,0.21
2022-03-24,56.63,3.58,0.21
2022-03-25,57.32,3.62,0.2
2022-03-28,57.56,3.64,0.2
2022-03-29,58.12,3.67,0.2
2022-03-30,59.01,3.73,0.2
2022-03-31,59.48,3.71,0.2
2022-04-01,60.9,3.8,0.19
2022-04-04,61.1,3.81,0.19
2022-04-05,60.94,3.8,0.19
2022-04-06,60.79,3.79,0.19
2022-04-07,60.81,3.79,0.19
2022-04-08,60.89,3.8,0.19
2022-04-11,61.57,3.84,0.19
2022-04-12,59.88,3.73,0.2
2022-04-13,59.55,3.71,0.2
2022-04-18,58.8,3.67,0.2
2022-04-19,57.35,3.58,0.2
2022-04-20,57.67,3.59,0.2
2022-04-21,58.31,3.63,0.2
2022-04-22,57.5,3.58,0.2
2022-04-25,55.34,3.45,0.21
2022-04-26,57.32,3.57,0.2
2022-04-27,57.14,3.56,0.2
2022-04-28,56.22,3.59,0.2
2022-04-29,55.55,3.55,0.21
2022-05-02,55.67,3.56,0.2
2022-05-04,54.28,3.44,0.21
2022-05-05,53.4,3.39,0.21
2022-05-06,51.5,3.27,0.22
2022-05-09,45.65,3.23,0.22
2022-05-10,44.3,3.13,0.23
2022-05-11,44.63,3.15,0.23
2022-05-12,43.67,3.09,0.23
2022-05-13,43.55,3.08,0.23
2022-05-16,45.11,3.16,0.23
