Date,P/E,P/B,Div Yield
2022-01-03,30.13,7.05,1.46
2022-01-04,30.27,7.09,1.46
2022-01-05,30.12,7.05,1.46
2022-01-06,29.89,7.0,1.48
2022-01-07,30.08,7.04,1.47
2022-01-10,30.26,7.08,1.46
2022-01-11,30.35,7.11,1.45
2022-01-12,30.47,7.13,1.45
2022-01-13,30.58,7.16,1.44
2022-01-14,30.51,7.19,1.42
2022-01-17,30.6,7.21,1.42
2022-01-18,30.19,7.1,1.44
2022-01-19,29.85,7.03,1.47
2022-01-20,29.56,6.96,1.52
2022-01-21,29.13,6.86,1.53
2022-01-24,28.22,6.64,1.58
2022-01-25,28.3,6.67,1.57
2022-01-27,27.75,6.54,1.59
2022-01-28,27.92,6.58,1.58
2022-01-31,28.4,6.7,1.55
2022-02-01,28.66,6.79,1.53
2022-02-02,28.82,6.86,1.52
2022-02-03,28.48,6.78,1.54
2022-02-04,28.47,6.77,1.54
2022-02-07,27.99,6.7,1.56
2022-02-08,27.83,6.67,1.57
2022-02-09,27.94,6.73,1.56
2022-02-10,28.08,6.77,1.56
2022-02-11,27.76,6.64,1.59
2022-02-14,27.19,6.48,1.63
2022-02-15,27.45,6.64,1.57
2022-02-16,27.34,6.64,1.57
2022-02-17,27.29,6.63,1.54
2022-02-18,27.12,6.59,1.55
2022-02-21,26.91,6.53,1.63
2022-02-22,26.71,6.47,1.65
2022-02-23,26.78,6.49,1.64
2022-02-24,25.56,6.2,1.72
2022-02-25,26.26,6.37,1.68
2022-02-28,26.51,6.44,1.65
2022-03-02,26.33,6.4,1.67
2022-03-03,26.26,6.38,1.67
2022-03-04,25.95,6.31,1.69
2022-03-07,25.69,6.24,1.7
2022-03-08,26.05,6.33,1.68
2022-03-09,26.47,6.43,1.65
2022-03-10,26.76,6.5,1.63
2022-03-11,26.84,6.52,1.62
2022-03-14,27.07,6.58,1.61
2022-03-15,26.76,6.5,1.6
2022-03-16,27.26,6.63,1.57
2022-03-17,27.44,6.67,1.56
2022-03-21,27.23,6.62,1.6
2022-03-22,27.36,6.65,1.55
2022-03-23,27.34,6.64,1.55
2022-03-24,27.5,6.68,1.54
2022-03-25,27.36,6.65,1.54
2022-03-28,27.33,6.64,1.54
2022-03-29,27.48,6.68,1.53
2022-03-30,27.68,6.73,1.52
2022-03-31,27.67,6.75,1.52
2022-04-01,27.86,6.79,1.51
2022-04-04,28.06,6.84,1.51
2022-04-05,28.26,6.89,1.5
2022-04-06,28.14,6.86,1.51
2022-04-07,27.98,6.82,1.51
2022-04-08,28.22,6.87,1.48
2022-04-11,28.15,6.86,1.49
2022-04-12,27.77,6.77,1.52
2022-04-13,27.74,6.77,1.52
2022-04-18,27.17,6.64,1.55
2022-04-19,26.55,6.51,1.57
2022-04-20,26.91,6.6,1.55
2022-04-21,27.25,6.68,1.54
2022-04-22,26.99,6.62,1.55
2022-04-25,26.35,6.5,1.58
2022-04-26,26.66,6.58,1.56
2022-04-27,26.46,6.52,1.57
2022-04-28,26.78,6.6,1.6
2022-04-29,26.54,6.55,1.57
2022-05-02,26.4,6.51,1.57
