Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,AARTIDRUGS,EQ,445.3,440.0,445.0,437.35,443.0,441.8,441.6,141782,6261074015000.0,6360,77017,0.5432
2022-03-08,AARTIDRUGS,EQ,441.8,441.0,449.9,438.0,441.8,441.9,444.22,120229,5340863150000.0,5647,59480,0.4947
2022-03-09,AARTIDRUGS,EQ,441.9,448.0,458.0,444.1,457.5,454.75,449.49,102032,4586267590000.0,4110,54260,0.5318
2022-03-10,AARTIDRUGS,EQ,454.75,462.2,469.25,461.25,464.0,463.0,465.37,88083,4099140460000.0,6110,37052,0.42060000000000003
2022-03-11,AARTIDRUGS,EQ,463.0,465.0,471.4,460.2,466.9,466.2,467.03,87424,4082956229999.9995,3299,48229,0.5517000000000001
2022-03-14,AARTIDRUGS,EQ,466.2,466.2,466.2,451.0,453.0,452.1,455.97,120402,5489911935000.0,5931,64412,0.535
2022-03-15,AARTIDRUGS,EQ,452.1,453.0,458.7,441.5,445.9,443.65,449.54,144165,6480761625000.0,5670,72422,0.5024000000000001
2022-03-16,AARTIDRUGS,EQ,443.65,450.85,450.95,444.05,449.5,448.6,448.35,111003,4976796250000.0,4152,67159,0.605
2022-03-17,AARTIDRUGS,EQ,448.6,450.0,463.6,450.0,455.65,454.85,456.63,137244,6266944320000.0,6106,61236,0.4462
2022-03-21,AARTIDRUGS,EQ,454.85,454.85,460.0,450.0,450.0,452.2,454.75,164278,7470542965000.001,5920,86694,0.5277000000000001
2022-03-22,AARTIDRUGS,EQ,452.2,452.0,459.6,450.1,451.0,451.25,453.48,114477,5191285700000.0,4802,68555,0.5989
2022-03-23,AARTIDRUGS,EQ,451.25,452.0,453.35,443.5,444.0,444.85,448.58,122858,5511209900000.0,5057,68031,0.5537
2022-03-24,AARTIDRUGS,EQ,444.85,444.85,447.25,436.0,437.0,438.65,440.46,192727,8488879275000.0,7199,116572,0.6049
2022-03-25,AARTIDRUGS,EQ,438.65,441.0,443.75,437.0,437.05,437.9,439.61,136519,6001568840000.0,4954,79392,0.5815
