Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,ACC,EQ,2010.55,1972.0,1978.0,1900.0,1947.0,1950.15,1939.15,536549,104045049020000.0,32878,231500,0.4315
2022-03-08,ACC,EQ,1950.15,1940.0,1968.95,1902.0,1964.0,1962.1,1940.55,330394,64114488150000.0,22564,74444,0.22530000000000003
2022-03-09,ACC,EQ,1962.1,1976.0,2015.9,1956.65,2000.0,2000.85,1985.06,419651,83303173755000.0,23817,192230,0.4581
2022-03-10,ACC,EQ,2000.85,2050.0,2073.95,2001.0,2046.0,2047.6,2047.33,315957,64686942285000.0,20003,77898,0.2465
2022-03-11,ACC,EQ,2047.6,2044.5,2061.85,2016.0,2038.4,2041.9,2036.4,372130,75780399935000.0,21127,181938,0.4889
2022-03-14,ACC,EQ,2041.9,2054.0,2065.0,2025.0,2059.75,2058.05,2048.87,184932,37890126655000.0,11615,67472,0.36479999999999996
2022-03-15,ACC,EQ,2058.05,2070.0,2109.7,2043.7,2060.8,2060.35,2077.11,358798,74526445360000.0,23276,124563,0.3472
2022-03-16,ACC,EQ,2060.35,2088.35,2132.35,2066.5,2127.0,2129.15,2104.82,395803,83309382750000.0,18771,117819,0.2977
2022-03-17,ACC,EQ,2129.15,2166.0,2166.0,2118.0,2123.1,2122.65,2136.68,820627,175341599845000.0,33007,374278,0.4561
2022-03-21,ACC,EQ,2122.65,2101.0,2141.75,2046.65,2056.95,2055.75,2074.19,1043891,216522474390000.0,32039,387081,0.37079999999999996
2022-03-22,ACC,EQ,2055.75,2054.95,2074.7,2025.0,2062.45,2058.3,2048.8,452916,92793337515000.0,31723,156505,0.3455
2022-03-23,ACC,EQ,2058.3,2064.1,2086.0,2050.0,2063.5,2069.75,2066.1,232620,48061533245000.0,15847,62930,0.2705
2022-03-24,ACC,EQ,2069.75,2050.15,2092.95,2050.15,2080.0,2080.4,2079.32,294252,61184321620000.01,19226,89496,0.3041
2022-03-25,ACC,EQ,2080.4,2085.0,2090.9,2049.05,2068.0,2064.2,2067.96,278510,57594653879999.99,16312,124575,0.4473
2022-03-28,ACC,EQ,2064.2,2081.35,2081.35,2039.05,2061.95,2059.65,2055.51,231188,47520828745000.0,20954,46104,0.19940000000000002
2022-03-29,ACC,EQ,2059.65,2073.0,2135.3,2070.25,2129.0,2128.55,2115.87,725118,153425851295000.0,41912,211722,0.292
2022-03-30,ACC,EQ,2128.55,2140.0,2172.7,2136.0,2140.1,2150.9,2153.2,702919,151352212900000.0,34079,328897,0.4679
2022-03-31,ACC,EQ,2150.9,2154.8,2170.3,2143.25,2152.5,2151.35,2153.43,464111,99943069165000.0,26991,248382,0.5352
2022-04-01,ACC,EQ,2151.35,2148.0,2160.0,2128.35,2150.0,2151.0,2144.96,838234,179798246020000.0,28224,518206,0.6182
2022-04-04,ACC,EQ,2151.0,2110.0,2133.0,2102.05,2122.7,2119.45,2117.37,655757,138847921559999.98,26758,235508,0.3591
2022-04-05,ACC,EQ,2119.45,2134.8,2158.0,2112.0,2146.0,2149.65,2141.03,615501,131780417365000.02,20440,335736,0.5455
2022-04-06,ACC,EQ,2149.65,2149.65,2199.0,2124.6,2142.0,2145.5,2165.07,1082516,234372809644999.97,49556,345676,0.31930000000000003
2022-04-07,ACC,EQ,2145.5,2148.0,2180.0,2129.05,2140.0,2136.7,2155.18,420470,90618825955000.0,25825,143705,0.3418
2022-04-08,ACC,EQ,2136.7,2148.0,2181.0,2128.55,2172.0,2170.55,2151.68,861328,185330477645000.0,31695,511661,0.594
2022-04-11,ACC,EQ,2170.55,2175.0,2284.6,2163.65,2236.7,2232.9,2231.05,1935494,431817709385000.06,83006,763958,0.3947
