Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,ALOKINDS,EQ,25.6,25.6,25.8,24.65,24.95,24.75,24.93,10393753,25914452975000.0,10448,4265035,0.4103
2022-03-29,ALOKINDS,EQ,24.75,24.95,25.35,24.65,25.1,25.05,25.02,14188816,35501012905000.0,11660,5668737,0.3995
2022-03-30,ALOKINDS,EQ,25.05,25.35,26.25,25.25,25.75,25.8,25.79,19351434,49907234435000.0,15174,4519683,0.2336
2022-03-31,ALOKINDS,EQ,25.8,26.0,26.15,25.2,25.3,25.35,25.66,9752410,25022128525000.0,8608,3974484,0.40750000000000003
2022-04-01,ALOKINDS,EQ,25.35,25.5,26.6,25.4,26.45,26.3,26.18,16623433,43516539320000.0,12690,4398963,0.2646
2022-04-04,ALOKINDS,EQ,26.3,26.55,27.15,26.4,26.75,26.8,26.74,17583639,47014701395000.0,15007,5094135,0.2897
2022-04-05,ALOKINDS,EQ,26.8,27.05,28.8,26.8,28.75,28.45,27.85,40348817,112353849225000.0,29405,10659468,0.26420000000000005
2022-04-06,ALOKINDS,EQ,28.45,28.55,29.25,28.3,28.5,28.45,28.74,24418102,70177452345000.01,22553,8003086,0.32780000000000004
2022-04-07,ALOKINDS,EQ,28.45,28.6,28.75,27.15,27.45,27.35,27.79,16591966,46113074105000.0,16681,5808630,0.35009999999999997
2022-04-08,ALOKINDS,EQ,27.35,27.65,29.25,27.45,29.1,28.85,28.58,29835362,85258995680000.0,26335,10310660,0.3456
2022-04-11,ALOKINDS,EQ,28.85,29.1,29.8,28.9,29.35,29.25,29.35,27109528,79561719375000.0,23975,7984892,0.2945
2022-04-12,ALOKINDS,EQ,29.25,29.2,29.4,28.15,28.65,28.6,28.68,18409113,52790177820000.0,16392,6257073,0.33990000000000004
2022-04-13,ALOKINDS,EQ,28.6,28.85,29.1,27.55,27.7,27.65,28.18,17092641,48162157260000.0,14961,6559913,0.38380000000000003
2022-04-18,ALOKINDS,EQ,27.65,24.6,25.85,24.1,25.1,25.05,25.21,30113992,75926720250000.0,33069,11907924,0.3954
2022-04-19,ALOKINDS,EQ,25.05,25.4,25.85,24.2,24.35,24.65,25.28,17624345,44550879930000.0,19578,6181732,0.3507
2022-04-20,ALOKINDS,EQ,24.65,25.0,25.05,24.5,24.6,24.55,24.71,9213344,22768844160000.0,12668,3553308,0.3857
2022-04-21,ALOKINDS,EQ,24.55,24.75,25.2,24.6,25.1,25.05,24.86,9642578,23972600145000.0,11414,3729261,0.38670000000000004
2022-04-22,ALOKINDS,EQ,25.05,24.85,25.05,24.5,24.7,24.65,24.74,12502637,30929186995000.0,13484,4166068,0.3332
2022-04-25,ALOKINDS,EQ,24.65,24.35,24.45,23.65,23.95,23.95,23.97,12396433,29708099760000.004,15930,5439960,0.4388
2022-04-26,ALOKINDS,EQ,23.95,24.25,24.4,23.65,23.9,23.85,24.01,8280175,19881973970000.0,11317,3749963,0.4529
2022-04-27,ALOKINDS,EQ,23.85,23.65,28.6,23.4,28.6,27.75,26.43,82065536,216895042919999.97,62047,21074314,0.25680000000000003
2022-04-28,ALOKINDS,EQ,27.75,28.85,29.25,25.7,26.0,25.9,27.51,70241784,193231074235000.0,56208,17636131,0.2511
2022-04-29,ALOKINDS,EQ,25.9,26.1,27.15,25.5,25.75,25.75,26.36,38136456,100545592545000.0,31361,6618411,0.17350000000000002
2022-05-02,ALOKINDS,EQ,25.75,25.6,25.85,24.6,24.9,24.85,25.16,14657337,36880687565000.0,16770,4837776,0.3301
2022-05-04,ALOKINDS,EQ,24.85,25.1,25.25,23.45,24.05,23.9,24.32,16505554,40135188285000.0,17925,5761647,0.34909999999999997
2022-05-05,ALOKINDS,EQ,23.9,24.4,25.0,23.9,24.35,24.35,24.39,13515947,32969858039999.996,14237,3046766,0.2254
2022-05-06,ALOKINDS,EQ,24.35,23.7,24.3,23.5,24.05,23.9,23.94,12458854,29823273485000.004,16067,4213604,0.3382
2022-05-09,ALOKINDS,EQ,23.9,23.8,24.3,23.25,23.75,23.9,23.75,12048039,28610903110000.004,11790,4300983,0.35700000000000004
2022-05-10,ALOKINDS,EQ,23.9,23.75,24.3,22.5,22.8,22.75,23.3,13886871,32351173120000.0,15975,5687648,0.4096
2022-05-11,ALOKINDS,EQ,22.75,23.05,23.4,22.15,22.65,22.75,22.73,14550448,33074609800000.0,15451,4522190,0.31079999999999997
2022-05-12,ALOKINDS,EQ,22.75,22.35,22.4,21.5,21.7,21.65,21.9,16645649,36460569180000.0,16780,6038248,0.3628
2022-05-13,ALOKINDS,EQ,21.65,22.25,23.0,21.85,22.35,22.25,22.31,11639155,25969289005000.0,12911,3098240,0.2662
2022-05-16,ALOKINDS,EQ,22.25,22.55,23.0,22.35,22.95,22.85,22.71,8487975,19280213985000.0,8870,1996132,0.2352
2022-05-17,ALOKINDS,EQ,22.85,23.0,23.75,22.75,23.6,23.55,23.25,11842536,27534098695000.0,11862,3121367,0.2636
2022-05-18,ALOKINDS,EQ,23.55,23.7,23.85,22.9,23.15,23.1,23.28,8653757,20146836730000.0,9577,2834677,0.3276
2022-05-19,ALOKINDS,EQ,23.1,22.5,22.75,22.3,22.55,22.5,22.52,5676788,12784800205000.0,7947,2260207,0.3981
2022-05-20,ALOKINDS,EQ,22.5,22.75,23.35,22.75,23.05,23.0,23.03,8862962,20411511510000.0,7792,2882378,0.32520000000000004
2022-05-23,ALOKINDS,EQ,23.0,23.0,23.3,22.5,22.65,22.7,22.86,7743100,17701089065000.0,8512,2321075,0.2998
2022-05-24,ALOKINDS,EQ,22.7,22.7,22.9,22.1,22.35,22.25,22.45,7501548,16841700330000.002,8198,3237637,0.4316
2023-03-01,ALOKINDS,EQ,12.5,13.0,14.45,11.6,14.15,14.15,13.89,13416571,18630998970000.0,21335,7323489,0.5459
2023-03-02,ALOKINDS,EQ,14.15,14.45,14.45,13.6,13.9,13.9,14.03,4909270,6887321455000.0,9729,2790924,0.5685
2023-03-03,ALOKINDS,EQ,13.9,14.05,14.4,13.7,13.75,13.75,13.95,5109273,7129195730000.0,6335,3326162,0.6509999999999999
2023-03-06,ALOKINDS,EQ,13.75,13.9,14.0,13.35,13.35,13.4,13.7,3024369,4144538595000.0005,5953,2047560,0.677
2023-03-08,ALOKINDS,EQ,13.4,13.3,13.8,13.0,13.55,13.5,13.43,2574579,3457164420000.0005,4742,1207726,0.46909999999999996
2023-03-09,ALOKINDS,EQ,13.5,13.55,13.65,13.1,13.25,13.2,13.38,2730705,3653717345000.0005,4301,1535626,0.5624
2023-03-10,ALOKINDS,EQ,13.2,13.05,13.5,13.0,13.1,13.05,13.18,4181197,5511163195000.0,4982,2646090,0.6329
2023-03-13,ALOKINDS,EQ,13.05,13.15,13.15,12.3,12.55,12.45,12.67,2889152,3660145625000.0,6464,1836255,0.6356
2023-03-14,ALOKINDS,EQ,12.45,12.6,12.65,11.75,12.15,12.1,12.18,3824542,4658624095000.0,6382,2108360,0.5513
2023-03-15,ALOKINDS,EQ,12.1,12.2,13.7,12.2,12.85,12.75,13.2,26273638,34670509710000.004,19593,4720118,0.1797
2023-03-16,ALOKINDS,EQ,12.75,13.05,13.5,12.8,12.9,12.95,13.09,12565756,16447984655000.002,11881,2741278,0.2182
2023-03-17,ALOKINDS,EQ,12.95,13.35,13.35,12.8,13.0,12.95,12.99,4055938,5268191265000.0,6039,1875857,0.4625
2023-03-20,ALOKINDS,EQ,12.95,12.95,13.0,12.25,12.55,12.4,12.55,4020697,5046666340000.0,5952,2272661,0.5652
2023-03-21,ALOKINDS,EQ,12.4,12.55,12.85,12.2,12.45,12.5,12.49,3925653,4904102775000.0,4680,1886192,0.4805
2023-03-22,ALOKINDS,EQ,12.5,12.55,13.0,12.5,12.9,12.85,12.77,4476820,5718983480000.0,5239,1998720,0.4465
2023-03-23,ALOKINDS,EQ,12.85,12.8,13.1,12.45,12.65,12.55,12.82,3782993,4848421955000.0,4925,2303950,0.609
2023-03-24,ALOKINDS,EQ,12.55,12.6,12.75,12.3,12.3,12.3,12.46,2887531,3597218915000.0,3577,1725770,0.5977
