Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,AMBUJACEM,EQ,292.6,287.95,289.0,278.0,280.6,281.2,282.51,6936569,195962020290000.0,91238,3218900,0.46399999999999997
2022-03-08,AMBUJACEM,EQ,281.2,281.05,284.55,274.0,282.8,282.9,279.72,6513565,182194606385000.0,81596,3166123,0.48610000000000003
2022-03-09,AMBUJACEM,EQ,282.9,285.8,292.65,281.0,292.0,291.65,286.75,7788795,223344186990000.0,61891,3489580,0.44799999999999995
2022-03-10,AMBUJACEM,EQ,291.65,300.0,302.0,291.0,293.0,293.2,296.11,5031572,148992382725000.0,58994,1798289,0.35740000000000005
2022-03-11,AMBUJACEM,EQ,293.2,293.0,296.0,290.3,292.95,293.45,292.42,4357253,127414355909999.98,71240,1961694,0.45020000000000004
2022-03-14,AMBUJACEM,EQ,293.45,294.65,297.5,289.05,291.6,291.2,291.61,2658414,77523069885000.0,30749,1291071,0.4857
2022-03-15,AMBUJACEM,EQ,291.2,293.6,301.85,292.85,295.0,295.1,297.23,6826748,202909164260000.0,78408,3197947,0.46840000000000004
2022-03-16,AMBUJACEM,EQ,295.1,300.0,311.45,297.0,309.7,309.35,304.37,6876362,209296100950000.0,87700,3428614,0.4986
2022-03-17,AMBUJACEM,EQ,309.35,314.2,314.9,305.45,307.2,306.2,309.79,9901093,306727757745000.0,67481,6357123,0.6421
2022-03-21,AMBUJACEM,EQ,306.2,306.0,309.2,300.0,300.45,300.35,302.31,4583683,138569859809999.98,60127,2379794,0.5192
2022-03-22,AMBUJACEM,EQ,300.35,300.45,302.9,296.05,301.0,300.9,300.04,3537814,106149547350000.0,43400,1445389,0.4086
2022-03-23,AMBUJACEM,EQ,300.9,303.0,303.35,295.55,297.5,297.85,298.83,4697043,140360221480000.0,54232,2751056,0.5857
2022-03-24,AMBUJACEM,EQ,297.85,296.95,299.65,295.0,296.9,297.05,297.53,4048136,120443559075000.0,36785,2434954,0.6015
2022-03-25,AMBUJACEM,EQ,297.05,299.9,299.9,294.55,298.5,297.8,297.05,3115402,92544126885000.0,30166,1676864,0.5382
