Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,ASHOKLEY,EQ,105.85,103.9,103.9,96.8,99.05,99.15,99.4,40212680,399707004000000.0,220617,15952257,0.39670000000000005
2022-03-08,ASHOKLEY,EQ,99.15,99.15,100.3,93.2,99.1,99.3,96.92,41664229,403814820380000.0,214681,11870260,0.2849
2022-03-09,ASHOKLEY,EQ,99.3,101.0,107.75,99.85,106.6,106.75,104.41,32285510,337089881060000.0,124373,6366970,0.1972
2022-03-10,ASHOKLEY,EQ,106.75,112.0,114.75,105.6,106.5,106.55,109.31,46463979,507915687220000.0,174017,12623153,0.2717
2022-03-11,ASHOKLEY,EQ,106.55,106.0,107.0,103.75,106.15,105.9,105.49,22592586,238330231940000.0,87383,3339162,0.1478
2022-03-14,ASHOKLEY,EQ,105.9,106.2,107.85,103.5,107.35,107.3,105.64,22229841,234834379680000.03,88435,4531228,0.20379999999999998
2022-03-15,ASHOKLEY,EQ,107.3,107.9,110.95,107.65,109.65,109.95,109.55,28842972,315980498115000.0,108281,5784867,0.2006
2022-03-16,ASHOKLEY,EQ,109.95,111.95,116.3,111.15,115.3,115.5,114.12,30375131,346636987525000.0,107418,6557495,0.2159
2022-03-17,ASHOKLEY,EQ,115.5,117.0,117.2,113.45,114.4,114.45,115.22,29630619,341418427170000.0,96607,8774620,0.2961
2022-03-21,ASHOKLEY,EQ,114.45,115.25,115.3,110.0,110.2,110.8,112.48,16323107,183594270140000.0,79906,5293015,0.3243
2022-03-22,ASHOKLEY,EQ,110.8,110.1,113.5,107.45,112.15,112.2,110.03,22959620,252630242875000.0,94297,4174561,0.1818
2022-03-23,ASHOKLEY,EQ,112.2,112.95,113.25,111.45,112.1,112.15,112.3,13156064,147739519400000.0,47513,3006603,0.2285
2022-03-24,ASHOKLEY,EQ,112.15,110.5,113.35,110.25,112.0,112.05,112.2,12024890,134919660409999.98,47500,4145571,0.3447
2022-03-25,ASHOKLEY,EQ,112.05,112.9,114.35,111.6,113.65,113.55,112.81,8968551,101176267535000.0,38768,2202179,0.24550000000000002
2022-03-28,ASHOKLEY,EQ,113.55,113.85,114.45,111.65,113.95,114.05,113.24,10863070,123011061000000.0,52853,2303524,0.2121
2022-03-29,ASHOKLEY,EQ,114.05,115.0,115.85,113.6,114.2,114.1,114.75,9122856,104681505345000.0,46961,2360386,0.25870000000000004
2022-03-30,ASHOKLEY,EQ,114.1,115.7,116.6,114.8,115.0,115.0,115.65,11237999,129967198630000.0,53353,3803398,0.33840000000000003
2022-03-31,ASHOKLEY,EQ,115.0,115.65,118.0,114.65,117.4,117.25,116.68,15616114,182213715335000.0,73291,5171223,0.3311
2022-04-01,ASHOKLEY,EQ,117.25,117.4,119.7,116.3,119.35,119.15,118.46,12697606,150409502695000.0,65633,3143948,0.24760000000000001
2022-04-04,ASHOKLEY,EQ,119.15,120.85,121.8,119.2,121.0,121.0,120.67,11971937,144461196555000.0,67957,3948211,0.3298
2022-04-05,ASHOKLEY,EQ,121.0,122.5,124.9,121.4,123.45,123.3,123.07,12171837,149798572095000.0,70445,2957632,0.24300000000000002
2022-04-06,ASHOKLEY,EQ,123.3,123.45,124.95,122.3,124.45,124.7,123.79,10670524,132094773555000.0,46622,3319500,0.3111
2022-04-07,ASHOKLEY,EQ,124.7,124.55,127.8,124.0,126.05,126.0,126.39,13285350,167913773930000.0,75716,4091939,0.308
2022-04-08,ASHOKLEY,EQ,126.0,126.75,129.9,126.0,129.0,129.15,128.39,15468778,198608097340000.0,68517,6686922,0.43229999999999996
2022-04-11,ASHOKLEY,EQ,129.15,129.85,131.65,129.3,130.5,130.55,130.68,11911632,155667126380000.0,61984,5564770,0.4672
2022-04-12,ASHOKLEY,EQ,130.55,130.9,130.9,127.0,129.25,129.4,128.85,12835767,165391344490000.0,58239,4749352,0.37
2022-04-13,ASHOKLEY,EQ,129.4,130.0,130.95,127.35,127.7,127.65,129.01,5642996,72798286030000.0,29852,1646754,0.2918
2022-04-18,ASHOKLEY,EQ,127.65,127.3,128.45,125.25,127.3,127.6,126.98,7283929,92493347810000.0,43460,1678235,0.2304
