Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,AXISBANK,EQ,715.0,693.0,705.0,655.6,669.0,667.55,671.06,20147061,1351992494925000.0,358469,11232195,0.5575
2022-03-08,AXISBANK,EQ,667.55,665.0,673.75,637.0,671.0,670.4,655.68,24828458,1627953075325000.0,334903,11222658,0.452
2022-03-09,AXISBANK,EQ,670.4,671.5,680.5,659.1,677.0,674.2,669.8,20438651,1368981893405000.0,291044,10764333,0.5267000000000001
2022-03-10,AXISBANK,EQ,674.2,707.9,720.4,688.25,694.95,694.95,704.02,23224756,1635072499205000.0,303588,9974817,0.42950000000000005
2022-03-11,AXISBANK,EQ,694.95,691.9,706.65,687.45,691.25,690.85,696.85,14224356,991230121475000.0,228382,6339949,0.4457
2022-03-14,AXISBANK,EQ,690.85,694.7,712.4,685.0,711.45,710.05,701.81,10720884,752403035140000.0,188062,4107029,0.38310000000000005
2022-03-15,AXISBANK,EQ,710.05,713.0,718.0,695.0,695.4,698.15,706.29,12157425,858669502800000.0,241874,5411560,0.4451
2022-03-16,AXISBANK,EQ,698.15,711.0,726.0,709.1,722.95,723.85,721.66,10038170,724410969760000.0,161737,3487241,0.34740000000000004
2022-03-17,AXISBANK,EQ,723.85,737.0,746.75,736.45,737.5,739.25,741.29,13657428,1012417174875000.0,184582,7184658,0.5261
2022-03-21,AXISBANK,EQ,739.25,745.0,749.4,723.7,726.1,725.9,730.84,7495685,547816924045000.0,154450,3643454,0.48610000000000003
2022-03-22,AXISBANK,EQ,725.9,729.0,736.0,706.35,735.0,731.4,718.46,11117081,798712797530000.0,200498,4668675,0.42
2022-03-23,AXISBANK,EQ,731.4,736.1,742.9,724.65,725.15,726.75,731.77,5886245,430735780350000.0,114951,1808671,0.3073
2022-03-24,AXISBANK,EQ,726.75,719.1,730.45,719.0,721.85,722.25,723.63,7559843,547050804295000.0,129708,2869827,0.3796
2022-03-25,AXISBANK,EQ,722.25,723.3,726.65,715.5,724.55,721.25,719.96,5430894,391004636840000.0,89741,1985509,0.36560000000000004
2022-03-28,AXISBANK,EQ,721.25,726.0,737.9,715.05,736.5,736.0,727.14,7077669,514648885335000.06,131098,2709141,0.38280000000000003
2022-03-29,AXISBANK,EQ,736.0,741.65,741.65,731.0,738.8,737.8,736.28,6174137,454588812860000.06,113825,2344030,0.3797
2022-03-30,AXISBANK,EQ,737.8,747.0,765.85,741.3,754.5,750.45,753.77,16618114,1252619790465000.0,199667,7430795,0.4472
2022-03-31,AXISBANK,EQ,750.45,763.0,763.0,751.3,761.95,761.15,758.27,20449544,1550637270110000.0,267065,9483200,0.4637
2022-04-01,AXISBANK,EQ,761.15,760.0,775.75,755.15,773.5,774.55,766.97,9321859,714957996625000.0,156664,3897920,0.4181
2022-04-04,AXISBANK,EQ,774.55,780.0,785.5,767.0,784.0,784.1,776.87,10959783,851429053925000.0,200952,4270219,0.3896
2022-04-05,AXISBANK,EQ,784.1,776.0,796.0,776.0,781.0,783.1,785.79,7334134,576306759705000.0,141914,2936418,0.4004
2022-04-06,AXISBANK,EQ,783.1,777.0,779.95,769.2,773.75,773.7,774.39,9954921,770894525315000.0,166138,5476289,0.5501
2022-04-07,AXISBANK,EQ,773.7,769.5,795.0,769.2,791.85,792.1,787.27,9820244,773117892040000.0,176485,3907947,0.3979
2022-04-08,AXISBANK,EQ,792.1,794.9,800.7,789.0,796.1,794.9,794.74,8104237,644076826240000.0,159774,2702459,0.3335
