Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BAJAJHLDNG,EQ,4931.65,4870.0,5009.45,4752.05,4830.0,4846.8,4911.93,43534,21383581195000.0,12777,17520,0.40240000000000004
2022-03-08,BAJAJHLDNG,EQ,4846.8,4801.0,4989.0,4780.0,4960.0,4932.0,4875.41,110628,53935693629999.99,6478,98207,0.8876999999999999
2022-03-09,BAJAJHLDNG,EQ,4932.0,4958.0,5100.0,4892.55,5100.0,4991.75,4933.59,103423,51024649485000.0,5935,91186,0.8817
2022-03-10,BAJAJHLDNG,EQ,4991.75,5250.0,5250.0,4981.85,5000.0,5003.2,5037.81,27643,13926021769999.998,5882,10016,0.36229999999999996
2022-03-11,BAJAJHLDNG,EQ,5003.2,4922.0,5050.8,4879.1,4918.0,4916.55,4986.54,88030,43896525750000.0,9233,67689,0.7689
2022-03-14,BAJAJHLDNG,EQ,4916.55,4920.0,5015.85,4920.0,4970.0,4999.3,4986.54,64027,31927325955000.0,3565,53772,0.8398000000000001
2022-03-15,BAJAJHLDNG,EQ,4999.3,4993.95,5006.0,4875.0,4985.0,4958.15,4953.11,19392,9605071325000.0,4368,12219,0.6301
2022-03-16,BAJAJHLDNG,EQ,4958.15,5050.0,5090.95,5000.5,5040.85,5068.65,5053.89,19443,9826274190000.0,3270,11559,0.5945
2022-03-17,BAJAJHLDNG,EQ,5068.65,5062.0,5100.0,4987.1,5014.7,5008.7,5025.64,56609,28449617464999.996,10041,35599,0.6289
2022-03-21,BAJAJHLDNG,EQ,5008.7,5034.0,5041.55,4993.95,5006.0,5008.4,5009.99,15955,7993441395000.0,3225,8041,0.504
2022-03-22,BAJAJHLDNG,EQ,5008.4,5033.7,5036.65,4986.05,5004.0,5012.6,5003.21,37330,18676995580000.0,3137,31746,0.8504
2022-03-23,BAJAJHLDNG,EQ,5012.6,5037.0,5100.0,4980.85,5034.15,5046.2,5009.7,19796,9917200035000.0,3376,12192,0.6159
2022-03-24,BAJAJHLDNG,EQ,5046.2,5041.0,5084.15,5013.25,5075.0,5057.65,5031.41,321942,161982190420000.0,3987,307752,0.9559000000000001
2022-03-25,BAJAJHLDNG,EQ,5057.65,5086.0,5136.8,4976.15,5000.0,4999.15,5009.25,118798,59508868770000.01,4224,105757,0.8902
2022-03-28,BAJAJHLDNG,EQ,4999.15,5038.0,5059.65,4980.0,5055.0,5023.9,5026.06,15346,7712992005000.0,3368,8067,0.5257000000000001
2022-03-29,BAJAJHLDNG,EQ,5023.9,5035.0,5120.0,5010.0,5040.0,5047.6,5047.08,39505,19938490010000.0,7394,27781,0.7031999999999999
2022-03-30,BAJAJHLDNG,EQ,5047.6,5100.0,5162.15,4887.9,4975.0,4979.05,5026.67,82933,41687649160000.0,11193,54372,0.6556000000000001
2022-03-31,BAJAJHLDNG,EQ,4979.05,5035.0,5244.95,4982.1,5110.0,5011.05,5063.13,218364,110560437995000.0,22545,116297,0.5326
2022-04-01,BAJAJHLDNG,EQ,5011.05,5030.0,5480.0,5030.0,5375.0,5398.85,5351.18,329467,176303631620000.0,52397,61239,0.1859
2022-04-04,BAJAJHLDNG,EQ,5398.85,5425.0,6178.55,5350.0,6080.0,5828.45,5640.37,331277,186852504435000.0,43885,141307,0.4266
2022-04-05,BAJAJHLDNG,EQ,5828.45,6010.45,6598.0,5951.0,6150.0,6143.4,6182.69,793218,490422463480000.0,131053,155968,0.1966
2022-04-06,BAJAJHLDNG,EQ,6143.4,6199.7,6299.0,6020.05,6200.0,6219.55,6149.23,346252,212918427670000.0,78774,83336,0.2407
2022-04-07,BAJAJHLDNG,EQ,6219.55,6200.0,6342.8,6142.0,6168.65,6242.95,6246.89,165158,103172445395000.0,31163,51429,0.3114
2022-04-08,BAJAJHLDNG,EQ,6242.95,6180.0,6310.0,6165.0,6180.2,6215.05,6250.66,71401,44630365730000.0,13673,14215,0.1991
2022-04-11,BAJAJHLDNG,EQ,6215.05,6200.0,6275.0,6101.0,6148.0,6150.4,6200.31,58525,36287341140000.0,13115,14251,0.24350000000000002
2022-04-12,BAJAJHLDNG,EQ,6150.4,6155.0,6155.05,5621.3,5780.5,5698.8,5791.11,284685,164864147415000.0,50561,71873,0.2525
2022-04-13,BAJAJHLDNG,EQ,5698.8,5780.5,5894.0,5466.0,5510.0,5517.05,5668.41,175474,99465940145000.0,38197,40696,0.23190000000000002
2022-04-18,BAJAJHLDNG,EQ,5517.05,5490.4,5497.9,5175.0,5224.0,5204.4,5261.98,148805,78300901440000.0,36110,50942,0.3423
2022-04-19,BAJAJHLDNG,EQ,5204.4,5279.0,5377.0,5108.5,5125.0,5191.3,5249.09,208772,109586354800000.0,36684,48765,0.2336
2022-04-20,BAJAJHLDNG,EQ,5191.3,5225.0,5295.15,5123.15,5235.5,5257.1,5202.7,108941,56678740329999.99,20074,35949,0.33
2022-04-21,BAJAJHLDNG,EQ,5257.1,5265.0,5414.35,5216.85,5331.0,5343.8,5336.62,103502,55235092510000.0,21343,35068,0.33880000000000005
2022-04-22,BAJAJHLDNG,EQ,5343.8,5324.0,5380.0,5229.5,5296.4,5294.3,5313.67,38889,20664342130000.0,7437,12094,0.311
2022-04-25,BAJAJHLDNG,EQ,5294.3,5240.0,5434.1,5166.8,5330.0,5337.15,5311.3,111511,59226859229999.99,19581,32942,0.2954
2022-04-26,BAJAJHLDNG,EQ,5337.15,5384.95,5499.0,5357.45,5441.0,5471.7,5429.78,46172,25070381840000.0,10566,15329,0.332
2022-04-27,BAJAJHLDNG,EQ,5471.7,5381.0,5439.95,5312.05,5349.0,5368.15,5400.47,32665,17640649285000.0,8502,8686,0.2659
2022-04-28,BAJAJHLDNG,EQ,5368.15,5435.0,5570.0,5385.7,5520.0,5518.6,5483.9,71126,39004813210000.0,13202,24882,0.3498
2022-04-29,BAJAJHLDNG,EQ,5518.6,5542.0,5614.85,5118.0,5204.0,5169.45,5293.31,107854,57090494985000.0,19381,34526,0.3201
2022-05-02,BAJAJHLDNG,EQ,5169.45,5170.0,5370.0,5165.0,5331.0,5325.4,5317.05,135333,71957206345000.0,22338,22365,0.1653
2022-05-04,BAJAJHLDNG,EQ,5325.4,5350.0,5450.0,5196.45,5225.1,5263.9,5344.51,58554,31294229114999.996,15920,11363,0.1941
2022-05-05,BAJAJHLDNG,EQ,5263.9,5290.75,5360.0,5043.45,5099.0,5084.65,5100.35,162684,82974479490000.0,19505,105551,0.6487999999999999
2022-05-06,BAJAJHLDNG,EQ,5084.65,5029.0,5053.05,4901.0,5013.0,5020.25,4986.98,47197,23537072540000.0,9419,11951,0.2532
2022-05-09,BAJAJHLDNG,EQ,5020.25,4995.0,5099.9,4955.15,5000.0,5006.65,5021.18,40070,20119850730000.0,9010,9940,0.2481
2022-05-10,BAJAJHLDNG,EQ,5006.65,5019.0,5093.85,4995.0,4995.0,5003.35,5020.06,21680,10883497130000.0,6127,8190,0.3778
2022-05-11,BAJAJHLDNG,EQ,5003.35,5003.35,5259.0,4760.0,5121.85,5110.4,4947.57,74429,36824284575000.0,15557,19198,0.2579
2022-05-12,BAJAJHLDNG,EQ,5110.4,5003.0,5050.9,4797.05,4840.05,4858.3,4903.19,78105,38296384260000.0,13536,27195,0.3482
2022-05-13,BAJAJHLDNG,EQ,4858.3,4928.0,4980.45,4869.9,4935.0,4940.0,4926.01,32276,15899188885000.0,9640,10076,0.3122
2022-05-16,BAJAJHLDNG,EQ,4940.0,4950.0,5033.15,4880.0,4920.0,4907.4,4937.14,23795,11747917425000.0,5821,7365,0.3095
2022-05-17,BAJAJHLDNG,EQ,4907.4,4950.0,4998.0,4901.0,4930.0,4950.9,4937.32,22783,11248695665000.0,6461,6362,0.2792
2022-05-18,BAJAJHLDNG,EQ,4950.9,4950.9,5050.0,4865.3,4902.05,4902.1,4914.05,54962,27008623989999.996,5998,39045,0.7104
2022-05-19,BAJAJHLDNG,EQ,4902.1,4850.0,4872.05,4782.0,4795.1,4810.25,4817.52,31247,15053289440000.0,7163,15454,0.49460000000000004
2022-05-20,BAJAJHLDNG,EQ,4810.25,4894.0,4948.0,4848.0,4920.0,4922.8,4891.71,26994,13204670920000.0,8127,11139,0.41259999999999997
