Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,BALRAMCHIN,EQ,478.55,484.0,490.45,473.0,478.9,479.15,482.21,4083014,196886562170000.0,55825,796906,0.1952
2022-03-29,BALRAMCHIN,EQ,479.15,481.4,484.7,469.35,474.0,471.7,475.8,1646879,78358686255000.0,27079,345483,0.20980000000000001
2022-03-30,BALRAMCHIN,EQ,471.7,475.35,486.95,470.15,480.0,481.2,479.33,3315733,158932329980000.0,45737,877990,0.26480000000000004
2022-03-31,BALRAMCHIN,EQ,481.2,481.5,493.85,470.6,488.35,489.4,482.62,3314707,159974467740000.0,45621,691436,0.2086
2022-04-01,BALRAMCHIN,EQ,489.4,488.0,494.4,480.65,483.45,482.85,487.13,2182919,106337051460000.0,32330,445602,0.2041
2022-04-04,BALRAMCHIN,EQ,482.85,483.7,511.6,483.6,505.0,505.1,502.09,5129417,257543656185000.0,71039,1251375,0.244
2022-04-05,BALRAMCHIN,EQ,505.1,508.9,515.0,498.5,503.75,502.95,508.89,4082214,207738435785000.0,55932,705946,0.1729
2022-04-06,BALRAMCHIN,EQ,502.95,502.0,524.9,498.55,513.0,511.5,516.92,6480527,334992848785000.0,91800,1094437,0.16890000000000002
2022-04-07,BALRAMCHIN,EQ,511.5,516.6,523.95,506.1,518.95,515.75,517.08,4620578,238920543219999.97,70409,1010360,0.2187
2022-04-08,BALRAMCHIN,EQ,515.75,520.0,525.9,504.0,509.3,511.05,515.3,2545617,131176491350000.0,43905,455708,0.179
2022-04-11,BALRAMCHIN,EQ,511.05,513.0,520.9,511.2,518.3,516.95,516.25,2556904,132000799770000.0,33227,591675,0.23140000000000002
2022-04-12,BALRAMCHIN,EQ,516.95,517.0,518.5,489.85,498.5,500.35,502.62,3732197,187587741725000.0,65544,563459,0.151
2022-04-13,BALRAMCHIN,EQ,500.35,502.8,503.5,480.85,483.0,482.95,492.21,4029393,198332031320000.0,82186,1183298,0.2937
