Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BEML,EQ,1524.25,1480.0,1507.0,1417.0,1447.0,1440.05,1465.33,136907,20061460620000.0,19110,54074,0.395
2022-03-08,BEML,EQ,1440.05,1444.0,1514.0,1426.0,1434.0,1438.5,1464.08,282628,41378864875000.0,21487,130625,0.4622
2022-03-09,BEML,EQ,1438.5,1449.0,1473.85,1405.5,1419.0,1420.25,1427.97,424975,60685167065000.0,29696,186132,0.438
2022-03-10,BEML,EQ,1420.25,1454.0,1503.95,1435.15,1475.0,1473.5,1474.62,390322,57557484975000.0,22773,142368,0.36469999999999997
2022-03-11,BEML,EQ,1473.5,1484.0,1504.9,1473.2,1482.0,1482.0,1486.74,151819,22571501480000.0,10077,48354,0.3185
2022-03-14,BEML,EQ,1482.0,1487.8,1538.0,1457.8,1529.55,1531.2,1509.9,224181,33849025700000.0,16305,68415,0.3052
2022-03-15,BEML,EQ,1531.2,1530.0,1564.0,1502.5,1503.9,1517.0,1537.68,160339,24655012580000.0,10633,49672,0.3098
2022-03-16,BEML,EQ,1517.0,1531.45,1560.0,1525.0,1528.5,1533.85,1537.07,112763,17332484369999.998,7937,37639,0.33380000000000004
2022-03-17,BEML,EQ,1533.85,1565.0,1572.3,1545.0,1558.0,1555.35,1559.61,176495,27526381980000.0,12165,76080,0.4311
2022-03-21,BEML,EQ,1555.35,1563.5,1584.0,1543.0,1551.8,1553.1,1564.86,217581,34048464530000.0,14915,42798,0.1967
2022-03-22,BEML,EQ,1553.1,1569.45,1569.45,1540.1,1543.85,1547.3,1551.56,89008,13810087930000.002,6572,32230,0.36210000000000003
2022-03-23,BEML,EQ,1547.3,1559.95,1559.95,1530.0,1537.8,1534.5,1545.49,64197,9921552985000.0,5329,22708,0.35369999999999996
2022-03-24,BEML,EQ,1534.5,1527.0,1542.0,1503.0,1510.0,1509.9,1520.72,90514,13764674890000.0,7086,31121,0.34380000000000005
2022-03-25,BEML,EQ,1509.9,1519.8,1555.0,1511.75,1531.1,1535.85,1528.83,108876,16645335635000.0,7206,39872,0.36619999999999997
2022-03-28,BEML,EQ,1535.85,1539.9,1582.0,1520.0,1570.1,1568.1,1555.1,249375,38780371005000.0,15705,70949,0.2845
2022-03-29,BEML,EQ,1568.1,1572.5,1650.45,1571.8,1637.0,1638.7,1612.48,448045,72246247940000.0,28486,100474,0.2242
2022-03-30,BEML,EQ,1638.7,1654.4,1725.0,1631.45,1705.0,1708.7,1675.86,263175,44104385100000.0,16818,78259,0.2974
2022-03-31,BEML,EQ,1708.7,1692.0,1830.0,1690.85,1804.15,1818.85,1786.93,703859,125774698075000.0,47026,135363,0.1923
2022-04-01,BEML,EQ,1818.85,1802.0,1819.0,1772.0,1776.0,1778.65,1797.54,178177,32028091739999.996,11250,69414,0.3896
2022-04-04,BEML,EQ,1778.65,1778.65,1803.6,1761.2,1774.0,1775.1,1782.26,157203,28017737085000.004,10919,30656,0.195
2022-04-05,BEML,EQ,1775.1,1809.0,1848.0,1778.0,1782.0,1788.25,1818.14,470358,85517675125000.0,37367,104265,0.2217
2022-04-06,BEML,EQ,1788.25,1788.25,1801.0,1748.45,1776.0,1770.9,1775.93,143513,25486949380000.0,9788,36416,0.25370000000000004
2022-04-07,BEML,EQ,1770.9,1772.5,1863.4,1771.0,1811.0,1792.5,1819.95,693637,126238714470000.0,47557,129073,0.1861
2022-04-08,BEML,EQ,1792.5,1810.0,1876.95,1810.0,1857.0,1857.15,1851.0,603479,111703778800000.0,33885,146408,0.2426
2022-04-11,BEML,EQ,1857.15,1862.45,1899.0,1832.0,1860.0,1865.3,1873.71,351507,65862350829999.99,20360,88588,0.252
2022-04-12,BEML,EQ,1865.3,1871.0,1871.0,1802.0,1825.0,1819.65,1831.53,143945,26363904090000.0,11630,45519,0.31620000000000004
2022-04-13,BEML,EQ,1819.65,1833.3,1866.95,1820.4,1862.0,1850.75,1842.32,184408,33973779620000.0,10856,42124,0.2284
2022-04-18,BEML,EQ,1850.75,1849.85,1933.0,1831.65,1882.0,1881.8,1896.82,640863,121560388820000.0,45224,120048,0.18730000000000002
2022-04-19,BEML,EQ,1881.8,1900.0,1929.8,1780.3,1810.0,1831.35,1896.0,335058,63526848845000.01,24171,68035,0.2031
2022-04-20,BEML,EQ,1831.35,1845.0,1869.0,1803.0,1825.0,1816.9,1843.27,140854,25963256945000.0,12427,34525,0.2451
2022-04-21,BEML,EQ,1816.9,1834.9,1844.1,1761.25,1789.0,1781.75,1805.46,132547,23930844920000.0,12173,50147,0.37829999999999997
2022-04-22,BEML,EQ,1781.75,1777.0,1819.9,1745.0,1765.0,1762.7,1788.12,148240,26507048085000.0,10437,64912,0.4379
2022-04-25,BEML,EQ,1762.7,1753.0,1753.0,1680.0,1699.0,1691.9,1715.57,107066,18367917830000.0,10976,41300,0.3857
2022-04-26,BEML,EQ,1691.9,1710.45,1741.45,1682.0,1685.0,1687.85,1710.04,107271,18343796100000.0,9422,26387,0.24600000000000002
2022-04-27,BEML,EQ,1687.85,1672.5,1686.9,1655.55,1678.05,1678.0,1672.09,87316,14600036185000.0,6528,23994,0.2748
