Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BHARATFORG,EQ,632.9,618.0,622.75,603.2,610.95,612.65,612.19,2197227,134512355270000.0,67783,1218785,0.5547
2022-03-08,BHARATFORG,EQ,612.65,613.0,618.2,595.0,615.6,615.25,606.32,2905793,176182704340000.0,76433,1603371,0.5518
2022-03-09,BHARATFORG,EQ,615.25,620.0,631.6,611.05,631.45,628.95,624.1,2503180,156223246550000.0,133393,1613464,0.6446
2022-03-10,BHARATFORG,EQ,628.95,648.0,654.7,632.95,635.0,637.95,643.19,2912874,187352188240000.0,60866,1427206,0.49
2022-03-11,BHARATFORG,EQ,637.95,637.95,640.9,629.15,632.2,632.35,634.06,1394422,88415340250000.0,35821,738479,0.5296000000000001
2022-03-14,BHARATFORG,EQ,632.35,634.75,652.55,625.05,648.65,649.45,641.02,2124004,136152869850000.0,52238,884647,0.4165
2022-03-15,BHARATFORG,EQ,649.45,651.85,668.8,645.35,652.95,653.0,658.55,2128873,140196497059999.98,55426,762251,0.35810000000000003
2022-03-16,BHARATFORG,EQ,653.0,662.0,676.9,657.15,676.3,674.95,671.04,1094758,73462855660000.0,36457,460782,0.42090000000000005
2022-03-17,BHARATFORG,EQ,674.95,690.0,693.5,676.0,680.0,681.9,684.48,1125022,77005084290000.0,32788,472330,0.41979999999999995
2022-03-21,BHARATFORG,EQ,681.9,684.0,686.7,666.0,669.8,669.05,674.01,690631,46549283310000.0,18206,233552,0.3382
2022-03-22,BHARATFORG,EQ,669.05,674.4,693.85,668.0,690.55,689.5,683.14,1249429,85354081715000.0,29339,371694,0.2975
2022-03-23,BHARATFORG,EQ,689.5,696.75,698.8,677.3,681.1,680.85,683.93,1081529,73969058775000.0,32352,357254,0.33030000000000004
2022-03-24,BHARATFORG,EQ,680.85,675.6,698.85,675.6,694.05,694.25,686.93,1613089,110808155595000.0,37513,581081,0.3602
2022-03-25,BHARATFORG,EQ,694.25,699.0,700.85,683.35,688.5,690.3,692.19,1200801,83118301525000.0,24800,380303,0.31670000000000004
2022-03-28,BHARATFORG,EQ,690.3,691.0,703.85,679.05,700.0,699.5,689.23,2140301,147516524720000.0,36680,1114982,0.5209
2022-03-29,BHARATFORG,EQ,699.5,705.7,709.6,700.05,704.7,707.95,705.02,595518,41985309775000.0,19477,211527,0.3552
2022-03-30,BHARATFORG,EQ,707.95,710.15,725.3,701.0,702.5,702.6,714.3,1082631,77332081110000.0,32837,364735,0.3369
2022-03-31,BHARATFORG,EQ,702.6,704.6,712.35,696.8,699.65,700.6,704.09,952386,67056184250000.0,27008,467286,0.49060000000000004
2022-04-01,BHARATFORG,EQ,700.6,700.0,704.2,694.2,704.0,702.0,699.73,643003,44993023155000.0,18680,269829,0.41960000000000003
2022-04-04,BHARATFORG,EQ,702.0,709.6,711.8,705.4,708.5,709.1,708.54,491203,34803828145000.0,16682,195618,0.3982
2022-04-05,BHARATFORG,EQ,709.1,714.45,732.4,712.2,727.15,727.35,723.3,1419805,102694715835000.0,30531,616563,0.4343
2022-04-06,BHARATFORG,EQ,727.35,723.95,732.4,702.8,726.0,727.35,725.3,1218028,88343887385000.0,30535,676850,0.5557
2022-04-07,BHARATFORG,EQ,727.35,730.0,736.25,719.1,728.7,729.0,727.59,1254802,91298413375000.0,29534,405341,0.32299999999999995
2022-04-08,BHARATFORG,EQ,729.0,730.0,753.85,726.85,746.2,746.1,740.52,2157135,159739283185000.0,38755,934963,0.43340000000000006
2022-04-11,BHARATFORG,EQ,746.1,746.0,748.2,735.05,740.0,740.1,740.08,608494,45033727360000.0,17301,259590,0.4266
2022-04-12,BHARATFORG,EQ,740.1,739.9,739.9,716.45,728.1,729.35,725.59,962218,69817601954999.99,22650,364534,0.3788
2022-04-13,BHARATFORG,EQ,729.35,731.0,742.75,726.6,730.4,733.05,734.56,866681,63662837090000.0,23992,364916,0.42100000000000004
2022-04-18,BHARATFORG,EQ,733.05,721.5,732.2,713.95,730.45,728.45,723.4,1084412,78446308460000.0,32058,508785,0.4692
2022-04-19,BHARATFORG,EQ,728.45,735.55,742.5,718.3,721.6,725.95,735.08,1118319,82205475600000.0,33469,499201,0.4464
2022-04-20,BHARATFORG,EQ,725.95,728.0,752.0,723.0,731.65,731.25,737.93,1528988,112828081120000.0,29384,476888,0.3119
2022-04-21,BHARATFORG,EQ,731.25,733.0,749.9,731.0,740.2,738.8,739.89,1266140,93680590630000.0,25678,461166,0.3642
2022-04-22,BHARATFORG,EQ,738.8,737.0,738.4,721.85,722.0,724.05,730.36,1088115,79471943440000.0,27047,592024,0.5441
2022-04-25,BHARATFORG,EQ,724.05,718.5,727.85,698.95,702.75,701.55,717.09,1354015,97094729615000.0,26991,629848,0.46520000000000006
2022-04-26,BHARATFORG,EQ,701.55,709.5,731.45,709.4,729.8,728.4,724.51,1434098,103902277785000.0,37168,642285,0.4479
2022-04-27,BHARATFORG,EQ,728.4,720.1,725.55,710.0,713.9,714.7,717.75,1054075,75656272805000.0,27254,524889,0.498
2022-04-28,BHARATFORG,EQ,714.7,725.0,725.0,706.9,719.0,720.65,714.84,876171,62632081550000.0,19764,336538,0.3841
2022-04-29,BHARATFORG,EQ,720.65,729.2,729.2,698.8,703.55,701.75,710.23,1054623,74902927780000.0,22640,536938,0.5091
2022-05-02,BHARATFORG,EQ,701.75,687.6,690.45,674.1,678.0,678.45,680.68,1339651,91188029130000.0,38366,622356,0.4646
2022-05-04,BHARATFORG,EQ,678.45,679.0,695.15,665.6,670.85,671.65,680.67,1556102,105919162965000.0,47728,676158,0.43450000000000005
2022-05-05,BHARATFORG,EQ,671.65,676.65,691.75,674.0,677.5,677.0,683.39,457345,31254522650000.0,13904,89324,0.19530000000000003
2022-05-06,BHARATFORG,EQ,677.0,660.0,670.0,651.6,660.0,658.5,657.83,1231990,81044423710000.0,48404,574180,0.4661
2022-05-09,BHARATFORG,EQ,658.5,653.1,656.5,627.95,636.85,637.3,637.87,1855922,118383078209999.98,48468,846201,0.4559
2022-05-10,BHARATFORG,EQ,637.3,637.8,649.1,630.0,631.0,631.5,639.08,968280,61880914760000.0,32175,312940,0.3232
2022-05-11,BHARATFORG,EQ,631.5,634.0,638.15,623.55,635.65,629.5,630.22,1294267,81567203055000.0,43652,559307,0.43210000000000004
2022-05-12,BHARATFORG,EQ,629.5,624.0,631.85,597.0,604.85,604.0,608.54,1626401,98972773800000.0,62793,772949,0.4753
2022-05-13,BHARATFORG,EQ,604.0,611.5,651.7,611.15,628.2,629.05,636.17,2123113,135066525390000.02,73307,817311,0.385
2022-05-16,BHARATFORG,EQ,629.05,624.2,669.9,624.2,663.4,661.4,649.2,3467849,225131695185000.0,85253,222179,0.0641
2022-05-17,BHARATFORG,EQ,661.4,647.2,680.5,647.15,679.7,678.15,670.25,2243124,150344636415000.0,52669,541663,0.2415
2022-05-18,BHARATFORG,EQ,678.15,686.0,700.0,678.7,689.6,690.55,690.74,1798987,124263467630000.0,64929,791030,0.4397
2022-05-19,BHARATFORG,EQ,690.55,680.0,684.45,651.3,663.6,661.4,666.33,1202929,80154320055000.0,34376,439404,0.3653
2022-05-20,BHARATFORG,EQ,661.4,675.0,690.55,670.1,672.35,674.2,679.01,1095756,74402861505000.0,30643,233654,0.2132
2022-05-23,BHARATFORG,EQ,674.2,680.0,698.45,678.05,688.6,690.6,691.42,1589614,109908568009999.98,49809,458769,0.2886
2022-05-24,BHARATFORG,EQ,690.6,690.0,699.0,668.6,672.55,675.25,678.9,1139190,77339239585000.0,30328,334355,0.29350000000000004
2022-05-25,BHARATFORG,EQ,675.25,679.95,690.0,656.0,662.8,665.2,667.83,975233,65129066135000.0,22289,423564,0.4343
2022-05-26,BHARATFORG,EQ,665.2,669.0,676.2,653.0,669.95,667.1,665.2,1024439,68145830635000.0,29157,398960,0.38939999999999997
2022-05-27,BHARATFORG,EQ,667.1,674.0,680.8,668.55,675.0,673.2,674.31,471460,31790811230000.0,14435,131467,0.27890000000000004
2022-05-30,BHARATFORG,EQ,673.2,679.0,688.4,673.6,685.2,685.25,680.0,788371,53609186830000.0,21252,235000,0.2981
2022-05-31,BHARATFORG,EQ,685.25,698.0,723.7,688.85,703.9,704.9,710.86,5763035,409673683270000.0,88124,2629667,0.45630000000000004
2022-06-01,BHARATFORG,EQ,704.9,707.0,712.45,689.0,694.0,694.25,700.17,1072943,75123842660000.0,21806,165284,0.154
2022-06-02,BHARATFORG,EQ,694.25,695.0,697.0,675.0,686.9,684.8,683.02,967421,66076508904999.99,22489,261580,0.2704
2022-06-03,BHARATFORG,EQ,684.8,688.0,690.75,657.25,660.2,659.0,672.3,1188031,79871213845000.0,27054,298183,0.251
2022-06-06,BHARATFORG,EQ,659.0,654.0,660.0,640.1,647.35,649.1,648.64,1718692,111481342509999.98,36281,897504,0.5222
2022-06-07,BHARATFORG,EQ,649.1,647.8,656.05,639.0,653.9,653.5,647.9,1486747,96326266670000.0,30287,234950,0.158
2022-06-08,BHARATFORG,EQ,653.5,655.0,666.0,643.2,663.05,663.85,656.04,1348733,88481665805000.0,25142,368210,0.273
2022-06-09,BHARATFORG,EQ,663.85,661.05,685.55,655.05,680.45,679.2,671.15,1343002,90135434415000.0,29077,472829,0.3521
2022-06-10,BHARATFORG,EQ,679.2,674.7,680.0,665.55,675.95,676.6,674.7,734112,49530564255000.0,16539,246402,0.3356
2022-06-13,BHARATFORG,EQ,676.6,665.0,669.85,649.5,663.0,658.9,659.87,2008760,132552751250000.0,27147,1093413,0.5443
2022-06-14,BHARATFORG,EQ,658.9,654.4,665.0,645.25,645.25,649.1,655.64,1712813,112299247430000.0,26930,941899,0.5499
