Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,BPCL,EQ,360.3,360.0,362.85,356.3,359.0,359.7,359.75,5812191,209091270725000.0,46560,2851900,0.4907
2022-03-29,BPCL,EQ,359.7,362.0,362.4,357.95,358.2,358.45,359.97,5708664,205493183190000.0,39902,3819630,0.6691
2022-03-30,BPCL,EQ,358.45,360.5,362.4,359.2,360.1,360.05,360.58,4123566,148687602240000.0,57504,2578781,0.6254
2022-03-31,BPCL,EQ,360.05,361.0,364.5,358.8,359.45,359.35,360.85,5503682,198597684020000.0,55256,3170492,0.5761000000000001
2022-04-01,BPCL,EQ,359.35,361.55,375.0,361.55,374.65,374.4,370.03,6386165,236305370910000.0,82299,2911772,0.456
2022-04-04,BPCL,EQ,374.4,374.4,381.25,372.2,379.45,380.2,378.39,7357360,278397611965000.0,95294,4309190,0.5857
2022-04-05,BPCL,EQ,380.2,381.0,382.0,376.55,379.0,380.0,379.73,3311172,125736638455000.0,61642,1370466,0.4139
2022-04-06,BPCL,EQ,380.0,379.0,386.45,377.45,385.7,385.8,383.55,5843175,224116906630000.03,84198,1966795,0.33659999999999995
2022-04-07,BPCL,EQ,385.8,384.85,387.3,379.5,381.55,380.8,383.22,3346885,128260509125000.0,48547,1445932,0.43200000000000005
2022-04-08,BPCL,EQ,380.8,382.8,386.8,381.1,384.5,384.55,383.45,4190274,160674874540000.0,55576,2327099,0.5554
2022-04-11,BPCL,EQ,384.55,385.15,390.15,384.8,388.4,388.35,388.0,2389160,92700317225000.0,55358,1045271,0.4375
2022-04-12,BPCL,EQ,388.35,386.95,387.6,377.25,380.5,380.6,380.86,2445974,93158430925000.0,59301,1096373,0.4482
2022-04-13,BPCL,EQ,380.6,380.0,383.95,377.7,378.5,379.0,380.48,3261962,124110417459999.98,53030,1626416,0.4986
2022-04-18,BPCL,EQ,379.0,379.0,379.0,371.05,371.45,371.75,373.64,2792673,104345386985000.0,50478,1070288,0.3832
2022-04-19,BPCL,EQ,371.75,373.9,383.85,373.0,374.0,375.85,379.42,5796327,219925349935000.0,74450,2321623,0.40049999999999997
2022-04-20,BPCL,EQ,375.85,379.8,392.3,376.35,391.75,389.95,386.59,8568189,331241880725000.0,111188,3937958,0.4596
2022-04-21,BPCL,EQ,389.95,395.0,398.8,390.0,396.8,397.7,395.26,7977846,315333372390000.0,96876,3820638,0.4789
2022-04-22,BPCL,EQ,397.7,395.0,397.25,391.5,393.85,393.4,394.28,4410739,173905826655000.0,52764,1839163,0.41700000000000004
2022-04-25,BPCL,EQ,393.4,385.0,385.95,368.8,369.8,369.7,373.57,10407964,388807000705000.0,117216,3833894,0.36840000000000006
2022-04-26,BPCL,EQ,369.7,373.4,375.4,369.15,373.0,372.85,372.52,3139478,116952843725000.0,57606,1206639,0.38430000000000003
2022-04-27,BPCL,EQ,372.85,368.0,371.6,364.3,366.35,366.5,366.61,3081806,112980671305000.0,50457,1248758,0.40520000000000006
2022-04-28,BPCL,EQ,366.5,371.7,371.7,365.15,367.75,369.35,368.15,3286639,120998633245000.0,51732,1527677,0.4648
2022-04-29,BPCL,EQ,369.35,370.0,372.7,361.15,362.75,362.6,365.64,3359425,122833586995000.0,50669,1822990,0.5426
2022-05-02,BPCL,EQ,362.6,360.1,367.95,357.65,367.65,366.45,364.31,3200238,116586608245000.0,68024,1178614,0.3683
2022-05-04,BPCL,EQ,366.45,366.45,371.4,359.5,364.0,363.45,365.29,2868547,104784647415000.0,56406,1067957,0.37229999999999996
2022-05-05,BPCL,EQ,363.45,366.05,368.75,360.1,360.5,361.0,364.99,1847546,67433881879999.99,38269,723256,0.3915
2022-05-06,BPCL,EQ,361.0,357.0,359.8,353.0,358.0,357.3,357.06,2348871,83867832160000.0,56468,854086,0.3636
2022-05-09,BPCL,EQ,357.3,355.7,358.3,349.8,352.85,353.4,353.88,2524390,89332963155000.0,43265,790183,0.313
2022-05-10,BPCL,EQ,353.4,353.5,358.0,351.4,352.9,353.45,354.4,2954952,104724827445000.0,54253,1356410,0.459
2022-05-11,BPCL,EQ,353.45,355.0,359.45,344.75,346.95,347.1,350.34,3887065,136180331295000.0,87414,1703733,0.43829999999999997
2022-05-12,BPCL,EQ,347.1,345.0,346.45,336.2,341.2,339.95,340.73,3858313,131464264280000.0,67774,1517892,0.3934
2022-05-13,BPCL,EQ,339.95,341.4,345.3,336.0,336.25,336.95,341.33,2257796,77065028315000.0,56117,931127,0.41240000000000004
2022-05-16,BPCL,EQ,336.95,339.15,339.65,333.7,336.95,336.1,336.34,1942152,65321627335000.0,39037,768886,0.39590000000000003
2022-05-17,BPCL,EQ,336.1,336.0,342.95,334.15,342.95,342.45,340.16,4798210,163216548720000.0,55809,2861223,0.5963
2022-05-18,BPCL,EQ,342.45,336.45,347.2,331.0,331.4,331.9,336.79,7657308,257890583555000.03,109135,4142306,0.541
2022-05-19,BPCL,EQ,331.9,329.8,329.95,324.0,327.6,326.65,326.12,5093969,166126500565000.0,76516,1909854,0.3749
2022-05-20,BPCL,EQ,326.65,332.0,334.85,328.0,333.0,332.8,332.92,3196697,106424532265000.0,46816,1529316,0.47840000000000005
2022-05-23,BPCL,EQ,332.8,332.8,336.15,327.0,332.05,332.1,331.92,4396431,145927499655000.0,63565,1898104,0.43170000000000003
2022-05-24,BPCL,EQ,332.1,332.1,334.55,328.5,329.5,330.1,331.03,2945719,97513469960000.0,42607,1175383,0.399
2022-05-25,BPCL,EQ,330.1,332.4,333.5,325.15,325.8,326.15,328.6,4081823,134127361059999.98,58194,2148972,0.5265
2022-05-26,BPCL,EQ,326.15,325.0,325.5,312.2,324.6,324.35,318.95,8030657,256134212300000.0,118203,1887634,0.23510000000000003
2022-05-27,BPCL,EQ,324.35,324.6,329.0,318.2,322.7,322.35,323.09,4875852,157531632710000.0,60088,1137154,0.23320000000000002
2022-05-30,BPCL,EQ,322.35,324.5,330.8,322.0,329.35,329.15,326.38,3550508,115881540050000.0,51954,1295041,0.36469999999999997
2022-05-31,BPCL,EQ,329.15,330.0,330.7,325.0,327.8,326.2,326.84,10420751,340590514985000.0,59255,7290813,0.6996
2022-06-01,BPCL,EQ,326.2,328.0,331.85,324.1,325.5,326.0,328.02,6690532,219463824675000.0,67965,2918243,0.4362
2022-06-02,BPCL,EQ,326.0,327.0,334.25,322.55,329.6,329.35,328.95,8056904,265029369350000.0,111922,3520079,0.4369
2022-06-03,BPCL,EQ,329.35,330.6,332.0,327.1,328.55,328.15,329.33,4969493,163661749210000.0,44611,2817998,0.5671
2022-06-06,BPCL,EQ,328.15,327.5,327.9,318.3,319.6,319.35,320.8,4672714,149902501905000.0,70652,2156610,0.4615
2022-06-07,BPCL,EQ,319.35,317.55,322.6,317.0,319.65,320.25,320.45,3955076,126741559484999.98,53163,1195483,0.3023
2022-06-08,BPCL,EQ,320.25,321.0,324.9,319.2,324.0,323.9,322.83,2690805,86866904410000.0,38326,1151950,0.42810000000000004
2022-06-09,BPCL,EQ,323.9,323.0,334.55,319.5,333.0,332.85,328.7,6959446,228755214960000.0,80789,2134931,0.3068
2022-06-10,BPCL,EQ,332.85,330.75,332.2,326.6,330.5,331.0,329.89,2726717,89950750730000.0,44545,1011172,0.37079999999999996
2022-06-13,BPCL,EQ,331.0,327.9,327.9,317.3,318.5,317.95,320.91,3751840,120400977400000.0,60848,1518726,0.4048
