Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BRITANNIA,EQ,3371.35,3300.0,3300.55,3138.55,3159.0,3153.45,3203.41,711477,227915221219999.97,64898,414619,0.5828
2022-03-08,BRITANNIA,EQ,3153.45,3115.0,3180.0,3050.0,3114.95,3113.75,3096.69,541966,167829926250000.0,63950,291240,0.5374
2022-03-09,BRITANNIA,EQ,3113.75,3144.0,3170.0,3093.7,3139.0,3123.85,3124.69,483468,151068724800000.0,53980,273316,0.5653
2022-03-10,BRITANNIA,EQ,3123.85,3225.0,3248.0,3144.8,3200.0,3222.95,3190.03,490457,156457495305000.0,40450,273801,0.5583
2022-03-11,BRITANNIA,EQ,3222.95,3250.0,3256.6,3192.8,3200.0,3199.9,3214.54,362091,116395425700000.0,27573,146602,0.40490000000000004
2022-03-14,BRITANNIA,EQ,3199.9,3199.9,3215.0,3145.1,3195.0,3185.85,3176.35,335292,106500526525000.0,25522,183795,0.5482
2022-03-15,BRITANNIA,EQ,3185.85,3186.0,3249.0,3181.65,3220.0,3222.85,3221.85,258636,83328641520000.0,31146,130173,0.5033
2022-03-16,BRITANNIA,EQ,3222.85,3244.0,3318.35,3232.25,3307.0,3313.65,3277.0,239522,78491294305000.0,21638,97383,0.40659999999999996
2022-03-17,BRITANNIA,EQ,3313.65,3322.0,3362.0,3300.55,3354.8,3355.95,3334.03,436218,145436590175000.0,36707,262784,0.6024
2022-03-21,BRITANNIA,EQ,3355.95,3350.0,3350.0,3230.0,3240.0,3237.55,3275.05,354460,116087258409999.98,35128,191752,0.541
2022-03-22,BRITANNIA,EQ,3237.55,3230.0,3250.0,3132.25,3165.3,3158.4,3161.71,583821,184587057070000.0,56823,308105,0.5277000000000001
2022-03-23,BRITANNIA,EQ,3158.4,3167.4,3173.85,3092.0,3093.0,3102.25,3114.97,1044283,325291046530000.0,69579,647785,0.6203000000000001
2022-03-24,BRITANNIA,EQ,3102.25,3087.0,3130.0,3080.55,3098.05,3103.85,3111.33,459226,142880390575000.0,33540,272718,0.5939
2022-03-25,BRITANNIA,EQ,3103.85,3110.0,3122.75,3074.1,3092.1,3094.5,3091.16,339040,104802576120000.0,32896,154145,0.4547
2022-03-28,BRITANNIA,EQ,3094.5,3094.5,3118.95,3060.05,3088.45,3094.8,3084.89,310240,95705541830000.0,30496,162435,0.5236
2022-03-29,BRITANNIA,EQ,3094.8,3112.0,3134.0,3090.2,3102.0,3103.8,3107.72,359318,111666065420000.0,25844,209454,0.5829
2022-03-30,BRITANNIA,EQ,3103.8,3123.65,3160.0,3114.65,3147.0,3148.4,3143.08,450273,141524420285000.0,31645,258215,0.5735
2022-03-31,BRITANNIA,EQ,3148.4,3149.3,3218.5,3147.3,3209.0,3206.4,3191.38,413897,132090107570000.0,31604,234578,0.5668
2022-04-01,BRITANNIA,EQ,3206.4,3210.0,3237.9,3191.65,3227.0,3230.65,3219.65,260712,83940044540000.0,29720,160223,0.6146
2022-04-04,BRITANNIA,EQ,3230.65,3230.0,3276.4,3215.0,3270.0,3270.0,3259.95,275388,89775165600000.0,26695,141323,0.5132
2022-04-05,BRITANNIA,EQ,3270.0,3280.0,3314.95,3271.9,3304.7,3303.4,3297.39,236853,78099710385000.0,23733,135017,0.5700000000000001
2022-04-06,BRITANNIA,EQ,3303.4,3282.0,3295.0,3254.65,3287.0,3282.5,3273.19,245111,80229486825000.0,23348,133888,0.5462
2022-04-07,BRITANNIA,EQ,3282.5,3275.0,3322.0,3265.65,3294.85,3294.1,3292.3,302703,99659036535000.0,26258,115882,0.38280000000000003
2022-04-08,BRITANNIA,EQ,3294.1,3287.0,3354.3,3287.0,3352.55,3347.9,3332.08,168952,56296110040000.0,17733,67401,0.39890000000000003
2022-04-11,BRITANNIA,EQ,3347.9,3347.9,3370.0,3297.05,3354.0,3350.65,3339.77,186130,62163199520000.01,19724,51820,0.2784
2022-04-12,BRITANNIA,EQ,3350.65,3340.0,3364.9,3302.3,3345.0,3344.1,3338.76,238043,79476840575000.0,24460,123058,0.517
2022-04-13,BRITANNIA,EQ,3344.1,3340.0,3388.0,3340.0,3345.95,3349.65,3360.09,205852,69168114495000.01,24904,113100,0.5494
2022-04-18,BRITANNIA,EQ,3349.65,3345.0,3367.9,3306.05,3342.7,3343.9,3339.6,197878,66083431770000.01,22002,85456,0.4319
2022-04-19,BRITANNIA,EQ,3343.9,3343.9,3388.0,3245.3,3253.7,3267.9,3334.04,296680,98914213665000.0,27675,114661,0.3865
2022-04-20,BRITANNIA,EQ,3267.9,3266.0,3335.0,3242.0,3300.0,3304.2,3311.14,235572,78001198800000.0,27627,108058,0.4587
2022-04-21,BRITANNIA,EQ,3304.2,3297.0,3369.95,3274.4,3353.55,3359.9,3345.97,152205,50927380165000.0,21214,64930,0.4266
