Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BSE,EQ,2085.35,2060.0,2074.0,2011.0,2059.0,2057.9,2050.69,833197,170863248740000.0,44512,215306,0.2584
2022-03-08,BSE,EQ,2057.9,2088.0,2138.0,2071.1,2126.0,2120.05,2108.53,763120,160906176440000.0,38498,173083,0.2268
2022-03-09,BSE,EQ,2120.05,2150.0,2219.5,2139.05,2216.0,2208.7,2181.68,898157,195949036890000.0,49838,233860,0.2604
2022-03-10,BSE,EQ,2208.7,2278.0,2650.4,2265.0,2650.4,2619.45,2472.8,7292362,1803255996170000.0,325501,1515990,0.2079
2022-03-11,BSE,EQ,2619.45,2675.0,2868.0,2658.65,2685.0,2691.25,2776.67,9670252,2685108021635000.0,560894,1316752,0.1362
2022-03-14,BSE,EQ,2691.25,2706.0,3114.0,2695.15,3060.3,3030.45,2915.43,7562613,2204829037480000.0,374374,1270018,0.1679
2022-03-15,BSE,EQ,3030.45,3115.0,3140.0,2813.7,2918.0,2938.5,2922.11,3766762,1100687720040000.0,246951,877487,0.233
2022-03-16,BSE,EQ,2938.5,2981.5,3045.0,2925.0,2949.95,2964.55,2980.28,1643691,489865431560000.06,82538,535318,0.3257
2022-03-17,BSE,EQ,2964.55,2980.0,3006.1,2780.55,2811.0,2826.6,2890.4,2534033,732437512150000.0,83082,1471379,0.5806
2022-03-21,BSE,EQ,2826.6,900.0,986.25,900.0,940.0,938.05,952.72,5216834,497020284525000.0,197778,1674848,0.321
2022-03-22,BSE,EQ,938.05,952.2,967.55,939.0,955.2,955.85,951.96,2134980,203241672130000.0,63023,863043,0.4042
2022-03-23,BSE,EQ,955.85,966.0,974.0,943.85,946.0,947.6,957.83,1264269,121095490895000.0,47134,639738,0.506
2022-03-24,BSE,EQ,947.6,940.7,946.8,930.0,932.0,932.55,936.21,827730,77492981890000.0,32319,488068,0.5896
2022-03-25,BSE,EQ,932.55,937.3,940.0,881.8,886.0,885.95,905.39,1481856,134166420445000.0,68016,894732,0.6038
2022-03-28,BSE,EQ,885.95,886.0,924.8,869.25,886.0,883.1,897.5,1695039,152129644640000.0,64866,823006,0.4855
2022-03-29,BSE,EQ,883.1,888.45,910.0,886.0,900.9,897.85,897.77,851239,76421915650000.0,28939,447414,0.5256000000000001
2022-03-30,BSE,EQ,897.85,908.7,959.0,900.0,942.8,943.95,926.73,1524571,141286925505000.0,55094,740529,0.4857
2022-03-31,BSE,EQ,943.95,948.0,960.0,920.0,940.15,944.0,946.63,1445580,136842845165000.02,53939,769558,0.5324
2022-04-01,BSE,EQ,944.0,940.0,940.65,924.0,935.0,935.25,932.57,1202005,112095297105000.0,30789,719740,0.5988
2022-04-04,BSE,EQ,935.25,939.95,944.7,912.0,920.65,921.1,925.13,1260075,116573620415000.02,43752,765923,0.6078
2022-04-05,BSE,EQ,921.1,924.4,928.95,905.4,908.2,907.35,912.37,915111,83492055110000.0,35179,564844,0.6172
2022-04-06,BSE,EQ,907.35,906.0,916.0,900.0,906.0,907.15,909.73,769619,70014499229999.99,27438,408069,0.5302
