Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,BSOFT,EQ,437.95,430.0,443.2,424.65,429.95,431.1,434.22,3154297,136967250700000.0,46483,438361,0.139
2022-03-08,BSOFT,EQ,431.1,431.15,454.0,430.85,452.0,451.2,446.94,3155855,141049306330000.0,66272,773099,0.245
2022-03-09,BSOFT,EQ,451.2,457.0,460.5,452.3,453.9,456.15,457.17,2402749,109845384925000.0,39664,881703,0.36700000000000005
2022-03-10,BSOFT,EQ,456.15,470.0,470.0,445.2,447.0,450.0,452.68,2765700,125196396355000.0,53343,786512,0.28440000000000004
2022-03-11,BSOFT,EQ,450.0,448.6,457.85,444.1,452.9,453.25,453.07,1698204,76941288815000.0,22363,607547,0.3578
2022-03-14,BSOFT,EQ,453.25,450.5,458.85,450.5,451.0,452.25,454.26,1536087,69778349154999.99,25981,563307,0.3667
2022-03-15,BSOFT,EQ,452.25,452.25,454.9,433.2,437.25,436.9,443.84,1272469,56477883300000.0,26083,314712,0.24730000000000002
2022-03-16,BSOFT,EQ,436.9,446.8,450.0,440.0,442.7,442.5,444.14,1319047,58584521350000.0,21185,542786,0.4115
2022-03-17,BSOFT,EQ,442.5,451.0,453.5,440.3,442.75,443.95,449.08,2495071,112049493090000.02,34468,1082495,0.4339
2022-03-21,BSOFT,EQ,443.95,448.95,453.0,441.5,443.0,443.75,446.07,1287493,57430789615000.0,25656,420192,0.3264
2022-03-22,BSOFT,EQ,443.75,443.8,468.85,443.35,467.1,465.9,460.73,6214056,286303054055000.0,95936,1379041,0.22190000000000001
2022-03-23,BSOFT,EQ,465.9,470.6,474.95,461.65,465.5,467.55,469.53,3919329,184023593670000.0,68526,1070569,0.2732
2022-03-24,BSOFT,EQ,467.55,468.0,482.95,465.05,481.25,480.1,478.72,4084827,195547321350000.0,70512,1093191,0.2676
2022-03-25,BSOFT,EQ,480.1,483.85,486.0,463.0,465.25,465.9,473.78,2647923,125453847750000.0,47641,667257,0.252
2022-03-28,BSOFT,EQ,465.9,466.9,468.25,452.75,454.0,454.0,457.31,1741295,79630358200000.0,35115,580507,0.33340000000000003
2022-03-29,BSOFT,EQ,454.0,457.0,464.75,451.7,457.0,456.05,458.26,1993390,91348740025000.0,35553,829884,0.41630000000000006
2022-03-30,BSOFT,EQ,456.05,461.4,464.0,449.45,455.9,454.2,455.07,2023598,92087830815000.0,41545,884298,0.43700000000000006
2022-03-31,BSOFT,EQ,454.2,456.4,459.9,450.2,455.0,454.95,454.35,1173562,53320464165000.0,22839,472037,0.4022
2022-04-01,BSOFT,EQ,454.95,455.0,468.8,451.5,468.4,466.6,460.67,2251442,103717710560000.0,37078,815019,0.36200000000000004
2022-04-04,BSOFT,EQ,466.6,471.0,477.5,467.0,471.95,471.85,471.96,1657647,78234876990000.0,26055,441737,0.2665
2022-04-05,BSOFT,EQ,471.85,475.0,497.0,472.25,489.9,489.65,490.58,6633629,325431108025000.0,99825,1892865,0.2853
2022-04-06,BSOFT,EQ,489.65,491.0,498.0,471.95,482.35,482.45,485.72,3812795,185193995280000.0,72302,959942,0.2518
2022-04-07,BSOFT,EQ,482.45,482.4,491.7,478.45,487.0,484.9,485.2,2825692,137101248734999.98,49789,898545,0.318
2022-04-08,BSOFT,EQ,484.9,488.0,496.0,484.25,489.0,489.6,491.06,2494640,122500595650000.0,45227,709881,0.2846
2022-04-11,BSOFT,EQ,489.6,490.0,501.6,484.05,496.0,496.45,497.01,3637691,180798397315000.0,66939,1107810,0.3045
2022-04-12,BSOFT,EQ,496.45,497.9,497.9,425.15,463.45,460.5,456.2,13785887,628917657725000.0,188745,2588418,0.18780000000000002
2022-04-13,BSOFT,EQ,460.5,465.0,474.0,442.8,453.3,452.4,456.34,5731891,261567162830000.03,84815,1075650,0.1877
2022-04-18,BSOFT,EQ,452.4,445.0,445.0,422.6,427.5,425.0,431.56,4784745,206488699165000.0,86601,1611358,0.3368
2022-04-19,BSOFT,EQ,425.0,435.0,440.8,414.0,416.0,425.9,433.65,3518154,152564872800000.0,51943,1051646,0.2989
2022-04-20,BSOFT,EQ,425.9,427.0,434.0,415.5,420.8,419.55,423.31,3309317,140085755745000.0,65412,880311,0.266
2022-04-21,BSOFT,EQ,419.55,425.15,434.9,421.0,432.0,431.65,426.89,2817254,120266014155000.0,45213,994629,0.353
2022-04-22,BSOFT,EQ,431.65,430.6,441.0,418.5,420.5,419.8,428.13,3470345,148574716800000.0,53947,1089813,0.314
2022-04-25,BSOFT,EQ,419.8,419.0,419.0,405.1,412.55,410.45,410.37,2357276,96735453345000.0,40628,725023,0.30760000000000004
