Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,CANFINHOME,EQ,561.4,557.1,557.1,520.2,547.8,542.4,536.86,819961,44020570290000.0,17946,345851,0.4218
2022-03-08,CANFINHOME,EQ,542.4,544.0,563.7,543.0,560.0,560.2,554.35,447423,24803099400000.0,12305,140721,0.3145
2022-03-09,CANFINHOME,EQ,560.2,570.0,584.65,560.5,572.6,573.35,574.37,533606,30648621570000.0,12566,168401,0.3156
2022-03-10,CANFINHOME,EQ,573.35,586.6,606.6,585.4,586.3,591.2,596.01,1157062,68962479779999.99,27135,331274,0.2863
2022-03-11,CANFINHOME,EQ,591.2,585.7,597.5,578.0,584.2,586.9,586.48,495078,29035578164999.996,14191,138855,0.2805
2022-03-14,CANFINHOME,EQ,586.9,585.0,596.5,579.3,588.65,591.6,586.03,385590,22596731915000.0,13690,158998,0.4123
2022-03-15,CANFINHOME,EQ,591.6,591.6,607.9,566.0,577.2,578.8,583.51,916480,53477763090000.0,26624,342889,0.3741
2022-03-16,CANFINHOME,EQ,578.8,590.0,602.0,579.1,600.9,600.35,597.71,934412,55850935585000.0,28485,515659,0.5519
2022-03-17,CANFINHOME,EQ,600.35,606.2,622.0,602.1,608.95,609.75,612.09,788598,48269384815000.0,24875,203527,0.2581
2022-03-21,CANFINHOME,EQ,609.75,611.95,613.0,593.5,600.0,600.2,599.18,460459,27589953800000.0,24276,164081,0.3563
2022-03-22,CANFINHOME,EQ,600.2,600.0,611.45,593.95,602.7,601.55,602.73,583635,35177452910000.004,17657,186359,0.31930000000000003
2022-03-23,CANFINHOME,EQ,601.55,608.7,611.95,595.9,605.0,605.0,604.2,519551,31391087514999.996,15864,181556,0.3494
2022-03-24,CANFINHOME,EQ,605.0,603.9,604.85,594.5,598.5,599.2,599.33,330823,19827076075000.0,25699,138234,0.4178
2022-03-25,CANFINHOME,EQ,599.2,605.05,605.05,597.15,602.0,601.15,601.19,242606,14585190730000.002,10249,73882,0.3045
2022-03-28,CANFINHOME,EQ,601.15,596.3,603.75,588.3,600.0,599.25,597.37,280172,16736620319999.998,11727,73245,0.2614
2022-03-29,CANFINHOME,EQ,599.25,600.0,609.0,592.45,605.3,605.2,601.6,374087,22505211110000.0,13907,115892,0.3098
