Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,CAPLIPOINT,EQ,703.7,704.0,709.6,680.0,682.6,681.3,687.86,141558,9737153975000.0,7887,82428,0.5822999999999999
2022-03-29,CAPLIPOINT,EQ,681.3,685.0,700.0,679.0,681.0,688.85,689.21,294715,20311951430000.0,9345,49195,0.16690000000000002
2022-03-30,CAPLIPOINT,EQ,688.85,693.6,703.8,681.55,691.7,689.15,688.86,125040,8613510559999.999,5953,70373,0.5628000000000001
2022-03-31,CAPLIPOINT,EQ,689.15,694.1,697.95,675.0,677.7,678.2,685.19,52673,3609103620000.0005,3875,30952,0.5876
2022-04-01,CAPLIPOINT,EQ,678.2,683.4,715.95,677.65,713.85,711.7,706.26,96066,6784714430000.0,7403,40403,0.42060000000000003
2022-04-04,CAPLIPOINT,EQ,711.7,722.4,791.55,720.05,786.6,776.55,757.47,350744,26567807880000.0,17605,87339,0.249
2022-04-05,CAPLIPOINT,EQ,776.55,784.4,803.0,765.05,765.9,771.05,782.39,215943,16895068405000.002,14245,56188,0.2602
2022-04-06,CAPLIPOINT,EQ,771.05,770.0,788.0,755.05,784.0,782.4,776.85,100474,7805331750000.0,6454,27352,0.2722
2022-04-07,CAPLIPOINT,EQ,782.4,786.1,788.55,761.35,765.0,765.4,774.46,73392,5683895255000.0,4019,33623,0.4581
2022-04-08,CAPLIPOINT,EQ,765.4,766.5,773.0,756.0,759.9,761.8,762.73,78117,5958183935000.0,7120,27148,0.34750000000000003
2022-04-11,CAPLIPOINT,EQ,761.8,766.2,785.0,764.75,774.4,776.1,774.45,63085,4885646655000.0,4629,22928,0.36340000000000006
2022-04-12,CAPLIPOINT,EQ,776.1,776.1,787.0,758.1,769.3,769.65,772.64,67119,5185864900000.0,5672,19284,0.2873
2022-04-13,CAPLIPOINT,EQ,769.65,776.0,783.0,766.6,769.95,769.15,774.67,40151,3110377290000.0,2866,13773,0.34299999999999997
2022-04-18,CAPLIPOINT,EQ,769.15,769.0,830.0,750.5,784.0,784.4,794.46,321626,25551903060000.0,20052,68586,0.2132
2022-04-19,CAPLIPOINT,EQ,784.4,789.0,795.25,765.0,766.0,773.7,782.56,50861,3980165350000.0,4009,18252,0.3589
