Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,CENTURYPLY,EQ,668.95,670.0,683.5,670.0,680.0,680.65,678.4,296755,20131877630000.0,21742,117295,0.39530000000000004
2022-03-29,CENTURYPLY,EQ,680.65,685.2,690.0,666.0,685.65,684.55,678.58,221058,15000658535000.0,19915,105070,0.4753
2022-03-30,CENTURYPLY,EQ,684.55,690.0,702.0,678.4,693.0,695.2,692.52,226544,15688606400000.0,12448,95069,0.41960000000000003
2022-03-31,CENTURYPLY,EQ,695.2,701.3,727.3,697.4,719.25,716.3,717.89,525081,37694898255000.0,29962,196772,0.3747
2022-04-01,CENTURYPLY,EQ,716.3,719.9,722.7,704.65,710.2,709.65,713.02,195453,13936245350000.0,12733,77604,0.397
2022-04-04,CENTURYPLY,EQ,709.65,717.4,724.55,696.3,700.0,699.2,707.45,281834,19938475270000.0,17146,143125,0.5078
2022-04-05,CENTURYPLY,EQ,699.2,699.2,705.0,693.85,697.5,696.5,698.54,307878,21506603855000.0,19076,171784,0.5579999999999999
2022-04-06,CENTURYPLY,EQ,696.5,694.0,696.2,677.0,680.7,680.9,684.49,284081,19445080150000.0,17526,184964,0.6511
2022-04-07,CENTURYPLY,EQ,680.9,678.0,680.8,661.1,671.95,667.85,672.4,160663,10803043500000.0,10268,94214,0.5864
2022-04-08,CENTURYPLY,EQ,667.85,676.5,683.7,655.25,662.0,663.5,664.9,391870,26055348780000.0,22467,190842,0.48700000000000004
2022-04-11,CENTURYPLY,EQ,663.5,667.0,681.9,662.0,672.0,674.1,675.34,271653,18345742040000.0,16822,146170,0.5381
2022-04-12,CENTURYPLY,EQ,674.1,677.5,678.0,661.6,668.0,665.05,670.14,163803,10977079260000.0,9931,87781,0.5359
2022-04-13,CENTURYPLY,EQ,665.05,669.9,674.25,663.55,667.0,669.6,667.92,168255,11238046915000.0,4182,117801,0.7001000000000001
2022-04-18,CENTURYPLY,EQ,669.6,663.5,689.0,657.05,669.0,666.55,672.5,194305,13067092090000.0,11510,74881,0.3854
2022-04-19,CENTURYPLY,EQ,666.55,673.8,675.6,641.5,645.0,650.15,661.26,116039,7673244705000.0,8479,55724,0.4802
2022-04-20,CENTURYPLY,EQ,650.15,640.0,646.95,619.25,625.95,628.2,633.3,404024,25586948040000.0,20548,256193,0.6341
2022-04-21,CENTURYPLY,EQ,628.2,626.0,649.0,626.0,641.25,638.8,639.98,111978,7166318259999.999,6036,39383,0.3517
2022-04-22,CENTURYPLY,EQ,638.8,638.0,640.0,623.45,635.0,635.65,633.44,107742,6824790545000.0,6232,52202,0.48450000000000004
2022-04-25,CENTURYPLY,EQ,635.65,632.0,634.95,608.0,629.5,626.1,623.96,94565,5900511690000.0,7226,38682,0.40909999999999996
2022-04-26,CENTURYPLY,EQ,626.1,630.35,636.75,615.0,624.7,628.45,625.76,163347,10221563505000.0,14516,69561,0.4258
2022-04-27,CENTURYPLY,EQ,628.45,624.8,631.3,620.15,625.25,625.1,625.21,58801,3676271945000.0005,5195,30522,0.5191
2022-04-28,CENTURYPLY,EQ,625.1,629.8,651.85,628.05,642.3,646.6,643.86,188620,12144470995000.0,15175,74424,0.3946
2022-04-29,CENTURYPLY,EQ,646.6,640.0,646.6,625.05,635.0,635.15,633.56,101981,6461129110000.0,6612,46393,0.4549
2022-05-02,CENTURYPLY,EQ,635.15,630.0,666.0,620.0,659.0,654.15,652.85,353815,23098887340000.0,29557,113052,0.3195
2022-05-04,CENTURYPLY,EQ,654.15,669.1,669.1,615.0,628.0,622.5,640.0,104175,6667246355000.0,7100,37776,0.3626
2022-05-05,CENTURYPLY,EQ,622.5,636.2,639.95,590.4,595.0,594.35,607.88,193107,11738534730000.0,15371,96603,0.5003
2022-05-06,CENTURYPLY,EQ,594.35,593.0,593.0,562.1,583.0,579.5,575.01,236367,13591260155000.002,22952,120047,0.5079
2022-05-09,CENTURYPLY,EQ,579.5,560.0,582.75,545.0,546.0,549.4,564.45,216400,12214771665000.0,16726,90640,0.4189
2022-05-10,CENTURYPLY,EQ,549.4,549.35,568.5,507.1,510.3,515.3,535.03,375401,20084967165000.0,20345,201179,0.5359
2022-05-11,CENTURYPLY,EQ,515.3,512.0,531.15,497.1,506.0,506.4,511.62,352283,18023530155000.0,22543,149524,0.4244
2022-05-12,CENTURYPLY,EQ,506.4,517.7,517.7,484.45,499.95,496.1,497.77,264805,13181184220000.0,18103,132678,0.501
2022-05-13,CENTURYPLY,EQ,496.1,503.0,540.7,501.05,506.4,503.75,510.68,106620,5444843990000.0,8437,36925,0.34630000000000005
2022-05-16,CENTURYPLY,EQ,503.75,511.35,550.0,504.0,546.0,532.35,518.86,551894,28635614495000.0,24848,106330,0.1927
2022-05-17,CENTURYPLY,EQ,532.35,538.7,545.0,528.8,537.0,538.15,537.28,163045,8760122490000.001,9884,46762,0.2868
2022-05-18,CENTURYPLY,EQ,538.15,542.9,553.0,525.6,534.55,533.45,542.77,119939,6509874265000.0,8977,38058,0.3173
2022-05-19,CENTURYPLY,EQ,533.45,529.0,540.0,524.0,536.0,535.4,532.91,113077,6025931295000.0,8301,45062,0.3985
2022-05-20,CENTURYPLY,EQ,535.4,548.0,550.0,532.35,535.0,534.65,537.58,106353,5717363060000.0,8650,44860,0.4218
2022-05-23,CENTURYPLY,EQ,534.65,537.0,540.05,527.75,532.25,532.55,534.31,45842,2449389480000.0,5065,19293,0.42090000000000005
2022-05-24,CENTURYPLY,EQ,532.55,539.0,539.0,530.35,536.0,535.05,534.68,56839,3039093645000.0,5798,30728,0.5406000000000001
2022-05-25,CENTURYPLY,EQ,535.05,537.75,541.9,529.2,530.0,531.85,531.68,59183,3146616820000.0,6728,30507,0.5155
2022-05-26,CENTURYPLY,EQ,531.85,530.0,543.6,524.0,543.6,541.55,535.6,88592,4744955420000.0,6903,39245,0.443
2022-05-27,CENTURYPLY,EQ,541.55,544.0,546.4,532.65,540.0,540.15,538.42,47055,2533537105000.0,4649,22439,0.4769
2022-05-30,CENTURYPLY,EQ,540.15,544.9,551.0,530.25,543.0,536.65,539.03,92834,5004001850000.0,6601,44214,0.47630000000000006
2022-05-31,CENTURYPLY,EQ,536.65,539.35,588.95,534.45,582.0,573.95,564.49,379173,21403972160000.0,12339,226541,0.5975
2022-06-01,CENTURYPLY,EQ,573.95,573.95,578.4,554.05,565.0,565.1,563.13,242218,13639962090000.0,16784,111199,0.45909999999999995
2022-06-02,CENTURYPLY,EQ,565.1,565.1,583.0,562.2,571.5,570.1,575.59,316359,18209207210000.0,14395,79945,0.2527
2022-06-03,CENTURYPLY,EQ,570.1,580.0,581.95,555.25,557.0,559.05,567.63,96990,5505430915000.0,5105,35524,0.3663
2022-06-06,CENTURYPLY,EQ,559.05,558.0,585.0,549.8,573.0,573.7,563.32,82157,4628050635000.0,5719,26104,0.3177
2022-06-07,CENTURYPLY,EQ,573.7,573.0,573.0,554.0,559.7,556.25,560.45,95367,5344868305000.0,8348,48011,0.5034000000000001
2022-06-08,CENTURYPLY,EQ,556.25,560.0,564.4,547.1,552.5,554.5,557.56,53702,2994205790000.0,3758,17093,0.31829999999999997
2022-06-09,CENTURYPLY,EQ,554.5,550.95,559.7,550.35,557.8,554.75,555.92,50519,2808465225000.0,3099,18885,0.3738
2022-06-10,CENTURYPLY,EQ,554.75,550.6,562.6,550.5,558.5,559.15,557.9,48842,2724872945000.0,5841,16157,0.3308
2022-06-13,CENTURYPLY,EQ,559.15,540.0,553.55,525.05,540.0,528.0,535.75,72949,3908275025000.0,5481,43598,0.5977
