Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,CESC,EQ,78.25,77.15,79.0,76.0,79.0,78.2,77.59,1584099,12291666285000.0,16893,911023,0.5751
2022-03-08,CESC,EQ,78.2,78.0,79.6,76.3,77.7,77.6,78.15,2082416,16274799244999.998,18841,1127898,0.5416
2022-03-09,CESC,EQ,77.6,78.45,79.0,78.1,78.75,78.75,78.66,1583006,12452552165000.0,20462,1084503,0.6851
2022-03-10,CESC,EQ,78.75,80.0,80.35,78.65,78.85,79.2,79.78,2565075,20464272420000.0,20016,1547244,0.6032000000000001
2022-03-11,CESC,EQ,79.2,78.9,79.25,76.85,77.0,77.5,78.27,2256628,17663446430000.0,22970,1485249,0.6581999999999999
2022-03-14,CESC,EQ,77.5,77.4,77.95,75.75,75.9,75.9,76.63,3142899,24082563080000.0,23223,1994671,0.6347
2022-03-15,CESC,EQ,75.9,76.4,76.95,75.55,75.95,75.85,76.22,1964458,14972459230000.002,27577,1164451,0.5928
2022-03-16,CESC,EQ,75.85,76.45,76.9,74.3,74.45,74.5,75.09,3142303,23594141810000.0,32245,2054165,0.6537000000000001
2022-03-17,CESC,EQ,74.5,75.25,75.4,73.3,73.6,73.6,74.27,4841152,35955849355000.0,26805,3458538,0.7144
2022-03-21,CESC,EQ,73.6,73.8,75.0,73.05,74.9,74.6,74.06,3147062,23305783100000.0,21331,1995493,0.6341
2022-03-22,CESC,EQ,74.6,74.25,75.9,73.75,75.45,75.3,74.77,2948605,22047546365000.0,18011,1813887,0.6152000000000001
2022-03-23,CESC,EQ,75.3,76.0,76.45,74.5,75.1,75.2,75.38,3077140,23195129345000.0,21563,1777418,0.5776
2022-03-24,CESC,EQ,75.2,75.3,76.0,74.95,75.55,75.65,75.58,1841196,13916069685000.0,13918,1077063,0.585
2022-03-25,CESC,EQ,75.65,75.9,78.5,75.7,77.65,77.45,77.45,4174153,32327059105000.0,23207,1795072,0.43
2022-03-28,CESC,EQ,77.45,78.0,78.3,76.5,77.8,77.75,77.38,2206163,17072186735000.0,13040,1004048,0.4551
2022-03-29,CESC,EQ,77.75,78.25,78.25,76.5,76.8,77.0,77.54,1556971,12072068355000.0,12494,877310,0.5635
