Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,CGPOWER,EQ,169.8,166.5,166.5,161.35,161.35,161.35,162.24,1262518,20482997460000.0,8374,797802,0.6319
2022-03-08,CGPOWER,EQ,161.35,156.0,163.6,154.0,160.15,161.45,158.71,2113223,33538287720000.0,14083,1212101,0.5736
2022-03-09,CGPOWER,EQ,161.45,163.0,169.5,161.25,169.5,169.5,166.74,1256028,20943500010000.0,6814,816303,0.6498999999999999
2022-03-10,CGPOWER,EQ,169.5,174.0,174.0,166.5,166.75,167.65,170.1,1093350,18597830730000.0,8957,708618,0.6481
2022-03-11,CGPOWER,EQ,167.65,166.75,172.9,166.75,170.75,171.4,170.12,688981,11720679305000.0,7540,358173,0.5199
2022-03-14,CGPOWER,EQ,171.4,170.95,174.5,169.7,169.9,170.75,171.28,865857,14830465125000.0,10825,581883,0.672
2022-03-15,CGPOWER,EQ,170.75,172.0,173.0,168.0,168.95,169.8,171.24,1535855,26299392770000.0,9822,1328269,0.8648
2022-03-16,CGPOWER,EQ,169.8,170.85,171.95,166.1,168.25,168.5,168.6,766241,12918819575000.0,8199,517359,0.6752
2022-03-17,CGPOWER,EQ,168.5,173.45,173.45,164.05,169.1,168.1,168.79,1479998,24980535330000.0,11502,828129,0.5595
2022-03-21,CGPOWER,EQ,168.1,169.5,176.0,169.5,171.6,170.8,172.98,2418421,41834343160000.0,8704,1947575,0.8053
2022-03-22,CGPOWER,EQ,170.8,173.0,176.0,169.6,174.75,174.75,173.41,1711291,29675896980000.0,9450,1171493,0.6846
2022-03-23,CGPOWER,EQ,174.75,177.95,182.0,175.5,178.9,178.5,179.85,2768496,49791144485000.0,23233,1695496,0.6124
2022-03-24,CGPOWER,EQ,178.5,180.0,184.8,178.3,183.1,183.4,182.32,2270294,41392820455000.0,17221,1295357,0.5706
2022-03-25,CGPOWER,EQ,183.4,187.15,187.15,181.65,183.9,184.5,184.49,1034423,19084046870000.0,7909,693534,0.6705
2022-03-28,CGPOWER,EQ,184.5,183.8,183.85,177.3,178.0,178.3,179.36,797373,14301704444999.998,7748,530638,0.6655
2022-03-29,CGPOWER,EQ,178.3,181.0,184.0,178.95,181.9,181.65,181.17,1187625,21516628885000.0,10147,719492,0.6058
2022-03-30,CGPOWER,EQ,181.65,183.0,190.7,182.55,188.5,190.05,189.25,2825453,53472627845000.0,14600,1837597,0.6504000000000001
2022-03-31,CGPOWER,EQ,190.05,190.5,194.25,187.75,189.05,189.45,190.31,1893456,36034964235000.0,15861,1196073,0.6317
2022-04-01,CGPOWER,EQ,189.45,189.0,191.85,186.35,188.25,188.35,189.02,1242940,23494038275000.0,10186,710341,0.5715
2022-04-04,CGPOWER,EQ,188.35,188.6,192.9,184.55,186.2,186.5,188.47,1518986,28628689195000.0,12127,953313,0.6276
2022-04-05,CGPOWER,EQ,186.5,187.6,195.8,185.1,195.8,195.8,192.31,2716981,52250807370000.0,18804,1481193,0.5452
2022-04-06,CGPOWER,EQ,195.8,196.8,205.55,192.5,199.0,199.5,199.72,4496935,89810788855000.0,28223,2008858,0.44670000000000004
2022-04-07,CGPOWER,EQ,199.5,204.9,214.8,201.9,212.4,211.9,209.04,9008035,188303679755000.0,66665,3232291,0.3588
2022-04-08,CGPOWER,EQ,211.9,214.0,219.65,209.05,212.0,212.3,214.68,5025752,107892268959999.98,39434,2247557,0.4472
2022-04-11,CGPOWER,EQ,212.3,212.0,214.0,205.0,206.9,206.65,208.34,2621680,54620110740000.0,17935,1574898,0.6007
2022-04-12,CGPOWER,EQ,206.65,205.0,205.8,200.7,201.85,202.95,203.39,1552476,31575561600000.0,17141,810990,0.5224
2022-04-13,CGPOWER,EQ,202.95,203.4,204.75,198.3,200.05,200.35,200.88,1670090,33548446550000.0,12116,918632,0.55
2022-04-18,CGPOWER,EQ,200.35,200.35,201.9,196.5,198.0,198.85,199.38,1344537,26807119825000.0,9767,640684,0.4765
2022-04-19,CGPOWER,EQ,198.85,200.9,203.0,190.0,193.0,194.6,199.49,1466329,29252283670000.0,14609,830978,0.5667
2022-04-20,CGPOWER,EQ,194.6,201.0,201.0,194.5,197.0,195.95,198.65,1406494,27940282260000.004,19117,833734,0.5928
2022-04-21,CGPOWER,EQ,195.95,198.0,198.6,193.5,194.55,194.3,195.41,1064358,20798896280000.0,8102,647947,0.6088
2022-04-22,CGPOWER,EQ,194.3,194.45,201.1,191.0,193.3,193.1,196.25,1477922,29004915145000.0,12020,513852,0.34770000000000006
2022-04-25,CGPOWER,EQ,193.1,192.8,192.9,185.0,188.5,187.2,189.53,1175914,22286700880000.0,9214,566176,0.4815
2022-04-26,CGPOWER,EQ,187.2,188.4,203.4,188.4,199.75,199.15,199.02,3649596,72634010400000.0,27540,1619248,0.4437
2022-04-27,CGPOWER,EQ,199.15,199.1,204.9,195.8,196.5,196.9,199.94,2348607,46957893510000.0,20552,656252,0.27940000000000004
2022-04-28,CGPOWER,EQ,196.9,199.5,200.8,194.5,197.4,197.0,198.28,1123942,22285935830000.0,9868,415293,0.36950000000000005
2022-04-29,CGPOWER,EQ,197.0,202.7,202.7,196.8,198.0,197.9,199.54,1188559,23716724340000.0,9652,614449,0.517
2022-05-02,CGPOWER,EQ,197.9,196.4,200.2,164.5,187.55,192.6,188.62,7583941,143051111980000.0,63587,2423418,0.3195
2022-05-04,CGPOWER,EQ,192.6,187.0,189.7,177.0,182.2,180.5,183.57,3299235,60564093825000.0,25742,1715272,0.5199
2022-05-05,CGPOWER,EQ,180.5,180.5,185.0,170.55,174.0,175.15,179.44,1623822,29137862785000.004,13934,889721,0.5479
2022-05-06,CGPOWER,EQ,175.15,171.5,174.0,168.6,170.0,170.3,170.82,1051753,17965555215000.0,11316,585989,0.5572
2022-05-09,CGPOWER,EQ,170.3,170.5,172.0,162.0,162.8,163.55,166.35,1317086,21909508830000.0,16495,735258,0.5582
2022-05-10,CGPOWER,EQ,163.55,163.1,167.25,155.0,160.75,159.6,161.57,2541077,41057097110000.0,16504,1511778,0.5949
2022-05-11,CGPOWER,EQ,159.6,160.05,173.4,157.8,172.0,170.3,164.06,3281518,53836016890000.0,21025,1587820,0.4839
2022-05-12,CGPOWER,EQ,170.3,170.0,170.0,163.6,166.8,165.75,165.54,1617929,26783549910000.0,12951,968917,0.5989
2022-05-13,CGPOWER,EQ,165.75,164.0,169.95,164.0,167.0,166.4,167.19,1745116,29176102860000.004,9231,1319356,0.756
2022-05-16,CGPOWER,EQ,166.4,167.0,169.7,165.8,168.0,167.4,167.84,1019136,17105356535000.0,9791,661195,0.6487999999999999
2022-05-17,CGPOWER,EQ,167.4,168.9,171.0,167.5,168.0,168.3,168.95,525052,8870639415000.0,7201,356119,0.6783
2022-05-18,CGPOWER,EQ,168.3,170.0,179.45,169.3,175.65,176.55,175.76,1340991,23569771335000.0,16182,701225,0.5229
2022-05-19,CGPOWER,EQ,176.55,170.0,175.7,169.1,172.0,171.75,172.69,740661,12790725590000.0,14440,388519,0.5246000000000001
2022-05-20,CGPOWER,EQ,171.75,176.0,178.0,170.55,172.5,172.2,173.6,702800,12200944445000.0,7954,324458,0.4617
2022-05-23,CGPOWER,EQ,172.2,174.25,178.15,172.05,175.6,176.2,175.5,1297249,22767052475000.0,15455,814582,0.6279
2022-05-24,CGPOWER,EQ,176.2,174.55,177.2,169.7,171.5,171.75,173.93,995007,17305861990000.0,13595,662176,0.6655
