Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,CHEMPLASTS,EQ,532.6,524.0,545.0,521.4,541.55,542.65,535.6,263380,14106707825000.0,14606,129588,0.49200000000000005
2022-03-08,CHEMPLASTS,EQ,542.65,536.2,547.0,527.45,530.0,532.55,534.56,235380,12582565780000.0,23528,140800,0.5982000000000001
2022-03-09,CHEMPLASTS,EQ,532.55,542.5,550.95,529.2,537.0,538.2,540.57,253342,13694935535000.0,18291,145450,0.5740999999999999
2022-03-10,CHEMPLASTS,EQ,538.2,546.0,552.05,528.05,532.0,531.75,539.77,387112,20895171800000.0,20384,210717,0.5443
2022-03-11,CHEMPLASTS,EQ,531.75,531.75,545.0,524.75,538.5,534.1,534.03,272913,14574441465000.0,21974,137584,0.5041
2022-03-14,CHEMPLASTS,EQ,534.1,550.0,573.0,545.05,567.0,567.15,564.72,1456086,82227688200000.0,32619,1001302,0.6877
2022-03-15,CHEMPLASTS,EQ,567.15,571.0,577.6,556.55,560.0,562.55,564.77,385108,21749599050000.0,16663,213776,0.5551
2022-03-16,CHEMPLASTS,EQ,562.55,566.0,596.9,565.1,589.25,592.65,579.01,854074,49451886125000.0,25202,635484,0.7441
2022-03-17,CHEMPLASTS,EQ,592.65,598.0,618.7,565.55,615.0,589.9,590.24,2304392,136014755755000.0,24751,1828555,0.7935
2022-03-21,CHEMPLASTS,EQ,589.9,615.0,615.0,587.0,587.7,595.45,596.1,316464,18864346885000.0,16533,151145,0.47759999999999997
2022-03-22,CHEMPLASTS,EQ,595.45,598.0,624.9,587.4,620.0,620.1,610.66,495672,30268695780000.0,22062,233001,0.47009999999999996
2022-03-23,CHEMPLASTS,EQ,620.1,625.95,627.9,610.0,612.8,615.7,615.62,232943,14340391030000.002,10884,148333,0.6368
2022-03-24,CHEMPLASTS,EQ,615.7,611.0,634.0,611.0,617.0,622.2,626.38,304457,19070542810000.0,13476,150892,0.49560000000000004
2022-03-25,CHEMPLASTS,EQ,622.2,624.9,634.0,622.45,629.0,629.0,627.92,346440,21753787970000.0,6969,273940,0.7907
2022-03-28,CHEMPLASTS,EQ,629.0,633.0,636.85,615.0,620.0,618.1,624.1,137632,8589672405000.0,7292,71207,0.5174000000000001
2022-03-29,CHEMPLASTS,EQ,618.1,623.5,641.9,613.95,633.0,636.7,628.49,327926,20609843540000.0,11240,227371,0.6934
2022-03-30,CHEMPLASTS,EQ,636.7,638.0,675.0,635.55,669.0,669.15,660.02,522021,34454490705000.0,20432,289402,0.5544
2022-03-31,CHEMPLASTS,EQ,669.15,669.15,685.0,661.0,666.0,665.15,672.58,396662,26678864145000.0,13811,254120,0.6406000000000001
2022-04-01,CHEMPLASTS,EQ,665.15,666.0,677.85,645.25,653.0,650.45,659.62,219759,14495736844999.998,12555,107301,0.4883
2022-04-04,CHEMPLASTS,EQ,650.45,656.8,669.85,635.3,638.9,639.2,647.15,217087,14048702315000.0,11527,106176,0.4891
2022-04-05,CHEMPLASTS,EQ,639.2,643.2,645.5,625.0,635.0,635.55,632.63,297591,18826484990000.0,23057,170553,0.5731
2022-04-06,CHEMPLASTS,EQ,635.55,636.0,654.6,631.9,639.9,636.6,641.47,344925,22125978390000.0,12190,236908,0.6868000000000001
2022-04-07,CHEMPLASTS,EQ,636.6,639.0,644.8,629.0,634.0,633.2,636.19,128692,8187212255000.0,6981,65607,0.5098
2022-04-08,CHEMPLASTS,EQ,633.2,625.1,645.9,625.1,632.7,631.55,636.16,80361,5112283450000.0,4618,31786,0.39549999999999996
2022-04-11,CHEMPLASTS,EQ,631.55,640.0,640.0,618.0,624.0,621.25,624.92,102906,6430852445000.0,5278,58598,0.5694
2022-04-12,CHEMPLASTS,EQ,621.25,618.0,630.0,609.0,614.9,615.8,621.5,94114,5849213945000.0,5706,41140,0.43710000000000004
2022-04-13,CHEMPLASTS,EQ,615.8,615.8,646.45,615.8,641.8,640.8,636.87,627624,39971296220000.0,12455,462367,0.7367
2022-04-18,CHEMPLASTS,EQ,640.8,640.8,651.85,632.0,635.0,637.45,640.56,125451,8035835780000.0,4713,61871,0.4932
2022-04-19,CHEMPLASTS,EQ,637.45,635.0,644.4,588.1,599.0,603.1,623.14,152952,9531089825000.0,6540,80698,0.5276
2022-04-20,CHEMPLASTS,EQ,603.1,608.0,629.0,605.0,622.95,616.35,614.63,323787,19900867890000.0,13053,140359,0.4335
2022-04-21,CHEMPLASTS,EQ,616.35,621.8,626.05,615.0,619.0,617.1,620.81,67825,4210651945000.0005,3188,38374,0.5658
2022-04-22,CHEMPLASTS,EQ,617.1,619.0,639.0,617.1,632.0,631.45,630.1,177630,11192503585000.0,5701,83399,0.46950000000000003
2022-04-25,CHEMPLASTS,EQ,631.45,624.2,624.95,607.5,610.05,610.25,614.11,82864,5088792650000.0,3813,46326,0.5590999999999999
2022-04-26,CHEMPLASTS,EQ,610.25,615.05,638.0,615.05,616.3,617.85,623.11,372830,23231593645000.0,9516,254770,0.6833
2022-04-27,CHEMPLASTS,EQ,617.85,617.0,617.25,599.9,610.0,611.25,607.44,79163,4808638445000.0,5082,41722,0.527
2022-04-28,CHEMPLASTS,EQ,611.25,601.55,623.5,601.25,604.8,605.4,607.78,80979,4921764985000.0,5201,33835,0.4178
2022-04-29,CHEMPLASTS,EQ,605.4,606.0,608.85,591.1,592.85,594.4,596.9,141859,8467546305000.0,5961,91847,0.6475
2022-05-02,CHEMPLASTS,EQ,594.4,587.0,591.5,561.0,580.0,573.95,570.81,147901,8442285495000.0,8607,60698,0.4104
2022-05-04,CHEMPLASTS,EQ,573.95,575.25,595.4,550.0,554.4,553.65,571.4,139840,7990517190000.001,6942,55550,0.3972
2022-05-05,CHEMPLASTS,EQ,553.65,560.0,568.65,553.0,558.9,556.65,559.09,65597,3667487490000.0,3196,30948,0.4718
2022-05-06,CHEMPLASTS,EQ,556.65,549.0,559.7,534.85,553.0,552.95,548.18,100688,5519547870000.0,5711,50474,0.5013000000000001
2022-05-09,CHEMPLASTS,EQ,552.95,560.0,569.05,536.9,551.6,557.1,554.68,105798,5868424825000.0,6614,48623,0.4596
2022-05-10,CHEMPLASTS,EQ,557.1,552.0,560.0,514.15,522.5,518.65,527.53,182016,9601912350000.0,11408,97588,0.5362
2022-05-11,CHEMPLASTS,EQ,518.65,510.0,541.0,490.55,500.05,508.85,512.6,238508,12225966535000.0,13307,70913,0.2973
2022-05-12,CHEMPLASTS,EQ,508.85,495.0,501.2,475.85,481.5,483.65,487.53,172793,8424186784999.999,8172,89302,0.5168
2022-05-13,CHEMPLASTS,EQ,483.65,499.0,533.45,492.9,518.5,515.5,512.68,308592,15820989640000.0,24283,147888,0.4792
2022-05-16,CHEMPLASTS,EQ,515.5,516.0,533.4,500.75,520.35,522.55,519.86,247684,12876016275000.0,25092,111305,0.44939999999999997
2022-05-17,CHEMPLASTS,EQ,522.55,535.5,538.1,523.65,530.0,528.8,529.94,163270,8652343984999.999,16770,94967,0.5817
2022-05-18,CHEMPLASTS,EQ,528.8,538.8,538.8,518.0,519.25,523.1,526.96,109770,5784460645000.0,13647,56353,0.5134000000000001
2022-05-19,CHEMPLASTS,EQ,523.1,512.0,512.6,488.0,489.95,493.05,501.76,192326,9650220460000.0,12090,121827,0.6334000000000001
2022-05-20,CHEMPLASTS,EQ,493.05,503.8,503.8,478.9,486.5,482.85,489.69,222425,10892021110000.0,11497,113922,0.5122
2022-05-23,CHEMPLASTS,EQ,482.85,492.0,506.4,480.95,497.5,497.85,494.31,185401,9164479280000.0,18112,76472,0.41250000000000003
2022-05-24,CHEMPLASTS,EQ,497.85,497.85,508.85,492.2,496.0,496.4,500.34,105364,5271818845000.0,10293,58016,0.5506000000000001
2022-05-25,CHEMPLASTS,EQ,496.4,501.0,506.0,481.4,490.8,489.9,496.25,101619,5042856930000.0,10331,50533,0.49729999999999996
