Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,DELTACORP,EQ,320.15,322.8,329.8,315.8,319.35,319.85,323.18,13106507,423573779280000.0,104739,2498975,0.1907
2022-03-29,DELTACORP,EQ,319.85,321.7,332.75,318.2,329.0,330.2,327.23,8861623,289979514855000.0,70348,1877492,0.2119
2022-03-30,DELTACORP,EQ,330.2,332.7,332.7,323.0,323.45,324.7,327.62,3792087,124237651870000.0,31609,805486,0.21239999999999998
2022-03-31,DELTACORP,EQ,324.7,324.9,336.0,323.1,329.5,330.05,330.93,7277335,240827008025000.0,56403,1618926,0.2225
2022-04-01,DELTACORP,EQ,330.05,329.95,337.8,329.2,333.7,333.0,333.48,4468514,149013856350000.0,39359,1050195,0.23500000000000001
2022-04-04,DELTACORP,EQ,333.0,336.45,339.0,332.1,334.0,333.65,335.12,2614709,87624540720000.0,23443,927515,0.3547
2022-04-05,DELTACORP,EQ,333.65,336.5,336.6,322.0,324.65,324.05,328.15,4488068,147273906185000.0,42547,1117467,0.249
2022-04-06,DELTACORP,EQ,324.05,323.0,339.7,321.55,333.15,332.7,333.81,7271609,242730867200000.0,59109,1328170,0.1827
2022-04-07,DELTACORP,EQ,332.7,334.2,335.8,324.6,326.0,325.7,330.51,3622058,119712186720000.0,30899,888429,0.24530000000000002
2022-04-08,DELTACORP,EQ,325.7,327.9,332.25,326.0,328.7,328.45,328.94,2815901,92625569955000.0,24093,421701,0.14980000000000002
2022-04-11,DELTACORP,EQ,328.45,329.0,332.7,320.1,323.0,322.45,325.7,5450436,177520764585000.0,51451,1151524,0.2113
2022-04-12,DELTACORP,EQ,322.45,316.2,318.9,308.55,317.3,317.2,313.97,8727325,274007607965000.0,71543,1807492,0.2071
2022-04-13,DELTACORP,EQ,317.2,320.0,321.8,307.1,307.55,308.05,314.82,4531054,142646102880000.0,33614,996982,0.22
2022-04-18,DELTACORP,EQ,308.05,304.85,311.4,301.3,303.55,303.9,305.89,2946931,90142750790000.0,30195,629646,0.2137
2022-04-19,DELTACORP,EQ,303.9,307.0,308.45,290.0,290.45,295.45,302.39,3185384,96322189290000.0,32485,776582,0.2438
2022-04-20,DELTACORP,EQ,295.45,295.45,300.0,286.2,289.5,288.35,292.77,3455105,101156120445000.0,30321,775971,0.22460000000000002
2022-04-21,DELTACORP,EQ,288.35,291.65,294.5,288.25,292.95,292.35,291.9,2944163,85938765200000.0,20326,343779,0.1168
2022-04-22,DELTACORP,EQ,292.35,290.85,296.55,284.4,285.25,285.35,291.35,2943418,85757676540000.0,29614,751715,0.2554
2022-04-25,DELTACORP,EQ,285.35,280.8,283.95,271.25,273.05,272.45,276.25,3064976,84669913600000.0,36125,942578,0.3075
2022-04-26,DELTACORP,EQ,272.45,276.0,278.5,270.25,271.6,271.6,273.5,2271218,62116697540000.0,23541,617051,0.2717
2022-04-27,DELTACORP,EQ,271.6,268.1,274.45,265.15,269.45,270.55,270.19,3390853,91615805485000.0,30072,582606,0.1718
2022-04-28,DELTACORP,EQ,270.55,273.4,273.4,266.15,269.35,270.1,269.49,2541385,68488714370000.01,20767,594923,0.2341
2022-04-29,DELTACORP,EQ,270.1,272.0,277.75,263.65,267.5,266.05,271.35,3323319,90177903865000.0,30448,825046,0.2483
2022-05-02,DELTACORP,EQ,266.05,261.95,265.55,256.7,264.6,264.9,262.47,2925169,76777589855000.0,27474,469694,0.1606
2022-05-04,DELTACORP,EQ,264.9,266.0,270.7,258.0,258.5,259.55,264.85,2576537,68239118270000.01,25137,533927,0.2072
2022-05-05,DELTACORP,EQ,259.55,262.0,264.15,253.1,254.0,254.75,259.27,1795109,46540990725000.0,18692,410519,0.22870000000000001
2022-05-06,DELTACORP,EQ,254.75,250.0,253.2,246.45,250.4,250.1,250.04,2370397,59268656179999.99,24476,567949,0.2396
2022-05-09,DELTACORP,EQ,250.1,248.0,250.35,243.8,244.9,245.0,246.76,1850391,45659607420000.0,20100,456840,0.2469
2022-05-10,DELTACORP,EQ,245.0,246.4,254.8,230.05,232.35,233.45,243.49,5350726,130282479790000.02,53171,1012349,0.18920000000000003
2022-05-11,DELTACORP,EQ,233.45,234.0,237.4,215.35,229.0,229.2,227.42,4800632,109175318059999.98,44872,697622,0.14529999999999998
2022-05-12,DELTACORP,EQ,229.2,227.0,227.7,218.05,221.75,221.4,222.98,2617392,58362357120000.01,28584,457903,0.1749
2022-05-13,DELTACORP,EQ,221.4,226.65,231.7,220.1,221.6,222.2,227.18,2384684,54175600650000.0,22270,398876,0.1673
2022-05-16,DELTACORP,EQ,222.2,226.25,231.7,223.95,229.45,227.6,228.04,2969489,67717288545000.01,25304,470601,0.1585
2022-05-17,DELTACORP,EQ,227.6,230.05,244.8,228.3,241.5,242.2,237.65,4190160,99579256875000.0,33819,796256,0.19
2022-05-18,DELTACORP,EQ,242.2,239.9,245.6,223.15,226.6,227.9,233.45,10818317,252558462830000.03,83747,1482971,0.1371
2022-05-19,DELTACORP,EQ,227.9,222.0,230.8,220.0,227.45,228.4,226.58,3545614,80337684065000.0,28606,503641,0.142
2022-05-20,DELTACORP,EQ,228.4,233.0,235.7,226.05,234.5,234.25,231.03,3000984,69331038175000.0,26525,765455,0.2551
2022-05-23,DELTACORP,EQ,234.25,237.15,241.8,230.3,231.8,233.05,237.54,2487720,59094164865000.0,21930,607998,0.2444
2022-05-24,DELTACORP,EQ,233.05,235.5,237.25,230.55,232.7,233.15,234.97,1936566,45503087480000.0,18784,511541,0.2641
2022-05-25,DELTACORP,EQ,233.15,234.65,234.65,209.4,211.75,211.15,217.04,7342084,159352477815000.0,53517,2574413,0.3506
2022-05-26,DELTACORP,EQ,211.15,212.0,217.9,204.45,216.5,215.2,210.39,7083772,149033653415000.0,61437,1835065,0.2591
2022-05-27,DELTACORP,EQ,215.2,219.0,224.9,214.95,216.0,216.1,218.76,4653247,101796577925000.0,40260,1320193,0.2837
2022-05-30,DELTACORP,EQ,216.1,220.1,227.55,217.95,225.95,225.4,223.5,4192182,93697346640000.0,44264,1241976,0.2963
2022-05-31,DELTACORP,EQ,225.4,225.0,227.8,217.1,218.2,218.4,222.55,4790057,106603668125000.0,65696,2053413,0.42869999999999997
2022-06-01,DELTACORP,EQ,218.4,219.4,223.45,202.5,213.45,212.2,212.16,10695753,226916345594999.97,89834,2321699,0.21710000000000002
2022-06-02,DELTACORP,EQ,212.2,217.0,219.6,207.25,210.15,209.75,211.81,8314072,176098952745000.0,75776,1737592,0.209
2022-06-03,DELTACORP,EQ,209.75,215.0,215.5,204.5,205.8,207.4,209.91,8040506,168778655300000.0,85210,2235898,0.2781
2022-06-06,DELTACORP,EQ,207.4,205.0,207.1,197.5,202.3,202.6,201.49,6062195,122148365665000.02,54669,1622960,0.2677
2022-06-07,DELTACORP,EQ,202.6,203.0,203.3,195.5,197.65,197.0,198.17,4918847,97475923050000.0,47721,1193166,0.2426
2022-06-08,DELTACORP,EQ,197.0,199.0,199.2,193.8,194.1,194.45,195.55,3392197,66335129225000.0,36227,1318694,0.3887
2022-06-09,DELTACORP,EQ,194.45,192.15,196.0,190.0,196.0,194.25,192.27,3160728,60771554315000.0,36169,1192298,0.3772
2022-06-10,DELTACORP,EQ,194.25,192.25,199.1,190.1,192.05,191.9,193.1,4692745,90616003805000.0,57798,1680660,0.35810000000000003
2022-06-13,DELTACORP,EQ,191.9,186.8,189.45,178.8,179.35,179.9,183.27,4648765,85197408420000.0,44437,1950294,0.41950000000000004
2022-06-14,DELTACORP,EQ,179.9,182.0,191.8,181.6,183.75,183.85,186.89,9081810,169733070540000.0,85835,1638390,0.1804
2022-06-15,DELTACORP,EQ,183.85,185.8,187.35,173.9,174.65,176.35,179.74,5136691,92329304635000.0,49741,1697311,0.33039999999999997
