Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,EDELWEISS,EQ,52.7,51.4,52.25,50.4,51.0,50.75,51.19,2944055,15069680225000.0,22367,2032988,0.6905
2022-03-08,EDELWEISS,EQ,50.75,51.0,52.5,50.5,52.3,52.1,51.63,1558114,8045129830000.0,14707,840886,0.5397
2022-03-09,EDELWEISS,EQ,52.1,52.6,53.6,52.05,53.3,53.25,53.1,2276906,12091116235000.0,16168,1628507,0.7152
2022-03-10,EDELWEISS,EQ,53.25,54.25,54.85,52.8,53.25,53.15,53.94,1844041,9946163675000.0,11956,1186737,0.6436000000000001
2022-03-11,EDELWEISS,EQ,53.15,53.0,54.6,52.95,54.2,54.2,54.09,1108963,5998206780000.0,5528,603663,0.5443
2022-03-14,EDELWEISS,EQ,54.2,54.45,54.7,53.0,53.3,53.3,53.66,1146126,6149858260000.0,5463,708389,0.6181
2022-03-15,EDELWEISS,EQ,53.3,53.95,54.45,52.25,52.65,52.6,53.25,871710,4642147970000.0,4989,413791,0.4747
2022-03-16,EDELWEISS,EQ,52.6,53.25,54.2,53.05,53.95,53.8,53.52,1015124,5432839300000.0,5055,564086,0.5557
2022-03-17,EDELWEISS,EQ,53.8,54.4,55.7,54.35,55.25,55.0,55.19,1405726,7758714259999.999,7676,748732,0.5326
2022-03-21,EDELWEISS,EQ,55.0,56.5,56.5,55.25,55.65,55.5,55.84,1131348,6317759000000.0,7699,662732,0.5858
2022-03-22,EDELWEISS,EQ,55.5,55.8,56.0,54.7,54.75,54.9,55.28,868805,4802598615000.0,5548,558690,0.6431
2022-03-23,EDELWEISS,EQ,54.9,55.0,55.35,54.0,54.4,54.25,54.62,1358965,7422146640000.001,5198,931767,0.6856
2022-03-24,EDELWEISS,EQ,54.25,54.25,54.25,52.7,53.0,53.0,53.25,3496218,18615793400000.0,11056,2311443,0.6611
2022-03-25,EDELWEISS,EQ,53.0,53.45,53.5,52.55,52.9,52.95,53.04,4650204,24666284615000.0,16964,3025705,0.6507
2022-03-28,EDELWEISS,EQ,52.95,52.95,53.45,51.9,52.2,52.35,52.68,3050535,16068950930000.002,11185,1849168,0.6062
2022-03-29,EDELWEISS,EQ,52.35,53.0,53.15,50.9,51.1,51.25,52.11,2952535,15386013085000.0,11642,2083685,0.7057
2022-03-30,EDELWEISS,EQ,51.25,51.95,52.65,50.0,50.75,50.85,51.28,6056661,31058290960000.004,21698,4113527,0.6792
2022-03-31,EDELWEISS,EQ,50.85,50.85,60.85,50.2,58.2,58.7,56.86,35033772,199190325775000.0,76775,6806811,0.1943
2022-04-01,EDELWEISS,EQ,58.7,58.0,62.65,56.9,58.8,59.3,59.66,14179626,84595585940000.0,40078,2774302,0.1957
2022-04-04,EDELWEISS,EQ,59.3,59.3,65.85,59.1,63.35,63.25,63.44,14380964,91228521135000.0,38869,2837323,0.1973
2022-04-05,EDELWEISS,EQ,63.25,64.0,64.2,62.0,62.3,62.35,62.94,4399060,27688440900000.0,16136,1634140,0.3715
2022-04-06,EDELWEISS,EQ,62.35,62.0,62.6,60.65,60.9,60.95,61.33,2885492,17697470110000.0,10920,1192624,0.4133
2022-04-07,EDELWEISS,EQ,60.95,61.4,62.2,60.25,60.95,61.1,61.14,3340014,20420274780000.0,13605,1512164,0.45270000000000005
2022-04-08,EDELWEISS,EQ,61.1,61.4,64.1,60.75,62.6,62.6,62.66,4185479,26226010110000.0,12882,1593899,0.38079999999999997
2022-04-11,EDELWEISS,EQ,62.6,62.6,63.7,61.75,62.15,62.05,62.54,1796372,11234606695000.0,7329,780929,0.4347
2022-04-12,EDELWEISS,EQ,62.05,62.0,62.5,59.9,61.0,61.15,60.89,1841549,11212455425000.0,8865,747327,0.4058
