Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,ELGIEQUIP,EQ,277.8,277.0,279.1,268.85,272.7,272.15,272.0,302091,8216928905000.0,8820,136845,0.45299999999999996
2022-03-29,ELGIEQUIP,EQ,272.15,273.75,288.0,270.85,287.8,285.1,281.25,548721,15432743175000.0,13328,201968,0.36810000000000004
2022-03-30,ELGIEQUIP,EQ,285.1,288.9,290.45,277.0,278.3,278.15,285.2,230602,6576877360000.0,6299,96123,0.4168
2022-03-31,ELGIEQUIP,EQ,278.15,279.0,285.6,275.65,280.3,279.55,281.14,230901,6491659880000.0,6033,74770,0.32380000000000003
2022-04-01,ELGIEQUIP,EQ,279.55,280.35,298.0,279.55,295.5,294.0,290.4,655145,19025280330000.0,18032,204861,0.3127
2022-04-04,ELGIEQUIP,EQ,294.0,295.05,314.1,295.05,310.05,310.6,308.68,918980,28367251170000.0,21748,253653,0.276
2022-04-05,ELGIEQUIP,EQ,310.6,313.7,326.7,313.0,315.0,319.7,320.57,635856,20383780450000.0,15620,226718,0.3566
2022-04-06,ELGIEQUIP,EQ,319.7,317.0,317.95,306.55,310.0,309.05,309.93,516034,15993367980000.002,15311,209585,0.4061
2022-04-07,ELGIEQUIP,EQ,309.05,312.0,314.9,301.0,305.0,304.15,306.94,570780,17519603340000.0,21499,226455,0.39670000000000005
2022-04-08,ELGIEQUIP,EQ,304.15,308.0,309.9,301.55,303.0,303.1,304.07,250129,7605708275000.0,13718,105895,0.42340000000000005
2022-04-11,ELGIEQUIP,EQ,303.1,305.0,311.85,304.05,306.7,306.75,307.6,293738,9035279720000.0,18686,155811,0.5304
2022-04-12,ELGIEQUIP,EQ,306.75,306.5,314.9,302.05,309.0,311.0,310.06,350953,10881489455000.0,11120,115536,0.32920000000000005
2022-04-13,ELGIEQUIP,EQ,311.0,313.5,319.4,311.0,312.8,313.45,316.41,285566,9035627740000.0,12822,120174,0.4208
2022-04-18,ELGIEQUIP,EQ,313.45,311.8,324.8,308.0,320.95,320.5,319.33,417031,13317161605000.0,14257,156924,0.3763
2022-04-19,ELGIEQUIP,EQ,320.5,323.35,325.0,301.5,303.95,305.4,312.11,233570,7289949884999.999,10236,101307,0.4337
2022-04-20,ELGIEQUIP,EQ,305.4,311.9,319.7,307.0,311.0,309.35,314.46,321663,10115134655000.0,12712,92016,0.2861
2022-04-21,ELGIEQUIP,EQ,309.35,312.85,315.0,307.75,314.0,310.1,310.09,136749,4240424175000.0,4991,50626,0.37020000000000003
2022-04-22,ELGIEQUIP,EQ,310.1,314.0,344.2,313.3,340.0,337.5,336.77,3584447,120714517415000.02,73522,465074,0.1297
2022-04-25,ELGIEQUIP,EQ,337.5,339.8,355.15,339.5,345.5,343.95,347.84,1778472,61862768854999.99,55629,306416,0.1723
2022-04-26,ELGIEQUIP,EQ,343.95,350.0,350.2,333.1,337.75,338.3,339.3,448630,15222146530000.002,19301,104415,0.2327
2022-04-27,ELGIEQUIP,EQ,338.3,334.15,352.5,329.1,345.2,346.4,345.37,832049,28736251760000.004,19954,239426,0.2878
2022-04-28,ELGIEQUIP,EQ,346.4,349.8,359.8,346.85,355.0,353.8,353.64,628627,22230926055000.0,18294,180716,0.28750000000000003
2022-04-29,ELGIEQUIP,EQ,353.8,356.8,356.9,344.05,347.7,346.75,348.27,294560,10258604860000.0,8934,142359,0.4833
2022-05-02,ELGIEQUIP,EQ,346.75,345.3,354.95,332.65,340.0,338.85,347.95,304032,10578844295000.0,10335,85345,0.2807
2022-05-04,ELGIEQUIP,EQ,338.85,338.9,359.7,332.6,339.9,341.2,348.75,1091739,38074770255000.0,37291,169723,0.1555
2022-05-05,ELGIEQUIP,EQ,341.2,343.7,356.9,334.25,337.7,338.05,346.29,493952,17105170350000.0,17983,109287,0.2213
2022-05-06,ELGIEQUIP,EQ,338.05,330.0,331.25,314.55,318.4,317.6,319.56,411041,13135352005000.0,19707,104419,0.254
2022-05-09,ELGIEQUIP,EQ,317.6,314.8,314.8,305.0,306.4,307.1,308.92,211868,6545061870000.0,11687,52177,0.2463
2022-05-10,ELGIEQUIP,EQ,307.1,306.0,316.2,299.0,299.0,303.55,308.94,320361,9897106700000.0,16308,80643,0.25170000000000003
2022-05-11,ELGIEQUIP,EQ,303.55,297.05,308.0,275.0,280.4,278.4,286.4,404661,11589553990000.0,16855,123523,0.3053
2022-05-12,ELGIEQUIP,EQ,278.4,260.0,269.95,252.65,257.35,259.55,257.99,1002988,25876118070000.0,35361,265093,0.2643
2022-05-13,ELGIEQUIP,EQ,259.55,262.55,269.9,248.7,257.0,257.5,256.31,919627,23571266585000.0,41448,321104,0.3492
2022-05-16,ELGIEQUIP,EQ,257.5,285.65,309.0,272.4,307.5,299.0,289.47,4111293,119010888155000.0,76186,434055,0.10560000000000001
2022-05-17,ELGIEQUIP,EQ,299.0,306.0,329.0,294.6,326.9,323.3,308.59,1542513,47600251545000.0,34991,168800,0.1094
2022-05-18,ELGIEQUIP,EQ,323.3,320.5,336.7,311.55,326.55,328.9,326.25,1331989,43455960325000.0,31846,274778,0.20629999999999998
2022-05-19,ELGIEQUIP,EQ,328.9,313.05,335.5,313.05,326.25,332.1,328.28,856496,28116978650000.0,25533,177044,0.20670000000000002
2022-05-20,ELGIEQUIP,EQ,332.1,332.0,344.9,327.4,337.0,337.75,338.84,546070,18502888550000.0,13155,163326,0.29910000000000003
2022-05-23,ELGIEQUIP,EQ,337.75,337.55,338.0,327.0,329.1,329.85,331.04,169683,5617200010000.0,7442,94362,0.5561
2022-05-24,ELGIEQUIP,EQ,329.85,328.15,332.7,324.4,327.45,329.65,329.98,138305,4563742095000.0,4664,82641,0.5975
2022-05-25,ELGIEQUIP,EQ,329.65,326.0,331.8,314.95,323.0,324.3,329.42,285358,9400352735000.0,4329,234429,0.8215000000000001
2022-05-26,ELGIEQUIP,EQ,324.3,322.1,351.0,314.3,340.25,342.15,335.97,486934,16359602140000.0,10903,246854,0.507
2022-05-27,ELGIEQUIP,EQ,342.15,340.7,342.75,331.3,333.0,333.65,335.22,137235,4600357540000.0,5006,74193,0.5406000000000001
2022-05-30,ELGIEQUIP,EQ,333.65,336.9,348.65,332.3,336.05,336.6,339.53,178564,6062697275000.0,5454,74875,0.4193
2022-05-31,ELGIEQUIP,EQ,336.6,336.7,346.5,336.7,345.0,344.35,344.14,237579,8175993265000.001,11184,118150,0.49729999999999996
2022-06-01,ELGIEQUIP,EQ,344.35,346.4,380.0,344.6,377.9,377.0,368.97,1543168,56938852710000.0,37446,401399,0.2601
2022-06-02,ELGIEQUIP,EQ,377.0,377.0,386.55,372.4,372.5,374.4,378.84,813310,30811074000000.0,22094,315784,0.3883
2022-06-03,ELGIEQUIP,EQ,374.4,379.6,379.85,366.5,370.15,369.95,372.6,597903,22277964085000.0,12475,397098,0.6642
2022-06-06,ELGIEQUIP,EQ,369.95,369.95,385.0,367.2,375.0,374.55,375.15,190157,7133764195000.0,5539,102146,0.5372
2022-06-07,ELGIEQUIP,EQ,374.55,373.0,383.0,370.25,378.95,380.4,376.93,130209,4907967740000.0,3181,88551,0.6801
2022-06-08,ELGIEQUIP,EQ,380.4,383.0,413.0,381.4,399.0,399.95,402.44,1376051,55377539600000.0,24194,423559,0.3078
2022-06-09,ELGIEQUIP,EQ,399.95,398.7,416.0,390.1,405.0,408.5,409.77,565462,23170944490000.0,15190,202713,0.35850000000000004
2022-06-10,ELGIEQUIP,EQ,408.5,406.0,419.9,383.3,401.2,405.55,409.47,701033,28705470014999.996,16872,280643,0.40030000000000004
2022-06-13,ELGIEQUIP,EQ,405.55,386.0,405.0,386.0,404.0,402.4,397.6,274492,10913685710000.0,8361,120011,0.4372
2022-06-14,ELGIEQUIP,EQ,402.4,397.0,416.4,397.0,409.45,405.8,410.23,1208413,49572329720000.0,17673,819262,0.6779999999999999
2022-06-15,ELGIEQUIP,EQ,405.8,413.0,414.95,395.65,397.85,398.8,406.26,250225,10165675015000.0,8677,102641,0.41020000000000006
2022-06-16,ELGIEQUIP,EQ,398.8,405.0,407.0,365.2,380.0,380.2,386.32,268192,10360785225000.0,11376,103152,0.3846
2022-06-17,ELGIEQUIP,EQ,380.2,379.0,396.8,373.35,387.55,388.05,388.24,293169,11381963605000.0,11765,110897,0.37829999999999997
2022-06-20,ELGIEQUIP,EQ,388.05,389.6,395.0,351.0,367.0,362.9,378.62,239305,9060641320000.0,10123,100700,0.4208
2022-06-21,ELGIEQUIP,EQ,362.9,369.9,394.25,369.05,388.0,388.45,384.69,290294,11167435265000.0,8680,132705,0.4571
2022-06-22,ELGIEQUIP,EQ,388.45,389.0,389.0,375.5,378.3,377.3,380.86,117112,4460335475000.0,3904,62109,0.5303
2022-06-23,ELGIEQUIP,EQ,377.3,379.9,386.95,374.0,385.5,385.15,383.8,148917,5715505475000.0,4702,58269,0.534
2022-06-24,ELGIEQUIP,EQ,385.15,391.45,402.3,380.55,390.6,391.8,393.97,621221,24474412540000.0,13938,324174,0.5218
2022-06-27,ELGIEQUIP,EQ,391.8,396.0,399.95,385.55,387.05,389.65,395.48,246126,9733731020000.0,9353,124457,0.5057
2022-06-28,ELGIEQUIP,EQ,389.65,389.65,389.65,381.2,384.9,384.6,385.62,190638,7351421005000.0,4047,131690,0.6908
