Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,FACT,EQ,111.85,111.6,111.6,106.2,109.05,109.2,108.62,131982,1433556200000.0,3380,34025,0.25780000000000003
2022-03-08,FACT,EQ,109.2,110.9,113.4,109.2,112.2,112.15,111.77,149031,1665745335000.0,3714,32841,0.22039999999999998
2022-03-09,FACT,EQ,112.15,112.25,117.6,112.25,115.5,115.05,115.35,241553,2786310640000.0,4292,48657,0.20140000000000002
2022-03-10,FACT,EQ,115.05,116.55,117.95,115.4,116.0,115.95,116.82,130109,1519892205000.0,2727,49754,0.3824
2022-03-11,FACT,EQ,115.95,116.0,129.55,115.6,126.5,127.1,126.29,3185302,40226715890000.0,38391,222485,0.0698
2022-03-14,FACT,EQ,127.1,125.9,137.6,124.6,132.8,133.3,132.89,1847073,24545580350000.0,27266,216164,0.11699999999999999
2022-03-15,FACT,EQ,133.3,132.0,133.2,124.2,125.85,125.7,129.1,499008,6442093720000.0,7202,130016,0.2605
2022-03-16,FACT,EQ,125.7,126.6,133.5,126.6,130.45,130.6,130.82,586075,7667310900000.0,8080,72056,0.1229
2022-03-17,FACT,EQ,130.6,131.65,134.85,128.35,131.2,131.55,131.54,479821,6311722185000.0,7100,91357,0.19039999999999999
2022-03-21,FACT,EQ,131.55,131.95,134.9,126.7,130.3,131.1,132.78,589052,7821374645000.0,8358,94711,0.1608
2022-03-22,FACT,EQ,131.1,131.15,139.5,130.5,136.4,136.6,135.74,1395026,18936052845000.0,14223,238275,0.17079999999999998
2022-03-23,FACT,EQ,136.6,136.8,137.25,129.65,131.05,130.85,133.47,485491,6479638775000.0,7429,130092,0.268
2022-03-24,FACT,EQ,130.85,132.45,135.9,130.2,131.95,131.65,133.2,413995,5514501140000.0,6614,84938,0.2052
2022-03-25,FACT,EQ,131.65,133.4,133.45,128.1,128.3,129.1,130.68,191640,2504290085000.0,4050,53018,0.2767
2022-03-28,FACT,EQ,129.1,130.15,134.05,126.8,129.95,129.9,130.7,428734,5603351375000.0,6475,86698,0.2022
2022-03-29,FACT,EQ,129.9,130.25,140.9,130.1,135.2,135.85,137.05,2321360,31814630430000.0,24247,323081,0.1392
2022-03-30,FACT,EQ,135.85,136.55,137.4,131.8,132.85,132.8,134.84,433597,5846527815000.0,5872,115761,0.267
2022-03-31,FACT,EQ,132.8,133.4,134.5,130.05,132.0,130.9,132.43,208798,2765123140000.0,3026,63790,0.3055
2022-04-01,FACT,EQ,130.9,130.15,137.75,130.15,134.15,134.2,135.33,643476,8708174709999.999,7206,131546,0.20440000000000003
2022-04-04,FACT,EQ,134.2,135.0,143.7,135.0,139.0,139.7,139.9,1238074,17320068015000.0,14888,256354,0.2071
2022-04-05,FACT,EQ,139.7,139.85,142.5,137.4,138.5,138.3,139.79,529645,7404129295000.0,6302,132575,0.2503
2022-04-06,FACT,EQ,138.3,137.45,141.3,136.35,139.0,139.8,139.51,517904,7225286150000.0,6528,117908,0.2277
2022-04-07,FACT,EQ,139.8,139.95,144.5,136.1,136.6,136.75,140.72,949670,13363901700000.0,9166,177781,0.1872
2022-04-08,FACT,EQ,136.75,137.45,140.0,137.05,137.8,137.45,138.58,265514,3679620554999.9995,3422,67306,0.2535
2022-04-11,FACT,EQ,137.45,138.0,141.7,136.8,137.6,137.35,139.09,272082,3784329135000.0,3705,68109,0.2503
2022-04-12,FACT,EQ,137.35,138.25,138.25,134.15,135.85,135.75,135.7,172313,2338340235000.0,2765,58871,0.3417
2022-04-13,FACT,EQ,135.75,139.05,140.85,136.0,136.35,136.8,138.88,498891,6928640245000.0,7034,125681,0.2519
2022-04-18,FACT,EQ,136.8,135.75,141.45,132.2,138.5,138.65,137.66,684805,9426851630000.0,8304,109411,0.1598
2022-04-19,FACT,EQ,138.65,139.9,141.45,131.1,132.05,133.7,138.45,383844,5314162395000.0,5159,140296,0.3655
2022-04-20,FACT,EQ,133.7,134.0,136.3,130.05,133.45,132.45,134.21,184465,2475642455000.0,3199,62926,0.3411
2022-04-21,FACT,EQ,132.45,133.8,139.05,133.3,138.4,137.5,136.35,327934,4471484430000.0,4165,96447,0.29410000000000003
2022-04-22,FACT,EQ,137.5,136.0,138.55,134.4,134.7,135.1,136.44,202564,2763853495000.0,2789,70625,0.34869999999999995
2022-04-25,FACT,EQ,135.1,134.5,134.9,129.5,130.5,130.25,132.06,229169,3026498075000.0,4206,65374,0.2853
2022-04-26,FACT,EQ,130.25,132.0,133.6,129.05,130.5,130.15,131.19,165799,2175091330000.0,2998,47349,0.2856
2022-04-27,FACT,EQ,130.15,127.6,132.35,127.35,130.5,130.65,130.14,434599,5655769320000.0,7040,52067,0.1198
2022-04-28,FACT,EQ,130.65,131.45,133.5,129.45,130.05,130.0,131.2,192096,2520377915000.0,2897,48836,0.25420000000000004
2022-04-29,FACT,EQ,130.0,130.1,131.55,125.0,125.65,125.6,128.25,148800,1908312885000.0002,2813,62340,0.419
2022-05-02,FACT,EQ,125.6,125.8,125.85,121.8,123.65,123.8,123.71,140395,1736815530000.0,2445,48080,0.3425
2022-05-04,FACT,EQ,123.8,124.9,126.75,119.1,121.9,120.45,123.7,155665,1925525864999.9998,3128,49919,0.3207
2022-05-05,FACT,EQ,120.45,122.0,123.65,120.6,121.25,121.35,122.36,83509,1021794319999.9999,2103,27412,0.3283
2022-05-06,FACT,EQ,121.35,119.0,136.0,116.5,131.0,129.55,126.61,2571496,32557002800000.0,25883,186129,0.0724
2022-05-09,FACT,EQ,129.55,131.0,131.0,121.25,122.7,122.5,126.05,487822,6148998280000.0,7282,107203,0.2198
2022-05-10,FACT,EQ,122.5,122.5,128.4,122.3,122.3,124.45,125.43,377160,4730570510000.0,6363,59488,0.1577
2022-05-11,FACT,EQ,124.45,124.85,125.7,114.2,117.85,116.9,118.45,240424,2847714635000.0,4687,69456,0.2889
2022-05-12,FACT,EQ,116.9,117.45,117.5,110.8,113.4,112.8,113.19,179216,2028547155000.0,4035,66105,0.3689
2022-05-13,FACT,EQ,112.8,113.5,117.95,111.0,112.45,112.9,114.99,134433,1545906710000.0,3605,38782,0.28850000000000003
2022-05-16,FACT,EQ,112.9,113.2,117.7,112.05,115.8,115.5,115.12,173783,2000550375000.0,4162,42530,0.2447
2022-05-17,FACT,EQ,115.5,116.1,122.4,115.0,121.15,121.25,118.48,178779,2118106485000.0002,4862,54121,0.3027
2022-05-18,FACT,EQ,121.25,121.9,128.65,118.8,126.7,126.4,124.29,275472,3423859604999.9995,4649,61299,0.2225
2022-05-19,FACT,EQ,126.4,122.1,128.1,121.1,121.5,122.3,124.75,423764,5286454900000.0,6530,77705,0.1834
2022-05-20,FACT,EQ,122.3,124.9,127.0,123.15,126.0,125.8,124.88,189644,2368348075000.0,3329,44189,0.233
2022-05-23,FACT,EQ,125.8,126.9,134.15,123.0,128.45,128.5,130.39,648830,8460075500000.0,11004,161386,0.2487
2022-05-24,FACT,EQ,128.5,130.0,131.6,127.1,129.0,129.6,129.78,270758,3514009810000.0,4293,71388,0.2637
2022-05-25,FACT,EQ,129.6,128.0,129.55,120.0,121.55,121.35,124.34,141675,1761538870000.0,3001,56813,0.401
2022-05-26,FACT,EQ,121.35,121.35,123.7,115.2,119.9,120.6,119.37,236152,2818841525000.0,4608,71635,0.3033
2022-05-27,FACT,EQ,120.6,122.0,123.45,120.45,121.0,121.35,121.79,115216,1403236040000.0,2997,28011,0.24309999999999998
2022-05-30,FACT,EQ,121.35,122.25,126.3,122.15,122.8,123.0,123.55,207618,2565168430000.0,4651,36308,0.1749
2022-05-31,FACT,EQ,123.0,124.9,126.4,122.6,123.85,124.4,124.6,133837,1667627630000.0,2572,51919,0.3879
2022-06-01,FACT,EQ,124.4,124.4,130.0,124.4,128.2,128.15,128.33,299830,3847818529999.9995,4978,82497,0.2751
2022-06-02,FACT,EQ,128.15,127.95,130.75,126.45,128.0,127.9,129.06,159455,2057904550000.0,2796,47450,0.29760000000000003
2022-06-03,FACT,EQ,127.9,128.7,129.45,124.6,125.9,125.3,127.19,61874,786959520000.0,1505,26314,0.4253
2022-06-06,FACT,EQ,125.3,125.0,129.35,123.55,127.5,127.55,127.59,302911,3864805820000.0005,5354,59018,0.1948
2022-06-07,FACT,EQ,127.55,127.35,129.9,124.25,125.4,125.9,127.2,207466,2638953210000.0,3269,44645,0.2152
2022-06-08,FACT,EQ,125.9,126.2,126.7,123.9,124.0,124.75,124.94,108488,1355449660000.0,2368,34162,0.3149
2022-06-09,FACT,EQ,124.75,125.0,125.2,123.0,123.0,123.7,123.97,56675,702598550000.0,1242,29088,0.5132
2022-06-10,FACT,EQ,123.7,122.15,122.6,120.0,120.75,120.45,120.9,99680,1205095265000.0,2090,50501,0.5065999999999999
2022-06-13,FACT,EQ,120.45,118.6,118.6,113.5,113.8,113.85,115.28,102257,1178777495000.0,2944,61144,0.5979
2022-06-14,FACT,EQ,113.85,110.0,115.7,110.0,113.05,113.15,113.68,80226,912046860000.0,2613,24759,0.3086
2022-06-15,FACT,EQ,113.15,113.75,114.7,112.0,112.5,112.4,113.47,64148,727905840000.0,2281,23148,0.36090000000000005
2022-06-16,FACT,EQ,112.4,114.0,116.7,109.9,110.7,110.4,112.81,102046,1151221325000.0,2757,35023,0.3432
2022-06-17,FACT,EQ,110.4,110.95,110.95,99.7,101.2,101.15,103.15,326246,3365159175000.0,5171,215474,0.6605
2022-06-20,FACT,EQ,101.15,101.2,101.2,82.35,87.8,87.15,87.69,1373421,12044195450000.0,20579,295182,0.21489999999999998
2022-06-21,FACT,EQ,87.15,89.9,102.5,89.05,97.8,97.15,96.59,2831209,27347582395000.0,30602,183963,0.065
2022-06-22,FACT,EQ,97.15,97.95,98.65,94.25,96.2,96.45,95.84,488783,4684665060000.0,9253,65206,0.1334
2022-06-23,FACT,EQ,96.45,97.55,97.9,94.6,95.8,95.95,96.26,262867,2530476115000.0,4065,68317,0.33530000000000004
2022-06-24,FACT,EQ,95.95,96.45,97.7,95.6,96.95,96.5,96.6,150808,1456848910000.0,2937,54248,0.3597
2022-06-27,FACT,EQ,96.5,97.95,99.85,97.5,98.0,98.4,98.74,193800,1913491055000.0,3347,80603,0.41590000000000005
2022-06-28,FACT,EQ,98.4,98.0,98.3,96.1,96.9,97.15,97.15,104880,1018936905000.0001,2531,41913,0.3996
2022-06-29,FACT,EQ,97.15,97.0,98.65,95.75,96.75,96.95,97.21,75984,738609430000.0,2187,30943,0.4072
2022-06-30,FACT,EQ,96.95,97.0,102.0,95.25,95.3,96.4,98.98,516034,5107666310000.0,9017,108791,0.2108
2022-07-01,FACT,EQ,96.4,96.4,96.4,93.4,95.0,94.65,94.84,227181,2154503375000.0,6419,73425,0.3232
2022-07-04,FACT,EQ,94.65,95.45,99.8,95.3,97.3,97.6,98.08,320866,3147142965000.0,6784,70539,0.2198
2022-07-05,FACT,EQ,97.6,98.1,98.4,95.0,95.75,95.85,96.98,183417,1778786480000.0,7818,57155,0.3116
2022-07-06,FACT,EQ,95.85,96.3,96.8,94.65,95.5,95.5,95.67,118896,1137535245000.0,2094,35039,0.2947
2022-07-07,FACT,EQ,95.5,96.05,97.9,96.05,96.8,96.8,96.93,141979,1376147715000.0,3481,39746,0.2799
2022-07-08,FACT,EQ,96.8,97.5,98.7,96.55,97.35,97.4,97.63,116529,1137729480000.0,2359,50356,0.43210000000000004
2022-07-11,FACT,EQ,97.4,96.8,102.0,96.7,99.95,99.8,100.42,442618,4444583635000.0,6816,95913,0.21670000000000003
2022-07-12,FACT,EQ,99.8,99.8,101.4,99.1,99.9,99.8,100.31,168673,1691897885000.0002,2840,53155,0.31510000000000005
2022-07-13,FACT,EQ,99.8,100.25,101.7,97.6,99.5,99.55,99.98,168449,1684209475000.0,3450,42677,0.2534
2022-07-14,FACT,EQ,99.55,99.6,100.85,97.5,98.3,98.65,99.06,129563,1283495575000.0,2976,32985,0.2546
2022-07-15,FACT,EQ,98.65,99.0,99.75,97.0,98.8,98.7,98.53,105617,1040683975000.0,2176,21021,0.19899999999999998
2022-07-18,FACT,EQ,98.7,99.2,105.05,99.15,101.5,101.55,102.17,325144,3321885955000.0,5536,91001,0.2799
2022-07-19,FACT,EQ,101.55,100.0,103.0,100.0,102.3,102.0,101.5,161690,1641184210000.0,2652,55089,0.3407
2022-07-20,FACT,EQ,102.0,102.55,104.4,102.0,102.75,102.55,103.39,204870,2118226510000.0002,3160,56624,0.27640000000000003
2022-07-21,FACT,EQ,102.55,103.15,104.5,102.15,103.95,103.5,103.57,82365,853078815000.0,1896,33186,0.4029
2022-07-22,FACT,EQ,103.5,104.0,108.4,104.0,105.65,105.55,106.73,535866,5719412400000.0,8676,134389,0.25079999999999997
2022-07-25,FACT,EQ,105.55,105.7,105.9,102.7,103.45,104.15,104.13,98875,1029570675000.0,2540,39195,0.39640000000000003
2022-07-26,FACT,EQ,104.15,104.3,104.3,101.15,101.85,102.1,103.08,51821,534146730000.0,1487,26850,0.5181
2022-07-27,FACT,EQ,102.1,102.95,103.5,101.6,102.6,102.95,102.85,95841,985725010000.0,2483,22293,0.23260000000000003
2022-07-28,FACT,EQ,102.95,103.9,104.5,102.8,103.4,103.15,103.51,61927,641014375000.0,1482,25159,0.40630000000000005
2022-07-29,FACT,EQ,103.15,103.5,117.45,103.5,113.0,113.55,113.56,2873806,32636283460000.004,29270,298335,0.1038
2022-08-01,FACT,EQ,113.55,112.95,116.0,110.2,114.35,114.05,112.37,520998,5854427640000.0,8324,93224,0.1789
2022-08-02,FACT,EQ,114.05,113.9,114.0,111.6,112.75,112.75,112.86,173889,1962562900000.0,3279,72118,0.4147
2022-08-03,FACT,EQ,112.75,113.5,113.6,109.55,110.45,110.45,111.17,126656,1408021205000.0,2911,57300,0.4524
2022-08-04,FACT,EQ,110.45,114.0,121.4,112.15,115.55,116.7,117.77,1842260,21697031255000.0,25353,199172,0.1081
2022-08-05,FACT,EQ,116.7,117.55,126.75,115.0,122.8,122.8,123.47,2414442,29812276085000.004,26483,266661,0.1104
2022-08-08,FACT,EQ,122.8,123.25,123.25,118.0,118.2,119.25,120.42,308439,3714289079999.9995,6800,97160,0.315
2022-08-10,FACT,EQ,119.25,119.9,119.9,115.35,116.0,116.25,117.52,255273,3000008905000.0,4448,94341,0.36960000000000004
2022-08-11,FACT,EQ,116.25,118.6,118.75,114.65,117.0,117.2,116.8,219872,2568005530000.0,3919,51365,0.2336
2022-08-12,FACT,EQ,117.2,119.0,119.0,115.75,116.2,116.45,116.88,200897,2348045090000.0,4073,54800,0.27280000000000004
2022-08-16,FACT,EQ,116.45,116.2,120.95,115.75,119.5,119.45,118.67,262740,3117818515000.0,5995,97404,0.37070000000000003
2022-08-17,FACT,EQ,119.45,119.0,120.9,116.7,118.75,118.15,118.78,161138,1913917455000.0,3815,52968,0.3287
2022-08-18,FACT,EQ,118.15,116.9,127.6,116.9,121.3,121.4,122.56,564964,6923952920000.0,9888,113334,0.2006
2022-08-19,FACT,EQ,121.4,119.95,122.5,117.2,120.9,121.6,120.34,237592,2859160125000.0,4357,82317,0.3465
2022-08-22,FACT,EQ,121.6,118.8,119.95,117.8,117.8,118.05,118.56,110264,1307252130000.0,2869,44144,0.40030000000000004
2022-08-23,FACT,EQ,118.05,115.7,118.75,115.7,118.1,117.85,117.67,160634,1890237785000.0002,3990,40948,0.2549
2022-08-24,FACT,EQ,117.85,120.0,124.6,118.3,123.45,123.1,122.98,718427,8834954460000.0,11141,205801,0.2865
