Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,FINPIPE,EQ,148.3,147.3,148.9,144.65,147.05,146.6,146.68,432085,6337876825000.0,15404,235698,0.5455
2022-03-08,FINPIPE,EQ,146.6,146.5,150.95,144.15,147.35,147.35,146.92,514070,7552858509999.999,13492,225708,0.4391
2022-03-09,FINPIPE,EQ,147.35,148.35,154.45,146.55,153.7,153.2,150.91,532324,8033136334999.999,12420,235514,0.4424
2022-03-10,FINPIPE,EQ,153.2,156.7,159.55,154.6,157.9,156.85,157.76,408314,6441581205000.0,10472,186069,0.4557
2022-03-11,FINPIPE,EQ,156.85,157.8,159.0,155.0,156.25,156.2,156.55,387338,6063814275000.0,10023,138225,0.3569
2022-03-14,FINPIPE,EQ,156.2,157.0,159.5,153.5,155.4,155.3,155.17,363721,5644028615000.0,11223,208164,0.5723
2022-03-15,FINPIPE,EQ,155.3,157.0,159.3,152.05,154.0,153.7,155.63,471539,7338411825000.0,16098,257693,0.5465
2022-03-16,FINPIPE,EQ,153.7,155.1,156.9,151.8,153.8,153.4,153.69,579909,8912751710000.0,21252,296278,0.5109
2022-03-17,FINPIPE,EQ,153.4,156.5,162.05,154.5,155.65,155.95,158.25,1347456,21322940620000.0,21697,544603,0.4042
2022-03-21,FINPIPE,EQ,155.95,158.25,159.05,155.2,156.2,156.35,157.0,472085,7411883800000.0,11208,234619,0.49700000000000005
2022-03-22,FINPIPE,EQ,156.35,156.8,157.2,153.35,156.0,154.75,154.78,416424,6445299980000.0,11097,217019,0.5211
2022-03-23,FINPIPE,EQ,154.75,156.0,156.75,151.5,152.2,152.35,153.99,411437,6335837595000.0,12728,218423,0.5309
2022-03-24,FINPIPE,EQ,152.35,152.35,154.95,151.85,152.7,152.25,153.44,382337,5866673460000.0,11645,207038,0.5415
2022-03-25,FINPIPE,EQ,152.25,152.7,154.15,151.0,151.8,151.65,152.29,334368,5092111355000.0,9604,185665,0.5553
2022-03-28,FINPIPE,EQ,151.65,151.65,152.35,148.0,148.0,148.5,149.58,423437,6333925995000.0,11732,216849,0.5121
2022-03-29,FINPIPE,EQ,148.5,150.0,152.0,148.0,148.5,149.2,149.89,497611,7458672025000.0,13980,268374,0.5393
2022-03-30,FINPIPE,EQ,149.2,150.0,158.0,150.0,154.2,154.7,154.91,776610,12030717690000.0,13558,307045,0.3954
2022-03-31,FINPIPE,EQ,154.7,155.45,157.35,152.5,153.1,154.65,155.36,505348,7851091809999.999,11591,264860,0.5241
2022-04-01,FINPIPE,EQ,154.65,154.45,157.55,153.1,154.8,153.85,154.83,568081,8795685265000.001,15345,346861,0.6106
2022-04-04,FINPIPE,EQ,153.85,156.0,159.65,155.45,159.35,159.05,158.55,627766,9952924350000.0,12158,286586,0.4565
2022-04-05,FINPIPE,EQ,159.05,162.0,168.8,160.0,168.7,167.55,164.73,1120354,18455270385000.0,18626,458952,0.4096
2022-04-06,FINPIPE,EQ,167.55,166.75,169.8,164.1,166.55,166.4,166.88,753306,12571104200000.0,12641,387508,0.5144
2022-04-07,FINPIPE,EQ,166.4,167.25,169.7,163.0,164.0,163.4,164.83,611474,10079218435000.0,19384,315470,0.5159
2022-04-08,FINPIPE,EQ,163.4,164.3,167.5,163.75,164.55,165.6,164.57,1432360,23571673715000.0,9568,1091353,0.7619
2022-04-11,FINPIPE,EQ,165.6,166.1,171.4,166.1,169.9,170.2,169.49,725890,12303013230000.0,12496,274282,0.3779
2022-04-12,FINPIPE,EQ,170.2,170.2,170.8,163.0,164.0,163.9,166.01,889752,14771182255000.002,18804,494476,0.5557
2022-04-13,FINPIPE,EQ,163.9,164.9,166.7,163.15,164.2,164.0,164.82,388433,6402314210000.0,7869,192201,0.49479999999999996
2022-04-18,FINPIPE,EQ,164.0,164.8,164.8,159.65,161.5,161.05,160.89,382995,6161921495000.0,7959,192914,0.5037
2022-04-19,FINPIPE,EQ,161.05,162.3,165.9,157.9,159.2,161.0,163.49,372118,6083726005000.0,8177,175662,0.4721
2022-04-20,FINPIPE,EQ,161.0,161.85,165.0,160.55,163.5,163.1,163.4,333893,5455952180000.0,8194,145891,0.4369
2022-04-21,FINPIPE,EQ,163.1,163.5,164.45,161.0,162.75,162.4,162.34,307613,4993838960000.0,7398,175005,0.5689000000000001
2022-04-22,FINPIPE,EQ,162.4,162.4,165.4,160.7,162.9,161.95,163.94,778153,12757115310000.0,8199,559892,0.7195
2022-04-25,FINPIPE,EQ,161.95,161.0,161.85,159.0,159.0,159.2,159.97,272662,4361824500000.0,7748,157599,0.578
2022-04-26,FINPIPE,EQ,159.2,161.9,161.9,157.2,157.9,157.95,158.88,259922,4129651175000.0,7959,142352,0.5477000000000001
2022-04-27,FINPIPE,EQ,157.95,156.9,157.95,153.3,155.35,156.1,155.13,275693,4276769960000.0,6941,137572,0.499
2022-04-28,FINPIPE,EQ,156.1,156.9,160.9,154.6,159.0,158.8,156.72,256987,4027457854999.9995,6147,119957,0.4668
2022-04-29,FINPIPE,EQ,158.8,159.3,160.6,155.55,156.0,156.2,157.82,279383,4409241340000.0,6319,135318,0.4843
2022-05-02,FINPIPE,EQ,156.2,154.8,156.2,152.4,156.0,155.15,154.21,234987,3623841685000.0,7609,102999,0.43829999999999997
2022-05-04,FINPIPE,EQ,155.15,156.0,156.2,147.1,148.15,148.75,150.21,622571,9351918205000.0,16827,347442,0.5581
2022-05-05,FINPIPE,EQ,148.75,151.0,152.6,144.95,146.35,145.5,147.87,624305,9231463760000.0,21055,311355,0.4987
2022-05-06,FINPIPE,EQ,145.5,144.95,147.9,142.2,147.4,145.85,145.44,437604,6364688595000.0,10348,181273,0.4142
2022-05-09,FINPIPE,EQ,145.85,146.3,147.4,141.6,143.7,143.75,143.7,246244,3538571250000.0,7034,106871,0.434
2022-05-10,FINPIPE,EQ,143.75,144.2,147.0,125.0,144.5,145.25,144.98,337049,4886389480000.0,9588,163957,0.4864
2022-05-11,FINPIPE,EQ,145.25,145.95,147.2,139.0,140.0,140.2,141.09,359476,5071709270000.0,9410,188105,0.5233
2022-05-12,FINPIPE,EQ,140.2,140.9,142.0,127.5,141.0,139.7,138.78,410667,5699223280000.0,14245,183498,0.44680000000000003
2022-05-13,FINPIPE,EQ,139.7,142.15,144.25,139.0,139.8,139.8,141.57,269046,3808768925000.0,11228,106117,0.3944
2022-05-16,FINPIPE,EQ,139.8,140.5,142.0,136.0,138.5,137.25,138.57,314102,4352598360000.0,10110,162721,0.5181
2022-05-17,FINPIPE,EQ,137.25,138.4,144.0,138.4,143.9,142.35,141.54,259217,3669026315000.0,9130,137904,0.532
2022-05-18,FINPIPE,EQ,142.35,144.0,149.85,144.0,148.6,147.75,147.16,460639,6778721495000.0,9368,185048,0.4017
2022-05-19,FINPIPE,EQ,147.75,146.4,152.9,144.25,149.2,149.75,149.4,901942,13474701000000.0,17058,316030,0.3504
2022-05-20,FINPIPE,EQ,149.75,153.4,153.4,149.45,150.45,150.7,151.07,353809,5344868770000.0,6644,159541,0.4509
2022-05-23,FINPIPE,EQ,150.7,151.45,152.2,148.45,149.8,149.4,150.18,277775,4171701310000.0,6573,127797,0.4601
2022-05-24,FINPIPE,EQ,149.4,148.5,150.85,145.15,146.5,145.95,147.23,128446,1891070605000.0,4213,57081,0.44439999999999996
2022-05-25,FINPIPE,EQ,145.95,146.5,147.0,139.2,140.2,140.25,141.66,308237,4366589579999.9995,8597,148718,0.4825
2022-05-26,FINPIPE,EQ,140.25,140.0,143.5,138.0,139.55,139.3,139.77,463573,6479383910000.0,18569,255460,0.5511
2022-05-27,FINPIPE,EQ,139.3,141.9,145.5,141.6,145.5,144.4,143.38,217096,3112740525000.0,8309,104767,0.4826
2022-05-30,FINPIPE,EQ,144.4,146.0,154.5,144.4,154.5,153.1,150.97,469778,7092222265000.001,10256,247087,0.526
2022-05-31,FINPIPE,EQ,153.1,153.1,158.25,151.7,157.0,157.0,156.43,593822,9289295110000.0,13604,388685,0.6545000000000001
2022-06-01,FINPIPE,EQ,157.0,157.8,159.45,152.65,157.15,156.1,154.9,478311,7409242675000.0,12183,235121,0.4916
2022-06-02,FINPIPE,EQ,156.1,155.5,159.35,155.1,157.3,156.9,157.13,319377,5018381095000.0,7332,156042,0.4886
2022-06-03,FINPIPE,EQ,156.9,157.8,162.0,157.3,161.0,160.95,160.3,740785,11874679010000.0,13335,326182,0.4403
2022-06-06,FINPIPE,EQ,160.95,160.4,164.0,156.35,163.7,163.45,161.71,578685,9358051480000.0,11251,280703,0.4851
2022-06-07,FINPIPE,EQ,163.45,163.7,163.7,158.0,159.0,158.75,159.78,249412,3985057920000.0005,5322,121180,0.48590000000000005
2022-06-08,FINPIPE,EQ,158.75,160.4,160.5,153.05,153.65,153.55,155.51,301896,4694925910000.0,7440,148391,0.4915
2022-06-09,FINPIPE,EQ,153.55,153.0,154.8,152.25,154.35,154.05,153.71,197857,3041181055000.0,5666,83448,0.4218
2022-06-10,FINPIPE,EQ,154.05,152.75,156.2,152.1,156.2,154.85,153.78,138293,2126715310000.0002,3003,81624,0.5902000000000001
2022-06-13,FINPIPE,EQ,154.85,153.0,153.0,147.2,147.85,147.85,149.34,337119,5034662715000.0,7727,158326,0.4696
2022-06-14,FINPIPE,EQ,147.85,147.0,150.65,140.1,145.0,144.15,145.86,282446,4119617354999.9995,8706,129365,0.45799999999999996
2022-06-15,FINPIPE,EQ,144.15,145.85,150.2,142.5,143.0,143.15,146.28,370900,5425548585000.0,10281,136586,0.3683
2022-06-16,FINPIPE,EQ,143.15,146.0,168.9,137.0,138.45,138.2,140.97,703771,9921121630000.0,26243,366318,0.5205
2022-06-17,FINPIPE,EQ,138.2,137.5,141.0,133.1,134.45,133.95,135.53,474136,6425938215000.0,17095,250400,0.5281
2022-06-20,FINPIPE,EQ,133.95,134.7,136.0,129.2,131.0,130.65,131.68,348513,4589252245000.0,9029,190373,0.5462
2022-06-21,FINPIPE,EQ,130.65,131.3,138.5,131.0,137.35,137.35,135.47,325798,4413694645000.0,9919,160211,0.4917
2022-06-22,FINPIPE,EQ,137.35,137.05,138.0,135.0,136.0,136.25,136.15,251449,3423474470000.0005,9444,132506,0.527
2022-06-23,FINPIPE,EQ,136.25,136.5,140.65,135.95,139.7,139.0,138.65,257930,3576195895000.0005,11217,92838,0.46020000000000005
2022-06-24,FINPIPE,EQ,139.0,139.7,141.45,137.85,139.25,138.6,139.65,235513,3288892045000.0,11637,121701,0.5167
2022-06-27,FINPIPE,EQ,138.6,141.35,141.45,138.25,138.6,139.25,139.55,166702,2326312545000.0,6365,83462,0.5007
2022-06-28,FINPIPE,EQ,139.25,139.0,139.95,136.3,136.5,137.2,137.65,272480,3750720520000.0005,5876,170223,0.6247
2022-06-29,FINPIPE,EQ,137.2,136.0,137.15,134.7,135.25,135.0,135.7,249305,3383173785000.0,4983,146635,0.5882000000000001
2022-06-30,FINPIPE,EQ,135.0,135.5,137.25,135.45,135.85,136.2,136.25,174105,2372149905000.0,3461,98425,0.5653
2022-07-01,FINPIPE,EQ,136.2,135.8,137.5,134.1,137.2,136.7,135.69,118082,1602287350000.0,3347,57344,0.48560000000000003
2022-07-04,FINPIPE,EQ,136.7,137.1,138.5,136.0,137.2,137.05,136.8,168200,2300969285000.0,4373,95994,0.5707
2022-07-05,FINPIPE,EQ,137.05,137.75,139.8,137.0,138.4,137.75,138.46,432963,5994946275000.0,4349,320588,0.7404999999999999
2022-07-06,FINPIPE,EQ,137.75,138.4,140.05,137.75,139.75,139.45,139.22,291539,4058867404999.9995,6171,191605,0.6572
2022-07-07,FINPIPE,EQ,139.45,140.25,141.25,137.8,139.2,138.95,139.5,281330,3924635935000.0,11331,191589,0.6809999999999999
2022-07-08,FINPIPE,EQ,138.95,140.6,140.7,138.5,139.5,139.0,139.18,327363,4556084215000.0,12398,229797,0.7020000000000001
2022-07-11,FINPIPE,EQ,139.0,139.5,141.45,136.35,136.75,136.8,137.83,393825,5428010435000.0,14617,234539,0.5955
2022-07-12,FINPIPE,EQ,136.8,136.9,137.3,134.7,135.1,135.45,135.91,324132,4405269220000.0,12937,204187,0.63
2022-07-13,FINPIPE,EQ,135.45,136.1,136.55,134.75,135.5,135.45,135.7,202959,2754135200000.0,9165,121939,0.6008
2022-07-14,FINPIPE,EQ,135.45,136.0,136.4,132.05,133.05,132.4,133.43,319251,4259902445000.0005,8758,210305,0.6587000000000001
2022-07-15,FINPIPE,EQ,132.4,133.1,134.2,132.1,133.75,133.6,133.15,233079,3103383190000.0,5786,116951,0.5018
2022-07-18,FINPIPE,EQ,133.6,134.85,136.8,134.35,136.5,135.95,135.2,220502,2981224550000.0,8135,137955,0.6256
2022-07-19,FINPIPE,EQ,135.95,136.3,137.55,135.0,137.2,136.9,136.6,345290,4716654310000.0,10582,213499,0.6183
2022-07-20,FINPIPE,EQ,136.9,138.8,139.0,136.5,137.0,137.1,137.73,395722,5450431950000.0,12549,227449,0.5748
2022-07-21,FINPIPE,EQ,137.1,139.6,141.2,137.8,139.8,139.4,139.54,456617,6371427580000.0,12129,202175,0.4428
2022-07-22,FINPIPE,EQ,139.4,140.85,141.3,139.1,139.9,140.05,140.34,437759,6143392120000.0,10957,240537,0.5495
2022-07-25,FINPIPE,EQ,140.05,136.0,136.0,131.5,131.75,131.9,132.73,1379484,18309776725000.0,20606,783281,0.5678
2022-07-26,FINPIPE,EQ,131.9,130.5,132.0,129.7,131.05,131.35,130.82,551585,7215854515000.001,10142,304294,0.5517000000000001
2022-07-27,FINPIPE,EQ,131.35,131.6,133.6,131.25,132.0,132.15,132.61,246374,3267058615000.0,7171,140911,0.5719
2022-07-28,FINPIPE,EQ,132.15,133.2,134.35,131.25,132.5,133.3,132.54,374356,4961561090000.0,7587,209540,0.5597
2022-07-29,FINPIPE,EQ,133.3,134.0,134.15,131.5,133.0,132.75,132.95,656198,8724379865000.001,11882,433139,0.6601
2022-08-01,FINPIPE,EQ,132.75,134.35,137.55,134.0,136.3,136.1,135.88,723073,9824837445000.0,13878,333693,0.4615
2022-08-02,FINPIPE,EQ,136.1,136.1,140.75,135.0,138.75,139.0,138.45,885668,12261649790000.0,16979,434344,0.4904
2022-08-03,FINPIPE,EQ,139.0,139.65,139.8,136.6,137.35,137.5,137.56,406652,5594103195000.0,7504,225321,0.5540999999999999
2022-08-04,FINPIPE,EQ,137.5,137.65,138.3,134.5,136.2,136.1,136.26,421503,5743609580000.0,6568,210739,0.5
2022-08-05,FINPIPE,EQ,136.1,138.0,138.0,132.0,135.3,134.6,135.58,521864,7075583055000.0,7214,274315,0.5256000000000001
2022-08-08,FINPIPE,EQ,134.6,135.5,139.2,135.3,138.45,138.25,137.78,512972,7067644834999.999,8902,298241,0.5814
2022-08-10,FINPIPE,EQ,138.25,138.25,138.95,137.2,138.3,138.15,138.23,326088,4507412140000.0,6491,170188,0.5219
2022-08-11,FINPIPE,EQ,138.15,139.0,139.25,137.65,138.45,138.25,138.08,727605,10046924875000.0,6053,612874,0.8423
2022-08-12,FINPIPE,EQ,138.25,139.0,144.4,138.45,143.2,143.15,142.55,1021533,14561492075000.0,14464,439593,0.4303
2022-08-16,FINPIPE,EQ,143.15,144.9,147.8,143.05,144.0,144.0,145.6,1222673,17802154840000.0,15920,667640,0.546
2022-08-17,FINPIPE,EQ,144.0,144.75,145.9,141.1,141.3,141.6,142.69,907353,12946578660000.0,11770,580885,0.6402
2022-08-18,FINPIPE,EQ,141.6,142.15,147.45,142.15,146.5,146.35,145.77,1021333,14887767060000.0,11677,527993,0.517
2022-08-19,FINPIPE,EQ,146.35,147.0,148.0,144.3,146.0,145.9,146.38,585259,8567140305000.0,7996,310951,0.5313
2022-08-22,FINPIPE,EQ,145.9,142.15,143.9,140.3,142.35,141.75,141.63,3075026,43550679870000.0,10704,2627186,0.8544
