Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-05-16,FLUOROCHEM,EQ,2376.35,2450.0,2495.15,2400.0,2495.15,2495.15,2480.87,10500,2604909335000.0,1034,10198,0.9712000000000001
2022-05-17,FLUOROCHEM,EQ,2495.15,2574.0,2619.9,2573.9,2619.9,2619.9,2601.04,26285,6836846170000.0,993,21523,0.8188
2022-05-18,FLUOROCHEM,EQ,2619.9,2720.0,2736.4,2570.0,2636.35,2640.8,2655.32,97448,25875555175000.0,9628,68633,0.7043
2022-05-19,FLUOROCHEM,EQ,2640.8,2552.0,2598.0,2532.0,2588.0,2557.0,2552.97,98779,25217989020000.0,6496,79617,0.8059999999999999
2022-05-20,FLUOROCHEM,EQ,2557.0,2610.0,2665.2,2550.0,2580.0,2582.75,2619.84,54697,14329724900000.0,7101,39580,0.7236
2022-05-23,FLUOROCHEM,EQ,2582.75,2595.0,2708.0,2584.85,2655.0,2669.1,2681.74,51701,13864876305000.002,7148,35573,0.6881
2022-05-24,FLUOROCHEM,EQ,2669.1,2693.0,2739.9,2665.0,2680.0,2702.15,2715.79,51656,14028707965000.0,9802,33837,0.655
2022-05-25,FLUOROCHEM,EQ,2702.15,2690.45,2749.9,2567.05,2607.0,2606.2,2684.22,62812,16860153475000.0,8770,43561,0.6935
2022-05-26,FLUOROCHEM,EQ,2606.2,2629.0,2693.0,2475.9,2686.0,2666.15,2598.31,65792,17094768744999.998,8848,43383,0.6594
2022-05-27,FLUOROCHEM,EQ,2666.15,2710.0,2745.0,2680.0,2745.0,2724.8,2721.81,40262,10958534150000.0,5756,29495,0.7326
2022-05-30,FLUOROCHEM,EQ,2724.8,2751.0,2821.9,2730.1,2804.9,2806.35,2803.86,73659,20652972015000.0,9685,53414,0.7252
2022-05-31,FLUOROCHEM,EQ,2806.35,2833.0,2897.45,2790.05,2845.0,2887.25,2880.76,117731,33915472485000.004,12051,93273,0.7923
