Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,FSL,EQ,126.45,124.0,127.5,122.3,126.95,126.7,125.6,2771859,34813354575000.0,19613,580241,0.2093
2022-03-08,FSL,EQ,126.7,126.95,130.7,126.2,127.5,127.35,128.35,3050198,39148127225000.0,22296,917675,0.3009
2022-03-09,FSL,EQ,127.35,128.3,131.4,127.7,130.15,129.9,129.41,2907274,37621860980000.0,17443,728105,0.2504
2022-03-10,FSL,EQ,129.9,132.0,133.0,126.1,127.5,128.35,129.3,4628476,59846027690000.0,27887,1259614,0.2721
2022-03-11,FSL,EQ,128.35,127.5,129.0,123.8,124.45,124.15,125.88,3406853,42883864890000.0,23761,1447515,0.42490000000000006
2022-03-14,FSL,EQ,124.15,125.35,125.85,123.3,124.45,124.8,124.7,2828536,35271974670000.0,17356,754734,0.2668
2022-03-15,FSL,EQ,124.8,125.1,127.1,121.15,122.55,122.85,124.28,4009401,49827807120000.0,25923,1285888,0.3207
2022-03-16,FSL,EQ,122.85,124.0,127.4,123.7,125.3,125.45,125.29,3361742,42119849820000.0,25455,917886,0.273
2022-03-17,FSL,EQ,125.45,127.0,127.85,125.35,125.8,125.65,126.56,2301566,29127791985000.004,17336,734347,0.3191
2022-03-21,FSL,EQ,125.65,126.8,127.4,123.0,123.2,123.4,124.76,2590134,32314577895000.0,17815,911077,0.3517
2022-03-22,FSL,EQ,123.4,123.6,128.4,120.35,125.6,125.6,124.93,5877071,73422559865000.0,34282,1221425,0.2078
2022-03-23,FSL,EQ,125.6,126.95,128.1,125.05,125.7,125.8,126.34,2295769,29005067400000.0,16684,672395,0.2929
2022-03-24,FSL,EQ,125.8,125.6,134.85,125.0,133.8,133.5,131.63,10004021,131686203309999.98,56573,2852482,0.2851
2022-03-25,FSL,EQ,133.5,135.5,135.9,131.4,131.5,132.0,133.24,7137731,95103400710000.0,40229,2171631,0.3042
2022-03-28,FSL,EQ,132.0,132.1,132.1,126.15,127.1,127.3,128.26,4064441,52132012020000.0,22614,977667,0.24050000000000002
2022-03-29,FSL,EQ,127.3,128.25,128.95,126.4,127.0,126.65,127.51,2584863,32959128339999.996,15318,949203,0.36719999999999997
2022-03-30,FSL,EQ,126.65,127.5,130.0,126.65,126.75,127.1,127.87,3683983,47108570295000.0,23018,1323051,0.3591
2022-03-31,FSL,EQ,127.1,127.15,127.9,124.1,125.05,125.05,125.52,4092720,51370143995000.0,26513,1587175,0.38780000000000003
2022-04-01,FSL,EQ,125.05,125.45,128.9,124.45,128.8,128.4,127.24,2358495,30009766030000.0,15832,696423,0.2953
2022-04-04,FSL,EQ,128.4,129.5,133.45,129.05,132.5,132.55,131.66,3870412,50957065170000.0,23677,1045140,0.27
2022-04-05,FSL,EQ,132.55,133.55,135.2,131.75,132.95,132.95,133.48,4380078,58465176010000.0,29756,1415111,0.32310000000000005
2022-04-06,FSL,EQ,132.95,132.0,134.2,131.15,132.45,132.7,132.71,3294857,43724583825000.0,21140,1087331,0.33
2022-04-07,FSL,EQ,132.7,132.7,140.0,131.8,136.3,136.3,136.93,13063768,178886477375000.0,64890,2920544,0.2236
2022-04-08,FSL,EQ,136.3,137.55,137.75,134.5,135.5,135.3,135.81,3935266,53444130080000.0,22443,1304235,0.33140000000000003
2022-04-11,FSL,EQ,135.3,135.9,136.95,133.6,134.0,133.85,134.96,2715991,36654878525000.0,17197,954424,0.3514
2022-04-12,FSL,EQ,133.85,133.5,133.5,127.6,129.0,128.95,130.35,4730924,61668576379999.99,27291,1426266,0.3015
2022-04-13,FSL,EQ,128.95,129.6,134.4,128.6,131.7,131.7,131.98,5032152,66411905925000.0,32033,1254931,0.2494
2022-04-18,FSL,EQ,131.7,131.25,131.25,125.6,127.7,127.45,127.41,3333800,42477038910000.0,25576,1117428,0.33520000000000005
2022-04-19,FSL,EQ,127.45,128.7,129.7,123.1,124.35,125.2,127.29,3147475,40064014865000.0,19777,1435422,0.4561
2022-04-20,FSL,EQ,125.2,126.6,130.3,124.1,128.0,127.85,127.8,4822934,61638298629999.99,29394,1716940,0.35600000000000004
2022-04-21,FSL,EQ,127.85,128.5,129.5,127.75,129.15,128.9,128.67,2639804,33967570295000.0,18113,1220904,0.4625
2022-04-22,FSL,EQ,128.9,128.05,131.5,127.4,128.15,128.0,129.18,2666791,34448536050000.0,18816,844540,0.31670000000000004
2022-04-25,FSL,EQ,128.0,127.0,127.0,123.9,124.5,124.25,125.14,2328943,29144253870000.0,18515,823563,0.3536
2022-04-26,FSL,EQ,124.25,126.3,126.5,124.15,124.75,124.7,125.16,1449286,18139836970000.0,10575,492051,0.3395
2022-04-27,FSL,EQ,124.7,124.0,124.3,117.75,121.75,121.75,120.6,5288704,63783032979999.99,31831,1096041,0.2072
2022-04-28,FSL,EQ,121.75,122.8,126.75,122.25,124.7,124.45,124.88,5665511,70749036275000.0,30330,1091721,0.1927
2022-04-29,FSL,EQ,124.45,125.45,127.2,124.45,124.85,125.0,125.58,2641569,33173317080000.0,14641,834480,0.3159
2022-05-02,FSL,EQ,125.0,123.7,124.0,121.25,122.45,122.5,122.41,2209672,27048686639999.996,20256,782304,0.354
2022-05-04,FSL,EQ,122.5,123.0,123.65,116.85,117.35,117.65,120.42,4194967,50515092050000.0,35737,1620531,0.38630000000000003
2022-05-05,FSL,EQ,117.65,118.1,124.95,112.5,114.8,114.8,119.47,19510849,233094504144999.97,92706,3657441,0.1875
2022-05-06,FSL,EQ,114.8,111.8,120.0,110.6,112.8,112.45,115.08,16766254,192942185935000.0,74713,3384827,0.20190000000000002
2022-05-09,FSL,EQ,112.45,112.0,114.95,107.4,113.15,113.35,111.64,6590920,73584206920000.0,36584,1151529,0.1747
2022-05-10,FSL,EQ,113.35,113.35,115.35,111.5,111.85,111.85,112.97,2956256,33395678964999.996,17115,758357,0.2565
2022-05-11,FSL,EQ,111.85,113.0,113.8,106.2,109.1,108.6,109.26,3899557,42606632335000.0,24003,901324,0.2311
2022-05-12,FSL,EQ,108.6,107.15,112.0,106.1,110.45,109.75,109.01,4014986,43765609880000.0,25633,877185,0.21850000000000003
