Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,GICRE,EQ,113.95,112.1,113.7,111.35,112.35,112.25,112.51,198913,2237965910000.0,4579,101833,0.5119
2022-03-08,GICRE,EQ,112.25,112.55,114.1,110.65,111.35,111.4,111.92,314021,3514674690000.0,5774,179342,0.5711
2022-03-09,GICRE,EQ,111.4,112.4,115.0,112.4,115.0,114.75,113.81,333447,3795112545000.0005,5123,213478,0.6402
2022-03-10,GICRE,EQ,114.75,118.0,118.1,115.8,115.8,116.2,116.84,249165,2911311905000.0,4394,136097,0.5462
2022-03-11,GICRE,EQ,116.2,116.9,116.9,115.2,115.65,115.7,115.95,240984,2794104425000.0,4327,134274,0.5572
2022-03-14,GICRE,EQ,115.7,116.3,116.4,114.0,114.2,114.25,114.99,240444,2764897815000.0,3814,146325,0.6086
2022-03-15,GICRE,EQ,114.25,114.25,115.75,113.8,114.35,114.25,114.71,212769,2440763675000.0,4482,115623,0.5434
2022-03-16,GICRE,EQ,114.25,114.5,124.9,114.5,122.5,122.3,122.57,9424923,115519262309999.98,75088,523497,0.0555
2022-03-17,GICRE,EQ,122.3,123.9,125.8,118.0,118.85,119.4,122.13,1817726,22200613815000.0,16645,771614,0.42450000000000004
2022-03-21,GICRE,EQ,119.4,120.75,120.75,117.15,117.5,117.55,118.3,550981,6518369145000.0,8560,215199,0.39060000000000006
2022-03-22,GICRE,EQ,117.55,117.1,117.45,114.85,116.2,116.15,116.29,367021,4268148640000.0,5781,180714,0.4924
2022-03-23,GICRE,EQ,116.15,116.6,117.8,115.25,115.35,115.65,116.43,373923,4353648815000.0,6650,155222,0.41509999999999997
2022-03-24,GICRE,EQ,115.65,115.1,116.25,114.85,115.25,115.15,115.34,300715,3468593345000.0005,4111,189390,0.6298
2022-03-25,GICRE,EQ,115.15,115.15,116.3,115.15,115.3,115.4,115.64,347995,4024255635000.0,4851,207148,0.5953
2022-03-28,GICRE,EQ,115.4,115.8,116.0,112.2,112.75,112.5,113.3,576455,6531481685000.0,7180,338321,0.5869
2022-03-29,GICRE,EQ,112.5,113.1,114.9,110.9,111.9,111.85,112.93,661126,7465945015000.001,10452,412481,0.6239
2022-03-30,GICRE,EQ,111.85,114.1,118.75,112.8,116.25,116.45,117.25,3559455,41734579330000.0,37339,432471,0.12150000000000001
