Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,GMRINFRA,EQ,37.3,36.95,36.95,35.7,36.8,36.4,36.25,7584430,27496029085000.004,31083,2400426,0.3165
2022-03-08,GMRINFRA,EQ,36.4,36.6,38.0,36.6,37.6,37.8,37.42,12066703,45154614620000.0,50545,1835891,0.1521
2022-03-09,GMRINFRA,EQ,37.8,38.1,39.95,38.0,39.6,39.65,38.98,16570605,64593579685000.0,44168,4242016,0.256
2022-03-10,GMRINFRA,EQ,39.65,40.85,40.85,38.9,39.1,39.2,39.59,15544953,61548490750000.0,54520,5205495,0.33490000000000003
2022-03-11,GMRINFRA,EQ,39.2,39.0,39.6,38.7,39.35,39.35,39.2,35053659,137397395020000.0,45096,26202768,0.7475
2022-03-14,GMRINFRA,EQ,39.35,39.3,39.5,38.15,38.75,38.75,38.78,14545197,56409217945000.01,43229,5692532,0.3914
2022-03-15,GMRINFRA,EQ,38.75,38.9,39.05,37.4,37.45,37.6,38.11,9946649,37909324950000.0,40863,2461001,0.24739999999999998
2022-03-16,GMRINFRA,EQ,37.6,38.15,38.65,38.0,38.5,38.5,38.48,19650499,75620967970000.0,37067,14724220,0.7493000000000001
2022-03-17,GMRINFRA,EQ,38.5,39.25,39.25,38.0,38.15,38.15,38.36,35106874,134684669095000.0,49561,26180175,0.7456999999999999
2022-03-21,GMRINFRA,EQ,38.15,38.4,38.4,37.3,37.5,37.4,37.63,12932689,48669828115000.0,44668,8111755,0.6272
2022-03-22,GMRINFRA,EQ,37.4,37.5,38.15,36.75,38.1,38.05,37.65,16687586,62827674695000.01,45919,8605108,0.5157
2022-03-23,GMRINFRA,EQ,38.05,38.3,38.45,37.05,37.15,37.2,37.61,17675444,66478074375000.0,42157,9224020,0.5219
2022-03-24,GMRINFRA,EQ,37.2,37.1,37.2,36.75,36.8,36.85,36.88,12203143,45011076500000.0,41432,8424363,0.6903
2022-03-25,GMRINFRA,EQ,36.85,37.0,37.25,36.45,36.65,36.7,36.96,17302323,63953003310000.0,42693,11526278,0.6662
2022-03-28,GMRINFRA,EQ,36.7,36.7,36.8,35.7,35.85,35.9,35.99,36688989,132042507850000.0,41079,27636662,0.7533
2022-03-29,GMRINFRA,EQ,35.9,36.0,37.0,35.45,36.65,36.7,36.43,16891895,61544218615000.0,44605,6087742,0.3604
2022-03-30,GMRINFRA,EQ,36.7,36.95,37.6,36.6,36.9,37.1,37.17,9158273,34039249730000.0,36826,3376003,0.3686
2022-03-31,GMRINFRA,EQ,37.1,37.05,37.6,36.35,36.85,36.95,36.97,14694242,54323810279999.99,39205,5230975,0.35600000000000004
2022-04-01,GMRINFRA,EQ,36.95,36.9,39.3,36.6,38.75,38.9,38.63,15793675,61010595375000.0,41246,4878900,0.3089
2022-04-04,GMRINFRA,EQ,38.9,39.2,39.8,38.7,39.1,39.1,39.15,10241970,40100955795000.0,43681,2936607,0.2867
