Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,GOCOLORS,EQ,940.0,931.9,931.9,888.0,897.8,896.65,906.4,93624,8486124209999.999,6128,58726,0.6273
2022-03-08,GOCOLORS,EQ,896.65,910.1,915.0,847.3,880.0,881.05,893.27,33624,3003535990000.0,3300,10720,0.3188
2022-03-09,GOCOLORS,EQ,881.05,900.0,900.0,865.0,876.0,878.2,876.25,120196,10532218235000.0,12045,69535,0.5785
2022-03-10,GOCOLORS,EQ,878.2,900.0,900.0,875.0,890.5,889.0,887.72,133719,11870459995000.0,10236,75273,0.5629
2022-03-11,GOCOLORS,EQ,889.0,890.0,893.35,868.0,886.0,885.35,881.93,77386,6824887934999.999,7368,39685,0.5128
2022-03-14,GOCOLORS,EQ,885.35,885.0,885.0,861.05,870.0,869.95,868.78,86018,7473071980000.0,5306,53929,0.627
2022-03-15,GOCOLORS,EQ,869.95,870.0,897.7,866.3,891.0,890.85,886.44,64068,5679216665000.0,6605,31754,0.49560000000000004
2022-03-16,GOCOLORS,EQ,890.85,895.0,910.0,883.85,904.15,902.95,895.67,26001,2328830755000.0,2719,12680,0.4877
2022-03-17,GOCOLORS,EQ,902.95,908.95,968.95,902.6,962.0,950.4,938.7,57584,5405382620000.0,6590,21767,0.378
2022-03-21,GOCOLORS,EQ,950.4,958.0,972.0,942.05,949.95,949.7,956.51,57108,5462432845000.0,6853,29820,0.5222
2022-03-22,GOCOLORS,EQ,949.7,954.3,954.3,917.1,941.0,941.1,929.23,35907,3336597745000.0,4622,15618,0.435
2022-03-23,GOCOLORS,EQ,941.1,935.0,977.95,922.0,974.5,973.6,958.35,57627,5522709415000.0,7344,24635,0.4275
2022-03-24,GOCOLORS,EQ,973.6,973.6,987.55,952.0,985.0,983.55,973.35,50235,4889643030000.0,6366,24729,0.49229999999999996
2022-03-25,GOCOLORS,EQ,983.55,995.0,995.0,941.25,975.0,965.25,973.84,56558,5507850400000.0,6856,27049,0.4783
2022-03-28,GOCOLORS,EQ,965.25,947.55,959.85,932.05,953.4,951.05,948.91,42957,4076211715000.0,4982,21218,0.4939
2022-03-29,GOCOLORS,EQ,951.05,994.9,994.9,947.6,975.6,991.15,974.7,96659,9421390070000.0,8303,53834,0.5569
2022-03-30,GOCOLORS,EQ,991.15,1003.0,1039.0,963.5,1010.05,1026.1,1014.83,99007,10047487135000.0,8755,57533,0.5811000000000001
2022-03-31,GOCOLORS,EQ,1026.1,1009.0,1025.0,990.0,1020.0,1011.5,1010.73,110501,11168658935000.0,13981,65139,0.5895
2022-04-01,GOCOLORS,EQ,1011.5,1012.0,1012.0,976.0,995.0,995.4,994.15,54091,5377452780000.0,4824,28170,0.5208
2022-04-04,GOCOLORS,EQ,995.4,999.0,1000.55,976.35,990.0,990.0,986.59,104982,10357442935000.0,11986,46988,0.4476
2022-04-05,GOCOLORS,EQ,990.0,990.0,1000.0,981.5,990.0,994.6,992.45,119816,11891139205000.0,12713,54471,0.4546
2022-04-06,GOCOLORS,EQ,994.6,994.6,1000.0,980.0,1000.0,995.75,990.36,247638,24525083810000.0,17468,156085,0.6303
2022-04-07,GOCOLORS,EQ,995.75,999.0,1000.0,984.45,996.0,996.2,994.94,42879,4266191210000.0,5432,17577,0.40990000000000004
2022-04-08,GOCOLORS,EQ,996.2,998.0,1000.0,982.0,999.0,995.45,994.08,158196,15725954680000.002,6576,125203,0.7914
2022-04-11,GOCOLORS,EQ,995.45,1024.0,1037.95,990.35,1005.0,1002.7,1011.12,175656,17760882940000.0,9299,71359,0.4062
2022-04-12,GOCOLORS,EQ,1002.7,1014.0,1014.0,977.0,999.95,997.15,993.88,26625,2646210880000.0,2938,9341,0.3508
2022-04-13,GOCOLORS,EQ,997.15,1009.0,1034.1,1006.45,1011.0,1019.55,1020.44,41425,4227176050000.0,4733,13352,0.3223
2022-04-18,GOCOLORS,EQ,1019.55,1014.0,1049.5,978.8,1035.0,1039.55,1023.61,47697,4882308150000.0,6345,19099,0.4004
2022-04-19,GOCOLORS,EQ,1039.55,1055.0,1074.0,992.25,1013.9,1010.4,1034.1,31201,3226490935000.0,4402,10860,0.3481
2022-04-20,GOCOLORS,EQ,1010.4,1000.0,1057.5,1000.0,1054.0,1050.15,1038.33,57588,5979518940000.0,8473,21518,0.3737
2022-04-21,GOCOLORS,EQ,1050.15,1072.0,1072.05,1022.1,1035.0,1032.3,1051.04,62372,6555519460000.0,7631,11805,0.1893
2022-04-22,GOCOLORS,EQ,1032.3,1045.0,1050.0,1030.45,1036.0,1041.35,1042.8,26650,2779066200000.0,4701,8734,0.32770000000000005
2022-04-25,GOCOLORS,EQ,1041.35,1025.8,1039.0,1020.0,1026.0,1027.5,1030.24,21928,2259115840000.0,3347,11908,0.543
2022-04-26,GOCOLORS,EQ,1027.5,1029.95,1038.55,983.6,1025.0,1001.45,1010.26,38825,3922332604999.9995,6565,16035,0.413
2022-04-27,GOCOLORS,EQ,1001.45,1001.1,1021.65,983.8,985.0,995.35,1004.47,16850,1692538839999.9998,2782,9047,0.5369
2022-04-28,GOCOLORS,EQ,995.35,995.35,1017.95,981.2,994.95,991.5,998.62,26545,2650839790000.0,4487,12909,0.4863
2022-04-29,GOCOLORS,EQ,991.5,996.0,1028.8,989.15,994.8,1001.0,1018.7,67327,6858585790000.001,6642,8954,0.133
2022-05-02,GOCOLORS,EQ,1001.0,999.95,1035.0,990.15,1010.0,1015.15,1017.21,42756,4349177225000.0,5982,11707,0.2738
2022-05-04,GOCOLORS,EQ,1015.15,1023.0,1024.95,976.0,1001.5,996.35,1005.87,36973,3719006920000.0005,5670,13546,0.3664
2022-05-05,GOCOLORS,EQ,996.35,1010.0,1010.0,961.2,965.05,973.05,988.45,32301,3192796130000.0,6751,14712,0.45549999999999996
2022-05-06,GOCOLORS,EQ,973.05,952.0,992.9,940.85,980.2,981.1,971.47,48671,4728258270000.0,9367,12883,0.2647
2022-05-09,GOCOLORS,EQ,981.1,988.0,1020.75,983.0,1007.0,1003.9,1002.78,157592,15802985644999.998,13807,25714,0.1632
2022-05-10,GOCOLORS,EQ,1003.9,1003.9,1026.9,960.9,985.0,997.1,1006.41,37101,3733869495000.0005,5041,14122,0.38060000000000005
2022-05-11,GOCOLORS,EQ,997.1,990.2,994.0,927.0,934.05,940.55,967.09,32648,3157352050000.0,6986,15751,0.48240000000000005
2022-05-12,GOCOLORS,EQ,940.55,935.0,959.0,903.0,928.25,925.9,939.2,46914,4406146755000.0,10160,17408,0.3711
2022-05-13,GOCOLORS,EQ,925.9,945.0,988.95,943.25,975.0,975.95,977.01,82197,8030730800000.0,16404,48749,0.5931000000000001
2022-05-16,GOCOLORS,EQ,975.95,990.0,1047.55,967.3,1030.0,1032.05,1021.43,103798,10602274575000.0,12145,38939,0.3751
2022-05-17,GOCOLORS,EQ,1032.05,1057.9,1095.0,1035.0,1085.65,1086.65,1066.31,60156,6414488705000.0,6858,24800,0.4123
2022-05-18,GOCOLORS,EQ,1086.65,1099.0,1130.0,1078.0,1094.0,1112.05,1112.99,69164,7697871425000.0,8859,22874,0.3307
2022-05-19,GOCOLORS,EQ,1112.05,1059.0,1114.35,1000.55,1107.7,1081.55,1092.06,51581,5632930425000.0,6631,18866,0.3658
2022-05-20,GOCOLORS,EQ,1081.55,1120.0,1127.45,1101.1,1110.0,1112.05,1111.83,66878,7435727655000.0,5964,36598,0.5472
2022-05-23,GOCOLORS,EQ,1112.05,1112.0,1149.0,1105.0,1116.0,1127.7,1133.47,66269,7511369084999.999,8235,22888,0.3454
2022-05-24,GOCOLORS,EQ,1127.7,1130.0,1156.8,1102.15,1110.0,1118.5,1131.28,65234,7379790025000.0,11550,20113,0.30829999999999996
2022-05-25,GOCOLORS,EQ,1118.5,1129.0,1143.2,1070.05,1075.7,1084.4,1099.55,78064,8583508390000.001,12689,30905,0.39590000000000003
2022-05-26,GOCOLORS,EQ,1084.4,1104.0,1130.35,1071.15,1088.15,1094.0,1095.75,118040,12934186495000.0,21266,45041,0.3816
2022-05-27,GOCOLORS,EQ,1094.0,1110.0,1113.7,1012.0,1035.0,1027.4,1056.32,245530,25935825875000.0,8087,52086,0.2121
2022-05-30,GOCOLORS,EQ,1027.4,1048.0,1048.0,992.3,1010.85,1015.55,1006.78,71499,7198377090000.001,7788,26695,0.37340000000000007
2022-05-31,GOCOLORS,EQ,1015.55,1022.0,1032.4,970.85,1005.0,985.2,986.84,367933,36309166375000.0,15963,277668,0.7547
2022-06-01,GOCOLORS,EQ,985.2,1000.0,1045.0,998.0,1034.2,1038.35,1024.15,79527,8144796045000.0,7647,24266,0.30510000000000004
2022-06-02,GOCOLORS,EQ,1038.35,1049.0,1049.0,991.1,998.0,1002.45,1007.99,44910,4526881835000.0,4919,16823,0.37460000000000004
2022-06-03,GOCOLORS,EQ,1002.45,1017.5,1017.5,985.0,986.65,988.85,997.94,22791,2274409345000.0,2548,8696,0.3816
2022-06-06,GOCOLORS,EQ,988.85,981.05,1007.1,975.5,1005.0,1003.9,997.27,25625,2555494650000.0,3084,8990,0.3508
2022-06-07,GOCOLORS,EQ,1003.9,1003.0,1006.0,990.35,1000.0,999.45,999.06,64145,6408457220000.0,2154,46939,0.7318000000000001
