Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,GODREJAGRO,EQ,459.7,459.05,461.85,450.5,451.85,453.8,456.32,134893,6155455505000.0,6689,87092,0.6456000000000001
2022-03-29,GODREJAGRO,EQ,453.8,459.6,459.6,443.8,445.0,444.8,449.43,175754,7898890820000.0,9140,109548,0.6233
2022-03-30,GODREJAGRO,EQ,444.8,442.0,451.05,442.0,448.0,447.55,448.26,305832,13709146194999.998,12344,232673,0.7608
2022-03-31,GODREJAGRO,EQ,447.55,450.0,452.0,441.0,444.0,442.15,446.53,295815,13209031850000.0,10373,220451,0.7452
2022-04-01,GODREJAGRO,EQ,442.15,442.15,461.9,442.15,459.0,459.0,455.09,293396,13352221525000.0,18079,167012,0.5692
2022-04-04,GODREJAGRO,EQ,459.0,464.5,550.8,462.0,550.8,545.9,507.97,3700249,187963129580000.0,94113,1206702,0.3261
2022-04-05,GODREJAGRO,EQ,545.9,552.9,552.9,528.5,532.0,533.8,536.63,1281544,68771996420000.01,50983,262494,0.2048
2022-04-06,GODREJAGRO,EQ,533.8,533.9,546.0,529.0,532.0,531.55,537.33,470218,25266138850000.0,17845,124250,0.26420000000000005
2022-04-07,GODREJAGRO,EQ,531.55,539.8,539.85,520.25,525.9,522.75,531.22,177453,9426719050000.0,8854,59834,0.3372
2022-04-08,GODREJAGRO,EQ,522.75,527.0,534.0,510.0,510.8,510.9,514.98,461004,23740659045000.0,13318,178590,0.3874
2022-04-11,GODREJAGRO,EQ,510.9,512.9,514.25,502.05,508.0,505.35,504.68,463489,23391203915000.0,12947,301779,0.6511
2022-04-12,GODREJAGRO,EQ,505.35,507.9,514.1,493.25,498.05,499.65,500.56,377253,18883921235000.0,11870,206875,0.5484
2022-04-13,GODREJAGRO,EQ,499.65,504.5,514.8,496.3,505.4,504.95,503.89,420924,21209911645000.0,15762,247860,0.5888
2022-04-18,GODREJAGRO,EQ,504.95,504.85,504.85,493.0,493.7,494.8,497.21,110312,5484851335000.0,6399,50770,0.46020000000000005
2022-04-19,GODREJAGRO,EQ,494.8,497.0,503.95,490.0,490.0,490.8,494.78,121440,6008598080000.0,6019,69194,0.5698
2022-04-20,GODREJAGRO,EQ,490.8,495.0,495.6,484.1,485.65,485.8,489.27,140446,6871578800000.0,5176,89651,0.6383
2022-04-21,GODREJAGRO,EQ,485.8,490.0,502.55,487.3,499.0,498.4,494.19,241207,11920219180000.0,7622,164769,0.6831
2022-04-22,GODREJAGRO,EQ,498.4,502.95,521.0,491.2,493.35,494.9,501.78,284336,14267481350000.0,18795,101339,0.3564
2022-04-25,GODREJAGRO,EQ,494.9,526.95,541.3,496.6,504.0,505.7,520.43,4120325,214433559185000.0,127857,1339616,0.3251
2022-04-26,GODREJAGRO,EQ,505.7,515.7,526.5,511.3,518.0,517.65,519.18,905366,47005158505000.0,34052,289710,0.32
2022-04-27,GODREJAGRO,EQ,517.65,515.0,518.5,505.0,513.0,513.4,511.99,265877,13612729365000.0,11398,115950,0.4361
2022-04-28,GODREJAGRO,EQ,513.4,539.05,593.0,525.0,570.4,570.15,565.58,8588058,485719646350000.0,223826,1208062,0.14070000000000002
2022-04-29,GODREJAGRO,EQ,570.15,578.95,587.9,540.7,546.9,545.35,562.14,1895513,106553554135000.0,62253,339601,0.17920000000000003
2022-05-02,GODREJAGRO,EQ,545.35,541.0,588.6,536.0,566.3,572.2,574.39,3118675,179133041805000.0,94633,529671,0.1698
2022-05-04,GODREJAGRO,EQ,572.2,570.9,574.9,529.7,531.0,532.1,547.39,691466,37850253785000.0,21721,214994,0.3109
2022-05-05,GODREJAGRO,EQ,532.1,537.8,549.45,528.7,539.05,537.6,539.79,522051,28179808870000.0,18724,85095,0.163
2022-05-06,GODREJAGRO,EQ,537.6,530.0,533.85,513.15,526.95,526.05,522.45,317487,16587167415000.0,12594,85952,0.2707
2022-05-09,GODREJAGRO,EQ,526.05,522.0,533.4,508.75,532.35,526.05,518.46,266831,13834244385000.0,11937,106750,0.4001
