Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,HDFC,EQ,2217.5,2139.4,2154.9,2098.2,2128.0,2121.95,2127.95,7675627,1633333583575000.0,298979,5517156,0.7188
2022-03-08,HDFC,EQ,2121.95,2106.0,2161.95,2046.0,2156.85,2151.7,2101.3,9024183,1896254905470000.0,317335,5645915,0.6256
2022-03-09,HDFC,EQ,2151.7,2151.7,2216.0,2120.35,2199.4,2194.4,2180.0,6114047,1332862789075000.0,248506,3911587,0.6398
2022-03-10,HDFC,EQ,2194.4,2287.0,2287.0,2206.65,2232.55,2237.95,2249.72,4183914,941262544295000.1,190372,2440350,0.5833
2022-03-11,HDFC,EQ,2237.95,2216.0,2259.85,2189.9,2232.0,2230.0,2233.07,2532517,565527765885000.0,112353,1356871,0.5357999999999999
2022-03-14,HDFC,EQ,2230.0,2235.0,2285.6,2218.0,2285.3,2275.7,2254.42,2153393,485465479464999.94,119697,1251858,0.5813
2022-03-15,HDFC,EQ,2275.7,2291.7,2308.05,2230.45,2244.85,2240.85,2273.32,4557236,1036006469860000.0,218370,2786000,0.6113000000000001
2022-03-16,HDFC,EQ,2240.85,2280.0,2320.0,2272.65,2302.3,2292.1,2295.62,3558601,816920546375000.0,204690,2029590,0.5703
2022-03-17,HDFC,EQ,2292.1,2346.0,2423.8,2346.0,2415.0,2415.25,2397.65,6664277,1597861994355000.0,231016,3650595,0.5478000000000001
2022-03-21,HDFC,EQ,2415.25,2459.0,2459.0,2383.5,2389.0,2391.9,2407.8,3702411,891465480770000.1,167002,2387279,0.6448
2022-03-22,HDFC,EQ,2391.9,2398.0,2420.0,2355.55,2406.95,2402.75,2381.46,6357856,1514096253075000.0,131396,5127101,0.8064
2022-03-23,HDFC,EQ,2402.75,2408.75,2422.6,2341.2,2344.7,2346.3,2375.4,3173223,753767841420000.0,132693,1935905,0.6101
2022-03-24,HDFC,EQ,2346.3,2318.0,2356.95,2303.55,2307.35,2310.5,2326.46,3994199,929232753545000.1,156339,2596058,0.65
2022-03-25,HDFC,EQ,2310.5,2333.0,2339.05,2286.75,2306.0,2303.0,2300.8,3418282,786476916245000.0,154576,2171923,0.6354
2022-03-28,HDFC,EQ,2303.0,2310.0,2313.9,2234.1,2269.0,2268.25,2260.81,4734110,1070291094685000.0,206984,3240170,0.6844
2022-03-29,HDFC,EQ,2268.25,2285.9,2344.9,2284.0,2343.0,2337.35,2318.03,3202852,742430245960000.0,135992,1876334,0.5858
2022-03-30,HDFC,EQ,2337.35,2369.4,2388.0,2347.65,2385.0,2385.45,2375.78,3176850,754751060510000.0,123275,2079829,0.6547
2022-03-31,HDFC,EQ,2385.45,2381.5,2428.2,2380.2,2384.9,2390.4,2401.07,4167353,1000608821575000.0,148009,2694042,0.6465000000000001
2022-04-01,HDFC,EQ,2390.4,2363.2,2464.7,2349.0,2462.25,2452.3,2418.86,2651324,641316980640000.0,115526,1538362,0.5802
2022-04-04,HDFC,EQ,2452.3,2570.5,2933.8,2570.5,2676.0,2680.05,2721.95,34117717,9286683673140000.0,817965,15474881,0.4536
2022-04-05,HDFC,EQ,2680.05,2677.4,2680.0,2614.1,2621.95,2623.7,2638.5,6178848,1630288947520000.0,242994,3214130,0.5202
