Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,HINDALCO,EQ,622.7,621.5,634.8,617.0,629.45,630.2,628.11,7075442,444418461360000.06,126087,2184937,0.3088
2022-03-29,HINDALCO,EQ,630.2,630.0,636.0,624.5,629.25,631.3,629.23,5245788,330078868065000.0,82726,1507584,0.2874
2022-03-30,HINDALCO,EQ,631.3,622.0,622.0,598.85,600.45,599.8,605.56,11195965,677982636930000.0,183145,5447510,0.4866
2022-03-31,HINDALCO,EQ,599.8,600.0,600.3,568.15,571.3,569.5,576.51,23497993,1354692273840000.0,292064,12747126,0.5425
2022-04-01,HINDALCO,EQ,569.5,569.9,577.0,561.45,571.0,570.5,568.47,15300787,869799898170000.1,186186,6005464,0.3925
2022-04-04,HINDALCO,EQ,570.5,572.0,589.65,569.05,585.75,587.5,579.53,15845385,918284041479999.9,177902,8021091,0.5062
2022-04-05,HINDALCO,EQ,587.5,590.95,590.95,582.05,586.0,586.85,585.59,7065571,413749531670000.0,97040,3040880,0.4304
2022-04-06,HINDALCO,EQ,586.85,582.95,589.45,576.05,581.0,581.25,581.97,9648592,561520829510000.06,129010,4776692,0.4951
2022-04-07,HINDALCO,EQ,581.25,581.4,584.9,569.0,575.0,574.75,573.77,9357569,536906802355000.0,140782,4420725,0.47240000000000004
2022-04-08,HINDALCO,EQ,574.75,579.4,584.55,578.3,582.0,581.75,581.59,7157576,416279969725000.0,117225,3367811,0.4705
2022-04-11,HINDALCO,EQ,581.75,583.4,587.45,574.55,576.0,576.35,579.28,8297062,480629558435000.06,141788,4418208,0.5325
2022-04-12,HINDALCO,EQ,576.35,570.6,570.8,538.6,543.1,542.35,547.05,16701775,913667460100000.0,273318,7629659,0.4568
2022-04-13,HINDALCO,EQ,542.35,547.0,551.9,543.55,545.75,546.75,547.69,7396320,405085445200000.0,114192,2761547,0.37340000000000007
2022-04-18,HINDALCO,EQ,546.75,544.95,555.65,537.4,545.1,545.35,543.64,7550655,410481533180000.0,130590,3659032,0.48460000000000003
2022-04-19,HINDALCO,EQ,545.35,552.0,556.2,537.6,539.0,540.8,549.32,8143101,447318267205000.0,194652,4092437,0.5025999999999999
2022-04-20,HINDALCO,EQ,540.8,544.95,549.0,536.6,545.2,545.0,544.18,4725779,257168420385000.0,64396,1944417,0.4114
2022-04-21,HINDALCO,EQ,545.0,545.0,547.35,531.45,540.9,540.25,540.67,8575442,463647495050000.0,108862,3892128,0.4539
2022-04-22,HINDALCO,EQ,540.25,529.0,529.85,513.3,514.05,514.15,518.72,23871439,1238260168155000.0,365161,14296275,0.5989
