Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,IDFCFIRSTB,EQ,39.8,39.9,40.0,38.2,38.5,38.45,38.74,63705552,246821800025000.0,75765,29181265,0.4581
2022-03-29,IDFCFIRSTB,EQ,38.45,38.75,39.0,37.7,37.85,37.9,38.12,53429939,203694996140000.0,61536,26018676,0.48700000000000004
2022-03-30,IDFCFIRSTB,EQ,37.9,38.35,40.15,38.15,38.85,38.85,39.08,141628657,553479148995000.0,99631,51988702,0.36710000000000004
2022-03-31,IDFCFIRSTB,EQ,38.85,39.2,39.85,38.75,39.55,39.7,39.34,44162139,173750749380000.0,46504,13182937,0.29850000000000004
2022-04-01,IDFCFIRSTB,EQ,39.7,39.65,41.85,39.45,41.75,41.7,41.27,67257615,277570783225000.0,75412,22540518,0.3351
2022-04-04,IDFCFIRSTB,EQ,41.7,42.5,44.0,41.75,43.6,43.65,43.02,78587513,338066312575000.0,92485,26001798,0.3309
2022-04-05,IDFCFIRSTB,EQ,43.65,43.8,44.2,43.1,43.35,43.4,43.65,43259401,188825189735000.0,53508,10947568,0.2531
2022-04-06,IDFCFIRSTB,EQ,43.4,43.4,43.85,42.75,43.25,43.45,43.3,30891862,133767082945000.0,38877,8200766,0.2655
2022-04-07,IDFCFIRSTB,EQ,43.45,43.5,43.6,42.25,42.45,42.45,42.87,37420483,160430514385000.0,61025,12531917,0.33490000000000003
2022-04-08,IDFCFIRSTB,EQ,42.45,42.65,42.75,41.4,41.95,41.9,42.01,34130747,143386950060000.0,45620,12751337,0.3736
2022-04-11,IDFCFIRSTB,EQ,41.9,41.9,42.9,41.7,42.4,42.4,42.45,20616203,87516058970000.0,32287,5770709,0.2799
2022-04-12,IDFCFIRSTB,EQ,42.4,42.4,42.4,40.95,41.6,41.6,41.45,28215022,116941742100000.0,46615,8694261,0.3081
2022-04-13,IDFCFIRSTB,EQ,41.6,41.7,42.2,41.25,41.45,41.35,41.74,22740460,94913051480000.0,33163,6105619,0.2685
2022-04-18,IDFCFIRSTB,EQ,41.35,41.3,41.3,40.25,40.85,40.8,40.72,22837815,92996488450000.0,42201,6987358,0.306
2022-04-19,IDFCFIRSTB,EQ,40.8,41.15,41.2,39.55,39.85,40.05,40.55,23673024,95996409345000.0,49676,9231959,0.39
2022-04-20,IDFCFIRSTB,EQ,40.05,40.2,40.45,39.7,40.2,40.1,40.05,22275704,89219310430000.0,36489,7258047,0.3258
2022-04-21,IDFCFIRSTB,EQ,40.1,40.35,40.95,40.2,40.85,40.85,40.62,14493850,58872829495000.01,27696,5031735,0.3472
2022-04-22,IDFCFIRSTB,EQ,40.85,40.6,40.9,39.95,40.1,40.05,40.47,19026852,77000252235000.0,38473,6839181,0.3594
2022-04-25,IDFCFIRSTB,EQ,40.05,39.8,39.95,39.15,39.35,39.3,39.45,23357268,92139730380000.0,43799,8722679,0.37340000000000007
2022-04-26,IDFCFIRSTB,EQ,39.3,39.8,40.3,39.65,40.25,40.15,39.94,14193121,56686997565000.0,24638,4833229,0.34049999999999997
2022-04-27,IDFCFIRSTB,EQ,40.15,39.9,40.1,39.3,39.7,39.7,39.7,14373185,57066544160000.0,30310,4476114,0.3114
2022-04-28,IDFCFIRSTB,EQ,39.7,39.9,40.0,39.2,39.85,39.7,39.53,20090339,79421617375000.0,30020,7620416,0.3793
2022-04-29,IDFCFIRSTB,EQ,39.7,39.9,40.5,39.3,39.45,39.5,40.07,24604133,98578428055000.0,32047,8496939,0.3453
2022-05-02,IDFCFIRSTB,EQ,39.5,39.7,40.65,38.3,38.85,38.85,39.27,53519580,210170940125000.0,73046,20500419,0.383
2022-05-04,IDFCFIRSTB,EQ,38.85,39.35,40.8,38.1,38.55,38.4,39.54,58386315,230883439980000.03,80622,15491210,0.26530000000000004
2022-05-05,IDFCFIRSTB,EQ,38.4,39.15,40.45,38.9,39.15,39.2,39.64,37944639,150393759490000.0,48484,8288361,0.2184
2022-05-06,IDFCFIRSTB,EQ,39.2,38.45,39.2,37.85,38.75,38.65,38.56,27614742,106489915565000.0,41202,6530426,0.2365
2022-05-09,IDFCFIRSTB,EQ,38.65,38.6,38.65,37.5,38.05,37.95,37.92,26623742,100962894465000.0,48720,7572536,0.28440000000000004
2022-05-10,IDFCFIRSTB,EQ,37.95,38.15,38.75,37.3,37.45,37.5,37.95,21250096,80654168685000.0,42086,6349576,0.2988
2022-05-11,IDFCFIRSTB,EQ,37.5,37.95,37.95,35.55,36.8,36.75,36.6,38962535,142593394190000.0,63728,10451152,0.2682
2022-05-12,IDFCFIRSTB,EQ,36.75,36.4,36.45,34.2,34.9,34.8,35.03,47352639,165894602940000.0,82301,16229331,0.34270000000000006
2022-05-13,IDFCFIRSTB,EQ,34.8,35.5,35.85,34.45,34.65,34.55,35.21,34320610,120843265095000.0,53570,9698780,0.2826
2022-05-16,IDFCFIRSTB,EQ,34.55,35.15,36.0,34.4,35.9,35.8,35.42,31916991,113042209075000.0,43909,8896648,0.2787
