Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,INDIGO,EQ,1724.2,1668.0,1668.0,1594.15,1608.5,1617.0,1619.64,1586234,256912661544999.97,91050,491517,0.3099
2022-03-08,INDIGO,EQ,1617.0,1600.0,1614.95,1555.1,1600.15,1598.8,1586.45,1559479,247404224119999.97,78013,491917,0.3154
2022-03-09,INDIGO,EQ,1598.8,1658.0,1754.85,1658.0,1715.0,1709.1,1710.01,5596423,956995736225000.0,242368,992132,0.1773
2022-03-10,INDIGO,EQ,1709.1,1800.0,1824.6,1753.4,1789.6,1789.45,1797.92,2787796,501222245289999.94,119134,503929,0.1808
2022-03-11,INDIGO,EQ,1789.45,1780.0,1839.0,1761.7,1817.0,1820.8,1818.59,1619561,294531881735000.0,67618,168355,0.10400000000000001
2022-03-14,INDIGO,EQ,1820.8,1823.0,1849.8,1806.3,1837.2,1838.8,1827.33,818803,149622108645000.0,41401,199835,0.2441
2022-03-15,INDIGO,EQ,1838.8,1872.0,1883.4,1820.65,1831.3,1832.55,1852.15,965034,178739064720000.0,44609,166031,0.172
2022-03-16,INDIGO,EQ,1832.55,1866.0,1923.75,1866.0,1900.0,1899.8,1895.43,1552404,294247586000000.0,64956,169571,0.1092
2022-03-17,INDIGO,EQ,1899.8,1930.0,1944.0,1883.05,1895.0,1897.05,1899.77,1295677,246148777760000.0,45987,504994,0.3898
2022-03-21,INDIGO,EQ,1897.05,1882.0,1895.0,1809.55,1817.9,1814.05,1850.71,715151,132353453815000.02,34326,130696,0.18280000000000002
2022-03-22,INDIGO,EQ,1814.05,1810.0,1851.5,1762.25,1834.9,1836.25,1801.93,990082,178405572350000.0,45513,70678,0.0714
2022-03-23,INDIGO,EQ,1836.25,1845.0,1855.0,1812.05,1831.05,1832.8,1827.12,628556,114844674495000.0,28115,111773,0.1778
2022-03-24,INDIGO,EQ,1832.8,1800.0,1870.9,1796.4,1860.0,1863.1,1850.56,770859,142651977895000.0,33337,186048,0.2414
2022-03-25,INDIGO,EQ,1863.1,1875.0,1954.05,1871.0,1934.0,1940.55,1935.21,2367298,458123013430000.0,99605,553105,0.2336
2022-03-28,INDIGO,EQ,1940.55,1963.9,1996.0,1940.0,1964.9,1964.3,1966.96,1586405,312039784855000.0,76215,140540,0.0886
2022-03-29,INDIGO,EQ,1964.3,1992.0,2019.8,1950.1,1963.5,1963.15,1986.27,1176404,233666071490000.0,54878,163338,0.1388
2022-03-30,INDIGO,EQ,1963.15,1983.15,2011.75,1966.2,1985.6,1989.35,1988.69,786916,156493426610000.0,42734,121484,0.1544
2022-03-31,INDIGO,EQ,1989.35,1990.35,2020.0,1990.35,2008.2,2014.15,2007.37,991862,199103798835000.0,37484,309356,0.3119
2022-04-01,INDIGO,EQ,2014.15,2017.5,2033.95,1963.0,2000.15,1998.6,1992.85,1057578,210759153510000.0,39131,253314,0.2395
2022-04-04,INDIGO,EQ,1998.6,2000.0,2025.0,1995.0,2008.0,2014.55,2009.34,553033,111122991990000.02,22059,178075,0.322
2022-04-05,INDIGO,EQ,2014.55,2006.8,2023.5,1975.65,1988.0,1986.4,2003.44,933228,186966801495000.0,28445,157497,0.1688
2022-04-06,INDIGO,EQ,1986.4,1987.7,2004.0,1972.0,1977.35,1979.25,1987.2,392851,78067435005000.0,18772,60414,0.15380000000000002
2022-04-07,INDIGO,EQ,1979.25,1987.0,1991.2,1968.05,1983.0,1980.4,1978.99,444888,88042913165000.0,21366,165615,0.37229999999999996
2022-04-08,INDIGO,EQ,1980.4,2000.0,2029.5,1992.0,2005.0,2000.15,2009.89,1007511,202498145810000.0,42373,312135,0.3098
2022-04-11,INDIGO,EQ,2000.15,2005.0,2038.9,1984.05,1986.0,1991.55,2003.57,650549,130341853859999.98,28830,157190,0.2416
2022-04-12,INDIGO,EQ,1991.55,2001.85,2001.85,1922.85,1931.3,1932.85,1945.72,693537,134942769700000.0,39010,160142,0.2309
2022-04-13,INDIGO,EQ,1932.85,1944.45,1948.95,1890.0,1890.6,1899.2,1915.86,476689,91327152120000.0,27889,108554,0.2277
2022-04-18,INDIGO,EQ,1899.2,1885.0,1892.45,1830.25,1878.35,1884.9,1860.03,570705,106152898965000.0,32092,170094,0.298
2022-04-19,INDIGO,EQ,1884.9,1899.0,1926.7,1843.25,1848.0,1869.55,1895.3,356096,67490993970000.01,17614,51641,0.145
2022-04-20,INDIGO,EQ,1869.55,1890.0,1906.5,1867.2,1896.9,1896.35,1887.88,445449,84095478755000.0,21478,88775,0.1993
