Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,INDUSTOWER,EQ,203.1,201.0,213.0,199.15,209.3,209.8,208.26,13745719,286262920315000.0,112993,3823133,0.2781
2022-03-29,INDUSTOWER,EQ,209.8,209.75,216.75,199.5,215.2,215.1,210.26,17296192,363672701700000.0,109432,3679750,0.2127
2022-03-30,INDUSTOWER,EQ,215.1,217.8,222.65,212.9,220.9,221.05,217.6,8205081,178544530125000.0,58299,3997725,0.4872
2022-03-31,INDUSTOWER,EQ,221.05,222.0,226.5,219.3,222.15,222.05,222.84,4936282,109999861205000.0,53285,1729855,0.3504
2022-04-01,INDUSTOWER,EQ,222.05,223.0,223.9,218.55,221.45,221.35,220.78,3883657,85742133070000.0,34285,1887512,0.48600000000000004
2022-04-04,INDUSTOWER,EQ,221.35,220.0,223.75,219.05,220.8,220.75,220.88,3999118,88330627405000.0,32005,2520979,0.6304
2022-04-05,INDUSTOWER,EQ,220.75,222.0,223.45,219.65,220.0,220.4,221.7,1889153,41881868980000.0,25728,896749,0.4747
2022-04-06,INDUSTOWER,EQ,220.4,220.9,222.35,216.7,217.1,217.05,218.91,4489578,98280213695000.0,40848,3190143,0.7106
2022-04-07,INDUSTOWER,EQ,217.05,217.05,220.3,215.7,219.15,218.5,218.5,5650354,123459939530000.0,40568,4017997,0.7111
2022-04-08,INDUSTOWER,EQ,218.5,220.35,223.4,218.75,219.9,219.75,221.04,6689098,147856962320000.0,44039,4612451,0.6895
2022-04-11,INDUSTOWER,EQ,219.75,220.0,221.3,217.95,218.5,218.5,219.48,5080486,111504821734999.98,59403,3635117,0.7155
2022-04-12,INDUSTOWER,EQ,218.5,218.5,220.0,215.25,217.1,217.0,217.44,2072519,45064279830000.0,40161,1042480,0.503
2022-04-13,INDUSTOWER,EQ,217.0,218.0,219.45,216.25,216.5,216.7,217.49,2373371,51617335450000.0,30000,1345329,0.5668
2022-04-18,INDUSTOWER,EQ,216.7,216.3,218.0,212.6,216.1,216.85,215.41,2288590,49297755255000.0,27711,1239744,0.5417000000000001
2022-04-19,INDUSTOWER,EQ,216.85,218.0,220.25,210.6,212.4,213.65,217.08,1888734,40999879365000.0,35894,914713,0.4843
2022-04-20,INDUSTOWER,EQ,213.65,215.0,217.5,212.75,216.6,216.95,216.09,1847199,39916203320000.0,39379,997109,0.5398
2022-04-21,INDUSTOWER,EQ,216.95,218.85,218.85,215.7,217.2,216.45,216.8,1190758,25815921100000.0,23069,707947,0.5945
2022-04-22,INDUSTOWER,EQ,216.45,216.45,218.25,214.5,215.6,215.0,216.59,1780462,38563346760000.0,20065,1137122,0.6386999999999999
2022-04-25,INDUSTOWER,EQ,215.0,215.0,215.8,210.3,210.7,211.1,212.5,2306741,49018564780000.0,31442,1153040,0.4999
2022-04-26,INDUSTOWER,EQ,211.1,212.5,214.0,210.6,212.75,213.1,212.4,2076942,44114138460000.0,45894,1358855,0.6543000000000001
2022-04-27,INDUSTOWER,EQ,213.1,210.0,214.0,205.9,207.9,207.45,209.01,3061918,63997470275000.0,38249,1973037,0.6444
2022-04-28,INDUSTOWER,EQ,207.45,211.0,211.0,206.1,210.75,210.4,208.74,3232253,67468665940000.0,44439,1993421,0.6167
2022-04-29,INDUSTOWER,EQ,210.4,212.0,215.2,208.45,209.75,209.0,211.72,3958232,83804106035000.0,46296,2046070,0.5169
2022-05-02,INDUSTOWER,EQ,209.0,208.1,208.85,203.75,205.0,204.2,205.65,2142059,44051296775000.0,44693,1284313,0.5996
2022-05-04,INDUSTOWER,EQ,204.2,204.9,207.25,199.65,201.0,200.45,203.33,3071098,62443274600000.0,51549,1790582,0.583
2022-05-05,INDUSTOWER,EQ,200.45,202.2,205.5,200.5,202.6,202.1,202.59,4206504,85220601135000.0,49943,2483509,0.5904
2022-05-06,INDUSTOWER,EQ,202.1,197.95,204.0,193.3,200.0,198.9,198.69,8689544,172649420615000.0,56873,3497954,0.4025
2022-05-09,INDUSTOWER,EQ,198.9,196.4,207.3,193.45,205.95,205.9,202.54,11959126,242223569835000.0,97718,4480805,0.3747
2022-05-10,INDUSTOWER,EQ,205.9,205.95,209.1,204.0,207.65,208.0,206.92,5789382,119792504809999.98,54852,3182148,0.5497
2022-05-11,INDUSTOWER,EQ,208.0,208.5,211.4,206.5,207.3,208.25,208.67,5737133,119716993920000.0,70995,3222779,0.5617
2022-05-12,INDUSTOWER,EQ,208.25,206.9,208.45,199.5,202.1,201.55,204.45,4943694,101071415750000.0,54173,2729342,0.5521
2022-05-13,INDUSTOWER,EQ,201.55,197.65,198.8,181.75,182.95,182.85,187.45,8559896,160452787320000.0,118376,2894284,0.3381
2022-05-16,INDUSTOWER,EQ,182.85,185.0,191.2,181.2,190.8,190.45,187.9,3171525,59592689735000.0,32786,850704,0.2682
2022-05-17,INDUSTOWER,EQ,190.45,190.5,198.3,189.25,197.45,197.85,194.7,4557012,88725429660000.0,74286,2591503,0.5687
2022-05-18,INDUSTOWER,EQ,197.85,198.9,203.6,197.95,200.5,200.9,201.12,4272128,85921596325000.0,63162,1942323,0.4547
2022-05-19,INDUSTOWER,EQ,200.9,197.2,201.0,192.3,193.65,193.8,196.8,2407410,47376646665000.0,30137,1045413,0.43420000000000003
2022-05-20,INDUSTOWER,EQ,193.8,196.9,202.6,196.25,201.75,201.85,200.14,2279582,45623903825000.0,31365,1097338,0.4814
2022-05-23,INDUSTOWER,EQ,201.85,202.8,203.7,198.9,200.3,199.2,200.82,2298540,46159776670000.0,32280,1137008,0.4947
2022-05-24,INDUSTOWER,EQ,199.2,200.15,201.9,198.5,199.0,199.1,199.78,2081868,41591752455000.0,30555,1316703,0.6325000000000001
2022-05-25,INDUSTOWER,EQ,199.1,201.05,201.05,198.5,199.85,199.85,199.33,2695681,53731857254999.99,22350,1812594,0.6724
2022-05-26,INDUSTOWER,EQ,199.85,199.95,204.5,197.75,203.05,203.25,200.46,3159956,63345456000000.0,34760,1789171,0.5662
2022-05-27,INDUSTOWER,EQ,203.25,205.0,207.95,199.3,200.7,200.45,202.22,4116593,83246896715000.0,35449,1597710,0.38810000000000006
