Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,IPCALAB,EQ,992.85,1002.0,1025.95,992.0,1002.0,999.45,1002.23,332961,33370331735000.004,17154,131165,0.39390000000000003
2022-03-29,IPCALAB,EQ,999.45,1004.7,1062.9,1000.0,1055.1,1059.2,1038.0,1234599,128151262159999.98,31738,718767,0.5822
2022-03-30,IPCALAB,EQ,1059.2,1064.85,1082.0,1045.0,1080.0,1076.8,1069.26,673633,72028985120000.0,24283,382988,0.5685
2022-03-31,IPCALAB,EQ,1076.8,1080.0,1095.0,1014.25,1074.0,1065.75,1060.0,872732,92509364695000.0,34489,408391,0.4679
2022-04-01,IPCALAB,EQ,1065.75,1065.0,1065.0,1021.0,1028.0,1027.4,1033.77,356187,36821685320000.0,16370,148994,0.4183
2022-04-04,IPCALAB,EQ,1027.4,1027.4,1064.0,1027.0,1030.05,1030.45,1033.56,249514,25788667570000.0,15663,111726,0.44780000000000003
2022-04-05,IPCALAB,EQ,1030.45,1035.85,1044.2,1026.5,1033.35,1032.45,1032.99,319051,32957722820000.0,21529,186475,0.5845
2022-04-06,IPCALAB,EQ,1032.45,1033.9,1042.0,1002.0,1022.0,1022.35,1021.52,576365,58876975010000.0,50860,330743,0.5738000000000001
2022-04-07,IPCALAB,EQ,1022.35,1024.0,1028.0,996.0,1005.15,1001.5,1006.98,511535,51510698105000.0,30037,366512,0.7165
2022-04-08,IPCALAB,EQ,1001.5,1014.4,1034.4,1003.05,1031.0,1027.65,1015.66,447291,45429762960000.0,23014,331738,0.7417
2022-04-11,IPCALAB,EQ,1027.65,1027.65,1048.5,1027.05,1036.85,1037.3,1042.68,507718,52938764695000.0,22364,354685,0.6986
2022-04-12,IPCALAB,EQ,1037.3,1039.6,1050.8,1022.4,1044.95,1041.35,1038.58,406540,42222407840000.0,15786,252703,0.6215999999999999
2022-04-13,IPCALAB,EQ,1041.35,1048.0,1052.2,1037.0,1040.65,1043.15,1044.86,305538,31924526814999.996,29646,195705,0.6405
2022-04-18,IPCALAB,EQ,1043.15,1042.0,1047.45,1010.0,1025.2,1023.05,1018.4,256774,26149752680000.0,12453,156415,0.6092000000000001
