Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,JKLAKSHMI,EQ,412.1,408.9,409.45,388.0,401.6,401.15,397.87,180468,7180297470000.0,11609,71435,0.3958
2022-03-08,JKLAKSHMI,EQ,401.15,405.15,420.2,393.75,396.35,396.2,400.27,301571,12070985230000.0,11933,154408,0.512
2022-03-09,JKLAKSHMI,EQ,396.2,399.9,411.95,396.55,403.05,403.4,405.86,257909,10467382260000.0,10770,112260,0.4353
2022-03-10,JKLAKSHMI,EQ,403.4,412.0,441.8,412.0,437.1,437.75,426.71,698585,29809249795000.0,35670,270945,0.38780000000000003
2022-03-11,JKLAKSHMI,EQ,437.75,438.95,470.75,430.35,455.0,455.15,456.27,865645,39497018060000.0,32962,267309,0.3088
2022-03-14,JKLAKSHMI,EQ,455.15,455.15,462.0,437.0,439.4,439.25,445.18,194862,8674783755000.0,9464,69776,0.35810000000000003
2022-03-15,JKLAKSHMI,EQ,439.25,442.95,447.95,438.1,443.0,441.65,442.5,168167,7441312184999.999,6886,60863,0.3619
2022-03-16,JKLAKSHMI,EQ,441.65,450.0,450.9,426.15,442.95,442.4,436.05,640690,27937112220000.0,33326,149588,0.2335
2022-03-17,JKLAKSHMI,EQ,442.4,450.0,450.85,430.0,433.9,435.85,442.61,543480,24055094015000.0,17020,300878,0.5536
2022-03-21,JKLAKSHMI,EQ,435.85,434.9,438.95,425.0,426.7,428.85,433.6,239304,10376262945000.0,10088,111633,0.46649999999999997
2022-03-22,JKLAKSHMI,EQ,428.85,431.0,431.0,417.25,422.3,422.0,421.45,184958,7795005775000.0,8070,79795,0.4314
2022-03-23,JKLAKSHMI,EQ,422.0,426.0,428.0,413.55,415.95,415.85,418.29,216311,9048052785000.0,10238,99596,0.4604
2022-03-24,JKLAKSHMI,EQ,415.85,417.0,417.8,411.35,415.6,415.0,414.41,169567,7027031775000.0,6927,92489,0.5454
2022-03-25,JKLAKSHMI,EQ,415.0,419.0,422.5,412.05,415.0,415.2,417.22,123976,5172578400000.0,5354,54410,0.4389
2022-03-28,JKLAKSHMI,EQ,415.2,417.3,418.0,402.55,411.0,413.95,410.63,266032,10924023795000.0,12013,140726,0.529
2022-03-29,JKLAKSHMI,EQ,413.95,413.95,446.35,413.95,445.0,443.4,433.87,632570,27445139220000.0,18141,230236,0.364
2022-03-30,JKLAKSHMI,EQ,443.4,450.0,477.0,446.05,473.1,470.85,464.44,844767,39234348185000.0,28198,292022,0.3457
2022-03-31,JKLAKSHMI,EQ,470.85,472.05,488.0,457.7,473.0,474.85,472.14,588695,27794382980000.0,21787,212359,0.3607
2022-04-01,JKLAKSHMI,EQ,474.85,477.7,479.15,463.4,465.5,465.95,467.69,240357,11241199665000.0,11263,104183,0.4335
2022-04-04,JKLAKSHMI,EQ,465.95,478.0,479.9,466.0,467.0,467.45,469.77,258862,12160488605000.0,9091,136184,0.5261
2022-04-05,JKLAKSHMI,EQ,467.45,470.0,470.95,460.8,463.0,463.2,465.31,265938,12374306405000.0,8559,138043,0.5191
2022-04-06,JKLAKSHMI,EQ,463.2,463.0,465.9,459.0,460.6,460.6,463.11,202181,9363155030000.0,7530,116054,0.574
2022-04-07,JKLAKSHMI,EQ,460.6,461.8,464.5,451.0,455.9,452.9,458.03,201141,9212840280000.0,7984,112160,0.5576
2022-04-08,JKLAKSHMI,EQ,452.9,463.0,466.95,457.0,459.0,460.05,461.66,290426,13407827695000.0,13648,128673,0.443
2022-04-11,JKLAKSHMI,EQ,460.05,463.55,479.15,461.1,476.65,476.2,473.62,684675,32427244064999.996,20231,237509,0.3469
2022-04-12,JKLAKSHMI,EQ,476.2,480.0,483.2,468.05,470.5,472.05,473.46,292607,13853744655000.002,11301,103494,0.35369999999999996
2022-04-13,JKLAKSHMI,EQ,472.05,477.45,477.45,466.0,466.35,467.35,470.25,149562,7033185745000.0,7558,61372,0.4103
