Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,JSLHISAR,EQ,366.75,370.3,373.8,351.25,357.7,357.75,358.83,183316,6577949070000.0,8093,94526,0.5156000000000001
2022-03-29,JSLHISAR,EQ,357.75,363.45,376.5,361.45,372.0,372.9,370.18,141339,5232066905000.0,4890,92730,0.6561
2022-03-30,JSLHISAR,EQ,372.9,375.3,392.0,373.0,383.35,383.95,384.97,270712,10421642870000.0,7121,152492,0.5633
2022-03-31,JSLHISAR,EQ,383.95,385.6,395.0,382.0,389.0,389.35,387.42,235144,9109919365000.0,7118,112571,0.47869999999999996
2022-04-01,JSLHISAR,EQ,389.35,388.5,409.15,385.1,393.0,392.65,398.24,318550,12685899070000.0,8148,147061,0.4617
2022-04-04,JSLHISAR,EQ,392.65,395.95,405.55,394.5,404.9,401.2,399.45,172363,6885055984999.999,5096,118081,0.6851
2022-04-05,JSLHISAR,EQ,401.2,405.0,405.5,392.45,396.2,396.25,399.22,107386,4287055460000.0,3186,70402,0.6556000000000001
2022-04-06,JSLHISAR,EQ,396.25,396.25,399.5,390.0,390.2,390.9,394.29,99273,3914261040000.0,3368,57570,0.5799000000000001
2022-04-07,JSLHISAR,EQ,390.9,391.4,396.8,382.25,384.45,383.45,391.5,135323,5297834100000.0,4650,89620,0.6623
2022-04-08,JSLHISAR,EQ,383.45,386.1,394.8,384.7,391.4,389.85,389.1,127297,4953175470000.0,4538,80118,0.6294
2022-04-11,JSLHISAR,EQ,389.85,394.0,397.5,385.25,392.95,391.75,393.2,236533,9300400295000.0,4793,158101,0.6684
2022-04-12,JSLHISAR,EQ,391.75,394.0,394.0,380.1,383.9,382.7,384.88,116884,4498682395000.0,3801,69948,0.5984
2022-04-13,JSLHISAR,EQ,382.7,386.4,388.35,378.65,381.9,381.1,382.53,71197,2723477630000.0,2368,40703,0.5717
2022-04-18,JSLHISAR,EQ,381.1,381.55,391.75,377.0,388.0,387.0,383.56,86294,3309891025000.0,3653,39531,0.4581
2022-04-19,JSLHISAR,EQ,387.0,392.0,402.0,385.9,387.0,392.95,397.08,219050,8698104725000.0,9372,117542,0.5366
2022-04-20,JSLHISAR,EQ,392.95,395.0,398.65,383.4,384.1,384.45,388.25,90201,3502062210000.0,3582,47811,0.53
2022-04-21,JSLHISAR,EQ,384.45,386.5,390.8,378.0,390.0,387.55,384.79,131864,5074043480000.0,4461,71521,0.5424
2022-04-22,JSLHISAR,EQ,387.55,386.9,395.55,383.85,386.5,389.6,389.22,88007,3425379429999.9995,3475,43060,0.4893
2022-04-25,JSLHISAR,EQ,389.6,388.0,388.5,370.0,370.25,372.15,376.27,132979,5003545570000.0,6646,68698,0.5166
2022-04-26,JSLHISAR,EQ,372.15,374.6,377.8,365.85,369.9,370.55,371.15,166411,6176386445000.0,7254,65917,0.3961
2022-04-27,JSLHISAR,EQ,370.55,369.3,369.3,356.55,361.0,360.15,361.45,160462,5799826425000.0,5934,78799,0.4911
2022-04-28,JSLHISAR,EQ,360.15,364.3,364.3,349.0,351.5,350.3,353.35,218678,7726978990000.001,6772,113666,0.5197999999999999
2022-04-29,JSLHISAR,EQ,350.3,352.95,364.7,352.0,355.1,357.85,359.45,161963,5821806760000.0,8511,68138,0.4207
2022-05-02,JSLHISAR,EQ,357.85,340.0,348.05,331.25,338.0,343.1,338.19,482656,16322890235000.0,21886,181530,0.3761
2022-05-04,JSLHISAR,EQ,343.1,349.0,356.5,337.05,341.3,341.9,344.96,241871,8343700090000.001,8883,90917,0.37590000000000007
2022-05-05,JSLHISAR,EQ,341.9,346.05,350.85,335.0,341.0,340.65,342.54,136013,4658952035000.0,6191,53857,0.396
2022-05-06,JSLHISAR,EQ,340.65,332.0,332.0,321.0,329.65,328.8,326.59,256320,8371157905000.0,10998,100527,0.3922
2022-05-09,JSLHISAR,EQ,328.8,322.55,327.9,311.4,319.6,322.45,320.07,243492,7793336240000.001,15371,87916,0.3611
2022-05-10,JSLHISAR,EQ,322.45,316.1,320.7,305.15,307.5,309.75,312.17,261677,8168715300000.0,10408,104887,0.4008
2022-05-11,JSLHISAR,EQ,309.75,308.1,313.0,275.35,284.0,291.2,291.56,613571,17889444270000.0,22523,281934,0.4595
2022-05-12,JSLHISAR,EQ,291.2,284.6,284.6,264.3,269.5,269.75,271.24,775419,21032724355000.0,24006,385474,0.49710000000000004
2022-05-13,JSLHISAR,EQ,269.75,274.9,292.95,273.55,285.5,284.6,284.59,356779,10153573885000.0,11847,142064,0.3982
2022-05-16,JSLHISAR,EQ,284.6,290.0,291.35,274.35,280.0,279.45,282.25,335088,9457838640000.0,18044,123940,0.3699
2022-05-17,JSLHISAR,EQ,279.45,281.35,297.8,279.65,289.35,290.5,289.81,404922,11734944280000.0,11559,171949,0.42460000000000003
2022-05-18,JSLHISAR,EQ,290.5,292.15,294.9,283.25,287.1,288.1,289.68,217985,6314566595000.0,7255,92082,0.42240000000000005
2022-05-19,JSLHISAR,EQ,288.1,282.0,282.95,272.25,279.0,276.7,277.58,197533,5483028545000.0,7182,68335,0.34590000000000004
2022-05-20,JSLHISAR,EQ,276.7,282.7,296.0,282.7,290.35,291.75,289.72,146469,4243460390000.0,5672,55182,0.37670000000000003
2022-05-23,JSLHISAR,EQ,291.75,260.0,263.7,243.45,246.9,246.1,254.77,762064,19414750820000.0,23320,287578,0.3774
2022-05-24,JSLHISAR,EQ,246.1,247.15,252.85,232.5,233.6,233.9,240.06,485691,11659442385000.0,14719,165800,0.34140000000000004
2022-05-25,JSLHISAR,EQ,233.9,231.0,233.7,216.75,218.45,219.1,225.53,319611,7208236845000.0,11854,113973,0.3566
2022-05-26,JSLHISAR,EQ,219.1,219.1,237.4,215.85,235.0,233.9,227.52,517156,11766300650000.0,15384,154117,0.298
2022-05-27,JSLHISAR,EQ,233.9,236.95,240.65,233.8,237.95,237.9,237.53,357129,8482959970000.0,14908,155138,0.4344
2022-05-30,JSLHISAR,EQ,237.9,241.75,244.4,225.0,228.25,232.4,235.15,371171,8727983025000.0,12718,156539,0.4217
2022-05-31,JSLHISAR,EQ,232.4,230.0,230.4,219.5,221.0,221.3,224.26,462175,10364579525000.0,10137,249856,0.5406000000000001
2022-06-01,JSLHISAR,EQ,221.3,219.2,229.5,219.2,226.55,226.05,226.12,207197,4685104115000.0,7707,91259,0.4404
2022-06-02,JSLHISAR,EQ,226.05,226.6,231.7,225.1,230.45,230.15,228.34,174736,3989943075000.0,4434,58563,0.33520000000000005
2022-06-03,JSLHISAR,EQ,230.15,233.0,233.65,226.65,227.6,228.2,229.68,99034,2274568065000.0,4144,35995,0.36350000000000005
2022-06-06,JSLHISAR,EQ,228.2,225.0,231.1,220.65,226.55,229.4,225.85,147474,3330749655000.0,5141,46970,0.3185
2022-06-07,JSLHISAR,EQ,229.4,225.5,232.8,224.8,226.5,227.55,228.71,148851,3404361210000.0,4647,67092,0.4507
2022-06-08,JSLHISAR,EQ,227.55,226.7,230.9,224.1,225.95,226.75,228.09,159551,3639223335000.0,6299,47529,0.2979
2022-06-09,JSLHISAR,EQ,226.75,225.0,229.65,223.2,227.65,228.9,226.69,81454,1846486195000.0,2970,34826,0.4276
2022-06-10,JSLHISAR,EQ,228.9,226.1,228.0,224.15,225.5,225.15,225.79,46009,1038817630000.0001,2086,15742,0.3422
2022-06-13,JSLHISAR,EQ,225.15,220.65,221.0,210.5,210.6,211.05,213.01,135630,2889020600000.0,4905,62479,0.4607
2022-06-14,JSLHISAR,EQ,211.05,208.5,214.7,208.0,213.5,212.55,210.73,107297,2261088870000.0,3158,42842,0.3993
2022-06-15,JSLHISAR,EQ,212.55,212.7,217.55,202.75,213.05,212.8,208.9,293684,6135114390000.0,7894,138740,0.47240000000000004
2022-06-16,JSLHISAR,EQ,212.8,215.6,216.55,201.05,210.7,207.9,207.85,202690,4212829200000.0,5618,108971,0.5376
2022-06-17,JSLHISAR,EQ,207.9,209.0,209.25,199.9,204.35,204.5,204.06,278927,5691736370000.0,10710,113364,0.40640000000000004
2022-06-20,JSLHISAR,EQ,204.5,205.0,206.95,189.0,194.8,195.65,195.41,221590,4330163350000.0,8004,96902,0.43729999999999997
