Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,LT,EQ,1711.75,1658.25,1666.8,1605.55,1640.0,1634.45,1627.93,6318251,1028567426435000.0,287087,4287873,0.6786
2022-03-08,LT,EQ,1634.45,1627.9,1666.0,1595.0,1657.4,1658.5,1627.79,4421730,719764625010000.0,161579,2685308,0.6073
2022-03-09,LT,EQ,1658.5,1676.5,1699.8,1650.05,1690.65,1690.95,1679.88,3306502,555452273010000.06,107410,1886739,0.5706
2022-03-10,LT,EQ,1690.95,1740.0,1758.0,1707.0,1725.0,1728.2,1733.58,2776325,481298296500000.0,137172,1547139,0.5573
2022-03-11,LT,EQ,1728.2,1720.0,1735.45,1705.8,1726.8,1728.65,1726.73,1577597,272407630090000.0,102049,905737,0.5740999999999999
2022-03-14,LT,EQ,1728.65,1735.0,1754.0,1715.5,1753.25,1746.75,1737.41,1558334,270746086175000.0,62543,792008,0.5082
2022-03-15,LT,EQ,1746.75,1748.0,1765.0,1726.6,1743.6,1743.45,1747.43,2062332,360378073095000.0,91506,1241807,0.6021
2022-03-16,LT,EQ,1743.45,1761.0,1770.65,1746.2,1756.0,1756.2,1757.12,2101909,369330437495000.0,79220,1300006,0.6185
2022-03-17,LT,EQ,1756.2,1781.15,1804.6,1768.45,1791.0,1787.9,1789.5,3383036,605395646480000.0,107909,2111694,0.6242
2022-03-21,LT,EQ,1787.9,1805.0,1805.0,1745.0,1754.7,1756.3,1765.91,2301462,406416546585000.0,92723,1353260,0.588
2022-03-22,LT,EQ,1756.3,1756.3,1777.0,1721.15,1774.85,1774.05,1746.78,3986030,696272601040000.0,135555,2485984,0.6237
2022-03-23,LT,EQ,1774.05,1780.0,1791.55,1759.15,1765.0,1767.25,1771.67,1574226,278900357065000.0,61568,761551,0.48380000000000006
2022-03-24,LT,EQ,1767.25,1755.0,1779.7,1751.0,1766.9,1771.55,1768.34,1580887,279554013840000.0,82549,885259,0.56
2022-03-25,LT,EQ,1771.55,1775.6,1777.9,1739.0,1752.55,1751.1,1754.24,1483897,260311401665000.0,95988,824436,0.5556
2022-03-28,LT,EQ,1751.1,1752.0,1755.0,1725.1,1740.05,1741.6,1739.14,1799629,312981480410000.0,70676,1111705,0.6177
2022-03-29,LT,EQ,1741.6,1748.7,1754.1,1733.0,1750.5,1746.65,1740.81,2071779,360658255365000.0,95728,1420375,0.6856
2022-03-30,LT,EQ,1746.65,1766.9,1777.05,1754.1,1774.15,1773.6,1767.48,1712835,302739845265000.0,113982,1066004,0.6224000000000001
2022-03-31,LT,EQ,1773.6,1779.95,1781.35,1758.0,1767.85,1767.65,1767.17,1401916,247742494985000.0,81927,902341,0.6436000000000001
2022-04-01,LT,EQ,1767.65,1759.0,1794.0,1759.0,1786.2,1790.1,1778.97,2050573,364790668870000.0,43594,1485216,0.7243
2022-04-04,LT,EQ,1790.1,1784.0,1829.85,1776.6,1824.0,1826.35,1813.66,1955281,354620829860000.0,105611,1055388,0.5398
2022-04-05,LT,EQ,1826.35,1840.0,1845.0,1827.0,1832.9,1836.05,1835.81,1718581,315498927090000.0,93728,811980,0.47250000000000003
2022-04-06,LT,EQ,1836.05,1833.0,1858.0,1827.7,1851.0,1852.8,1849.43,2245496,415289792430000.0,90034,1408236,0.6271
2022-04-07,LT,EQ,1852.8,1849.9,1855.85,1810.15,1825.0,1826.3,1826.66,2003954,366054675930000.0,112500,934274,0.4662
2022-04-08,LT,EQ,1826.3,1835.4,1838.9,1818.05,1832.0,1830.75,1828.52,1903321,348025195900000.0,103538,1223284,0.6426999999999999
2022-04-11,LT,EQ,1830.75,1820.25,1829.75,1779.0,1782.4,1781.5,1794.09,2262446,405903479020000.0,118415,1476076,0.6524
2022-04-12,LT,EQ,1781.5,1780.0,1781.5,1733.6,1751.75,1747.7,1744.41,4215141,735293086075000.0,226919,3181016,0.7547
2022-04-13,LT,EQ,1747.7,1754.2,1772.85,1747.1,1758.55,1760.8,1759.24,1673417,294394008330000.0,73585,1053823,0.6297
2022-04-18,LT,EQ,1760.8,1746.3,1749.95,1715.0,1742.0,1738.35,1728.99,1808707,312723473150000.0,124412,1096329,0.6061
2022-04-19,LT,EQ,1738.35,1748.3,1760.75,1687.0,1700.0,1705.75,1723.92,2737766,471968442380000.0,112453,1977723,0.7223999999999999
2022-04-20,LT,EQ,1705.75,1709.95,1712.4,1671.35,1691.0,1691.6,1685.86,3832617,646126424465000.0,193278,2584859,0.6744
2022-04-21,LT,EQ,1691.6,1702.95,1725.8,1700.0,1718.0,1714.5,1715.39,1797489,308338699105000.0,93366,1173908,0.6531
2022-04-22,LT,EQ,1714.5,1701.0,1716.4,1690.4,1695.0,1694.35,1701.8,1474689,250961861900000.0,69621,901004,0.611
2022-04-25,LT,EQ,1694.35,1675.0,1675.0,1652.0,1660.0,1657.35,1663.24,1964344,326718479830000.0,128275,1227948,0.6251
2022-04-26,LT,EQ,1657.35,1680.0,1703.1,1664.0,1699.45,1699.95,1679.52,2440990,409968469090000.0,86991,1570478,0.6434000000000001
2022-04-27,LT,EQ,1699.95,1675.0,1691.6,1666.7,1676.75,1677.05,1681.36,1346726,226433128494999.97,80774,798662,0.593
2022-04-28,LT,EQ,1677.05,1690.0,1731.0,1680.0,1718.0,1719.25,1713.78,3117433,534258133760000.06,91540,2019561,0.6478
2022-04-29,LT,EQ,1719.25,1731.0,1739.0,1687.15,1699.0,1694.35,1710.46,2404830,411336458040000.0,86722,1534891,0.6383
2022-05-02,LT,EQ,1694.35,1668.6,1685.95,1655.05,1679.7,1679.45,1667.92,1399802,233475946715000.0,92949,749107,0.5352
2022-05-04,LT,EQ,1679.45,1679.5,1681.9,1625.05,1638.95,1633.95,1651.18,1777673,293525296390000.0,98388,998885,0.5619
2022-05-05,LT,EQ,1633.95,1650.7,1671.2,1633.0,1636.1,1637.65,1650.68,1707752,281894690075000.0,78608,883189,0.5172
2022-05-06,LT,EQ,1637.65,1616.0,1633.0,1612.1,1624.0,1622.45,1620.55,1439520,233280946194999.97,89127,712152,0.4947
2022-05-09,LT,EQ,1622.45,1607.55,1629.85,1591.25,1619.0,1616.15,1613.07,1400010,225832048980000.03,74724,612776,0.43770000000000003
2022-05-10,LT,EQ,1616.15,1611.0,1629.6,1601.0,1605.0,1607.95,1615.1,1176030,189940787205000.0,78485,559372,0.4756
2022-05-11,LT,EQ,1607.95,1600.5,1609.0,1557.35,1573.75,1570.8,1575.96,2988788,471021793160000.06,174066,1684482,0.5636
2022-05-12,LT,EQ,1570.8,1550.0,1554.95,1513.1,1532.0,1526.15,1529.96,3407191,521286736030000.0,217128,2154482,0.6323
2022-05-13,LT,EQ,1526.15,1530.0,1574.9,1502.0,1536.5,1534.5,1547.2,4328846,669760163825000.0,185408,2235594,0.5164
2022-05-16,LT,EQ,1534.5,1550.0,1567.5,1539.45,1553.0,1542.9,1549.72,1775914,275217635305000.03,67805,958388,0.5397
2022-05-17,LT,EQ,1542.9,1545.0,1607.9,1545.0,1607.9,1604.1,1586.35,1608711,255198387019999.97,67833,773218,0.4806
2022-05-18,LT,EQ,1604.1,1623.0,1623.0,1565.0,1576.15,1572.5,1594.68,2984009,475854831230000.0,111306,1651306,0.5534
2022-05-19,LT,EQ,1572.5,1550.0,1562.75,1540.35,1550.65,1547.95,1549.28,1798843,278691423819999.97,83839,937011,0.5209
