Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,MAHLIFE,EQ,291.95,290.0,290.2,275.05,276.1,278.3,281.52,132339,3725600250000.0,8282,47871,0.3617
2022-03-08,MAHLIFE,EQ,278.3,279.45,296.95,278.85,295.0,291.95,285.01,140959,4017484060000.0,2869,95033,0.6742
2022-03-09,MAHLIFE,EQ,291.95,296.95,301.45,293.75,296.0,296.3,297.43,83338,2478704425000.0,3157,46497,0.5579
2022-03-10,MAHLIFE,EQ,296.3,303.0,309.0,300.1,305.05,304.4,303.83,92490,2810162595000.0,3524,41962,0.4537
2022-03-11,MAHLIFE,EQ,304.4,304.4,313.5,300.35,303.75,304.0,305.8,177866,5439064995000.0,5830,33598,0.1889
2022-03-14,MAHLIFE,EQ,304.0,308.0,315.0,301.0,305.1,304.2,304.97,68814,2098623850000.0,4442,30489,0.44310000000000005
2022-03-15,MAHLIFE,EQ,304.2,311.0,311.0,291.0,294.0,294.45,299.16,86650,2592179890000.0,3620,32968,0.3805
2022-03-16,MAHLIFE,EQ,294.45,299.95,312.4,297.7,309.9,307.35,306.53,135284,4146799654999.9995,4640,51320,0.37939999999999996
2022-03-17,MAHLIFE,EQ,307.35,309.9,321.9,309.05,317.25,318.25,316.12,186805,5905307085000.0,6955,77488,0.4148
2022-03-21,MAHLIFE,EQ,318.25,325.0,327.8,315.7,318.7,319.55,320.51,121326,3888638665000.0,5374,43196,0.35600000000000004
2022-03-22,MAHLIFE,EQ,319.55,321.0,321.5,312.0,318.9,317.2,316.48,90796,2873510100000.0,4395,31685,0.349
2022-03-23,MAHLIFE,EQ,317.2,318.9,339.2,318.9,333.95,333.85,332.51,429810,14291626344999.998,12041,108113,0.2515
2022-03-24,MAHLIFE,EQ,333.85,335.0,335.5,318.2,327.35,330.4,327.86,148944,4883285410000.0,6936,52739,0.35409999999999997
2022-03-25,MAHLIFE,EQ,330.4,328.0,331.55,316.9,324.5,324.3,324.79,133641,4340512485000.0,6396,53887,0.4032
2022-03-28,MAHLIFE,EQ,324.3,326.3,348.0,313.05,348.0,340.4,328.28,235975,7746531330000.0,7805,117360,0.49729999999999996
2022-03-29,MAHLIFE,EQ,340.4,348.0,366.85,336.7,366.0,365.2,358.32,665292,23838989300000.0,21581,241012,0.36229999999999996
2022-03-30,MAHLIFE,EQ,365.2,370.0,378.0,352.65,355.15,356.5,367.74,344917,12684119940000.0,11482,93946,0.2724
2022-03-31,MAHLIFE,EQ,356.5,353.0,410.0,350.0,394.9,395.2,392.42,1158591,45465091320000.0,32591,220655,0.1905
