Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,MASTEK,EQ,2677.0,2601.0,2799.0,2601.0,2760.15,2782.45,2736.47,108096,29580189380000.0,15439,39221,0.3628
2022-03-08,MASTEK,EQ,2782.45,2782.0,2825.0,2751.25,2788.0,2790.95,2795.91,75585,21132849900000.0,13397,31948,0.4227
2022-03-09,MASTEK,EQ,2790.95,2810.0,2870.0,2791.0,2835.0,2841.85,2835.49,71136,20170567940000.0,11004,32926,0.4629
2022-03-10,MASTEK,EQ,2841.85,2851.0,2907.95,2851.0,2875.0,2886.9,2888.39,85985,24835798795000.0,14000,43031,0.5004
2022-03-11,MASTEK,EQ,2886.9,2880.0,2979.95,2871.6,2930.0,2929.85,2941.62,93029,27365573339999.996,13986,42875,0.46090000000000003
2022-03-14,MASTEK,EQ,2929.85,2955.0,3056.0,2930.3,2973.0,2985.4,2997.59,146828,44012985010000.0,21506,58841,0.4007
2022-03-15,MASTEK,EQ,2985.4,3009.0,3145.0,2990.0,3093.0,3079.7,3083.56,177500,54733105945000.01,20217,79048,0.44530000000000003
2022-03-16,MASTEK,EQ,3079.7,3112.0,3159.95,3050.0,3051.0,3086.0,3117.76,74686,23285315875000.0,16068,39107,0.5236
2022-03-17,MASTEK,EQ,3086.0,3140.0,3140.0,2970.0,3014.4,3062.45,3061.54,528046,161663590485000.0,20950,430963,0.8161
2022-03-21,MASTEK,EQ,3062.45,3049.0,3074.0,3025.1,3028.2,3038.2,3052.24,58200,17764064160000.0,11671,29530,0.5074000000000001
2022-03-22,MASTEK,EQ,3038.2,3030.0,3074.0,2975.0,3025.0,3029.8,3041.13,65801,20010966730000.0,13235,30633,0.46549999999999997
2022-03-23,MASTEK,EQ,3029.8,3065.85,3065.85,2968.85,2980.0,2988.8,3014.43,41616,12544843050000.0,8024,19066,0.4581
2022-03-24,MASTEK,EQ,2988.8,2990.0,3045.0,2972.0,3020.0,3023.05,3009.91,46895,14114983115000.0,9123,21848,0.46590000000000004
2022-03-25,MASTEK,EQ,3023.05,3051.95,3115.0,3032.0,3044.15,3046.9,3067.05,74663,22899528500000.0,12148,30341,0.40640000000000004
2022-03-28,MASTEK,EQ,3046.9,3058.0,3078.2,3010.1,3039.0,3030.65,3042.5,33321,10137903115000.0,7923,15106,0.4533
2022-03-29,MASTEK,EQ,3030.65,3050.0,3119.8,3040.05,3071.65,3078.45,3075.88,64952,19978468075000.0,14179,32311,0.4975
2022-03-30,MASTEK,EQ,3078.45,3110.0,3325.0,3085.0,3240.0,3235.8,3255.4,422258,137461677940000.02,44731,163585,0.3874
2022-03-31,MASTEK,EQ,3235.8,3248.0,3355.55,3248.0,3340.0,3321.8,3322.77,186489,61965999050000.0,25113,64548,0.3461
2022-04-01,MASTEK,EQ,3321.8,3320.0,3370.0,3282.2,3305.0,3313.7,3323.68,82984,27581230725000.0,13888,32674,0.3937
2022-04-04,MASTEK,EQ,3313.7,3375.0,3413.1,3333.0,3354.0,3346.6,3365.33,76882,25873304575000.0,13240,39145,0.5092
2022-04-05,MASTEK,EQ,3346.6,3370.0,3395.0,3275.0,3280.0,3290.5,3313.69,90408,29958384475000.0,12116,47412,0.5244
2022-04-06,MASTEK,EQ,3290.5,3290.0,3345.0,3204.0,3219.35,3217.3,3257.49,100356,32690908455000.0,15737,47788,0.47619999999999996
2022-04-07,MASTEK,EQ,3217.3,3203.0,3245.0,3166.0,3170.0,3177.3,3196.73,60615,19376990370000.0,8346,30580,0.5045000000000001
2022-04-08,MASTEK,EQ,3177.3,3188.0,3238.0,3170.75,3190.0,3185.05,3198.06,41147,13159062200000.0,7143,18849,0.4581
2022-04-11,MASTEK,EQ,3185.05,3200.0,3230.95,3160.25,3190.0,3172.95,3183.45,57401,18273316405000.0,10019,28554,0.4974
2022-04-12,MASTEK,EQ,3172.95,3187.95,3187.95,3040.0,3050.0,3053.25,3084.81,70655,21795741580000.0,12751,41473,0.5870000000000001
2022-04-13,MASTEK,EQ,3053.25,3059.25,3125.0,3059.25,3079.0,3079.35,3085.21,43949,13559206140000.0,7391,25475,0.5796
2022-04-18,MASTEK,EQ,3079.35,2988.0,3019.8,2864.4,2900.0,2904.05,2917.47,111284,32466718345000.0,18604,50303,0.452
2022-04-19,MASTEK,EQ,2904.05,3017.7,3017.7,2785.0,2799.7,2810.5,2847.0,132819,37813619120000.0,16591,58084,0.43729999999999997
2022-04-20,MASTEK,EQ,2810.5,2855.45,2898.0,2770.25,2798.0,2793.65,2824.39,167103,47196432380000.0,19107,49689,0.2974
2022-04-21,MASTEK,EQ,2793.65,2839.95,2872.8,2810.0,2833.0,2826.6,2833.48,88944,25202117765000.0,9774,51424,0.5782
2022-04-22,MASTEK,EQ,2826.6,2834.0,2960.0,2833.15,2938.15,2941.7,2931.18,143435,42043426425000.0,12124,61875,0.4314
2022-04-25,MASTEK,EQ,2941.7,2940.0,2941.0,2866.05,2908.0,2890.85,2901.77,48313,14019314325000.0,7440,21759,0.4504
2022-04-26,MASTEK,EQ,2890.85,2940.7,2954.95,2836.65,2880.0,2845.45,2879.52,58019,16706699865000.0,10629,29068,0.501
2022-04-27,MASTEK,EQ,2845.45,2840.0,2875.0,2770.7,2798.75,2785.1,2800.28,54108,15151743725000.0,8355,32457,0.5999
2022-04-28,MASTEK,EQ,2785.1,2818.95,2892.0,2735.0,2804.05,2834.25,2855.67,54056,15436633485000.0,8654,25232,0.4668
2022-04-29,MASTEK,EQ,2834.25,2834.25,2871.1,2798.15,2809.0,2813.25,2828.07,38576,10909580790000.0,6764,16845,0.43670000000000003
2022-05-02,MASTEK,EQ,2813.25,2757.0,2906.95,2755.0,2864.0,2861.75,2847.29,76560,21798863440000.0,10969,39350,0.514
2022-05-04,MASTEK,EQ,2861.75,2861.75,2906.0,2821.0,2841.6,2848.45,2868.0,43676,12526285020000.0,7263,19471,0.4458
2022-05-05,MASTEK,EQ,2848.45,2881.0,2885.0,2765.25,2788.0,2788.25,2842.86,47021,13367394040000.0,6776,29223,0.6215
2022-05-06,MASTEK,EQ,2788.25,2701.0,2865.05,2600.0,2770.0,2785.25,2682.35,173697,46591608905000.0,25087,62817,0.3616
2022-05-09,MASTEK,EQ,2785.25,2741.0,2749.55,2571.0,2585.0,2607.25,2619.18,164256,43021654600000.0,27402,57550,0.3504
2022-05-10,MASTEK,EQ,2607.25,2562.0,2598.45,2506.0,2508.0,2525.3,2549.8,126309,32206311385000.004,19483,52536,0.41590000000000005
2022-05-11,MASTEK,EQ,2525.3,2511.0,2538.1,2330.3,2377.0,2403.05,2418.39,187041,45233761555000.0,26838,67202,0.3593
2022-05-12,MASTEK,EQ,2403.05,2360.0,2488.85,2326.55,2450.1,2452.95,2438.1,117491,28645485275000.0,11900,43719,0.37210000000000004
2022-05-13,MASTEK,EQ,2452.95,2497.65,2537.95,2399.0,2400.0,2406.9,2432.05,91139,22165449355000.0,12902,30839,0.33840000000000003
2022-05-16,MASTEK,EQ,2406.9,2445.0,2445.0,2346.8,2374.0,2380.05,2382.17,64134,15277832375000.0,11190,32003,0.499
2022-05-17,MASTEK,EQ,2380.05,2376.0,2450.0,2376.0,2435.0,2433.75,2410.99,48500,11693320880000.0,6488,22539,0.4647
2022-05-18,MASTEK,EQ,2433.75,2450.0,2645.0,2450.0,2575.0,2572.3,2574.22,195613,50355180675000.0,21241,53151,0.2717
2022-05-19,MASTEK,EQ,2572.3,2482.0,2509.95,2450.2,2498.0,2466.35,2477.32,62691,15530548394999.998,9955,23987,0.3826
2022-05-20,MASTEK,EQ,2466.35,2520.0,2572.0,2467.0,2556.0,2561.0,2516.74,55504,13968914765000.0,7291,18946,0.34130000000000005
2022-05-23,MASTEK,EQ,2561.0,2564.7,2584.8,2443.85,2465.45,2478.4,2507.89,41661,10448132220000.0,7143,19353,0.4645
2022-05-24,MASTEK,EQ,2478.4,2503.45,2526.1,2452.0,2470.0,2481.7,2489.65,49757,12387749165000.0,10123,19224,0.3864
2022-05-25,MASTEK,EQ,2481.7,2500.0,2508.65,2348.75,2360.0,2376.0,2392.83,76911,18403494030000.0,13012,35462,0.4611
2022-05-26,MASTEK,EQ,2376.0,2400.0,2444.0,2356.0,2380.05,2410.75,2391.46,64628,15455523005000.002,13018,24677,0.38180000000000003
2022-05-27,MASTEK,EQ,2410.75,2449.0,2496.0,2411.55,2440.0,2447.95,2459.63,63221,15550054325000.0,8549,24489,0.3874
2022-05-30,MASTEK,EQ,2447.95,2468.0,2548.0,2468.0,2490.0,2496.55,2508.27,59834,15007971494999.998,6944,22840,0.38170000000000004
2022-05-31,MASTEK,EQ,2496.55,2497.0,2690.0,2450.0,2679.0,2663.0,2599.68,143070,37193629665000.0,13257,82707,0.5781000000000001
2022-06-01,MASTEK,EQ,2663.0,2663.0,2820.0,2627.05,2703.0,2703.1,2715.02,113632,30851322989999.996,18550,40405,0.3556
2022-06-02,MASTEK,EQ,2703.1,2703.0,2723.0,2652.15,2694.0,2699.6,2697.63,87861,23701671160000.0,5975,63932,0.7276
2022-06-03,MASTEK,EQ,2699.6,2736.05,2774.95,2613.0,2625.0,2627.6,2683.71,53406,14332610915000.0,8388,21884,0.4098
2022-06-06,MASTEK,EQ,2627.6,2600.0,2623.85,2558.0,2587.95,2591.55,2588.47,25874,6697415960000.0,4582,9546,0.3689
2022-06-07,MASTEK,EQ,2591.55,2580.0,2696.3,2553.0,2571.0,2579.55,2620.87,108866,28532403130000.0,16609,27038,0.2484
2022-06-08,MASTEK,EQ,2579.55,2605.15,2625.0,2568.0,2608.0,2603.7,2591.65,26688,6916605650000.0,4483,8610,0.3226
2022-06-09,MASTEK,EQ,2603.7,2571.0,2650.0,2571.0,2601.6,2619.9,2602.82,21056,5480489500000.0,4125,8501,0.4037
2022-06-10,MASTEK,EQ,2619.9,2599.0,2610.05,2574.55,2591.95,2596.6,2593.85,19780,5130629765000.0,3826,8070,0.408
2022-06-13,MASTEK,EQ,2596.6,2530.0,2565.1,2425.0,2445.2,2437.05,2485.01,43465,10801113305000.0,8225,21989,0.5059
2022-06-14,MASTEK,EQ,2437.05,2405.0,2434.0,2300.0,2302.35,2308.55,2341.51,115199,26974007560000.004,14999,47728,0.4143
2022-06-15,MASTEK,EQ,2308.55,2354.0,2354.0,2130.0,2140.0,2145.65,2178.43,339906,74046285940000.0,38325,98784,0.29059999999999997
2022-06-16,MASTEK,EQ,2145.65,2204.0,2217.9,1981.05,1991.0,2001.65,2066.98,322590,66678587320000.01,37390,79929,0.24780000000000002
