Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,MAZDOCK,EQ,248.95,250.0,250.0,240.0,241.55,241.15,243.06,196920,4786324205000.0,5224,116089,0.5895
2022-03-29,MAZDOCK,EQ,241.15,244.0,244.0,236.45,238.8,237.85,239.81,262160,6286910340000.0,6197,155402,0.5928
2022-03-30,MAZDOCK,EQ,237.85,240.0,242.65,239.25,239.9,240.1,240.75,157984,3803475050000.0,4047,92250,0.5839
2022-03-31,MAZDOCK,EQ,240.1,242.4,247.95,238.0,239.05,239.7,243.47,230334,5607918655000.0,4836,101843,0.4422
2022-04-01,MAZDOCK,EQ,239.7,241.3,252.0,240.2,250.65,251.45,248.2,269970,6700683880000.0,6242,108852,0.4032
2022-04-04,MAZDOCK,EQ,251.45,252.95,280.0,252.9,270.8,271.55,272.36,2615412,71232215690000.0,42686,485892,0.1858
2022-04-05,MAZDOCK,EQ,271.55,273.75,281.85,267.5,272.0,274.25,275.27,865821,23833475875000.0,19135,241877,0.27940000000000004
2022-04-06,MAZDOCK,EQ,274.25,272.0,278.7,270.0,273.3,273.05,274.19,356300,9769228225000.0,9295,108832,0.3055
2022-04-07,MAZDOCK,EQ,273.05,273.0,287.9,271.95,275.3,275.65,282.05,1452938,40979829620000.0,31123,331679,0.22829999999999998
2022-04-08,MAZDOCK,EQ,275.65,278.3,298.75,274.55,293.75,294.15,291.75,2465526,71931613440000.0,35257,685826,0.2782
2022-04-11,MAZDOCK,EQ,294.15,294.2,307.9,294.15,301.25,302.0,302.25,2092244,63237118095000.01,31162,627671,0.3
2022-04-12,MAZDOCK,EQ,302.0,299.9,333.15,288.55,324.9,328.8,320.4,10860232,347956898390000.0,150585,1352897,0.12460000000000002
2022-04-13,MAZDOCK,EQ,328.8,328.8,329.0,312.4,316.5,315.3,320.7,2583810,82861498870000.0,51529,637703,0.2468
2022-04-18,MAZDOCK,EQ,315.3,313.4,337.7,305.3,329.5,331.3,325.53,4474630,145663199045000.0,70719,763459,0.1706
2022-04-19,MAZDOCK,EQ,331.3,333.4,333.4,308.0,309.8,313.15,324.34,1310895,42517492645000.0,22946,390382,0.2978
2022-04-20,MAZDOCK,EQ,313.15,315.15,323.5,311.0,314.0,314.3,318.03,1226048,38992176865000.0,20745,250650,0.20440000000000003
2022-04-21,MAZDOCK,EQ,314.3,318.6,332.8,317.55,329.05,327.5,326.78,2324960,75975473080000.0,40952,440022,0.1893
2022-04-22,MAZDOCK,EQ,327.5,326.85,342.4,323.65,328.8,327.45,334.98,2676857,89669662910000.0,42521,507834,0.18969999999999998
2022-04-25,MAZDOCK,EQ,327.45,322.9,328.4,314.7,318.0,319.0,321.09,996564,31998878439999.996,18114,286536,0.28750000000000003
2022-04-26,MAZDOCK,EQ,319.0,322.0,325.4,312.3,314.0,315.2,319.77,593225,18969467300000.0,10282,160097,0.2699
2022-04-27,MAZDOCK,EQ,315.2,314.7,316.0,306.6,310.0,309.9,310.68,452976,14073245980000.002,7755,137608,0.3038
2022-04-28,MAZDOCK,EQ,309.9,312.4,314.75,307.2,312.5,310.05,310.66,424416,13185090410000.0,9445,147744,0.3481
2022-04-29,MAZDOCK,EQ,310.05,312.5,319.0,297.55,297.85,300.2,308.46,456324,14075554775000.0,7821,144409,0.3165
2022-05-02,MAZDOCK,EQ,300.2,297.9,304.0,292.25,294.4,293.4,295.78,436186,12901498380000.0,15365,155819,0.3572
2022-05-04,MAZDOCK,EQ,293.4,294.9,298.95,289.5,290.6,293.9,294.59,702265,20688228590000.0,16772,222680,0.3171
2022-05-05,MAZDOCK,EQ,293.9,295.75,300.95,285.95,286.4,288.1,293.82,356914,10487018175000.0,10154,96029,0.2691
2022-05-06,MAZDOCK,EQ,288.1,284.9,288.0,279.25,285.0,284.3,284.15,271389,7711573230000.0,8670,93718,0.3453
2022-05-09,MAZDOCK,EQ,284.3,284.3,289.4,276.0,281.95,281.85,284.94,580595,16543276250000.0,16383,119974,0.2066
2022-05-10,MAZDOCK,EQ,281.85,281.85,287.2,271.0,271.45,275.4,279.86,352865,9875123575000.0,13087,124899,0.354
2022-05-11,MAZDOCK,EQ,275.4,275.7,278.65,256.2,268.5,268.65,267.07,500444,13365254550000.0,15261,132797,0.26539999999999997
2022-05-12,MAZDOCK,EQ,268.65,265.0,266.85,258.4,266.0,263.8,262.26,241866,6343275150000.0,6313,68570,0.28350000000000003
2022-05-13,MAZDOCK,EQ,263.8,267.5,276.65,260.2,262.45,263.8,268.98,404839,10889560815000.0,10072,121166,0.2993
2022-05-16,MAZDOCK,EQ,263.8,265.8,275.65,263.85,272.85,272.2,271.14,465449,12620109015000.0,9745,74259,0.1595
2022-05-17,MAZDOCK,EQ,272.2,273.7,295.6,273.5,292.95,292.7,286.9,788765,22629574650000.0,21980,250049,0.317
2022-05-18,MAZDOCK,EQ,292.7,294.5,297.65,285.1,288.25,288.7,292.15,380407,11113684030000.0,9013,97726,0.2569
2022-05-19,MAZDOCK,EQ,288.7,283.95,291.0,280.5,286.85,284.35,284.88,352412,10039350025000.0,7806,120663,0.34240000000000004
2022-05-20,MAZDOCK,EQ,284.35,290.5,304.3,287.95,296.4,296.65,298.37,929573,27736035320000.0,18998,224460,0.2415
2022-05-23,MAZDOCK,EQ,296.65,297.9,306.05,292.25,297.65,298.6,301.03,682413,20542400420000.0,14679,162948,0.23879999999999998
2022-05-24,MAZDOCK,EQ,298.6,300.0,302.35,287.85,290.7,289.95,293.09,236966,6945190115000.001,5500,67595,0.2853
2022-05-25,MAZDOCK,EQ,289.95,292.8,294.0,273.0,274.85,275.9,281.59,300977,8475350145000.0,7053,105853,0.3517
2022-05-26,MAZDOCK,EQ,275.9,278.4,289.95,269.4,288.9,287.1,278.35,408628,11374262090000.0,9961,127898,0.313
2022-05-27,MAZDOCK,EQ,287.1,290.75,292.0,283.65,288.7,288.05,287.36,185885,5341617470000.0,4235,55761,0.3
2022-05-30,MAZDOCK,EQ,288.05,291.45,295.0,277.7,285.0,283.7,283.4,1053089,29845005900000.0,20532,159121,0.15109999999999998
2022-05-31,MAZDOCK,EQ,283.7,277.0,282.45,275.0,277.05,276.75,278.95,273936,7641374850000.0,6612,93608,0.3417
2022-06-01,MAZDOCK,EQ,276.75,278.5,289.35,278.5,281.8,283.75,284.72,495610,14110879615000.0,22587,176705,0.3565
2022-06-02,MAZDOCK,EQ,283.75,282.1,299.0,280.45,298.4,296.55,291.83,863873,25210092840000.0,15654,316456,0.3663
2022-06-03,MAZDOCK,EQ,296.55,296.5,307.5,281.65,284.35,285.55,295.53,1197713,35395799975000.0,24381,220312,0.1839
2022-06-06,MAZDOCK,EQ,285.55,283.7,283.7,275.8,277.4,277.55,279.08,311193,8684640705000.0,5921,103131,0.33140000000000003
2022-06-07,MAZDOCK,EQ,277.55,280.0,283.5,274.15,274.8,275.7,278.73,438509,12222400710000.0,10587,132327,0.3018
2022-06-08,MAZDOCK,EQ,275.7,276.7,277.3,269.85,270.95,270.6,273.47,228173,6239864910000.0,5103,80713,0.35369999999999996
2022-06-09,MAZDOCK,EQ,270.6,268.1,269.95,266.4,268.4,268.45,268.25,175144,4698176875000.0,5888,59658,0.3406
2022-06-10,MAZDOCK,EQ,268.45,264.2,270.6,264.2,267.0,268.05,267.33,152494,4076616565000.0,3791,61030,0.40020000000000006
2022-06-13,MAZDOCK,EQ,268.05,263.85,263.85,252.05,253.1,253.35,256.19,299302,7667956330000.0,8162,146096,0.48810000000000003
2022-06-14,MAZDOCK,EQ,253.35,251.1,257.8,251.1,254.25,254.0,254.78,174223,4438802055000.0,4671,57799,0.3318
2022-06-15,MAZDOCK,EQ,254.0,256.9,259.55,252.1,252.55,253.5,256.06,175835,4502445460000.0,4614,75475,0.4292
2022-06-16,MAZDOCK,EQ,253.5,256.8,258.4,243.3,244.95,245.55,250.99,205241,5151414485000.0,4462,97996,0.47750000000000004
2022-06-17,MAZDOCK,EQ,245.55,245.0,250.0,241.75,245.55,246.85,245.67,169045,4152844185000.0,5303,48883,0.2892
2022-06-20,MAZDOCK,EQ,246.85,247.4,248.25,229.45,234.75,234.85,237.07,265849,6302588880000.0,8185,115707,0.43520000000000003
2022-06-21,MAZDOCK,EQ,234.85,236.5,243.05,236.0,242.95,241.95,240.08,159642,3832671179999.9995,5334,65531,0.4105
2022-06-22,MAZDOCK,EQ,241.95,242.3,243.05,236.1,236.95,237.7,239.29,121862,2915977005000.0,5840,52807,0.4333
2022-06-23,MAZDOCK,EQ,237.7,240.25,242.55,235.75,240.45,239.55,239.56,118921,2848849960000.0,3829,31707,0.3627
2022-06-24,MAZDOCK,EQ,239.55,239.05,248.85,239.05,245.5,245.3,245.2,202863,4974173000000.0,5115,77352,0.38130000000000003
2022-06-27,MAZDOCK,EQ,245.3,248.0,253.35,247.45,250.8,250.35,250.88,156958,3937693985000.0,4734,52671,0.3356
2022-06-28,MAZDOCK,EQ,250.35,247.3,256.9,247.1,256.4,255.35,254.3,242904,6177016130000.0,5442,61447,0.253
2022-06-29,MAZDOCK,EQ,255.35,254.5,255.5,250.2,251.9,251.1,252.75,69698,1761588760000.0002,2471,20438,0.2932
2022-06-30,MAZDOCK,EQ,251.1,252.5,254.7,245.0,245.9,246.25,247.99,92783,2300953405000.0,2803,34613,0.37310000000000004
2022-07-01,MAZDOCK,EQ,246.25,246.7,249.95,241.55,249.1,248.15,245.34,68727,1686153155000.0,2572,23210,0.33770000000000006
2022-07-04,MAZDOCK,EQ,248.15,250.55,258.5,247.0,256.3,255.3,253.25,163648,4144323320000.0005,5685,59328,0.3625
2022-07-05,MAZDOCK,EQ,255.3,259.5,259.5,250.6,254.0,252.7,255.73,168898,4319274825000.0,7962,61325,0.36310000000000003
2022-07-06,MAZDOCK,EQ,252.7,250.25,256.75,250.25,255.0,255.55,254.24,87559,2226097970000.0,4068,35528,0.4058
2022-07-07,MAZDOCK,EQ,255.55,257.0,261.8,256.25,260.9,260.6,259.73,140126,3639433129999.9995,4686,66874,0.4772
2022-07-08,MAZDOCK,EQ,260.6,263.9,265.5,260.1,262.05,263.35,262.76,144306,3791833570000.0005,4329,58398,0.4047
2022-07-11,MAZDOCK,EQ,263.35,262.3,267.5,260.3,263.3,263.1,263.42,115431,3040637265000.0,4305,58728,0.5088
2022-07-12,MAZDOCK,EQ,263.1,262.8,264.75,258.8,260.65,260.35,261.65,65615,1716839385000.0002,2570,29557,0.45049999999999996
2022-07-13,MAZDOCK,EQ,260.35,261.0,264.5,258.0,260.7,260.5,261.51,103202,2698817885000.0,2792,61497,0.5959000000000001
2022-07-14,MAZDOCK,EQ,260.5,260.65,263.55,254.7,257.35,257.65,258.99,76851,1990365364999.9998,3777,35756,0.46530000000000005
2022-07-15,MAZDOCK,EQ,257.65,258.9,261.4,253.9,260.3,259.75,257.75,72879,1878434514999.9998,2383,34668,0.4757
2022-07-18,MAZDOCK,EQ,259.75,264.5,266.0,261.0,262.55,263.9,263.39,105287,2773119830000.0,5159,58905,0.5595
2022-07-19,MAZDOCK,EQ,263.9,262.7,268.7,262.0,263.3,263.25,264.29,122392,3234658270000.0,5145,55132,0.45049999999999996
2022-07-20,MAZDOCK,EQ,263.25,265.25,270.95,264.15,264.9,265.75,267.35,202141,5404156635000.0,8396,87770,0.43420000000000003
2022-07-21,MAZDOCK,EQ,265.75,266.95,275.0,265.85,271.25,271.25,271.63,250682,6809309415000.001,6450,105550,0.42110000000000003
2022-07-22,MAZDOCK,EQ,271.25,272.7,277.85,267.85,275.5,275.0,273.64,210533,5760976800000.0,4881,81164,0.38549999999999995
