Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,MEDPLUS,EQ,957.4,963.0,994.0,945.0,984.0,971.0,959.23,75176,7211112834999.999,5433,49657,0.6605
2022-03-29,MEDPLUS,EQ,971.0,984.0,1015.6,970.25,1003.0,1007.4,998.31,218639,21826964785000.0,18875,91549,0.41869999999999996
2022-03-30,MEDPLUS,EQ,1007.4,1007.6,1015.25,995.0,1003.0,1011.2,1006.15,87627,8816612250000.0,8304,50591,0.5773
2022-03-31,MEDPLUS,EQ,1011.2,1010.0,1021.95,995.3,1011.15,1014.5,1010.04,194752,19670696375000.0,11472,117943,0.6056
2022-04-01,MEDPLUS,EQ,1014.5,1001.15,1029.5,998.0,1014.0,1017.4,1019.64,46621,4753642465000.0,6964,20674,0.4434
2022-04-04,MEDPLUS,EQ,1017.4,1017.4,1029.95,1005.1,1015.0,1016.65,1019.5,69906,7126920105000.0,11568,29035,0.4153
2022-04-05,MEDPLUS,EQ,1016.65,1017.0,1019.95,991.15,995.5,997.65,1003.42,243706,24453911110000.0,17180,57212,0.2348
2022-04-06,MEDPLUS,EQ,997.65,997.35,1010.0,990.95,997.2,997.75,1002.08,33361,3343027325000.0,4545,14185,0.4252
2022-04-07,MEDPLUS,EQ,997.75,1004.9,1007.1,990.1,994.0,994.65,997.25,33137,3304578305000.0,4129,14323,0.4322
2022-04-08,MEDPLUS,EQ,994.65,995.0,1032.0,984.05,1019.75,1011.0,1003.54,110819,11121167210000.0,10262,69383,0.6261
2022-04-11,MEDPLUS,EQ,1011.0,1015.0,1049.0,1015.0,1024.9,1028.1,1033.64,137168,14178232405000.002,13575,60329,0.43979999999999997
2022-04-12,MEDPLUS,EQ,1028.1,1027.8,1027.8,986.0,990.0,989.9,995.35,67343,6702969365000.0,6398,32972,0.48960000000000004
2022-04-13,MEDPLUS,EQ,989.9,995.0,1004.75,986.85,988.0,988.9,991.73,29917,2966958590000.0,4693,10923,0.3651
2022-04-18,MEDPLUS,EQ,988.9,988.0,988.65,962.0,976.95,977.35,973.58,64414,6271244110000.0,8339,23460,0.3642
2022-04-19,MEDPLUS,EQ,977.35,988.7,999.9,976.95,986.0,979.0,986.93,32234,3181254700000.0,4000,12777,0.39640000000000003
2022-04-20,MEDPLUS,EQ,979.0,988.0,1000.0,978.0,994.8,996.45,995.93,127861,12734024890000.0,11890,46100,0.3605
2022-04-21,MEDPLUS,EQ,996.45,999.0,1004.0,992.0,996.0,996.65,996.94,29347,2925720285000.0,2920,14114,0.48090000000000005
2022-04-22,MEDPLUS,EQ,996.65,978.0,1000.0,978.0,995.0,996.05,993.54,110368,10965496920000.0,10281,30639,0.2776
2022-04-25,MEDPLUS,EQ,996.05,995.8,1029.6,978.0,985.05,993.15,999.6,82635,8260167445000.0,8709,36915,0.44670000000000004
2022-04-26,MEDPLUS,EQ,993.15,1002.0,1004.85,983.1,987.0,988.15,994.05,164122,16314481185000.0,13434,34451,0.20989999999999998
2022-04-27,MEDPLUS,EQ,988.15,985.0,1007.0,977.85,978.0,979.0,990.88,165075,16356893244999.998,13833,37893,0.22960000000000003
2022-04-28,MEDPLUS,EQ,979.0,983.0,999.9,971.35,978.0,978.0,986.42,102741,10134545535000.0,10020,24193,0.23550000000000001
2022-04-29,MEDPLUS,EQ,978.0,988.75,1019.35,976.0,993.0,994.9,995.04,184311,18339725690000.0,16812,80332,0.43590000000000007
2022-05-02,MEDPLUS,EQ,994.9,988.0,994.7,973.25,975.0,976.4,979.58,27642,2707766175000.0,4535,8721,0.3155
2022-05-04,MEDPLUS,EQ,976.4,984.0,995.0,976.0,981.4,984.4,978.64,226428,22159176315000.0,7267,187450,0.8279000000000001
2022-05-05,MEDPLUS,EQ,984.4,994.85,994.85,921.05,949.9,943.45,959.97,178969,17180438105000.002,25288,80037,0.4472
