Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,MFSL,EQ,789.55,757.0,798.25,755.05,778.0,779.15,781.37,981210,76668775690000.0,45977,523991,0.534
2022-03-08,MFSL,EQ,779.15,772.1,786.15,756.0,774.0,774.5,771.92,316217,24409285275000.0,12216,174281,0.5511
2022-03-09,MFSL,EQ,774.5,774.5,796.95,771.0,780.0,785.0,783.35,762769,59751769954999.99,24139,465027,0.6097
2022-03-10,MFSL,EQ,785.0,803.0,805.45,765.7,770.0,773.6,788.77,347901,27441377725000.0,14447,165315,0.47520000000000007
2022-03-11,MFSL,EQ,773.6,768.0,791.25,767.85,783.0,787.6,778.49,412172,32087252925000.0,21573,219757,0.5332
2022-03-14,MFSL,EQ,787.6,786.0,786.0,770.5,778.0,779.4,778.68,165085,12854919045000.0,12342,55612,0.3369
2022-03-15,MFSL,EQ,779.4,783.0,799.75,766.4,770.9,774.4,778.95,672260,52365460290000.0,20087,422393,0.6283
2022-03-16,MFSL,EQ,774.4,779.1,800.0,776.25,778.95,780.9,785.7,314597,24717911705000.0,13865,154735,0.4919
2022-03-17,MFSL,EQ,780.9,787.2,814.5,787.2,811.0,805.1,798.63,990944,79140242820000.0,30868,516620,0.5213
2022-03-21,MFSL,EQ,805.1,805.0,805.0,766.35,779.5,778.55,776.47,767844,59620890360000.0,21497,252112,0.3283
2022-03-22,MFSL,EQ,778.55,782.6,794.0,769.15,783.25,784.05,785.15,577994,45381194805000.0,21197,261339,0.4521
2022-03-23,MFSL,EQ,784.05,787.95,795.0,765.0,766.0,770.0,772.65,592082,45747378615000.0,19911,309909,0.5234000000000001
2022-03-24,MFSL,EQ,770.0,752.2,768.35,744.75,745.0,747.65,751.88,731750,55019170015000.0,24904,279893,0.3825
2022-03-25,MFSL,EQ,747.65,749.0,753.75,728.05,736.0,732.1,741.44,427695,31710864635000.004,14929,176862,0.41350000000000003
2022-03-28,MFSL,EQ,732.1,735.75,736.0,700.0,703.5,703.05,711.85,995173,70841020495000.0,21905,613259,0.6162
2022-03-29,MFSL,EQ,703.05,703.6,741.8,703.6,741.7,740.0,725.93,1551942,112660384455000.0,40195,728377,0.4693
2022-03-30,MFSL,EQ,740.0,745.0,749.9,738.7,746.0,744.2,744.93,1249036,93044273410000.0,31083,903619,0.7234999999999999
2022-03-31,MFSL,EQ,744.2,747.45,765.0,743.8,753.0,753.9,754.62,843788,63674173745000.01,31017,477641,0.5661
2022-04-01,MFSL,EQ,753.9,751.5,777.0,751.5,773.0,774.25,767.79,520790,39985925675000.0,37922,316886,0.6085
2022-04-04,MFSL,EQ,774.25,773.8,795.75,773.8,789.75,791.25,786.53,345275,27157044964999.996,15180,143497,0.4156
2022-04-05,MFSL,EQ,791.25,791.25,794.9,772.35,781.5,779.85,778.2,936951,72913060175000.0,23292,731931,0.7812000000000001
2022-04-06,MFSL,EQ,779.85,781.0,791.0,769.0,776.5,776.6,778.03,336563,26185580825000.0,17565,149805,0.4451
2022-04-07,MFSL,EQ,776.6,777.95,794.0,771.0,779.45,780.35,782.32,326773,25564219900000.0,20710,132736,0.4062
2022-04-08,MFSL,EQ,780.35,799.0,807.8,779.55,799.95,801.2,790.47,1425297,112664909250000.0,20528,1099152,0.7712000000000001
2022-04-11,MFSL,EQ,801.2,805.4,806.0,793.0,796.0,795.7,797.73,533932,42593607325000.0,16752,347356,0.6506000000000001
2022-04-12,MFSL,EQ,795.7,795.0,795.0,760.95,774.3,774.0,779.5,1061845,82771049550000.0,24493,799623,0.7531
2022-04-13,MFSL,EQ,774.0,778.1,794.0,774.45,782.75,785.5,787.55,356022,28038573095000.0,22724,186827,0.5247999999999999
2022-04-18,MFSL,EQ,785.5,785.5,789.35,754.95,771.95,772.8,769.4,464281,35721858780000.0,16465,260568,0.5612
2022-04-19,MFSL,EQ,772.8,773.2,784.0,726.0,732.0,741.25,755.13,605000,45685279995000.0,17682,352892,0.5833
2022-04-20,MFSL,EQ,741.25,742.05,748.95,733.7,740.45,740.2,739.66,455199,33669195620000.0,32551,210081,0.4615
2022-04-21,MFSL,EQ,740.2,746.0,759.8,741.4,747.0,747.45,748.96,391800,29344383370000.0,19501,240620,0.6141
2022-04-22,MFSL,EQ,747.45,741.5,769.0,735.0,740.0,741.0,751.07,513725,38584227760000.0,15213,233491,0.4545
