Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,MOIL,EQ,178.45,179.05,188.7,175.2,185.0,185.4,183.93,1266178,23288950805000.0,17916,513645,0.4057
2022-03-29,MOIL,EQ,185.4,186.05,193.5,184.6,192.0,191.8,189.89,1911081,36288834640000.0,25282,670694,0.35100000000000003
2022-03-30,MOIL,EQ,191.8,193.6,195.5,183.05,185.0,185.5,189.36,819960,15526851615000.0,12686,311770,0.38020000000000004
2022-03-31,MOIL,EQ,185.5,186.0,189.5,183.1,184.55,184.35,186.64,410430,7660291000000.0,7659,129871,0.3164
2022-04-01,MOIL,EQ,184.35,184.95,195.2,184.55,189.8,189.65,191.38,1259411,24103076020000.0,16696,326662,0.2594
2022-04-04,MOIL,EQ,189.65,192.0,195.0,190.25,190.9,191.2,192.2,665185,12784706280000.0,9976,302228,0.45439999999999997
2022-04-05,MOIL,EQ,191.2,195.0,197.4,192.5,193.3,193.4,194.32,1169695,22730035665000.0,16288,410342,0.3508
2022-04-06,MOIL,EQ,193.4,192.7,196.65,191.55,192.5,192.45,193.81,898311,17409950425000.0,12004,382229,0.4255
2022-04-07,MOIL,EQ,192.45,192.5,194.7,186.25,187.2,187.5,191.0,413843,7904317434999.999,7375,188385,0.45520000000000005
2022-04-08,MOIL,EQ,187.5,188.4,190.4,187.5,188.0,188.35,188.52,333950,6295569215000.0,4754,161350,0.4832
2022-04-11,MOIL,EQ,188.35,189.4,192.4,188.0,188.8,188.7,189.89,386178,7332947455000.0,7298,177099,0.4586
2022-04-12,MOIL,EQ,188.7,188.9,188.9,180.7,182.85,182.1,184.1,425002,7824206120000.0,8299,226304,0.5325
2022-04-13,MOIL,EQ,182.1,183.5,192.45,183.05,184.0,183.9,187.63,992795,18627593450000.0,16768,392906,0.3958
2022-04-18,MOIL,EQ,183.9,183.95,187.25,182.0,182.6,182.4,184.34,522818,9637384115000.0,7515,202417,0.3872
2022-04-19,MOIL,EQ,182.4,183.95,190.75,181.6,183.8,185.3,187.91,967192,18174512725000.0,15138,383694,0.39670000000000005
2022-04-20,MOIL,EQ,185.3,187.0,189.45,184.0,185.8,185.05,187.13,418236,7826454625000.0,8899,155240,0.3712
2022-04-21,MOIL,EQ,185.05,186.05,187.05,182.5,185.0,183.75,184.58,375824,6937018659999.999,5670,173078,0.46049999999999996
2022-04-22,MOIL,EQ,183.75,183.0,185.75,181.25,182.1,182.0,183.39,348828,6397253475000.0,4979,179763,0.5153
2022-04-25,MOIL,EQ,182.0,181.1,181.5,177.0,177.2,177.55,178.89,293715,5254293410000.0,8716,148669,0.5062
2022-04-26,MOIL,EQ,177.55,179.05,180.05,178.55,179.6,179.35,179.38,178878,3208756070000.0,7461,75657,0.423
2022-04-27,MOIL,EQ,179.35,178.9,179.5,174.8,176.1,176.1,176.71,183716,3246483865000.0,4802,83951,0.457
2022-04-28,MOIL,EQ,176.1,177.0,179.85,175.05,178.9,177.8,177.24,192945,3419673585000.0,5100,81939,0.4247
2022-04-29,MOIL,EQ,177.8,179.95,179.95,177.0,177.95,177.8,178.59,184516,3295332785000.0,5178,96116,0.5209
2022-05-02,MOIL,EQ,177.8,177.45,177.45,171.0,175.5,175.5,174.24,304141,5299259860000.0,7405,157445,0.5177
2022-05-04,MOIL,EQ,175.5,176.75,176.8,173.0,175.15,174.95,174.78,272912,4770033155000.0,4657,169332,0.6204999999999999
2022-05-05,MOIL,EQ,174.95,176.8,179.55,173.05,175.85,175.25,176.13,358764,6319014605000.0,6895,124857,0.348
2022-05-06,MOIL,EQ,175.25,172.85,173.8,170.1,172.0,171.7,171.55,177738,3049143125000.0,5942,81091,0.4562
2022-05-09,MOIL,EQ,171.7,171.7,171.7,167.85,169.25,169.6,169.14,146362,2475606670000.0,4980,61995,0.4236
2022-05-10,MOIL,EQ,169.6,168.25,171.6,164.0,164.3,165.05,167.23,156096,2610448320000.0,4141,90729,0.5811999999999999
2022-05-11,MOIL,EQ,165.05,165.0,166.95,160.05,163.2,163.05,162.6,228138,3709584895000.0005,8185,89702,0.3932
2022-05-12,MOIL,EQ,163.05,162.6,162.6,159.75,160.0,160.25,160.78,139386,2241091335000.0,4518,67761,0.48610000000000003
2022-05-13,MOIL,EQ,160.25,160.55,162.25,154.0,154.85,154.9,156.98,604569,9490349135000.0,18404,310792,0.5141
2022-05-16,MOIL,EQ,154.9,156.4,158.9,153.9,157.75,157.35,156.28,169187,2644025350000.0,7948,74978,0.44320000000000004
2022-05-17,MOIL,EQ,157.35,157.5,165.35,157.4,165.1,163.15,160.52,303027,4864243225000.0,8074,124446,0.4107
2022-05-18,MOIL,EQ,163.15,164.7,171.0,162.0,168.0,169.4,166.4,346560,5766856790000.0,7821,143235,0.4133
