Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,NIACL,EQ,112.85,113.0,113.0,110.25,111.5,111.2,111.82,489584,5474310970000.0,6703,289998,0.5922999999999999
2022-03-29,NIACL,EQ,111.2,111.95,113.3,110.5,111.35,111.05,111.74,398734,4455276875000.0,7748,217899,0.5465
2022-03-30,NIACL,EQ,111.05,111.95,114.5,111.5,112.2,112.5,113.03,694739,7852973609999.999,9994,347623,0.5004
2022-03-31,NIACL,EQ,112.5,113.1,113.65,111.35,111.7,111.65,112.31,355767,3995496004999.9995,6500,206266,0.5798
2022-04-01,NIACL,EQ,111.65,112.5,114.9,111.5,114.65,114.4,113.54,452283,5135419540000.0,8698,181177,0.4006
2022-04-04,NIACL,EQ,114.4,115.7,117.4,115.2,116.8,116.7,116.4,531386,6185559490000.0,9945,247858,0.46640000000000004
2022-04-05,NIACL,EQ,116.7,117.5,119.2,117.25,117.8,118.05,118.18,391889,4631391210000.0,7931,207224,0.5288
2022-04-06,NIACL,EQ,118.05,117.3,123.0,117.3,122.05,121.75,120.47,794430,9570311145000.0,12832,343314,0.4322
2022-04-07,NIACL,EQ,121.75,122.0,126.3,121.95,123.5,123.85,124.28,998883,12414325620000.0,11696,406983,0.40740000000000004
2022-04-08,NIACL,EQ,123.85,126.9,126.9,121.15,121.7,121.45,122.66,373845,4585610615000.0,9769,210975,0.5643
2022-04-11,NIACL,EQ,121.45,121.9,123.1,120.25,121.05,120.8,121.45,434348,5275284195000.0,9520,199049,0.4583
2022-04-12,NIACL,EQ,120.8,121.55,121.95,116.95,118.55,118.2,118.15,336702,3978038329999.9995,7903,167338,0.49700000000000005
2022-04-13,NIACL,EQ,118.2,118.9,120.0,117.0,117.25,117.25,117.65,312273,3674001379999.9995,7995,180735,0.5788000000000001
2022-04-18,NIACL,EQ,117.25,117.25,118.5,115.15,115.95,115.85,116.35,313482,3647394795000.0005,8158,152609,0.4868
2022-04-19,NIACL,EQ,115.85,116.9,117.45,115.0,115.15,115.3,115.97,340952,3953935800000.0,8700,194187,0.5695
2022-04-20,NIACL,EQ,115.3,115.9,115.9,114.45,115.7,115.4,115.1,278465,3205175600000.0,6667,144258,0.518
2022-04-21,NIACL,EQ,115.4,115.65,116.55,114.95,115.75,115.55,115.48,305931,3533013429999.9995,6326,168421,0.5505
2022-04-22,NIACL,EQ,115.55,115.75,116.2,114.3,115.0,114.95,115.14,275918,3177000240000.0,4368,130356,0.47240000000000004
2022-04-25,NIACL,EQ,114.95,115.0,115.0,112.5,113.35,113.15,113.26,238513,2701435755000.0,6405,101686,0.4263
2022-04-26,NIACL,EQ,113.15,114.1,115.0,113.25,113.75,114.05,113.88,175652,2000261010000.0002,6836,88184,0.502
2022-04-27,NIACL,EQ,114.05,113.6,114.0,112.0,113.7,113.45,113.0,208963,2361363950000.0,6588,80201,0.38380000000000003
2022-04-28,NIACL,EQ,113.45,114.6,115.1,112.4,113.2,113.4,113.14,277827,3143324965000.0,7187,164108,0.5907
2022-04-29,NIACL,EQ,113.4,114.95,120.9,113.5,119.15,118.15,118.42,2258003,26738770980000.0,27531,584931,0.259
2022-05-02,NIACL,EQ,118.15,117.7,119.9,116.05,116.5,116.6,118.19,795836,9406260505000.0,10502,271032,0.3406
2022-05-04,NIACL,EQ,116.6,117.35,117.9,112.3,113.45,113.4,115.16,361552,4163487550000.0,7981,199015,0.5504
2022-05-05,NIACL,EQ,113.4,116.0,116.0,111.4,112.2,111.85,113.41,347283,3938553904999.9995,7594,157862,0.4546
2022-05-06,NIACL,EQ,111.85,110.85,113.65,108.6,113.0,112.75,110.44,399635,4413633465000.0,9631,169510,0.4242
2022-05-09,NIACL,EQ,112.75,112.0,112.45,109.0,109.3,109.35,109.82,241626,2653448855000.0,7915,118478,0.4903
2022-05-10,NIACL,EQ,109.35,109.35,111.45,106.0,106.7,107.1,108.98,248895,2712373175000.0,7390,121037,0.4863
2022-05-11,NIACL,EQ,107.1,106.9,108.5,101.6,104.55,104.75,105.0,244967,2572140705000.0,6876,108089,0.4412
2022-05-12,NIACL,EQ,104.75,101.6,108.4,101.6,102.8,102.45,104.15,281431,2931015110000.0,7329,95491,0.3393
2022-05-13,NIACL,EQ,102.45,103.85,105.3,103.25,104.55,104.0,104.23,188689,1966696739999.9998,8293,69320,0.3674
2022-05-16,NIACL,EQ,104.0,104.5,105.55,103.85,104.95,104.3,104.51,155128,1621304965000.0,3654,77202,0.49770000000000003
2022-05-17,NIACL,EQ,104.3,104.55,106.8,104.0,105.75,105.8,105.0,208054,2184476810000.0002,7394,93708,0.4504
2022-05-18,NIACL,EQ,105.8,106.7,107.4,103.7,104.55,104.25,105.17,198120,2083580300000.0,6737,103812,0.524
2022-05-19,NIACL,EQ,104.25,103.95,104.2,102.15,102.75,102.65,102.83,142509,1465364435000.0,5677,85236,0.5981000000000001
2022-05-20,NIACL,EQ,102.65,104.0,104.65,103.0,104.25,104.05,103.7,158897,1647799605000.0,5712,81626,0.5136999999999999
2022-05-23,NIACL,EQ,104.05,104.5,105.8,103.65,104.85,104.9,104.62,235299,2461622280000.0,6898,119215,0.5067
2022-05-24,NIACL,EQ,104.9,102.3,103.0,99.45,100.5,100.2,100.43,526277,5285572665000.0,11293,228175,0.4336
2022-05-25,NIACL,EQ,100.2,101.5,101.5,95.85,96.95,96.75,97.68,276656,2702355405000.0,7206,137867,0.4983
2022-05-26,NIACL,EQ,96.75,98.0,99.8,97.0,99.3,99.05,98.34,306968,3018865440000.0,9480,112452,0.3663
2022-05-27,NIACL,EQ,99.05,100.25,100.7,97.5,97.7,97.7,98.43,216874,2134792825000.0,7682,115060,0.5305
2022-05-30,NIACL,EQ,97.7,99.25,100.1,98.75,99.45,99.5,99.44,277051,2755120095000.0,6897,113266,0.40880000000000005
2022-05-31,NIACL,EQ,99.5,99.5,101.95,99.5,101.55,101.35,100.9,254914,2572095485000.0,6239,151380,0.5938
2022-06-01,NIACL,EQ,101.35,103.95,105.8,102.05,104.0,103.65,104.31,719630,7506579870000.0,13121,166444,0.2313
2022-06-02,NIACL,EQ,103.65,104.4,104.95,101.6,103.4,102.45,103.25,331708,3424875754999.9995,9218,141483,0.4265
2022-06-03,NIACL,EQ,102.45,103.75,103.8,99.2,100.6,100.2,101.39,263270,2669245200000.0,5577,161592,0.6138
2022-06-06,NIACL,EQ,100.2,100.0,100.0,96.95,97.9,97.75,97.88,306053,2995741120000.0,7288,167069,0.5459
2022-06-07,NIACL,EQ,97.75,97.1,97.6,96.05,96.9,96.8,96.66,264846,2560119235000.0,6587,131089,0.495
2022-06-08,NIACL,EQ,96.8,97.35,97.6,95.8,96.4,96.15,96.24,213692,2056489595000.0,6915,124334,0.5818
2022-06-09,NIACL,EQ,96.15,96.0,96.65,94.8,95.65,95.55,95.33,242960,2316258225000.0,5976,127878,0.5263
2022-06-10,NIACL,EQ,95.55,95.0,95.5,93.15,93.75,93.75,94.02,276363,2598443775000.0,6508,157286,0.5690999999999999
2022-06-13,NIACL,EQ,93.75,93.5,93.5,88.85,90.15,90.0,90.49,320684,2901804035000.0,8569,176798,0.5513
2022-06-14,NIACL,EQ,90.0,90.55,92.0,86.35,89.5,89.25,90.15,388770,3504916090000.0,8126,145255,0.3736
2022-06-15,NIACL,EQ,89.25,90.3,90.4,88.8,89.65,89.25,89.27,218504,1950596895000.0,6773,121021,0.5539000000000001
2022-06-16,NIACL,EQ,89.25,90.1,90.6,85.05,85.9,85.85,87.33,301407,2632314215000.0,6948,161438,0.5356000000000001
2022-06-17,NIACL,EQ,85.85,85.0,86.5,84.3,86.15,85.7,85.23,398870,3399411485000.0,7105,157086,0.39380000000000004
2022-06-20,NIACL,EQ,85.7,85.7,86.05,80.05,81.3,81.15,82.27,390333,3211336240000.0,6904,232495,0.5956
2022-06-21,NIACL,EQ,81.15,81.5,84.65,78.2,83.3,82.5,82.2,417030,3428021010000.0,9440,177640,0.42600000000000005
2022-06-22,NIACL,EQ,82.5,81.4,82.95,80.05,80.4,80.25,80.92,298071,2412003605000.0,6046,159824,0.5362
