Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,OIL,EQ,244.65,251.0,257.4,245.3,248.2,249.2,249.29,6788037,169218797620000.0,84600,2360022,0.34770000000000006
2022-03-08,OIL,EQ,249.2,253.2,254.05,242.15,246.0,245.9,246.72,2396862,59134604129999.99,32726,1084067,0.4523
2022-03-09,OIL,EQ,245.9,250.55,252.25,242.55,243.55,243.4,245.9,1863229,45816969030000.0,25486,986572,0.5295000000000001
2022-03-10,OIL,EQ,243.4,240.85,241.0,233.95,236.2,235.25,236.3,3384835,79985018205000.0,36782,2146912,0.6343
2022-03-11,OIL,EQ,235.25,235.95,238.25,234.25,235.85,235.8,235.96,1293487,30521701255000.0,20284,692566,0.5354
2022-03-14,OIL,EQ,235.8,235.0,239.85,230.3,231.25,231.1,235.69,1210294,28525826160000.004,20498,581079,0.48009999999999997
2022-03-15,OIL,EQ,231.1,226.0,230.75,223.2,226.7,228.05,226.12,1307044,29554400700000.0,28648,790783,0.605
2022-03-16,OIL,EQ,228.05,228.0,236.9,227.05,236.35,234.3,230.31,2125819,48960651245000.0,35460,1407950,0.6623
2022-03-17,OIL,EQ,234.3,239.0,239.4,217.1,217.55,219.9,223.46,4690578,104815428270000.0,52075,3007132,0.6411
2022-03-21,OIL,EQ,219.9,223.0,235.8,222.3,235.65,233.2,229.48,3645954,83667817490000.0,54377,1617100,0.4435
2022-03-22,OIL,EQ,233.2,238.0,243.45,229.0,231.4,230.35,236.74,3100689,73405963035000.0,32552,797341,0.2571
2022-03-23,OIL,EQ,230.35,235.0,235.0,228.4,229.9,229.6,231.41,1300988,30105758325000.0,20153,605286,0.46530000000000005
2022-03-24,OIL,EQ,229.6,235.0,238.85,232.55,235.75,235.45,235.52,3198005,75320390400000.0,56130,1426358,0.446
2022-03-25,OIL,EQ,235.45,235.0,236.7,232.0,233.8,234.65,234.58,1150658,26991905414999.996,24603,561259,0.4878
2022-03-28,OIL,EQ,234.65,235.6,239.0,232.5,233.95,233.6,235.05,992536,23329071245000.0,16425,463925,0.46740000000000004
2022-03-29,OIL,EQ,233.6,233.5,235.0,228.2,230.8,231.85,231.33,1064260,24620002550000.0,17015,459280,0.4315
2022-03-30,OIL,EQ,231.85,231.6,231.75,224.05,227.15,227.7,227.3,1547859,35183023545000.0,23120,649928,0.41990000000000005
2022-03-31,OIL,EQ,227.7,228.9,239.75,228.25,238.55,238.4,235.36,1904718,44828490885000.0,27987,890425,0.4675
2022-04-01,OIL,EQ,238.4,238.5,241.55,235.25,238.0,238.85,238.22,3693530,87986342825000.0,35158,1986109,0.5377000000000001
2022-04-04,OIL,EQ,238.85,238.85,244.4,236.25,237.65,237.15,239.75,1077414,25830770280000.0,20395,561390,0.5211
2022-04-05,OIL,EQ,237.15,240.1,240.85,237.0,237.55,237.9,238.47,703644,16780079885000.0,10586,341825,0.4858
2022-04-06,OIL,EQ,237.9,238.4,241.9,236.4,237.0,237.25,238.5,1118406,26674510745000.0,11681,555646,0.4968
2022-04-07,OIL,EQ,237.25,237.5,243.65,237.05,238.0,237.95,239.57,1340746,32120811975000.0,23448,687584,0.5128
2022-04-08,OIL,EQ,237.95,240.3,240.3,234.3,235.0,234.95,235.65,799035,18829488580000.0,14649,496740,0.6217
2022-04-11,OIL,EQ,234.95,235.0,238.5,234.45,235.95,235.5,236.02,883385,20849597660000.0,18608,416932,0.47200000000000003
2022-04-12,OIL,EQ,235.5,235.95,238.0,229.0,230.9,230.35,233.99,1390237,32529583305000.0,17342,879814,0.6329
2022-04-13,OIL,EQ,230.35,234.9,239.35,231.5,233.05,232.95,234.52,1603753,37611328345000.0,16582,711077,0.4434
2022-04-18,OIL,EQ,232.95,238.0,240.0,234.4,236.0,235.85,237.18,1195135,28346627530000.0,15697,419477,0.35100000000000003
2022-04-19,OIL,EQ,235.85,238.0,251.0,236.55,240.0,240.35,244.29,5189690,126781046109999.98,51381,1782645,0.3435
2022-04-20,OIL,EQ,240.35,244.0,248.85,239.8,241.9,241.7,244.57,2754423,67365017679999.99,29793,1294275,0.46990000000000004
2022-04-21,OIL,EQ,241.7,245.0,245.8,238.55,239.5,240.0,240.92,1664082,40091706430000.0,17215,908422,0.5459
2022-04-22,OIL,EQ,240.0,238.4,247.4,237.1,238.2,238.9,241.7,2204856,53291816390000.0,25908,989335,0.4487
2022-04-25,OIL,EQ,238.9,235.0,238.9,230.05,231.95,232.95,234.91,1532811,36007943625000.0,19093,786768,0.5133
2022-04-26,OIL,EQ,232.95,234.8,241.5,233.6,234.5,235.05,237.22,2041695,48432734615000.0,27747,1068023,0.5231
2022-04-27,OIL,EQ,235.05,236.0,240.0,230.1,231.05,231.0,234.0,1447535,33872601600000.0,25580,585233,0.4043
2022-04-28,OIL,EQ,231.0,231.9,236.9,228.0,232.0,229.45,232.1,1505189,34935738520000.0,22228,649078,0.43119999999999997
2022-04-29,OIL,EQ,229.45,232.4,234.75,227.1,228.0,228.45,229.28,1239173,28411509514999.996,17134,674962,0.5447
2022-05-02,OIL,EQ,228.45,228.45,229.5,219.1,220.15,219.7,221.42,1414628,31322039760000.004,19016,724679,0.5123
2022-05-04,OIL,EQ,219.7,221.0,225.5,221.0,222.0,221.8,223.05,1214667,27093114950000.0,15675,534833,0.4403
2022-05-05,OIL,EQ,221.8,225.9,231.0,224.3,226.45,226.85,227.73,1625095,37008919815000.0,21433,620749,0.38200000000000006
2022-05-06,OIL,EQ,226.85,226.45,233.85,222.65,227.95,229.9,228.05,2665033,60776155395000.01,32599,1302119,0.4886
2022-05-09,OIL,EQ,229.9,228.4,238.55,225.1,237.0,236.4,232.14,1688180,39189741280000.0,25675,818377,0.48479999999999995
2022-05-10,OIL,EQ,236.4,233.7,234.05,213.85,217.0,215.25,221.77,2081217,46154763595000.0,32426,869975,0.418
2022-05-11,OIL,EQ,215.25,214.7,224.2,210.75,222.0,220.5,217.06,1904619,41342011395000.0,36449,733236,0.385
2022-05-12,OIL,EQ,220.5,220.5,225.95,216.1,225.0,223.1,220.62,1418183,31287515800000.0,19975,610109,0.4302
2022-05-13,OIL,EQ,223.1,226.5,226.5,218.85,221.0,220.45,223.13,1004800,22420216010000.0,23346,379377,0.3776
2022-05-16,OIL,EQ,220.45,220.5,224.8,220.1,223.9,222.7,222.55,614323,13671764519999.998,11842,259772,0.4229
2022-05-17,OIL,EQ,222.7,226.0,248.0,223.25,241.0,241.55,240.48,4887592,117536830309999.98,64356,1990887,0.4073
2022-05-18,OIL,EQ,241.55,242.75,245.6,234.5,237.6,238.7,239.6,2229839,53425988190000.0,31552,1058126,0.47450000000000003
2022-05-19,OIL,EQ,238.7,232.7,242.7,229.05,239.25,241.2,237.68,1292297,30715687610000.004,21513,539268,0.4173
2022-05-20,OIL,EQ,241.2,241.0,241.5,236.7,239.0,239.4,238.52,851246,20304228875000.0,24770,327530,0.3848
2022-05-23,OIL,EQ,239.4,240.95,241.0,231.0,231.55,232.25,234.04,965628,22599644470000.0,16476,381283,0.39490000000000003
2022-05-24,OIL,EQ,232.25,232.25,236.95,227.0,228.0,228.5,230.6,385463,8888689010000.0,8388,176842,0.45880000000000004
2022-05-25,OIL,EQ,228.5,228.45,232.45,226.55,228.25,228.8,228.44,620405,14172428505000.002,14476,392737,0.633
2022-05-26,OIL,EQ,228.8,229.9,230.7,224.25,229.3,227.75,226.99,417949,9487221280000.0,10710,172513,0.4128
2022-05-27,OIL,EQ,227.75,231.3,231.5,215.55,219.0,218.0,221.75,1096426,24313308765000.0,17852,520943,0.47509999999999997
2022-05-30,OIL,EQ,218.0,226.0,229.6,219.35,225.0,224.85,223.84,2008230,44952726995000.0,23038,487146,0.2426
2022-05-31,OIL,EQ,224.85,227.5,240.6,226.7,239.8,238.45,235.87,3140328,74070722215000.0,31300,1129765,0.35979999999999995
2022-06-01,OIL,EQ,238.45,240.4,251.0,239.25,246.0,244.85,246.59,3518942,86775014805000.0,42629,1224526,0.348
2022-06-02,OIL,EQ,244.85,244.0,252.5,240.1,250.5,250.35,250.06,3293146,82347730285000.0,33223,1380998,0.4194
2022-06-03,OIL,EQ,250.35,253.0,257.3,247.7,251.5,250.95,252.0,2489112,62724692160000.0,24572,905982,0.364
2022-06-06,OIL,EQ,250.95,255.15,284.5,253.6,282.3,278.9,269.85,14799240,399358701790000.0,129518,2113051,0.1428
2022-06-07,OIL,EQ,278.9,279.0,301.2,274.35,277.4,286.3,288.49,30348752,875531560170000.1,246310,2994908,0.0987
2022-06-08,OIL,EQ,286.3,280.0,286.9,277.3,277.6,280.05,281.94,8803406,248202366200000.0,84085,1226778,0.1394
2022-06-09,OIL,EQ,280.05,282.25,306.0,282.05,298.2,297.3,298.6,28835734,861035136435000.0,248557,2972992,0.10310000000000001
2022-06-10,OIL,EQ,297.3,297.3,306.0,292.1,299.65,300.2,299.6,10593755,317392249280000.0,97550,1127476,0.10640000000000001
2022-06-13,OIL,EQ,300.2,297.5,297.5,281.5,285.0,284.65,290.58,4168178,121117363034999.98,50459,1040077,0.2495
2022-06-14,OIL,EQ,284.65,284.65,288.5,264.0,269.75,268.15,276.75,4037790,111744723225000.0,49714,828366,0.2052
2022-06-15,OIL,EQ,268.15,271.85,276.75,263.05,268.3,271.05,268.51,4453663,119587188120000.0,47882,562580,0.12630000000000002
2022-06-16,OIL,EQ,271.05,275.0,277.0,255.55,262.0,264.9,267.05,5650951,150906366290000.0,64633,1043019,0.18460000000000001
