Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,PAGEIND,EQ,40444.7,40520.0,40699.85,39950.6,40211.35,40188.7,40159.57,10811,43416512025000.0,5438,3542,0.3276
2022-03-29,PAGEIND,EQ,40188.7,40507.75,41059.0,40310.65,40900.0,40806.05,40706.51,12043,49022847775000.0,6522,5342,0.4436
2022-03-30,PAGEIND,EQ,40806.05,41200.0,42250.0,41064.3,41800.0,41952.7,41838.6,17190,71920553945000.0,8410,7342,0.42710000000000004
2022-03-31,PAGEIND,EQ,41952.7,41950.0,43621.85,41800.2,43086.05,43189.35,43155.9,37837,163288982485000.0,15484,14698,0.3885
2022-04-01,PAGEIND,EQ,43189.35,43189.35,43278.35,42776.6,43148.95,43147.5,43064.93,13199,56841405225000.0,6984,5868,0.4446
2022-04-04,PAGEIND,EQ,43147.5,43149.0,43885.0,42943.45,43770.1,43713.0,43416.7,17974,78037185300000.0,7019,6814,0.3791
2022-04-05,PAGEIND,EQ,43713.0,43713.0,44470.0,43484.55,44280.55,44332.85,44126.86,11661,51456329105000.0,6509,3759,0.3224
2022-04-06,PAGEIND,EQ,44332.85,44000.05,44800.0,43930.4,44442.9,44423.7,44395.93,14615,64884658679999.99,6391,6155,0.42110000000000003
2022-04-07,PAGEIND,EQ,44423.7,44400.0,44412.4,43520.0,44233.65,44108.8,44021.64,21768,95826314595000.0,7753,9541,0.43829999999999997
2022-04-08,PAGEIND,EQ,44108.8,44200.0,45150.0,43926.95,45140.0,44983.9,44872.94,16170,72559537280000.0,7588,6392,0.39530000000000004
2022-04-11,PAGEIND,EQ,44983.9,44983.9,45767.5,44783.9,45750.0,45689.45,45360.75,16302,73947088425000.0,8087,4993,0.3063
2022-04-12,PAGEIND,EQ,45689.45,45605.5,45999.5,44539.55,44650.0,44635.65,45069.41,22716,102379666120000.0,11063,10348,0.45549999999999996
2022-04-13,PAGEIND,EQ,44635.65,44800.0,45190.45,44294.0,44870.5,44817.1,44659.92,15207,67914344735000.0,8151,6394,0.4205
2022-04-18,PAGEIND,EQ,44817.1,44715.0,45399.4,44354.85,45209.45,45276.2,44952.28,11027,49568878905000.0,5578,4967,0.4504
2022-04-19,PAGEIND,EQ,45276.2,45300.0,46500.0,44859.85,44887.65,45437.8,45907.61,25382,116522693580000.0,11227,13229,0.5212
2022-04-20,PAGEIND,EQ,45437.8,45247.0,45830.9,45009.8,45066.4,45121.85,45430.37,10866,49364639855000.0,5391,4224,0.3887
2022-04-21,PAGEIND,EQ,45121.85,45201.0,46000.0,45201.0,45885.0,45814.0,45718.18,11665,53330253515000.0,6199,5710,0.48950000000000005
2022-04-22,PAGEIND,EQ,45814.0,45749.8,46000.0,45540.05,46000.0,45872.4,45784.29,8154,37332510500000.0,4544,3519,0.4316
2022-04-25,PAGEIND,EQ,45872.4,45631.1,45694.15,44760.0,44850.0,44866.35,44994.21,27997,125970299430000.0,8475,18900,0.6751
2022-04-26,PAGEIND,EQ,44866.35,45120.0,46737.7,45031.55,46731.9,46563.75,46119.34,15222,70202862145000.01,7201,5940,0.39020000000000005
2022-04-27,PAGEIND,EQ,46563.75,46211.0,46557.9,45648.7,45700.0,45781.75,45943.56,14943,68653460340000.0,6757,6079,0.4068
2022-04-28,PAGEIND,EQ,45781.75,46280.0,46369.9,45380.25,45662.6,45862.35,45786.67,21684,99283806610000.0,9261,10355,0.47750000000000004
2022-04-29,PAGEIND,EQ,45862.35,45949.95,46248.0,45447.55,45671.0,45578.75,45723.45,13644,62385073325000.0,6231,6664,0.48840000000000006
2022-05-02,PAGEIND,EQ,45578.75,45450.0,45788.85,45000.0,45788.85,45595.45,45433.19,17293,78567613985000.0,6152,12149,0.7025
2022-05-04,PAGEIND,EQ,45595.45,45800.0,46181.0,45075.0,45580.0,45345.1,45469.86,23209,105530997310000.0,8999,14392,0.6201
2022-05-05,PAGEIND,EQ,45345.1,45700.0,46264.4,45500.0,45700.0,45722.6,45808.36,24085,110329445375000.0,7807,15389,0.6389
2022-05-06,PAGEIND,EQ,45722.6,45399.9,45500.0,44708.45,45025.0,44911.5,45037.32,19910,89669300190000.0,10919,10177,0.5112
2022-05-09,PAGEIND,EQ,44911.5,44890.0,44890.0,42402.95,42560.0,42619.95,43148.55,25921,111845359659999.98,13981,11120,0.429
2022-05-10,PAGEIND,EQ,42619.95,42360.3,42599.95,40404.05,40700.0,40839.15,40974.05,46096,188873963795000.0,23724,24027,0.5212
2022-05-11,PAGEIND,EQ,40839.15,41000.0,42146.4,40512.1,41773.45,41785.6,41361.34,23731,98154605860000.0,13330,11408,0.4807
2022-05-12,PAGEIND,EQ,41785.6,41699.0,41777.15,40625.2,41000.0,40915.0,41016.89,16682,68424372379999.99,7836,7486,0.4487
2022-05-13,PAGEIND,EQ,40915.0,41570.0,42989.9,41388.6,41648.85,41787.6,42335.74,25039,106004449595000.0,12886,10913,0.43579999999999997
2022-05-16,PAGEIND,EQ,41787.6,41815.2,42600.0,41743.7,42340.2,42394.0,42278.82,12900,54539677370000.01,8125,4029,0.3123
2022-05-17,PAGEIND,EQ,42394.0,42394.0,42899.0,41809.65,42200.0,42087.05,42110.23,20576,86646011190000.0,9909,11724,0.5698
2022-05-18,PAGEIND,EQ,42087.05,42587.75,43080.0,42314.7,42629.0,42916.9,42747.68,22669,96904706425000.0,13506,12357,0.5451
2022-05-19,PAGEIND,EQ,42916.9,42401.0,42600.0,41600.15,42200.0,41866.7,41973.09,23043,96718584850000.0,11079,10165,0.4411
2022-05-20,PAGEIND,EQ,41866.7,42500.0,42912.0,42252.1,42500.0,42568.6,42575.61,17876,76108158015000.0,8597,9613,0.5378000000000001
2022-05-23,PAGEIND,EQ,42568.6,42565.0,43074.95,42001.0,42006.15,42184.9,42567.58,11852,50451093675000.0,5791,4215,0.3556
2022-05-24,PAGEIND,EQ,42184.9,42397.0,43348.0,42010.0,42999.95,42940.4,42795.59,16912,72375906490000.0,7887,6739,0.3985
2022-05-25,PAGEIND,EQ,42940.4,42932.0,43490.0,41102.7,41423.35,41408.5,41946.06,15654,65662360140000.0,9045,5383,0.34390000000000004
2022-05-26,PAGEIND,EQ,41408.5,41790.0,42531.0,40566.8,42495.0,41778.3,41351.72,50699,209649106355000.0,17910,18213,0.3592
2022-05-27,PAGEIND,EQ,41778.3,43150.0,45180.0,42930.4,44350.0,44442.15,44345.62,90562,401602779410000.0,32636,26098,0.2882
2022-05-30,PAGEIND,EQ,44442.15,44636.05,45393.0,44550.0,44912.0,45042.3,45064.4,20521,92476647160000.0,9925,7970,0.3884
2022-05-31,PAGEIND,EQ,45042.3,44810.0,46070.0,44810.0,45111.0,45194.05,45314.97,70757,320635105780000.0,22928,44419,0.6278
2022-06-01,PAGEIND,EQ,45194.05,45500.0,45998.95,43819.2,44100.0,44194.3,44750.52,29060,130045003270000.0,11329,15275,0.5256000000000001
