Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,PERSISTENT,EQ,4072.2,3950.05,4180.6,3950.05,4178.0,4144.5,4103.83,289564,118832110595000.0,31298,111674,0.3857
2022-03-08,PERSISTENT,EQ,4144.5,4150.0,4220.0,4112.0,4214.0,4196.15,4188.97,328769,137720501200000.0,30954,171345,0.5212
2022-03-09,PERSISTENT,EQ,4196.15,4220.0,4295.0,4156.5,4227.0,4239.0,4233.36,267445,113218963195000.0,32736,104992,0.3926
2022-03-10,PERSISTENT,EQ,4239.0,4277.2,4315.55,4180.0,4270.0,4279.55,4242.03,178034,75522551800000.0,25343,64902,0.36450000000000005
2022-03-11,PERSISTENT,EQ,4279.55,4260.0,4371.1,4227.0,4350.0,4358.65,4314.83,171875,74161108310000.0,21940,57217,0.3329
2022-03-14,PERSISTENT,EQ,4358.65,4351.05,4497.7,4339.5,4483.0,4475.1,4426.64,213604,94554880605000.0,32968,87065,0.40759999999999996
2022-03-15,PERSISTENT,EQ,4475.1,4550.0,4555.0,4291.05,4314.0,4326.9,4427.22,505864,223957215940000.0,54258,262476,0.5189
2022-03-16,PERSISTENT,EQ,4326.9,4400.0,4465.4,4358.15,4430.0,4428.45,4428.28,214369,94928607950000.0,26053,96213,0.44880000000000003
2022-03-17,PERSISTENT,EQ,4428.45,4488.0,4500.05,4424.9,4475.0,4484.95,4483.15,952232,426899616985000.0,52565,604981,0.6353
2022-03-21,PERSISTENT,EQ,4484.95,4457.3,4642.0,4402.9,4422.9,4430.7,4540.49,545924,247876240855000.03,55786,256365,0.4696
2022-03-22,PERSISTENT,EQ,4430.7,4432.0,4574.0,4364.25,4532.1,4541.8,4520.47,345308,156095355555000.0,40464,146845,0.4253
2022-03-23,PERSISTENT,EQ,4541.8,4558.0,4569.3,4441.05,4489.0,4490.8,4494.8,254432,114362150865000.02,46783,137642,0.541
2022-03-24,PERSISTENT,EQ,4490.8,4484.0,4650.0,4451.35,4648.0,4639.75,4594.01,337362,154984337385000.0,41397,158348,0.4694
2022-03-25,PERSISTENT,EQ,4639.75,4665.0,4723.0,4610.0,4662.0,4675.95,4667.17,283302,132221897634999.98,35994,113071,0.39909999999999995
2022-03-28,PERSISTENT,EQ,4675.95,4689.9,4694.85,4557.05,4624.55,4631.45,4645.22,260792,121143745759999.98,20648,144256,0.5531
2022-03-29,PERSISTENT,EQ,4631.45,4644.0,4799.0,4635.0,4768.55,4758.0,4731.15,411767,194813073115000.0,34062,229007,0.5562
2022-03-30,PERSISTENT,EQ,4758.0,4774.55,4839.9,4740.15,4770.0,4787.2,4793.83,315754,151366962150000.0,38403,176562,0.5592
2022-03-31,PERSISTENT,EQ,4787.2,4790.0,4875.0,4735.0,4759.0,4765.3,4791.32,227529,109016490534999.98,24023,109315,0.4804
2022-04-01,PERSISTENT,EQ,4765.3,4789.9,4789.9,4675.0,4728.0,4722.75,4731.22,369290,174719318360000.0,22405,268411,0.7268000000000001
2022-04-04,PERSISTENT,EQ,4722.75,4735.0,4812.3,4735.0,4788.0,4791.5,4791.36,226085,108325431809999.98,35161,129550,0.573
2022-04-05,PERSISTENT,EQ,4791.5,4800.0,4954.0,4800.0,4917.05,4915.7,4904.49,466626,228856121919999.97,47174,240085,0.5145000000000001
2022-04-06,PERSISTENT,EQ,4915.7,4899.0,4948.45,4852.1,4878.0,4874.7,4908.87,173004,84925498630000.0,28857,85873,0.4964
2022-04-07,PERSISTENT,EQ,4874.7,4874.7,4886.8,4689.65,4719.5,4705.9,4756.95,257065,122284419590000.02,43730,156869,0.6102000000000001
2022-04-08,PERSISTENT,EQ,4705.9,4770.0,4781.0,4665.1,4697.0,4710.9,4699.61,315012,148043433155000.0,32738,186294,0.5914
2022-04-11,PERSISTENT,EQ,4710.9,4700.0,4701.0,4488.05,4518.0,4515.4,4570.16,364835,166735501655000.0,43460,208856,0.5725
2022-04-12,PERSISTENT,EQ,4515.4,4515.9,4544.9,4331.2,4385.0,4382.75,4398.38,289985,127546515050000.0,51366,156904,0.5411
2022-04-13,PERSISTENT,EQ,4382.75,4430.0,4463.8,4303.45,4329.0,4329.95,4351.04,205426,89381767550000.0,24065,94452,0.4598
2022-04-18,PERSISTENT,EQ,4329.95,4280.0,4328.95,4203.0,4217.0,4215.35,4262.37,313446,133602366309999.98,40227,167716,0.5351
2022-04-19,PERSISTENT,EQ,4215.35,4269.5,4352.5,4124.85,4148.0,4174.05,4242.09,271274,115076949600000.0,31316,115757,0.4267
2022-04-20,PERSISTENT,EQ,4174.05,4185.0,4257.7,3943.1,4008.95,3985.75,4050.38,427862,173300351380000.0,42928,196115,0.45840000000000003
2022-04-21,PERSISTENT,EQ,3985.75,4035.0,4059.0,3976.0,4025.0,4011.85,4015.98,269958,108414519884999.98,30381,153369,0.5681
2022-04-22,PERSISTENT,EQ,4011.85,3990.0,4140.0,3957.0,4043.65,4027.4,4054.08,248978,100937766090000.0,23552,78662,0.3159
2022-04-25,PERSISTENT,EQ,4027.4,4000.0,4032.0,3950.0,4025.0,4007.35,3996.25,287718,114979195965000.02,20992,145280,0.5049
2022-04-26,PERSISTENT,EQ,4007.35,4031.0,4099.9,4014.25,4054.0,4056.9,4060.1,253032,102733644740000.0,19772,168768,0.667
2022-04-27,PERSISTENT,EQ,4056.9,4010.35,4125.2,3897.55,4108.0,4076.95,4000.87,205919,82385495585000.0,18888,76818,0.373
2022-04-28,PERSISTENT,EQ,4076.95,4290.0,4410.0,4035.0,4298.0,4308.65,4225.27,1286413,543544848810000.06,95836,253517,0.19710000000000003
2022-04-29,PERSISTENT,EQ,4308.65,4351.75,4394.4,4281.55,4324.0,4320.65,4342.26,373451,162162132960000.0,39911,129318,0.34630000000000005
2022-05-02,PERSISTENT,EQ,4320.65,4285.0,4310.0,4130.8,4141.0,4147.3,4194.45,192522,80752435540000.0,27839,52910,0.2748
2022-05-04,PERSISTENT,EQ,4147.3,4149.95,4241.15,4085.25,4110.0,4112.1,4152.25,161582,67092819715000.0,22004,67094,0.4152
2022-05-05,PERSISTENT,EQ,4112.1,4150.0,4183.45,4120.0,4162.95,4154.0,4143.84,185259,76768435875000.0,25762,88468,0.47750000000000004
2022-05-06,PERSISTENT,EQ,4154.0,4043.0,4089.95,3886.85,4074.95,4061.0,3999.13,375018,149974630045000.0,51502,141120,0.3763
2022-05-09,PERSISTENT,EQ,4061.0,4000.0,4120.05,3904.05,4009.65,3992.15,4032.78,216520,87317727975000.0,26415,73144,0.33780000000000004
2022-05-10,PERSISTENT,EQ,3992.15,3990.0,4080.1,3925.9,3946.95,3951.2,3991.76,193325,77170637030000.0,31156,99786,0.5162
2022-05-11,PERSISTENT,EQ,3951.2,3984.9,3993.8,3737.05,3843.0,3837.1,3840.92,271887,104429722295000.0,34659,93499,0.34390000000000004
2022-05-12,PERSISTENT,EQ,3837.1,3799.9,3847.95,3675.05,3700.0,3701.0,3741.7,218944,81922360530000.0,30648,80880,0.3694
2022-05-13,PERSISTENT,EQ,3701.0,3725.0,3845.0,3567.25,3601.0,3594.25,3646.91,321784,117351679234999.98,48861,130527,0.4056
2022-05-16,PERSISTENT,EQ,3594.25,3624.9,3694.8,3540.05,3630.0,3602.7,3627.38,178662,64807466154999.99,21709,58990,0.33020000000000005
2022-05-17,PERSISTENT,EQ,3602.7,3635.2,3750.0,3622.0,3750.0,3725.95,3688.15,287848,106162670775000.0,30059,116745,0.4056
2022-05-18,PERSISTENT,EQ,3725.95,3759.0,3924.9,3743.05,3850.0,3857.65,3873.74,502027,194472273775000.0,52038,204105,0.40659999999999996
2022-05-19,PERSISTENT,EQ,3857.65,3741.0,3804.0,3592.05,3625.05,3616.35,3674.2,389145,142979551080000.0,46945,183473,0.4715
2022-05-20,PERSISTENT,EQ,3616.35,3684.0,3719.0,3622.0,3699.95,3698.85,3676.11,205483,75537772585000.0,23564,63059,0.3069
2022-05-23,PERSISTENT,EQ,3698.85,3717.0,3857.8,3690.05,3787.15,3785.25,3790.77,200406,75969247670000.0,27739,64643,0.3226
