Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,PFC,EQ,114.95,114.95,115.1,113.0,113.75,113.8,113.86,2483435,28275325070000.0,17459,1026384,0.4133
2022-03-29,PFC,EQ,113.8,114.5,114.6,111.6,112.35,112.25,112.72,3327284,37506653805000.0,28860,1747444,0.5252
2022-03-30,PFC,EQ,112.25,113.5,113.5,111.75,112.9,112.85,112.44,5736772,64504906525000.0,46197,3580816,0.6242
2022-03-31,PFC,EQ,112.85,113.45,113.75,112.3,112.45,112.6,112.87,3603166,40670009855000.0,21535,1954141,0.5423
2022-04-01,PFC,EQ,112.6,112.5,116.5,112.5,116.4,116.2,115.03,3922352,45117730080000.0,20262,1789166,0.4561
2022-04-04,PFC,EQ,116.2,116.55,119.7,116.35,119.05,119.0,118.3,6720698,79507543825000.0,42246,3527690,0.5249
2022-04-05,PFC,EQ,119.0,119.75,121.1,118.75,119.55,120.3,119.81,3653887,43778880105000.0,19627,1499850,0.4105
2022-04-06,PFC,EQ,120.3,119.65,123.45,119.3,121.85,121.9,121.81,8169380,99513625750000.0,44729,3340432,0.40890000000000004
2022-04-07,PFC,EQ,121.9,121.25,124.8,121.25,122.15,122.3,122.94,8002968,98390256975000.0,37719,3349509,0.41850000000000004
2022-04-08,PFC,EQ,122.3,122.95,123.1,121.7,121.8,121.85,122.3,2662175,32557585425000.0,16189,1108106,0.41619999999999996
2022-04-11,PFC,EQ,121.85,121.7,122.45,120.2,120.6,120.75,121.12,4864317,58917607804999.99,24527,2860278,0.588
2022-04-12,PFC,EQ,120.75,120.2,120.8,117.5,118.1,118.15,118.47,3931251,46573563210000.0,32940,1720127,0.4376
2022-04-13,PFC,EQ,118.15,118.55,119.35,117.5,118.0,118.2,118.25,1915184,22646206170000.0,15014,890559,0.465
2022-04-18,PFC,EQ,118.2,117.85,119.6,116.15,119.1,119.0,118.03,2878258,33971187189999.996,18163,1047401,0.3639
2022-04-19,PFC,EQ,119.0,119.4,121.3,117.1,117.85,118.7,120.26,5283892,63541490104999.99,23851,2201472,0.41659999999999997
2022-04-20,PFC,EQ,118.7,118.8,119.3,116.85,118.2,117.9,118.13,3223238,38075252665000.0,17947,1279244,0.3969
2022-04-21,PFC,EQ,117.9,118.9,119.6,118.35,119.15,119.0,118.85,4149400,49315023175000.0,18214,2709453,0.653
