Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,PHOENIXLTD,EQ,939.1,930.6,933.0,896.5,900.15,901.05,905.82,193138,17494879810000.0,14437,139780,0.7237
2022-03-08,PHOENIXLTD,EQ,901.05,903.05,917.9,885.2,888.0,894.85,895.53,214733,19230069425000.0,20365,124762,0.5810000000000001
2022-03-09,PHOENIXLTD,EQ,894.85,895.75,916.75,885.05,900.0,898.85,898.74,196319,17644031885000.0,23589,109141,0.5559000000000001
2022-03-10,PHOENIXLTD,EQ,898.85,920.0,958.75,912.65,929.7,928.8,938.72,117979,11074928625000.0,18292,65138,0.5521
2022-03-11,PHOENIXLTD,EQ,928.8,934.95,972.0,929.45,967.0,954.65,954.42,211545,20190245335000.0,14737,140383,0.6636
2022-03-14,PHOENIXLTD,EQ,954.65,964.95,970.0,938.45,949.5,950.05,951.55,105668,10054875150000.0,11437,70456,0.6668000000000001
2022-03-15,PHOENIXLTD,EQ,950.05,957.75,969.0,941.25,945.1,955.5,953.43,187254,17853342085000.0,33285,134455,0.718
2022-03-16,PHOENIXLTD,EQ,955.5,963.1,1010.85,945.1,1003.3,991.3,971.74,240311,23351951090000.0,30033,122290,0.5089
2022-03-17,PHOENIXLTD,EQ,991.3,1010.0,1023.35,972.05,1018.0,1007.95,996.17,445476,44376846940000.0,17068,312171,0.7008
2022-03-21,PHOENIXLTD,EQ,1007.95,1024.2,1045.0,1000.8,1024.3,1033.95,1025.28,177167,18164576935000.0,17113,108773,0.614
2022-03-22,PHOENIXLTD,EQ,1033.95,1032.0,1032.0,1001.15,1011.0,1011.6,1012.9,138565,14035302635000.0,18574,91287,0.6587999999999999
2022-03-23,PHOENIXLTD,EQ,1011.6,1023.65,1037.05,1010.1,1018.8,1017.25,1023.44,105990,10847484995000.0,15955,59788,0.5640999999999999
2022-03-24,PHOENIXLTD,EQ,1017.25,1017.25,1039.4,1010.35,1024.0,1028.45,1022.21,231612,23675668255000.0,9726,187725,0.8105
