Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,POWERGRID,EQ,215.05,210.5,215.2,208.85,213.55,212.8,212.37,13226740,280890797805000.03,112423,7435513,0.5622
2022-03-08,POWERGRID,EQ,212.8,214.0,223.4,209.8,212.65,212.35,215.71,21307868,459623268710000.06,174240,7629862,0.35810000000000003
2022-03-09,POWERGRID,EQ,212.35,215.15,216.0,206.6,207.85,208.1,208.64,17123219,357263643125000.0,153630,10332209,0.6034
2022-03-10,POWERGRID,EQ,208.1,211.0,211.4,207.05,208.9,208.85,208.98,12387415,258877868480000.03,74456,7568212,0.611
2022-03-11,POWERGRID,EQ,208.85,209.3,213.0,207.75,212.6,212.45,210.65,9744638,205272029625000.0,87998,5751011,0.5902000000000001
2022-03-14,POWERGRID,EQ,212.45,212.45,214.0,209.6,212.9,213.4,211.91,9448995,200232850280000.0,74341,5770744,0.6107
2022-03-15,POWERGRID,EQ,213.4,213.2,215.05,208.3,209.25,209.65,210.31,10896214,229154644430000.03,76721,7191438,0.66
2022-03-16,POWERGRID,EQ,209.65,211.25,211.8,208.95,209.95,209.35,209.77,8950331,187747544355000.0,55067,6134584,0.6854000000000001
2022-03-17,POWERGRID,EQ,209.35,212.0,212.75,207.75,212.15,211.55,210.21,21348466,448775755280000.0,72893,15776780,0.7390000000000001
2022-03-21,POWERGRID,EQ,211.55,216.0,216.0,204.5,205.35,204.9,207.56,13348062,277058894794999.97,97537,8417773,0.6306
2022-03-22,POWERGRID,EQ,204.9,205.0,209.5,204.05,208.95,208.7,207.59,9963973,206842898260000.0,56652,6175542,0.6198
2022-03-23,POWERGRID,EQ,208.7,209.5,210.6,208.3,210.25,210.1,209.49,7056588,147831558425000.0,51563,4567645,0.6473000000000001
2022-03-24,POWERGRID,EQ,210.1,210.0,211.2,208.0,210.7,210.75,210.14,8391719,176346365240000.0,69003,5501773,0.6556000000000001
2022-03-25,POWERGRID,EQ,210.75,210.75,210.8,206.7,210.0,209.65,208.72,7382003,154075553105000.0,61474,4723855,0.6399
2022-03-28,POWERGRID,EQ,209.65,209.65,212.75,207.5,212.1,212.3,209.99,9617684,201959867335000.0,69651,6084764,0.6327
2022-03-29,POWERGRID,EQ,212.3,213.85,214.45,209.7,211.75,211.3,211.94,7852887,166430605830000.0,54723,4636112,0.5904
2022-03-30,POWERGRID,EQ,211.3,213.1,218.7,211.8,217.0,217.1,216.2,40663864,879135051085000.0,87018,22176788,0.5454
2022-03-31,POWERGRID,EQ,217.1,215.55,217.25,214.75,216.8,216.8,215.97,7744520,167255378675000.0,71288,5166599,0.6670999999999999
2022-04-01,POWERGRID,EQ,216.8,216.1,225.75,216.1,225.45,225.05,223.1,29747971,663672026160000.0,146717,16906364,0.5683
2022-04-04,POWERGRID,EQ,225.05,226.0,228.1,224.05,227.25,227.4,225.77,7430648,167758337120000.0,61444,3983093,0.536
2022-04-05,POWERGRID,EQ,227.4,229.95,234.6,226.9,232.4,233.05,230.13,12875616,296312678420000.0,82146,7095106,0.551
2022-04-06,POWERGRID,EQ,233.05,231.35,238.45,231.15,236.7,236.65,235.53,12865257,303018442640000.0,106120,7103503,0.5521
2022-04-07,POWERGRID,EQ,236.65,235.95,239.9,230.0,232.25,231.35,234.17,8935434,209243703775000.0,130038,4742438,0.5307000000000001
2022-04-08,POWERGRID,EQ,231.35,233.0,234.1,230.6,232.6,232.6,231.98,5060077,117383222395000.0,52958,2945099,0.5820000000000001
2022-04-11,POWERGRID,EQ,232.6,232.5,235.55,228.4,231.2,230.9,230.66,9310367,214749071569999.97,64836,5959360,0.6401000000000001
2022-04-12,POWERGRID,EQ,230.9,229.25,233.65,228.6,232.65,233.1,230.99,11077431,255879921615000.0,80017,8307691,0.75
2022-04-13,POWERGRID,EQ,233.1,234.95,235.35,227.55,229.85,229.5,231.0,8261580,190844478945000.0,73794,4029026,0.4877
