Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,RECLTD,EQ,124.25,124.25,124.7,121.9,123.0,123.05,122.82,3180102,39058961140000.0,13580,1611436,0.5067
2022-03-29,RECLTD,EQ,123.05,123.45,124.45,122.15,122.55,122.75,122.98,2292730,28196875030000.0,25716,1167866,0.5094
2022-03-30,RECLTD,EQ,122.75,123.9,123.9,122.75,123.45,123.45,123.39,4276972,52773933755000.0,36018,2668458,0.6239
2022-03-31,RECLTD,EQ,123.45,123.95,123.95,122.6,123.15,123.05,123.09,5004579,61602466440000.0,28882,3069844,0.6134000000000001
2022-04-01,RECLTD,EQ,123.05,123.1,127.2,122.9,127.1,126.85,126.05,6994525,88166386220000.0,24612,4290642,0.6134000000000001
2022-04-04,RECLTD,EQ,126.85,127.1,131.6,127.1,131.15,131.3,129.59,6507475,84329967585000.0,30460,3082399,0.4737
2022-04-05,RECLTD,EQ,131.3,132.25,132.95,130.4,132.15,132.4,131.55,3690481,48546961885000.0,17868,1449176,0.39270000000000005
2022-04-06,RECLTD,EQ,132.4,131.95,134.8,131.6,133.3,133.5,133.7,5324643,71189332855000.0,30117,2253435,0.4232
2022-04-07,RECLTD,EQ,133.5,133.5,135.8,132.1,132.85,133.05,133.93,4403482,58974194960000.0,21360,1610648,0.3658
2022-04-08,RECLTD,EQ,133.05,133.0,134.25,132.6,133.7,133.8,133.64,2567840,34315487280000.0,17542,1385167,0.5394
2022-04-11,RECLTD,EQ,133.8,133.9,134.6,132.95,133.9,133.9,133.79,1993310,26668447710000.0,10846,873173,0.43810000000000004
2022-04-12,RECLTD,EQ,133.9,133.75,133.75,129.9,130.5,130.8,131.06,3342317,43803674570000.0,23736,1476162,0.44170000000000004
2022-04-13,RECLTD,EQ,130.8,131.0,131.85,130.1,130.35,130.5,130.71,2341716,30609576755000.0,13544,1299924,0.5551
2022-04-18,RECLTD,EQ,130.5,130.85,131.35,128.75,130.75,130.8,130.05,2259434,29382890150000.0,12749,761160,0.3369
