Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,SBILIFE,EQ,1057.35,1026.6,1048.8,1023.0,1028.0,1028.9,1031.63,852067,87901516620000.0,50377,446647,0.5242
2022-03-08,SBILIFE,EQ,1028.9,1009.0,1039.75,1003.5,1035.85,1031.95,1019.8,1580056,161134608560000.0,59538,878187,0.5558
2022-03-09,SBILIFE,EQ,1031.95,1035.8,1041.95,1020.8,1031.15,1025.2,1028.22,1409037,144880230415000.0,66483,825640,0.5860000000000001
2022-03-10,SBILIFE,EQ,1025.2,1039.0,1057.1,1036.05,1049.4,1050.05,1046.33,1580932,165418139080000.0,56301,633355,0.4006
2022-03-11,SBILIFE,EQ,1050.05,1050.0,1066.1,1041.65,1054.2,1058.5,1058.37,698477,73924869180000.0,28618,266499,0.3815
2022-03-14,SBILIFE,EQ,1058.5,1047.0,1072.6,1040.15,1069.0,1069.7,1059.06,1278905,135443159145000.0,58389,710166,0.5553
2022-03-15,SBILIFE,EQ,1069.7,1069.05,1079.35,1060.0,1070.4,1070.55,1071.49,1068905,114531592834999.98,49946,614464,0.5749000000000001
2022-03-16,SBILIFE,EQ,1070.55,1075.9,1097.8,1075.0,1084.0,1085.75,1085.59,1616431,175478541275000.0,48821,1056399,0.6535
2022-03-17,SBILIFE,EQ,1085.75,1096.0,1140.0,1088.1,1124.0,1128.55,1120.13,1867149,209145802590000.0,50596,1179222,0.6315999999999999
2022-03-21,SBILIFE,EQ,1128.55,1139.0,1139.0,1094.0,1095.1,1095.8,1109.99,849763,94323155280000.0,29117,419007,0.49310000000000004
2022-03-22,SBILIFE,EQ,1095.8,1092.5,1101.85,1070.0,1101.85,1097.65,1088.46,998586,108692588475000.0,35146,538043,0.5388000000000001
2022-03-23,SBILIFE,EQ,1097.65,1110.45,1117.7,1079.1,1085.65,1092.25,1095.73,1054362,115529777195000.0,39162,554241,0.5257000000000001
2022-03-24,SBILIFE,EQ,1092.25,1088.0,1097.5,1084.3,1088.8,1088.95,1090.38,526345,57391343435000.0,25334,310576,0.5901
2022-03-25,SBILIFE,EQ,1088.95,1094.0,1101.3,1085.6,1096.6,1092.6,1092.49,598919,65431568765000.0,33112,320752,0.5356000000000001
2022-03-28,SBILIFE,EQ,1092.6,1092.9,1103.8,1056.0,1070.0,1077.0,1079.52,926829,100052621245000.0,43327,276578,0.2984
2022-03-29,SBILIFE,EQ,1077.0,1111.0,1114.95,1086.4,1103.05,1101.25,1098.0,2864668,314540177350000.0,112110,1075048,0.3753
2022-03-30,SBILIFE,EQ,1101.25,1110.0,1127.65,1103.5,1121.0,1121.8,1117.5,1287813,143912977490000.0,64439,772557,0.5999
2022-03-31,SBILIFE,EQ,1121.8,1128.0,1128.0,1114.45,1119.0,1121.45,1121.24,749342,84019417425000.0,38180,429551,0.5732
2022-04-01,SBILIFE,EQ,1121.45,1119.0,1120.8,1089.0,1116.7,1113.35,1103.96,1519104,167702659655000.0,59215,667112,0.4391
2022-04-04,SBILIFE,EQ,1113.35,1113.35,1129.9,1104.0,1125.0,1126.3,1117.09,1802143,201316026940000.0,43723,1053955,0.5848
2022-04-05,SBILIFE,EQ,1126.3,1123.05,1130.2,1111.0,1117.0,1118.35,1118.31,773451,86496097985000.0,37612,337781,0.43670000000000003
2022-04-06,SBILIFE,EQ,1118.35,1111.0,1122.45,1101.5,1106.95,1107.1,1108.95,1354847,150245464455000.0,29930,913870,0.6745
2022-04-07,SBILIFE,EQ,1107.1,1103.5,1115.75,1100.0,1108.5,1108.85,1107.17,966698,107030070525000.0,58678,481430,0.498
2022-04-08,SBILIFE,EQ,1108.85,1109.0,1165.0,1109.0,1157.0,1160.45,1138.99,2390240,272245297580000.03,75113,946866,0.3961
2022-04-11,SBILIFE,EQ,1160.45,1160.0,1160.0,1133.05,1140.15,1142.5,1141.61,1318874,150564484200000.0,50926,515119,0.39060000000000006
2022-04-12,SBILIFE,EQ,1142.5,1141.0,1153.0,1119.05,1145.75,1149.1,1137.66,1506254,171360942435000.0,61204,787918,0.5231
2022-04-13,SBILIFE,EQ,1149.1,1150.0,1157.9,1140.0,1146.1,1146.9,1147.1,509293,58420966525000.0,39501,243592,0.4783
2022-04-18,SBILIFE,EQ,1146.9,1145.0,1181.95,1133.6,1170.0,1173.4,1169.19,2382085,278511399360000.0,82072,1091898,0.45840000000000003
2022-04-19,SBILIFE,EQ,1173.4,1184.95,1184.95,1112.0,1121.0,1124.7,1156.9,971382,112378716209999.98,50422,408549,0.42060000000000003
2022-04-20,SBILIFE,EQ,1124.7,1127.5,1135.7,1117.7,1128.55,1128.35,1127.01,645638,72764097455000.0,39644,253094,0.392
2022-04-21,SBILIFE,EQ,1128.35,1125.2,1148.6,1125.2,1141.9,1144.55,1141.12,731288,83448597720000.0,51041,378719,0.5179
2022-04-22,SBILIFE,EQ,1144.55,1133.5,1140.0,1122.0,1134.15,1137.25,1132.68,824665,93407836760000.0,37162,505650,0.6132
2022-04-25,SBILIFE,EQ,1137.25,1120.0,1129.2,1087.45,1094.8,1091.25,1101.31,1073577,118234491590000.02,57122,596008,0.5552
2022-04-26,SBILIFE,EQ,1091.25,1106.0,1106.0,1083.6,1094.0,1094.85,1093.99,922785,100951904105000.0,48902,626277,0.6787000000000001
2022-04-27,SBILIFE,EQ,1094.85,1093.0,1098.9,1061.2,1075.0,1074.2,1073.93,1202603,129151120740000.02,63483,799450,0.6648000000000001
2022-04-28,SBILIFE,EQ,1074.2,1068.5,1125.0,1066.4,1113.95,1116.85,1101.46,1643102,180981099815000.0,71106,632153,0.3847
2022-04-29,SBILIFE,EQ,1116.85,1114.5,1132.6,1066.25,1104.55,1105.5,1102.85,3259418,359464806460000.0,110256,1456754,0.44689999999999996
2022-05-02,SBILIFE,EQ,1105.5,1088.95,1093.4,1064.2,1080.9,1081.05,1076.43,1925857,207304864325000.0,98627,1068115,0.5546
2022-05-04,SBILIFE,EQ,1081.05,1081.05,1096.95,1065.0,1077.75,1077.85,1079.19,1169983,126262819205000.0,52495,510221,0.4361
2022-05-05,SBILIFE,EQ,1077.85,1082.0,1115.0,1080.0,1089.0,1083.65,1097.19,814132,89325991785000.0,54055,238443,0.2929
2022-05-06,SBILIFE,EQ,1083.65,1073.0,1081.0,1052.2,1068.95,1059.15,1061.42,1350057,143298229510000.0,78065,634880,0.4703
2022-05-09,SBILIFE,EQ,1059.15,1034.0,1074.9,1033.2,1065.0,1064.45,1064.7,1201027,127873598070000.0,66907,515900,0.42950000000000005
2022-05-10,SBILIFE,EQ,1064.45,1070.0,1096.8,1062.0,1076.9,1081.05,1081.09,1410429,152479951840000.0,76977,637026,0.45170000000000005
