Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,SBIN,EQ,490.7,490.95,498.6,481.95,497.75,497.5,491.67,16738684,822988860885000.0,201945,4551326,0.27190000000000003
2022-03-29,SBIN,EQ,497.5,500.0,501.4,491.7,495.5,495.0,496.03,14301429,709397688855000.0,149505,4400398,0.30770000000000003
2022-03-30,SBIN,EQ,495.0,499.3,500.4,492.3,493.0,494.3,496.58,16461225,817433115980000.0,196570,7485867,0.4548
2022-03-31,SBIN,EQ,494.3,494.3,497.55,492.2,493.3,493.55,494.45,10240982,506361002125000.0,124653,3296644,0.32189999999999996
2022-04-01,SBIN,EQ,493.55,491.0,509.75,491.0,508.0,508.2,503.37,18527226,932612694104999.9,197319,6092596,0.32880000000000004
2022-04-04,SBIN,EQ,508.2,509.3,514.9,506.0,512.2,512.4,511.42,16257176,831423202645000.0,198168,3713095,0.2284
2022-04-05,SBIN,EQ,512.4,514.4,516.4,507.7,508.0,509.4,512.46,13602384,697068217405000.0,152569,3550320,0.261
2022-04-06,SBIN,EQ,509.4,507.0,515.2,506.0,512.75,513.95,510.73,13738275,701650764200000.0,156632,3543860,0.258
2022-04-07,SBIN,EQ,513.95,510.05,519.9,510.05,516.55,514.95,515.08,19620958,1010645592215000.0,193008,6494062,0.331
2022-04-08,SBIN,EQ,514.95,519.5,519.5,512.35,516.1,516.1,516.11,13572638,700492624830000.0,142230,3039317,0.22390000000000002
2022-04-11,SBIN,EQ,516.1,513.5,522.0,513.2,515.0,514.9,518.25,12370288,641085987385000.0,181292,3825098,0.30920000000000003
2022-04-12,SBIN,EQ,514.9,512.75,516.7,504.35,512.5,512.85,510.3,14460680,737931852310000.0,179734,3786899,0.2619
2022-04-13,SBIN,EQ,512.85,514.3,520.9,513.75,517.7,517.7,517.08,15440525,798398794940000.0,150224,6556852,0.4247
2022-04-18,SBIN,EQ,517.7,512.0,515.0,504.0,510.1,509.5,509.48,14492183,738350712310000.0,206832,5254385,0.3626
2022-04-19,SBIN,EQ,509.5,513.25,520.95,505.1,506.6,511.8,515.99,20362934,1050707915965000.0,240810,9570530,0.47000000000000003
2022-04-20,SBIN,EQ,511.8,512.0,513.7,507.0,509.2,509.3,510.2,11881305,606183025765000.0,153556,3387079,0.2851
2022-04-21,SBIN,EQ,509.3,513.4,518.0,512.2,516.9,516.3,515.24,10035638,517080746270000.0,108987,3642087,0.3629
2022-04-22,SBIN,EQ,516.3,512.9,513.5,499.0,499.5,500.6,505.07,16760456,846512737095000.0,208796,6463154,0.38560000000000005
