Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,SONACOMS,EQ,589.8,560.5,583.85,553.0,575.0,572.45,562.33,2575682,144838760015000.0,83844,1416723,0.55
2022-03-08,SONACOMS,EQ,572.45,577.8,589.6,562.95,567.95,569.5,572.2,1159673,66357068700000.0,34172,489961,0.4225
2022-03-09,SONACOMS,EQ,569.5,576.0,578.35,566.2,574.85,573.15,571.98,1195925,68405100790000.0,36691,415947,0.3478
2022-03-10,SONACOMS,EQ,573.15,593.15,613.5,592.0,602.45,602.35,603.09,1709998,103128183320000.0,44880,517523,0.30260000000000004
2022-03-11,SONACOMS,EQ,602.35,603.0,620.0,595.7,617.95,616.7,609.99,828712,50550627655000.0,21696,286314,0.3455
2022-03-14,SONACOMS,EQ,616.7,620.0,623.95,608.95,612.0,612.95,615.38,640797,39433445210000.0,17903,215629,0.33649999999999997
2022-03-15,SONACOMS,EQ,612.95,616.0,644.65,612.5,631.7,631.85,633.71,1877698,118991230905000.0,42649,839976,0.4473
2022-03-16,SONACOMS,EQ,631.85,643.0,654.8,635.1,643.3,644.5,645.37,926758,59809755800000.0,28974,287916,0.31070000000000003
2022-03-17,SONACOMS,EQ,644.5,661.0,698.7,651.05,686.0,684.5,672.3,1850118,124383879630000.0,45676,906658,0.4901
2022-03-21,SONACOMS,EQ,684.5,694.85,706.6,672.1,673.0,674.6,687.52,1255407,86312109095000.0,43349,484625,0.386
2022-03-22,SONACOMS,EQ,674.6,676.25,678.85,652.0,670.0,668.2,660.79,1176575,77746970375000.0,35268,370652,0.315
2022-03-23,SONACOMS,EQ,668.2,675.1,694.15,670.6,683.4,689.35,683.19,1372047,93736692570000.0,34665,441328,0.32170000000000004
2022-03-24,SONACOMS,EQ,689.35,684.0,686.85,671.1,675.7,675.2,680.0,527577,35875099335000.0,15427,162382,0.3078
2022-03-25,SONACOMS,EQ,675.2,680.0,684.4,660.0,662.0,662.35,672.62,601930,40487225330000.0,19566,235130,0.39060000000000006
2022-03-28,SONACOMS,EQ,662.35,669.8,672.55,654.0,659.8,658.8,659.99,891747,58854128085000.0,45189,291292,0.32670000000000005
2022-03-29,SONACOMS,EQ,658.8,664.0,678.8,659.85,662.75,663.1,668.18,930464,62171995460000.0,33112,437523,0.47020000000000006
2022-03-30,SONACOMS,EQ,663.1,672.3,700.0,662.0,686.0,677.75,671.85,943762,63406882915000.0,29385,480059,0.5086999999999999
2022-03-31,SONACOMS,EQ,677.75,685.0,688.9,672.0,674.15,679.45,679.97,696997,47393433665000.0,25204,264708,0.37979999999999997
2022-04-01,SONACOMS,EQ,679.45,674.85,679.4,654.05,658.25,656.75,661.68,1720968,113872630615000.02,68940,1081877,0.6286
2022-04-04,SONACOMS,EQ,656.75,663.7,668.4,659.05,661.45,663.0,662.78,666813,44194867990000.0,27089,316541,0.4747
