Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,SUNPHARMA,EQ,829.65,818.0,829.0,809.1,822.75,822.65,820.45,3065234,251485956340000.0,83912,1732614,0.5652
2022-03-08,SUNPHARMA,EQ,822.65,826.2,861.7,826.2,855.9,855.0,842.1,4864275,409620969505000.0,115665,2687471,0.5525
2022-03-09,SUNPHARMA,EQ,855.0,863.4,885.8,860.0,866.0,868.25,874.55,7276355,636353208685000.0,160903,4073025,0.5598
2022-03-10,SUNPHARMA,EQ,868.25,869.9,881.9,866.6,868.0,869.55,871.81,2899758,252804081644999.97,81684,1519512,0.524
2022-03-11,SUNPHARMA,EQ,869.55,872.0,907.0,869.05,901.45,902.0,894.57,7194497,643597400365000.0,128229,2563243,0.3563
2022-03-14,SUNPHARMA,EQ,902.0,901.95,911.8,889.95,891.5,892.25,899.98,3861194,347497873720000.0,81941,1468499,0.3803
2022-03-15,SUNPHARMA,EQ,892.25,893.7,908.0,881.35,892.0,891.65,892.19,4039746,360421834210000.0,84414,1978541,0.48979999999999996
2022-03-16,SUNPHARMA,EQ,891.65,900.0,900.0,880.45,887.7,889.2,887.33,3134307,278116070315000.0,71887,1516180,0.48369999999999996
2022-03-17,SUNPHARMA,EQ,889.2,892.2,915.0,892.2,914.95,911.6,904.89,5484100,496252901835000.06,108357,3048495,0.5559000000000001
2022-03-21,SUNPHARMA,EQ,911.6,912.5,931.0,911.3,913.1,913.8,922.76,3878744,357915607735000.0,82347,1583473,0.4082
2022-03-22,SUNPHARMA,EQ,913.8,913.8,922.0,902.5,913.0,914.1,913.36,2174495,198610258855000.0,60939,656190,0.3018
2022-03-23,SUNPHARMA,EQ,914.1,918.0,926.0,895.8,897.9,900.8,914.23,2578669,235748407825000.0,66985,971436,0.37670000000000003
2022-03-24,SUNPHARMA,EQ,900.8,886.0,914.7,885.5,907.05,908.85,904.61,3141478,284180965945000.0,68606,1211816,0.3857
2022-03-25,SUNPHARMA,EQ,908.85,911.85,914.95,896.3,905.0,902.35,903.05,1571676,141930748980000.0,47724,731741,0.4656
2022-03-28,SUNPHARMA,EQ,902.35,908.9,910.9,899.3,904.95,905.9,904.47,1545077,139747953480000.0,38853,665612,0.4308
2022-03-29,SUNPHARMA,EQ,905.9,908.05,922.0,901.1,915.0,919.35,913.69,3177777,290349014740000.0,63133,1287780,0.40520000000000006
2022-03-30,SUNPHARMA,EQ,919.35,922.0,922.0,908.4,920.0,920.6,917.08,2084073,191125864270000.0,55012,1091662,0.5238
2022-03-31,SUNPHARMA,EQ,920.6,920.6,927.0,910.8,914.0,914.75,917.19,1901705,174422525395000.0,52264,983164,0.517
2022-04-01,SUNPHARMA,EQ,914.75,914.0,919.0,904.1,911.8,908.7,909.67,1184766,107774246659999.98,39391,417701,0.35259999999999997
2022-04-04,SUNPHARMA,EQ,908.7,908.0,928.8,902.6,925.5,926.05,919.21,1876408,172480991420000.0,58175,741785,0.39530000000000004
2022-04-05,SUNPHARMA,EQ,926.05,928.0,940.7,924.15,927.9,929.1,930.81,2911697,271023135860000.0,80628,1390663,0.47759999999999997
2022-04-06,SUNPHARMA,EQ,929.1,927.8,938.8,925.0,928.0,928.1,930.83,1881754,175158674215000.0,70048,854356,0.454
2022-04-07,SUNPHARMA,EQ,928.1,928.1,948.0,926.85,929.1,930.95,934.28,2728625,254929065405000.03,81914,1186097,0.4347
2022-04-08,SUNPHARMA,EQ,930.95,937.0,937.3,919.3,926.35,924.6,925.2,1453271,134456608950000.0,38152,627139,0.4315
2022-04-11,SUNPHARMA,EQ,924.6,920.0,933.55,918.6,924.95,925.4,925.13,1102625,102007670900000.0,63963,446421,0.40490000000000004
2022-04-12,SUNPHARMA,EQ,925.4,920.0,928.15,911.4,919.9,921.3,920.0,1420380,130675020209999.98,56013,692293,0.48740000000000006
2022-04-13,SUNPHARMA,EQ,921.3,921.3,943.0,921.3,935.25,936.75,933.3,1825531,170377690400000.0,58498,659171,0.3611
2022-04-18,SUNPHARMA,EQ,936.75,927.6,941.05,919.25,926.5,927.5,928.15,1287320,119482823550000.0,69476,565235,0.4391
2022-04-19,SUNPHARMA,EQ,927.5,930.95,937.75,915.05,916.05,922.0,929.86,2001066,186071054065000.0,56392,1140337,0.5699000000000001
2022-04-20,SUNPHARMA,EQ,922.0,918.0,931.0,916.05,922.95,923.5,923.52,1455897,134454955075000.0,60092,762957,0.524
2022-04-21,SUNPHARMA,EQ,923.5,931.0,946.0,920.6,942.1,944.1,937.51,2410164,225955528750000.0,70098,1286406,0.5337
2022-04-22,SUNPHARMA,EQ,944.1,941.0,942.25,918.35,924.95,924.8,929.54,1745381,162239896480000.0,44393,698026,0.39990000000000003
2022-04-25,SUNPHARMA,EQ,924.8,915.55,922.35,896.6,901.1,900.0,905.94,1146270,103845424295000.0,45914,487540,0.4253
2022-04-26,SUNPHARMA,EQ,900.0,905.0,924.75,904.05,918.5,918.05,916.94,3142879,288182226570000.0,83056,1883167,0.5992000000000001
2022-04-27,SUNPHARMA,EQ,918.05,910.05,921.7,903.6,906.6,906.1,910.09,1586283,144366314530000.0,60291,897173,0.5656
2022-04-28,SUNPHARMA,EQ,906.1,920.0,927.35,909.3,918.8,921.0,918.87,3150038,289446929115000.0,73596,1578185,0.501
2022-04-29,SUNPHARMA,EQ,921.0,924.0,967.05,919.55,930.0,928.65,941.59,4290688,404004967085000.0,107566,1337660,0.3118
2022-05-02,SUNPHARMA,EQ,928.65,922.45,925.0,902.55,923.05,923.4,916.01,2119174,194118973390000.0,88049,1042947,0.49210000000000004
2022-05-04,SUNPHARMA,EQ,923.4,920.1,920.9,895.0,903.0,900.9,903.02,3925917,354517484505000.0,105092,2220876,0.5657
2022-05-05,SUNPHARMA,EQ,900.9,905.0,919.2,872.6,873.25,878.15,899.57,4462293,401416693180000.0,95394,2637266,0.5910000000000001
2022-05-06,SUNPHARMA,EQ,878.15,862.0,885.7,861.5,880.1,883.3,876.82,2350532,206099258385000.0,68523,1169251,0.4974
2022-05-09,SUNPHARMA,EQ,883.3,868.05,891.4,868.05,883.75,885.4,881.64,2522123,222359233019999.97,84759,869396,0.3447
2022-05-10,SUNPHARMA,EQ,885.4,885.0,890.85,846.5,861.0,861.85,862.18,6975331,601397093385000.0,180672,3388676,0.4858
2022-05-11,SUNPHARMA,EQ,861.85,853.0,867.0,851.0,856.25,854.8,858.1,2768829,237593437660000.0,111423,1702952,0.615
2022-05-12,SUNPHARMA,EQ,854.8,852.9,855.85,835.2,853.3,850.0,848.39,2700591,229115694965000.0,94110,1487816,0.5509000000000001
2022-05-13,SUNPHARMA,EQ,850.0,862.95,889.0,860.15,881.95,882.5,880.38,4870689,428803847285000.0,162828,2736798,0.5619
2022-05-16,SUNPHARMA,EQ,882.5,881.95,894.75,875.05,884.0,885.6,887.07,2739020,242969915825000.0,85282,1184119,0.43229999999999996
2022-05-17,SUNPHARMA,EQ,885.6,880.15,895.6,878.7,892.5,891.75,887.18,2317400,205595204280000.0,86304,1185672,0.5115999999999999
2022-05-18,SUNPHARMA,EQ,891.75,891.0,909.0,888.0,900.0,899.15,902.21,2878378,259691489850000.0,74459,1248462,0.4337
2022-05-19,SUNPHARMA,EQ,899.15,885.0,900.0,878.35,884.95,884.6,887.77,2715634,241085937105000.03,80545,1270330,0.4678
2022-05-20,SUNPHARMA,EQ,884.6,893.0,917.7,889.05,915.0,915.65,910.45,2877917,262021002390000.0,124663,1526868,0.5305
2022-05-23,SUNPHARMA,EQ,915.65,920.0,931.3,916.6,921.1,922.05,924.82,2195036,203001901825000.0,64385,1254920,0.5717
2022-05-24,SUNPHARMA,EQ,922.05,928.0,930.85,907.0,912.85,909.9,918.84,2911410,267512247455000.03,93369,1558670,0.5354
2022-05-25,SUNPHARMA,EQ,909.9,915.0,922.65,907.25,912.3,911.2,911.73,2405811,219344307930000.03,82562,1381691,0.5743
2022-05-26,SUNPHARMA,EQ,911.2,918.8,922.45,893.5,901.85,899.95,903.54,4113170,371641318840000.0,117596,2180542,0.5301
2022-05-27,SUNPHARMA,EQ,899.95,901.95,912.8,896.0,903.95,903.9,903.38,2374509,214507907705000.0,82241,1239809,0.5221
2022-05-30,SUNPHARMA,EQ,903.9,905.0,915.5,886.5,889.0,888.3,894.91,3541617,316942124380000.0,88278,1830446,0.5168
2022-05-31,SUNPHARMA,EQ,888.3,867.25,882.8,851.2,865.15,860.6,861.44,24360628,2098518081700000.0,299266,14074554,0.5778
2022-06-01,SUNPHARMA,EQ,860.6,875.0,875.0,832.6,842.9,839.25,846.31,5999099,507710634345000.0,143827,2912266,0.4855
2022-06-02,SUNPHARMA,EQ,839.25,836.75,862.9,832.8,861.6,859.55,851.33,3553217,302496657190000.0,108220,1443077,0.4061
2022-06-03,SUNPHARMA,EQ,859.55,862.15,875.0,854.85,865.4,865.1,864.45,2618353,226342412810000.0,64830,1205900,0.4606
2022-06-06,SUNPHARMA,EQ,865.1,865.0,873.95,858.0,860.0,859.8,863.49,2095566,180949193970000.0,77004,1087160,0.5188
2022-06-07,SUNPHARMA,EQ,859.8,855.0,857.4,838.6,845.1,848.25,846.27,3031449,256541368885000.0,57411,1727179,0.5698
2022-06-08,SUNPHARMA,EQ,848.25,845.1,854.0,837.6,846.2,847.25,846.29,3208941,271569776930000.03,60208,1752464,0.5461
2022-06-09,SUNPHARMA,EQ,847.25,846.0,862.1,835.45,857.95,858.85,848.26,2297715,194905145375000.0,55223,1152002,0.5014000000000001
2022-06-10,SUNPHARMA,EQ,858.85,850.0,853.95,842.0,844.5,845.7,846.21,2124778,179800524320000.0,49596,1140878,0.5369
2022-06-13,SUNPHARMA,EQ,845.7,840.0,851.0,819.75,830.5,829.5,832.33,2191412,182398151055000.0,79554,890426,0.40630000000000005
2022-06-14,SUNPHARMA,EQ,829.5,826.0,835.65,821.85,825.2,825.05,827.13,2461692,203614877635000.0,72217,1692160,0.6874
2022-06-15,SUNPHARMA,EQ,825.05,825.25,830.05,819.15,820.0,822.3,825.23,2008725,165765550505000.0,59666,1141163,0.5681
2022-06-16,SUNPHARMA,EQ,822.3,822.6,826.0,806.55,813.0,814.6,817.08,2327414,190167500550000.0,73237,1156290,0.4968
2022-06-17,SUNPHARMA,EQ,814.6,805.2,810.3,789.9,791.0,793.4,796.76,5719089,455672874625000.0,114986,3851651,0.6735
2022-06-20,SUNPHARMA,EQ,793.4,801.0,813.5,794.5,803.25,805.3,802.44,2745302,220293493940000.0,80764,929197,0.3385
2022-06-21,SUNPHARMA,EQ,805.3,806.6,820.3,805.35,816.3,817.45,816.14,1342717,109584558680000.0,46685,684452,0.5098
2022-06-22,SUNPHARMA,EQ,817.45,814.0,821.0,803.25,807.2,809.3,809.89,2032073,164575321720000.0,53170,1061579,0.5224
2022-06-23,SUNPHARMA,EQ,809.3,809.5,826.5,808.5,825.0,824.9,821.08,1778752,146049106255000.0,63911,756291,0.5573
2022-06-24,SUNPHARMA,EQ,824.9,827.9,833.8,821.5,823.25,824.6,825.53,1404748,115965711434999.98,35495,844470,0.6012
