Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,SUNTECK,EQ,418.55,418.1,472.0,413.25,449.0,449.65,447.17,1171249,52374685170000.0,37175,236463,0.20190000000000002
2022-03-29,SUNTECK,EQ,449.65,449.0,454.4,440.75,445.5,449.7,448.37,436593,19575683260000.0,15667,94416,0.2163
2022-03-30,SUNTECK,EQ,449.7,451.9,460.0,438.25,439.0,443.65,451.26,403269,18198005405000.0,12487,93933,0.2329
2022-03-31,SUNTECK,EQ,443.65,440.0,451.0,429.0,430.0,436.75,440.45,747711,32932867835000.004,24099,144272,0.193
2022-04-01,SUNTECK,EQ,436.75,430.0,499.95,430.0,487.15,487.5,471.31,1561356,73588319510000.0,40697,290260,0.1859
2022-04-04,SUNTECK,EQ,487.5,487.15,503.0,476.2,486.1,492.55,490.57,832019,40816014975000.0,26397,175130,0.21050000000000002
2022-04-05,SUNTECK,EQ,492.55,486.2,491.0,481.3,481.7,484.85,486.3,447700,21771499115000.0,12914,128442,0.28690000000000004
2022-04-06,SUNTECK,EQ,484.85,481.0,486.1,472.15,477.2,478.1,480.32,509736,24483721740000.0,16317,117944,0.23140000000000002
2022-04-07,SUNTECK,EQ,478.1,479.9,490.9,473.1,480.5,480.05,484.77,754318,36567113120000.0,24206,161994,0.21480000000000002
2022-04-08,SUNTECK,EQ,480.05,486.25,499.5,478.35,487.9,488.3,489.22,873745,42745477195000.0,22921,249303,0.2853
2022-04-11,SUNTECK,EQ,488.3,491.9,494.0,472.35,473.95,479.85,484.12,998835,48356025185000.0,14350,409604,0.41009999999999996
2022-04-12,SUNTECK,EQ,479.85,485.0,493.4,470.0,473.0,474.7,480.2,997826,47915170800000.0,30939,272568,0.2732
2022-04-13,SUNTECK,EQ,474.7,478.0,481.9,458.55,459.95,462.2,469.33,748648,35136316360000.004,14662,273505,0.3653
2022-04-18,SUNTECK,EQ,462.2,458.0,492.75,455.1,475.95,482.05,476.3,2186839,104159985530000.0,27786,724636,0.33140000000000003
2022-04-19,SUNTECK,EQ,482.05,478.7,491.25,468.75,478.0,477.8,480.51,849521,40820272120000.0,21795,182937,0.21530000000000002
2022-04-20,SUNTECK,EQ,477.8,477.85,504.5,476.1,488.5,490.95,493.58,1148645,56694364475000.0,36584,230296,0.2005
2022-04-21,SUNTECK,EQ,490.95,494.8,508.0,492.4,495.9,496.8,498.49,627045,31257754330000.0,16393,167963,0.26789999999999997
2022-04-22,SUNTECK,EQ,496.8,494.2,501.0,481.8,490.0,491.15,493.64,1212726,59865171820000.01,27577,316324,0.2608
2022-04-25,SUNTECK,EQ,491.15,490.0,490.95,456.2,459.1,464.35,468.27,1112920,52114205975000.0,32891,364292,0.3273
2022-04-26,SUNTECK,EQ,464.35,465.15,477.7,462.15,471.0,474.55,471.58,641744,30263262885000.004,15873,146444,0.22820000000000001
2022-04-27,SUNTECK,EQ,474.55,470.7,482.05,455.25,472.0,473.5,466.4,1060210,49448581065000.0,22865,265513,0.2504
2022-04-28,SUNTECK,EQ,473.5,471.0,491.0,470.0,473.5,479.3,482.24,656139,31641792635000.004,17471,167120,0.2547
2022-04-29,SUNTECK,EQ,479.3,475.0,489.3,472.45,480.55,481.25,481.46,636334,30636696825000.0,16966,125530,0.1973
2022-05-02,SUNTECK,EQ,481.25,473.15,485.8,468.85,474.5,475.1,478.16,575991,27541419500000.0,13189,166685,0.28940000000000005
2022-05-04,SUNTECK,EQ,475.1,472.2,477.5,445.55,448.25,449.7,463.01,379700,17580536705000.002,15828,96889,0.2552
2022-05-05,SUNTECK,EQ,449.7,457.7,461.8,445.25,448.3,450.55,455.17,242870,11054743860000.0,11279,29732,0.12240000000000001
2022-05-06,SUNTECK,EQ,450.55,441.8,444.7,435.0,437.8,437.65,438.35,318762,13972905544999.998,17660,74054,0.2323
2022-05-09,SUNTECK,EQ,437.65,434.0,452.45,425.0,442.8,444.9,440.72,574566,25322155185000.0,18056,165300,0.2877
2022-05-10,SUNTECK,EQ,444.9,443.0,449.05,434.0,435.75,437.85,441.11,247443,10914997385000.0,11205,57331,0.23170000000000002
2022-05-11,SUNTECK,EQ,437.85,439.8,444.8,400.0,415.0,419.5,418.4,804991,33681118310000.004,29982,262428,0.326
2022-05-12,SUNTECK,EQ,419.5,415.0,417.8,396.2,399.85,400.95,402.44,713020,28694503080000.0,22569,348030,0.48810000000000003
2022-05-13,SUNTECK,EQ,400.95,403.0,409.8,382.55,385.0,389.3,397.36,709805,28204707414999.996,31857,142166,0.2003
2022-05-16,SUNTECK,EQ,389.3,387.15,414.0,378.0,404.8,409.1,398.13,951661,37888456925000.0,28399,155128,0.163
2022-05-17,SUNTECK,EQ,409.1,406.0,449.0,401.3,442.25,443.2,427.99,730329,31257127620000.0,19347,239717,0.3282
2022-05-18,SUNTECK,EQ,443.2,442.25,446.05,429.4,431.0,435.1,439.4,351847,15460279890000.0,14420,43592,0.12390000000000001
2022-05-19,SUNTECK,EQ,435.1,420.0,432.0,410.55,417.2,419.3,419.43,789855,33128919660000.004,19528,204610,0.259
2022-05-20,SUNTECK,EQ,419.3,424.9,452.05,424.9,440.8,444.3,440.82,873748,38516219620000.0,18539,202498,0.2318
2022-05-23,SUNTECK,EQ,444.3,441.8,456.35,434.65,435.65,440.6,446.61,428539,19139110785000.0,13937,142034,0.33140000000000003
2022-05-24,SUNTECK,EQ,440.6,439.95,443.0,425.55,429.35,433.85,435.5,438565,19099345715000.0,13904,108454,0.24730000000000002
2022-05-25,SUNTECK,EQ,433.85,430.7,441.65,428.15,431.5,432.45,434.59,510162,22171034615000.0,17934,159073,0.3118
2022-05-26,SUNTECK,EQ,432.45,431.95,444.0,420.5,437.0,440.6,433.36,455365,19733475590000.0,14074,115941,0.2546
2022-05-27,SUNTECK,EQ,440.6,442.45,453.45,430.6,434.8,436.35,443.05,596166,26413334215000.0,21419,194223,0.3258
2022-05-30,SUNTECK,EQ,436.35,438.95,446.85,425.05,425.6,432.5,438.18,787991,34527809845000.0,16876,205029,0.2602
2022-05-31,SUNTECK,EQ,432.5,421.65,459.5,421.65,453.0,452.5,441.62,869637,38404663210000.0,28142,216115,0.24850000000000003
2022-06-01,SUNTECK,EQ,452.5,456.85,462.95,439.8,443.9,446.7,449.84,660282,29702189285000.004,26530,155747,0.2359
2022-06-02,SUNTECK,EQ,446.7,443.4,456.0,441.65,450.0,452.35,449.0,529187,23760424560000.0,14993,95731,0.1809
