Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,SUPREMEIND,EQ,1983.7,1952.0,2021.0,1935.1,1965.0,1973.1,1967.63,75629,14881023585000.0,9053,55430,0.7329000000000001
2022-03-08,SUPREMEIND,EQ,1973.1,1970.0,2045.0,1949.65,2029.95,2014.95,1998.44,48487,9689814825000.0,11939,31167,0.6428
2022-03-09,SUPREMEIND,EQ,2014.95,2024.95,2064.0,2000.15,2014.0,2014.7,2016.83,54376,10966702745000.0,9033,36452,0.6704000000000001
2022-03-10,SUPREMEIND,EQ,2014.7,2042.2,2049.2,1990.0,1990.0,1992.55,2002.74,70201,14059424144999.998,13000,44308,0.6312
2022-03-11,SUPREMEIND,EQ,1992.55,1996.0,2009.0,1983.05,1991.95,1991.85,1990.88,60252,11995463555000.0,4034,52364,0.8691
2022-03-14,SUPREMEIND,EQ,1991.85,2002.3,2005.15,1961.55,1964.95,1964.35,1988.53,65965,13117344225000.0,6887,51389,0.779
2022-03-15,SUPREMEIND,EQ,1964.35,1984.0,1984.0,1951.0,1954.0,1956.95,1960.52,30339,5948035730000.0,6691,18243,0.6013000000000001
2022-03-16,SUPREMEIND,EQ,1956.95,1969.85,1997.0,1969.85,1989.0,1994.5,1988.9,70404,14002629350000.0,13897,50112,0.7118000000000001
2022-03-17,SUPREMEIND,EQ,1994.5,2029.0,2070.0,2007.95,2050.55,2052.95,2029.9,117789,23910007030000.0,15797,85881,0.7291
2022-03-21,SUPREMEIND,EQ,2052.95,2060.0,2089.7,2024.05,2044.15,2044.35,2053.48,67352,13830596250000.0,10111,43890,0.6517000000000001
2022-03-22,SUPREMEIND,EQ,2044.35,2052.65,2055.1,2005.0,2015.0,2023.75,2021.45,72807,14717602435000.0,8439,49693,0.6825
2022-03-23,SUPREMEIND,EQ,2023.75,2025.1,2039.95,2012.0,2022.0,2017.65,2021.21,19651,3971889595000.0005,4752,12659,0.6442
2022-03-24,SUPREMEIND,EQ,2017.65,2000.0,2056.85,2000.0,2018.0,2022.7,2026.46,37970,7694451640000.001,6445,23662,0.6232
2022-03-25,SUPREMEIND,EQ,2022.7,2023.55,2033.3,1982.0,1995.5,2003.15,2017.57,32688,6595031985000.0,6773,22351,0.6838
2022-03-28,SUPREMEIND,EQ,2003.15,2003.15,2013.3,1977.5,1995.0,1997.45,1990.88,34245,6817758800000.0,6919,19699,0.5752
2022-03-29,SUPREMEIND,EQ,1997.45,2030.0,2048.45,1976.0,1985.0,1990.6,1996.95,46699,9325576330000.0,6460,27693,0.593
2022-03-30,SUPREMEIND,EQ,1990.6,2034.0,2034.0,1976.3,1992.0,1991.8,1991.68,147152,29308018405000.0,8750,127988,0.8698
2022-03-31,SUPREMEIND,EQ,1991.8,2000.0,2065.95,1987.3,2041.0,2047.2,2043.39,162635,33232673545000.0,13424,123133,0.7571
2022-04-01,SUPREMEIND,EQ,2047.2,2028.6,2053.0,2016.0,2039.0,2039.35,2035.41,82583,16809049325000.0,14945,58688,0.7107
2022-04-04,SUPREMEIND,EQ,2039.35,2050.0,2060.75,2011.4,2039.0,2038.2,2029.46,178406,36206835630000.0,23628,111073,0.6226
2022-04-05,SUPREMEIND,EQ,2038.2,2059.5,2219.3,2052.0,2160.0,2155.25,2150.26,312919,67285813325000.0,26656,144147,0.4607
2022-04-06,SUPREMEIND,EQ,2155.25,2166.6,2176.0,2119.1,2156.0,2162.55,2149.49,111645,23997981730000.0,18028,71768,0.6428
2022-04-07,SUPREMEIND,EQ,2162.55,2156.0,2156.0,2084.55,2098.9,2097.9,2106.72,148485,31281639945000.0,17396,103274,0.6955
2022-04-08,SUPREMEIND,EQ,2097.9,2127.9,2127.9,2075.4,2095.0,2096.95,2093.92,70127,14684046650000.0,7441,52096,0.7429000000000001
2022-04-11,SUPREMEIND,EQ,2096.95,2108.0,2124.9,2069.0,2101.0,2095.0,2092.46,54104,11321049295000.0,12344,29887,0.5524
2022-04-12,SUPREMEIND,EQ,2095.0,2076.0,2099.9,2028.0,2090.0,2083.5,2055.08,107326,22056350335000.0,21198,64466,0.6007
2022-04-13,SUPREMEIND,EQ,2083.5,2094.5,2112.65,2035.2,2044.45,2039.55,2061.89,60955,12568250565000.0,11102,36827,0.6042000000000001
2022-04-18,SUPREMEIND,EQ,2039.55,2044.7,2044.7,1989.0,1996.0,1997.5,2003.76,51245,10268258130000.0,7938,31611,0.6169
2022-04-19,SUPREMEIND,EQ,1997.5,2018.0,2023.8,1987.9,1988.1,1988.55,2000.58,48108,9624396390000.0,8869,26736,0.5557
2022-04-20,SUPREMEIND,EQ,1988.55,1988.55,2020.0,1985.0,1998.45,1996.85,2003.1,17846,3574724765000.0,3645,7362,0.41250000000000003
2022-04-21,SUPREMEIND,EQ,1996.85,2007.4,2010.15,1976.0,1989.3,1980.1,1986.46,55907,11105717100000.0,11852,32545,0.5821000000000001
2022-04-22,SUPREMEIND,EQ,1980.1,1989.9,1989.9,1961.0,1965.5,1963.65,1973.01,64916,12807984340000.0,6829,55162,0.8497
2022-04-25,SUPREMEIND,EQ,1963.65,1963.65,1983.0,1926.05,1960.0,1947.0,1942.79,51712,10046575535000.0,6174,38089,0.7366
