Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,SYNGENE,EQ,536.7,530.0,541.5,518.85,538.1,537.45,527.82,325148,17162090580000.002,11618,130573,0.40159999999999996
2022-03-08,SYNGENE,EQ,537.45,537.45,549.15,530.15,538.95,539.4,539.76,343780,18555774005000.0,12226,155405,0.452
2022-03-09,SYNGENE,EQ,539.4,542.2,558.0,536.55,551.5,553.5,550.28,450641,24797801095000.0,17509,170518,0.37840000000000007
2022-03-10,SYNGENE,EQ,553.5,558.95,569.0,554.1,566.0,564.6,563.17,281820,15871226760000.0,13353,104283,0.37
2022-03-11,SYNGENE,EQ,564.6,560.0,581.0,557.45,579.5,578.8,572.37,433478,24811016765000.0,19884,149266,0.3443
2022-03-14,SYNGENE,EQ,578.8,581.95,582.1,570.6,571.4,575.25,575.61,304453,17524607430000.002,19632,155395,0.5104
2022-03-15,SYNGENE,EQ,575.25,577.6,584.5,563.6,571.75,571.8,571.59,342114,19555045545000.0,19443,163067,0.47659999999999997
2022-03-16,SYNGENE,EQ,571.8,574.9,581.75,569.3,572.6,572.15,575.26,181163,10421587560000.0,7069,87169,0.48119999999999996
2022-03-17,SYNGENE,EQ,572.15,576.8,594.85,572.7,591.9,592.3,585.96,322263,18883378920000.0,12405,141681,0.4396
2022-03-21,SYNGENE,EQ,592.3,592.3,603.85,581.25,585.7,583.95,594.36,341530,20299298080000.0,13373,127289,0.37270000000000003
2022-03-22,SYNGENE,EQ,583.95,583.95,592.7,583.95,590.0,588.5,588.28,254251,14957095430000.002,7669,123904,0.48729999999999996
2022-03-23,SYNGENE,EQ,588.5,591.5,617.55,589.0,605.45,604.55,606.33,977427,59264740620000.01,30120,259122,0.2651
2022-03-24,SYNGENE,EQ,604.55,606.75,606.75,585.95,588.5,588.95,592.45,367061,21746425465000.0,11982,104612,0.28500000000000003
2022-03-25,SYNGENE,EQ,588.95,591.0,594.35,576.35,581.8,579.05,584.58,326722,19099594345000.0,18331,131094,0.4012
2022-03-28,SYNGENE,EQ,579.05,583.45,592.45,573.8,590.05,591.15,581.16,437852,25446284890000.0,12244,223996,0.5115999999999999
2022-03-29,SYNGENE,EQ,591.15,591.0,593.95,582.0,585.1,583.95,586.23,175297,10276501225000.0,4787,75505,0.4307
2022-03-30,SYNGENE,EQ,583.95,591.7,606.0,586.05,596.55,599.0,596.89,474608,28328651920000.0,12067,230021,0.4847
2022-03-31,SYNGENE,EQ,599.0,592.5,605.0,592.5,596.75,597.6,599.34,254223,15236704069999.998,11545,105141,0.4136
2022-04-01,SYNGENE,EQ,597.6,592.6,602.45,592.6,598.05,597.3,597.78,168661,10082210790000.0,6442,63096,0.3741
2022-04-04,SYNGENE,EQ,597.3,594.0,619.0,593.4,615.0,614.5,609.22,425987,25951788615000.0,14056,154229,0.36210000000000003
2022-04-05,SYNGENE,EQ,614.5,615.0,621.35,612.0,612.1,614.15,616.62,279483,17233442215000.0,8802,115308,0.41259999999999997
2022-04-06,SYNGENE,EQ,614.15,609.8,618.8,602.55,603.6,609.35,612.27,322270,19731584635000.0,12679,201020,0.6238
2022-04-07,SYNGENE,EQ,609.35,602.0,618.35,602.0,608.4,610.15,612.91,231187,14169721615000.0,9835,105024,0.4543
2022-04-08,SYNGENE,EQ,610.15,609.0,654.4,607.55,648.0,648.35,636.22,1995778,126976097255000.0,38359,881132,0.4415
2022-04-11,SYNGENE,EQ,648.35,654.8,683.0,651.6,663.0,663.6,673.06,3320228,223472324475000.0,64879,899990,0.2711
2022-04-12,SYNGENE,EQ,663.6,662.95,662.95,640.2,646.6,646.3,649.65,485136,31516900035000.004,12967,134970,0.2782
2022-04-13,SYNGENE,EQ,646.3,646.8,650.0,631.55,637.25,637.65,638.69,409220,26136520135000.0,10406,198060,0.484
2022-04-18,SYNGENE,EQ,637.65,634.9,640.4,625.0,639.9,639.4,635.76,383590,24387069950000.0,10442,264295,0.6890000000000001
